"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.807916666E-3,-4.680017853E0,6.554420013E0,2.775677948E0
5.059079167E-1,1.439406738E0,2.394720154E0,1.143067978E1
1.007007042E0,1.309192520E1,-1.161389877E1,3.025957489E0
1.508106042E0,-5.228776703E0,-6.164480896E0,7.990234222E0
2.009206292E0,7.917934570E0,-9.253008270E0,3.407064972E0
2.510306292E0,-3.975732422E-1,4.746629333E-1,1.758887375E1
3.011406125E0,1.826202393E-2,-7.395820313E0,5.839356995E-1
3.512507125E0,4.358935547E-1,-8.374036102E0,-1.142124939E-1
4.013608250E0,2.607278137E0,-9.690698090E0,-1.976789246E0
4.514709250E0,1.344803467E0,-1.281949173E1,-4.453987885E0
5.015810417E0,1.432071991E0,-1.012404694E1,-1.017733612E0
5.516912417E0,3.161725159E0,-1.012030472E1,-1.392853546E0
6.018013000E0,1.165476379E0,-1.042836411E1,-2.628533936E0
6.519115000E0,1.137035522E0,-1.074839859E1,-2.257006531E0
7.020215667E0,9.635462952E-1,-9.266180878E0,-4.065096588E0
7.521317667E0,5.206173706E-1,-8.261470184E0,-2.069446564E0
8.022418250E0,1.442999268E0,-1.008782227E1,-2.009122009E0
8.523519250E0,3.457809448E-2,-8.244555359E0,-3.188818817E0
9.024619375E0,1.293011169E0,-1.209709396E1,-1.336720276E0
9.525719375E0,-2.568658447E0,-1.014395554E1,-1.230890350E0
1.002682042E1,1.961371307E0,-9.576934662E0,-3.060685272E0
1.052792042E1,-2.234852600E-1,-1.192091034E1,-2.134710846E0
1.102902137E1,2.403102722E0,-1.022703278E1,-6.672973480E0
1.153012237E1,-4.640350342E-1,-1.002525238E1,-2.495460663E0
1.203122287E1,-5.364843750E-1,-1.175670181E1,5.918692017E-1
1.253232387E1,-1.516346741E-1,-1.335552704E1,3.067121887E-1
1.303342387E1,-2.532733154E0,-8.960067444E0,8.437953186E-1
1.353452487E1,-1.246158600E0,-9.322912903E0,-2.177970886E0
1.403562579E1,-9.012757874E-1,-8.394094391E0,1.017134857E0
1.453672679E1,-2.395019531E-3,-1.044408142E1,-6.526428223E-2
1.503782787E1,-2.125130768E0,-9.428293762E0,1.094673615E0
1.553892887E1,-9.589059448E-1,-8.968749390E0,1.068777466E0
1.604003000E1,-1.023272095E0,-9.026080170E0,5.914201355E-1
1.654113100E1,-7.812254333E-1,-1.083791245E1,-5.891748047E-1
1.704223087E1,7.379653931E-2,-9.273515625E0,-7.897576904E-1
1.754333187E1,-1.454974365E-1,-9.028325500E0,-2.564167786E-1
1.804443200E1,-1.337917786E0,-8.200097809E0,1.232686615E0
1.854553200E1,4.056564331E-1,-9.464668121E0,-8.020321655E-1
1.904663162E1,-1.249900818E-1,-9.991422729E0,7.171586609E-1
1.954773062E1,1.371148682E-1,-8.440647583E0,-1.835632782E0
2.004883004E1,-7.439529419E-1,-8.452772369E0,-2.466870117E0
2.054992904E1,8.554710388E-1,-1.003153931E1,-1.743125153E0
2.105102925E1,1.935475159E-1,-8.972491608E0,-2.573149109E-1
2.155212925E1,-6.586303711E-3,-9.786498871E0,-1.883682861E0
2.205322942E1,-6.412664795E-1,-9.068891144E0,-8.693920898E-1
2.255432942E1,-1.734742584E0,-8.739276581E0,-3.776646423E-1
2.305542929E1,1.495090942E0,-8.700058136E0,-2.103725281E0
2.355652929E1,-8.461903381E-1,-9.763446808E0,-1.193318481E0
2.405512337E1,2.924917603E-1,-1.095571747E1,-1.595532074E0
2.455622438E1,-2.984793091E-1,-7.603887634E0,-1.204994202E0
2.505732417E1,-7.229965210E-1,-9.302854614E0,-2.245779877E0
2.555842317E1,4.236190796E-2,-1.092817474E1,-1.179846497E0
2.605952217E1,7.670050049E-1,-1.179831528E1,-1.018631744E0
2.656062117E1,6.280938721E-1,-9.362730103E0,-1.314865723E0
2.706172037E1,-1.267863464E-1,-9.617799683E0,-2.395618286E0
2.756281837E1,1.423390045E0,-8.732690277E0,-2.310595093E0
2.806391625E1,9.038204956E-1,-9.258397064E0,-1.610800323E0
2.856501425E1,1.136736145E0,-1.059751236E1,-1.946402435E0
2.906611262E1,1.478026428E0,-1.028840515E1,-1.089733887E0
2.956720963E1,8.960366821E-1,-1.062670166E1,-2.108066254E0
3.006830562E1,-1.653311920E0,-9.372010803E0,-1.266067200E0
3.056940262E1,8.798703003E-1,-1.156749527E1,-3.413501587E0
3.107049979E1,-8.752299500E-1,-9.008865967E0,-2.877466278E0
3.157159679E1,-4.908293152E-1,-9.591155090E0,-2.198328552E0
3.207269342E1,-8.283773804E-1,-8.928782501E0,-2.147584076E0
3.257379042E1,1.152603149E-1,-1.013093262E1,-1.795216827E0
3.307488642E1,-1.885778503E0,-1.175610306E1,-4.327051849E0
3.357598242E1,5.191204834E-1,-9.885143738E0,-1.820364532E0
3.407707650E1,-8.686436462E-1,-1.075139236E1,-6.506968689E-1
3.457817250E1,3.787124634E-1,-8.002209320E0,4.894821167E-2
3.507926775E1,-1.466949463E-1,-1.021820114E1,-2.007625122E0
3.558036375E1,4.296066284E-2,-9.816286926E0,-1.089135132E0
3.608145867E1,2.184257813E0,-9.281898193E0,-1.198407898E0
3.658255367E1,-4.629872131E-1,-9.786199493E0,-1.391057281E0
3.708364837E1,2.038760376E-1,-9.239835663E0,-1.119971008E0
3.758474337E1,-5.801934814E-1,-1.027403503E1,-1.709594879E0
3.808583704E1,8.903485107E-1,-1.017643799E1,-8.687933350E-1
3.858693204E1,-7.014413452E-1,-8.543184357E0,-1.552421722E0
3.908802604E1,4.165837097E-1,-1.022523651E1,-2.411485291E0
3.958912004E1,-6.620732117E-1,-8.524173889E0,-1.866768036E0
4.009021400E1,-5.891748047E-1,-9.906998291E0,-3.098406830E0
4.059130800E1,-1.725162506E0,-1.003543121E1,-1.524429932E0
4.109240254E1,3.980223083E-1,-8.965905304E0,-1.241667938E0
4.159349554E1,-7.911048889E-1,-1.044108765E1,-8.574169922E-1
4.209458850E1,5.001100159E-1,-9.692344666E0,-1.011746063E0
4.259568150E1,-8.234376526E-1,-1.197030762E1,-2.317181396E-1
4.309677537E1,-1.116079102E0,-1.072774155E1,-5.635780334E-1
4.359786837E1,-1.083896027E0,-1.032971924E1,-7.610174561E-1
4.409896079E1,5.481600952E-1,-9.649533691E0,-9.596543884E-1
4.460005279E1,-4.342469788E-1,-9.223369904E0,-2.063459015E0
4.510114587E1,7.200027466E-2,-9.849368134E0,6.159690857E-1
4.560223787E1,-9.410929871E-1,-1.065394501E1,-4.152365112E-1
4.611335304E1,-6.509962463E-1,-1.144654678E1,-7.653584290E-1
4.661444604E1,-1.726210327E0,-8.106692047E0,5.278024292E-1
4.711052779E1,-1.533710632E0,-9.467362518E0,1.166673889E0
4.761161979E1,-4.460723877E-2,-1.203033279E1,6.309379578E-1
4.811271204E1,-6.598278809E-1,-8.292306061E0,1.225800934E0
4.861380504E1,5.117857361E-1,-8.958271179E0,9.756710815E-1
4.911489675E1,-1.058748322E0,-9.759704590E0,4.685256958E-2
4.961598875E1,1.501078491E0,-9.710457001E0,-1.690584412E0
5.011708087E1,-1.626517639E0,-8.232280884E0,-1.905836792E0
5.061817287E1,-1.230441284E-1,-9.220675507E0,-3.329226837E0
5.111926367E1,-1.235081635E0,-8.775501251E0,-1.831591187E0
5.162035467E1,-1.058149567E0,-1.158186539E1,-1.491797791E0
5.212144575E1,-1.544637909E0,-9.711804199E0,-8.988807678E-1
5.262253775E1,-1.044677582E0,-9.957892456E0,-8.382568359E-2
5.312362875E1,-1.382525024E0,-8.853339386E0,2.131567383E0
5.362471975E1,-9.428892517E-1,-9.289831696E0,8.322692871E-1
5.412581150E1,-4.646337891E-1,-9.321116638E0,4.628375244E-1
5.462690250E1,-2.968327332E-1,-1.161150375E1,1.650318146E0
5.512799200E1,-8.192463684E-1,-9.245673523E0,1.410666504E0
5.562908300E1,-1.327738953E-1,-9.494605865E0,1.730401611E-1
5.613017450E1,-1.544787598E-1,-7.948171692E0,2.185455322E-1
5.663126550E1,8.813671875E-1,-1.026969406E1,-4.188290405E-1
5.713235500E1,5.060975647E-1,-8.709638214E0,5.396278381E-1
5.763344500E1,3.632945251E-1,-9.765841827E0,-4.227209473E-1
5.813453612E1,7.801776123E-1,-1.028526169E1,-1.410516815E0
5.863562612E1,3.065625000E-1,-8.583151245E0,-1.827399902E0
5.913671592E1,1.312620392E0,-9.229806519E0,-2.252964935E0
5.963780592E1,9.958790588E-1,-1.012419662E1,-2.712060242E0
6.017898267E1,-4.848417664E-1,-7.696395264E0,-2.957699432E0
6.068007167E1,3.851490784E-1,-9.117240601E0,-1.513652344E0
6.118116200E1,1.197509766E-3,-1.017688705E1,-2.516716461E0
6.168225200E1,1.324745178E-1,-9.668394470E0,-2.463576965E0
6.218334104E1,-3.782633972E-1,-9.070088654E0,-2.607278137E0
6.268443004E1,2.515668640E0,-9.770482178E0,-3.397484894E0
6.318551937E1,2.139051819E-1,-9.220376129E0,-3.295247498E0
6.368660837E1,-8.155041504E-1,-1.002854553E1,-2.380799103E0
6.418769767E1,7.319778442E-2,-9.144933014E0,-3.034639435E0
6.468878667E1,1.210832062E0,-9.194479980E0,-2.708168335E0
6.518987575E1,6.288423157E-1,-1.007420059E1,-2.520009613E0
6.569096375E1,1.069825287E0,-1.129131958E1,-3.003653870E0
6.619205312E1,-1.869462433E0,-9.663604431E0,-5.164560242E0
6.669314212E1,1.406175842E0,-7.719746704E0,-4.615801392E0
6.719423017E1,8.294252014E-1,-8.282276917E0,-4.868625641E0
6.769531817E1,1.526974640E0,-8.578061829E0,-4.144132233E0
6.819640650E1,1.619332581E0,-9.006470947E0,-4.131259003E0
6.869749450E1,1.938169556E0,-8.924441528E0,-3.726800079E0
6.919858325E1,1.236428833E0,-8.139024811E0,-4.954696655E0
6.969967125E1,1.447489929E0,-9.291927338E0,-4.407135315E0
7.020075925E1,1.077609100E0,-1.003767654E1,-3.711980896E0
7.070184725E1,7.753875732E-2,-1.111902786E1,-1.500330048E0
7.120293479E1,-7.701484680E-1,-9.367370453E0,-1.798060913E0
7.170402279E1,-1.803000641E0,-1.178993271E1,-7.469467163E-2
7.220511038E1,-6.406677246E-2,-9.394015045E0,1.005608826E0
7.270619737E1,2.748284912E-1,-1.048075516E1,-4.185296631E-1
7.320728525E1,2.700085144E0,-9.530531158E0,-4.477189636E0
7.370837225E1,-7.429051208E-1,-9.044641571E0,-2.296674042E0
7.420945854E1,-2.326312408E0,-1.393856461E1,-2.986888733E0
7.471054554E1,-6.126759338E-1,-7.443121948E0,-5.399721222E0
7.521163292E1,2.073188782E0,-6.686744843E0,-1.411564636E0
7.571271992E1,-6.355783081E-1,-9.788744202E0,1.018482056E0
7.621380642E1,-4.634362793E-1,-1.004082001E1,3.104544067E0
