"Time (s)","X (hPa)"
-5.309945000E-1,1.017806091E3
4.741945000E-1,1.017788849E3
1.479380500E0,1.017771606E3
2.484540500E0,1.017757568E3
3.489713500E0,1.017757568E3
3.841526500E0,1.017757568E3
4.913659500E0,1.017761307E3
5.985797500E0,1.017761307E3
7.057941500E0,1.017761307E3
8.130086500E0,1.017755280E3
9.202253500E0,1.017744141E3
1.027441950E1,1.017730789E3
1.134657950E1,1.017709579E3
1.241875550E1,1.017694016E3
1.349091650E1,1.017694016E3
1.456299950E1,1.017704544E3
1.563513150E1,1.017719116E3
1.670735750E1,1.017737122E3
1.777958950E1,1.017762375E3
1.885187050E1,1.017775116E3
1.992411550E1,1.017778778E3
2.099635850E1,1.017779236E3
2.206863850E1,1.017781219E3
2.314085950E1,1.017781219E3
2.421308250E1,1.017779846E3
2.528525650E1,1.017778625E3
2.635746650E1,1.017777557E3
2.742974650E1,1.017777557E3
2.850203350E1,1.017773209E3
2.957427550E1,1.017770462E3
3.064651950E1,1.017768936E3
3.171873950E1,1.017763443E3
3.279102250E1,1.017754669E3
3.386331750E1,1.017749100E3
3.493561850E1,1.017746582E3
3.600789050E1,1.017743454E3
3.708012150E1,1.017743454E3
3.815235650E1,1.017761307E3
3.922458050E1,1.017777100E3
4.029680850E1,1.017794266E3
4.136901550E1,1.017816544E3
4.244126350E1,1.017828140E3
4.351349050E1,1.017828140E3
4.458573550E1,1.017825089E3
4.565793150E1,1.017805634E3
4.673011350E1,1.017782822E3
4.780233350E1,1.017759705E3
4.887454750E1,1.017732315E3
4.994676550E1,1.017716293E3
5.101904250E1,1.017711868E3
5.209130450E1,1.017704315E3
5.316356350E1,1.017704315E3
5.423587250E1,1.017707901E3
5.530815050E1,1.017719269E3
5.638042250E1,1.017730408E3
5.745266650E1,1.017746811E3
5.852491150E1,1.017757187E3
5.959716750E1,1.017765427E3
6.066943450E1,1.017765427E3
6.174170150E1,1.017766266E3
6.281392750E1,1.017779312E3
6.388615450E1,1.017802353E3
6.495840450E1,1.017834167E3
6.603061950E1,1.017863007E3
6.710282050E1,1.017873383E3
6.817501150E1,1.017873383E3
6.924723850E1,1.017856369E3
7.031948450E1,1.017835312E3
7.139170650E1,1.017818375E3
7.246389550E1,1.017804565E3
7.353604750E1,1.017768631E3
7.460820350E1,1.017751083E3
7.568036350E1,1.017712784E3
7.675250350E1,1.017657318E3
7.782465650E1,1.017620316E3
7.889685150E1,1.017618408E3
7.996905750E1,1.017614822E3
8.104125150E1,1.017614822E3
8.211348850E1,1.017641144E3
8.318574550E1,1.017655487E3
8.425804450E1,1.017655487E3
8.533032050E1,1.017647858E3
8.640258350E1,1.017628937E3
8.747483550E1,1.017620773E3
8.854709350E1,1.017620773E3
8.961929750E1,1.017630157E3
9.069148950E1,1.017654037E3
9.176369550E1,1.017681961E3
9.283591150E1,1.017708511E3
9.390814450E1,1.017720566E3
9.498038650E1,1.017736359E3
9.605260150E1,1.017747116E3
9.712476450E1,1.017747116E3
9.819694950E1,1.017746048E3
9.926908250E1,1.017713318E3
1.003412285E2,1.017682800E3
1.014134115E2,1.017666626E3
1.024855935E2,1.017664948E3
1.035577405E2,1.017664948E3
1.046299075E2,1.017685547E3
1.057020625E2,1.017710800E3
1.067742285E2,1.017720490E3
1.078464235E2,1.017723236E3
1.089186225E2,1.017723694E3
1.099908145E2,1.017723694E3
1.110629485E2,1.017720261E3
1.121350855E2,1.017700500E3
1.132072645E2,1.017682877E3
1.142794525E2,1.017654266E3
1.153515965E2,1.017622910E3
1.164237545E2,1.017597427E3
1.174959315E2,1.017592926E3
1.185681085E2,1.017592926E3
1.196402625E2,1.017642670E3
1.207124295E2,1.017697372E3
1.217846055E2,1.017757416E3
1.228567725E2,1.017782440E3
1.239289595E2,1.017794800E3
1.250011735E2,1.017794800E3
1.260733925E2,1.017772751E3
1.271455855E2,1.017744141E3
1.282177755E2,1.017744141E3
1.292899905E2,1.017751617E3
1.303622015E2,1.017769012E3
1.314344025E2,1.017770233E3
1.325066615E2,1.017775116E3
1.335788675E2,1.017777328E3
1.346510605E2,1.017777328E3
1.357233035E2,1.017777328E3
1.367955205E2,1.017791214E3
1.378677285E2,1.017808533E3
1.389399675E2,1.017822647E3
1.400122035E2,1.017833405E3
1.410844405E2,1.017839050E3
1.421566525E2,1.017839050E3
1.432288545E2,1.017832718E3
1.443010555E2,1.017827682E3
1.453732865E2,1.017820740E3
1.464455385E2,1.017817307E3
1.475178295E2,1.017810669E3
1.485900525E2,1.017807083E3
1.496622655E2,1.017801743E3
1.507344715E2,1.017795258E3
1.518066885E2,1.017786484E3
1.528788685E2,1.017784271E3
1.539510715E2,1.017784119E3
1.550232815E2,1.017778625E3
1.560954545E2,1.017772293E3
1.571676095E2,1.017769852E3
1.582397255E2,1.017763901E3
1.593118795E2,1.017758484E3
1.603840245E2,1.017755737E3
1.614561445E2,1.017755737E3
1.625282705E2,1.017752686E3
1.636003605E2,1.017752228E3
1.646724485E2,1.017750473E3
1.657445595E2,1.017747421E3
1.668166855E2,1.017743301E3
1.678888095E2,1.017739029E3
1.689609085E2,1.017736282E3
1.700330785E2,1.017733536E3
1.711052555E2,1.017733536E3
1.721774605E2,1.017734909E3
1.732496125E2,1.017737808E3
1.743217695E2,1.017737808E3
1.753938555E2,1.017736282E3
1.764659185E2,1.017734604E3
1.775379685E2,1.017730637E3
1.786100745E2,1.017725143E3
1.796821755E2,1.017719498E3
1.807543055E2,1.017715683E3
1.818264545E2,1.017712097E3
1.828985995E2,1.017708511E3
1.839707695E2,1.017705612E3
1.850429525E2,1.017704773E3
1.861151355E2,1.017704697E3
1.871873485E2,1.017704697E3
1.882594625E2,1.017705612E3
1.893315605E2,1.017707901E3
1.904037395E2,1.017710190E3
1.914759115E2,1.017712555E3
1.925480825E2,1.017716141E3
1.936202175E2,1.017719116E3
1.946923775E2,1.017721100E3
1.957645345E2,1.017726440E3
1.968367035E2,1.017734222E3
1.979088435E2,1.017737808E3
1.989809655E2,1.017740250E3
2.000530495E2,1.017740936E3
2.011251515E2,1.017740936E3
2.021972375E2,1.017735672E3
2.032692905E2,1.017732925E3
2.043413425E2,1.017730865E3
2.054133875E2,1.017727432E3
2.064854145E2,1.017727432E3
2.075575015E2,1.017729111E3
2.086295945E2,1.017729950E3
2.097016785E2,1.017730179E3
2.107738085E2,1.017730637E3
2.118458785E2,1.017730637E3
2.129180315E2,1.017730637E3
2.139902005E2,1.017731705E3
2.150623665E2,1.017736893E3
2.161345365E2,1.017743225E3
2.172066515E2,1.017753525E3
2.182787855E2,1.017761002E3
2.193509205E2,1.017766037E3
2.204230765E2,1.017766037E3
2.214952045E2,1.017766037E3
2.225673305E2,1.017763901E3
2.236394465E2,1.017763519E3
2.247115695E2,1.017763519E3
2.257836945E2,1.017767487E3
2.268558705E2,1.017774658E3
2.279280685E2,1.017781143E3
2.290002695E2,1.017786179E3
2.300724485E2,1.017787018E3
2.311446065E2,1.017787018E3
2.322167175E2,1.017786865E3
2.332888475E2,1.017784729E3
2.343610135E2,1.017781754E3
2.354331425E2,1.017778625E3
2.365052825E2,1.017774353E3
2.375774225E2,1.017769012E3
2.386495365E2,1.017764587E3
2.397216565E2,1.017764587E3
2.407937355E2,1.017766571E3
2.418658485E2,1.017771225E3
2.429379945E2,1.017777786E3
2.440100595E2,1.017785950E3
2.450821135E2,1.017791672E3
2.461541615E2,1.017797546E3
2.472262535E2,1.017797546E3
2.482983395E2,1.017793427E3
2.493704395E2,1.017783737E3
2.504425845E2,1.017770691E3
2.515147045E2,1.017747879E3
2.525868065E2,1.017724533E3
2.536588985E2,1.017705154E3
2.547309685E2,1.017677612E3
2.558030595E2,1.017661972E3
2.568751665E2,1.017650452E3
2.579472615E2,1.017641220E3
2.590193285E2,1.017634430E3
2.600914515E2,1.017632370E3
2.611635375E2,1.017628098E3
2.622356215E2,1.017628098E3
2.633077145E2,1.017627335E3
2.643798095E2,1.017624969E3
2.654518895E2,1.017624969E3
2.665239215E2,1.017632141E3
2.675959485E2,1.017634659E3
2.686680155E2,1.017636948E3
2.697401035E2,1.017646255E3
2.708121945E2,1.017646255E3
2.718842625E2,1.017643890E3
2.729563665E2,1.017628632E3
2.740284715E2,1.017599335E3
2.751006065E2,1.017568588E3
2.761727345E2,1.017551041E3
2.772447825E2,1.017544098E3
2.783168025E2,1.017544098E3
2.793888495E2,1.017560959E3
2.804608955E2,1.017584915E3
2.815329595E2,1.017598267E3
2.826050585E2,1.017605209E3
2.836771275E2,1.017610626E3
2.847492035E2,1.017610626E3
2.858212295E2,1.017607651E3
2.868932585E2,1.017603531E3
2.879653125E2,1.017601318E3
2.890373445E2,1.017601318E3
2.901094095E2,1.017607040E3
2.911814195E2,1.017613983E3
2.922534735E2,1.017623062E3
2.933255215E2,1.017630997E3
2.943975285E2,1.017636795E3
2.954695555E2,1.017641525E3
2.965415275E2,1.017645111E3
2.976135385E2,1.017647858E3
2.986855955E2,1.017651291E3
2.997575935E2,1.017652740E3
3.008295925E2,1.017653351E3
3.019015675E2,1.017653351E3
3.029735835E2,1.017652740E3
3.040456055E2,1.017652359E3
3.051176575E2,1.017651520E3
3.061897125E2,1.017650223E3
3.072617475E2,1.017648773E3
3.083338265E2,1.017648773E3
3.094058705E2,1.017651215E3
3.104779295E2,1.017653427E3
3.115499625E2,1.017656708E3
3.126220385E2,1.017662659E3
