"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.858791667E-2,2.741772495E-2,-1.331331015E0,8.888083510E-3
5.196879167E-1,9.201361537E-1,2.441581488E0,9.850191474E-1
1.020787042E0,-9.100078791E-2,-2.892443419E0,7.541662693E0
1.521887042E0,2.020716667E-1,-9.359084070E-4,-1.224509835E0
2.022987292E0,2.615635157E0,2.539881706E0,1.523159981E0
2.524087292E0,-4.940811396E-1,-3.741048336E0,-1.809752226E0
3.025187125E0,4.541878998E-1,-1.473704576E0,1.125181794E0
3.526288125E0,1.006238341E0,7.073678076E-2,-5.201719999E-1
4.027389250E0,-1.779439598E-1,-7.189964056E-1,3.073780835E-1
4.528490250E0,-7.621038556E-1,1.298407316E-1,2.548749149E-1
5.029591417E0,1.605336219E-1,7.880218029E-1,1.524313688E-1
5.530693417E0,2.382206768E-1,-2.149366885E-1,-3.124479949E-1
6.031794000E0,8.228316903E-1,5.441899300E-1,-2.759799957E-1
6.532896000E0,-5.464648008E-1,-1.241872609E-1,-4.666416347E-2
7.033996667E0,-3.468376398E-1,-1.351503372E0,2.100245506E-1
7.535098667E0,5.539814830E-1,-6.274785399E-1,1.128033996E-1
8.036199250E0,-4.313094076E-3,-2.250433266E-1,-4.087537527E-1
8.537300250E0,-6.058390141E-1,6.881996989E-1,4.238195419E-1
9.038400375E0,-9.184306264E-1,-3.674432039E-1,2.532631755E-1
9.539500375E0,-1.318315119E-1,2.124212086E-1,-5.107395053E-1
1.004060142E1,-2.825126350E-1,-5.687628388E-1,-3.024546057E-2
1.054170242E1,6.051252484E-1,-2.471267939E0,8.475752175E-2
1.104280237E1,-6.962530017E-1,1.552267194E0,-2.690839469E-1
1.154390337E1,-1.845510453E-1,-3.849978447E-1,4.552630484E-1
1.204500387E1,1.298172235E0,1.470549464E0,-4.025646448E-1
1.254610487E1,-5.382961780E-2,-1.087163091E0,4.707798362E-1
1.304720487E1,5.855150223E-1,1.225394607E-1,-3.276793063E-1
1.354830587E1,-8.485530019E-1,-3.718649149E-1,4.798465073E-1
1.404940679E1,-6.444609910E-2,-5.389791131E-1,-5.603359342E-1
1.455050779E1,-6.730795503E-1,-6.429162621E-1,9.591861814E-2
1.505160888E1,8.920348883E-1,-2.355766535E0,3.018061519E-1
1.555270987E1,2.601638623E-2,1.265568733E0,-2.495296299E-1
1.605381100E1,8.324017525E-1,-2.135092020E-2,-1.154976487E-1
1.655491200E1,1.618372053E-1,-1.670258522E0,8.859680593E-2
1.705601187E1,1.034633398E0,1.045708537E0,-3.482018411E-2
1.755711287E1,3.656910658E-1,-8.955371976E-1,4.264921695E-2
1.805821300E1,4.069336057E-1,2.579605281E-1,1.826552302E-2
1.855931200E1,-1.779686064E-1,-5.331747532E-1,2.395273149E-1
1.906041263E1,3.525480926E-1,2.802000642E-1,-3.333233669E-2
1.956151162E1,2.983912826E-1,-1.611024857E0,4.023834169E-1
2.006261104E1,-1.028032005E-1,2.589488924E-1,-2.184142172E-1
2.056371004E1,2.175765485E-2,-1.667393327E0,1.215887740E-1
2.106481025E1,-2.054401189E-1,-6.687390804E-1,-1.241694242E-1
2.156591025E1,2.198281884E-1,6.080349088E-1,6.261505187E-3
2.206701042E1,5.010845512E-2,-3.957113922E-1,2.121078074E-1
2.256811042E1,9.843465090E-1,3.679143488E-1,2.979068086E-2
2.306921029E1,4.629107937E-2,-3.993577957E-1,-1.828309894E-1
2.357031029E1,2.769366838E-2,8.985696435E-1,-4.227375984E-1
2.407140937E1,-2.332357466E-1,-1.036801577E0,2.859137952E-1
2.457251037E1,-4.918117523E-1,1.487676620E0,2.097748965E-1
2.507361017E1,3.144165277E-1,-5.509421695E-3,-1.282571349E-3
2.557470917E1,-1.268311441E-1,-1.054265976E0,1.181051806E-1
2.607580817E1,3.708476424E-1,6.741418839E-1,6.838149577E-2
2.657690717E1,3.018890321E-1,-2.001865625E0,3.462773189E-2
2.707800537E1,-4.299382120E-2,2.520215988E0,-1.513294727E-1
2.757910437E1,3.023262918E-1,-1.166175842E0,-2.446052618E-2
2.808020225E1,-4.378877282E-1,1.713024616E0,-1.932499409E-1
2.858130025E1,2.591555715E-1,-1.185987234E0,1.051371545E-1
2.908239862E1,-1.658138633E-2,-5.270700455E-1,-4.067617953E-1
2.958349562E1,5.659672022E-1,-1.755988479E0,7.668601349E-3
3.008459163E1,-2.584169507E-1,1.883657724E-1,-2.553637326E-1
3.058568862E1,-9.525337070E-2,-5.871392488E-1,-6.304430962E-2
3.108678579E1,-1.014200449E0,2.058619738E0,-6.401447952E-2
3.158788279E1,1.305044740E-1,-5.063396096E-1,2.883672118E-1
3.208897942E1,-6.312412024E-1,7.183693647E-1,-7.136777043E-2
3.259007642E1,5.758669972E-1,-1.243029356E0,1.961134188E-2
3.309117242E1,-1.343942404E0,2.485358238E0,1.063391790E-1
3.359226842E1,2.838127613E-1,3.412149251E-1,1.925709397E-1
3.409336250E1,3.938013613E-1,-1.337067366E0,2.037826478E-1
3.459445850E1,8.315635920E-1,-2.612507343E-1,1.098043695E-1
3.509555375E1,-4.597342908E-1,-7.258280516E-1,3.686869889E-2
3.559664875E1,-4.475501180E-2,2.792276442E-1,2.609450370E-3
3.609774467E1,2.480508089E-1,-1.241499782E0,-3.721404448E-2
3.659883867E1,-2.949234247E-1,7.533470392E-1,-1.453797817E-1
3.709993437E1,-2.384202778E-1,1.635400206E-1,2.342703342E-1
3.760102937E1,-5.798539147E-2,7.132032514E-1,-1.842037141E-1
3.810212304E1,-2.599159628E-2,-1.126862526E0,1.881998032E-1
3.860321804E1,-1.843505353E-1,9.064420313E-2,-1.931459457E-1
3.910431204E1,-3.294533193E-1,-9.213938117E-1,3.620924056E-1
3.960540604E1,-5.742782950E-1,9.829728603E-1,3.125060201E-1
4.010650000E1,4.915187657E-1,-1.178760305E-1,1.537196934E-1
4.060759400E1,-1.871718764E-1,2.112222761E-1,1.404544264E-1
4.110868754E1,5.300601721E-1,4.174757898E-1,-4.710803181E-2
4.160978154E1,1.211058199E-1,-5.779817328E-2,-6.974283606E-2
4.211087350E1,7.435046434E-1,4.284024537E-1,4.861685634E-2
4.261196750E1,-3.333865404E-1,8.520928025E-1,1.816234738E-2
4.311306137E1,4.644080102E-1,2.195114642E-1,2.663100660E-1
4.361415438E1,-1.148427129E-1,2.431894541E-1,-2.095890697E-3
4.411524579E1,6.506262422E-1,1.009564281E0,8.367781527E-3
4.461633879E1,-2.641947269E-1,7.872461677E-1,1.737747341E-1
4.511743187E1,8.727697730E-1,6.136434078E-1,-2.365276664E-1
4.561852387E1,-2.604905963E-1,-6.552699208E-1,3.348796666E-1
4.611961704E1,1.294651270E0,-7.332851887E-1,1.189826280E-1
4.662071004E1,3.894138634E-1,2.270289063E-1,2.156589776E-1
4.712180179E1,7.103334665E-1,-2.865106761E-1,1.701494902E-1
4.762289479E1,-4.314550757E-2,1.774584055E0,-3.562923372E-1
4.812398704E1,4.574701786E-1,6.654903293E-1,-3.743841946E-1
4.862507904E1,-5.378719568E-1,4.611969888E-1,-3.276775777E-2
4.912617175E1,-1.046439856E-1,8.197425008E-1,-1.042396277E-1
4.962726275E1,-2.393187732E-1,-4.863867462E-1,4.097854346E-2
5.012835587E1,-2.681061029E-1,6.944253445E-1,-6.233166903E-2
5.062944787E1,2.589061558E-1,-9.749230146E-1,-1.128950436E-2
5.113053767E1,-1.965187043E-1,8.367473632E-2,-2.063877136E-2
5.163162967E1,-1.670745015E-1,6.889610291E-1,-1.320668459E-1
5.213272075E1,-2.308502421E-2,-8.249588013E-1,4.445679486E-1
5.263381175E1,6.477637887E-1,4.767328799E-1,-3.731985092E-1
5.313490375E1,6.071811318E-1,-3.489968538E0,6.340441108E-1
5.363599475E1,3.762751520E-1,-8.222876489E-2,-1.311906874E-1
5.413708650E1,4.450508207E-2,3.360894620E-1,5.306697637E-2
5.463817650E1,4.089128375E-1,7.416876405E-2,-1.699881405E-1
5.513926700E1,1.368968487E-1,-1.822612166E0,3.260114193E-1
5.564035800E1,5.704473853E-1,4.632869065E-1,-2.453195304E-2
5.614144950E1,-5.515929684E-2,-6.517163515E-1,-1.075688526E-1
5.664253950E1,6.933870316E-1,5.464259386E-1,-1.062114164E-1
5.714363000E1,1.066164970E0,-1.428317666E0,1.610602885E-1
5.764472000E1,-9.408892132E-3,7.045858502E-1,1.683319360E-1
5.814581013E1,5.043017268E-1,-1.340404868E0,1.206363812E-1
5.864690112E1,-4.561980367E-1,7.445283532E-1,-5.392511189E-2
5.914799092E1,-1.238991693E-1,1.758410782E-1,5.348390341E-2
5.964908092E1,-7.767992467E-2,-5.328965373E-3,5.440106243E-2
6.015016967E1,5.209601298E-2,-2.266865671E-1,-3.544413298E-2
6.065125967E1,5.208429694E-2,-4.169438481E-1,-4.851732403E-2
6.115235000E1,-3.385839239E-2,8.166943789E-1,-4.232380074E-3
6.165343900E1,-2.101619095E-1,-3.075412512E-1,1.275567152E-2
6.215452904E1,2.099518627E-1,6.270756721E-1,-5.143207312E-1
6.265561804E1,-8.214759082E-2,1.156707048E0,4.099625945E-1
6.315670737E1,-3.848777339E-2,-9.731925130E-1,2.004307136E-2
6.365779637E1,2.065341622E-1,-8.057529479E-2,-3.273769319E-1
6.415888467E1,2.612976134E-1,-5.940636620E-2,-1.291554719E-1
6.465997367E1,-5.043694004E-2,2.648411319E-2,-1.123173162E-2
6.516106275E1,-1.402914058E-3,6.042286754E-2,1.138204336E-1
6.566215175E1,-2.393587977E-1,7.487382740E-2,5.970304608E-1
6.616324112E1,-2.007696480E-1,2.721247077E-1,-1.914044768E-1
6.666432912E1,-2.220195532E-1,3.944054544E-1,1.528381258E-1
6.716541817E1,6.224329397E-2,-7.283698022E-2,2.188142948E-2
6.766650617E1,1.498532444E-1,-1.215442792E-1,-1.683809161E-1
6.816759350E1,-6.068372726E-2,1.494008303E-1,2.774677984E-2
6.866868250E1,-4.130325280E-3,2.213466726E-2,-7.733756304E-2
6.916977125E1,-4.347877204E-2,5.966939032E-2,1.624937542E-2
6.967085925E1,3.692674339E-1,7.391523570E-2,1.629474759E-1
7.017194725E1,1.071156338E-1,-1.020265743E-1,1.333530992E-1
7.067303525E1,1.106732249E0,-3.856443465E-1,-1.998405606E-1
7.117412279E1,-2.648991644E-1,-2.006770670E-1,1.578680277E-1
7.167520979E1,3.297246099E-1,-8.369854689E-1,9.578283876E-2
7.217629837E1,-3.684793413E-1,-1.615593195E0,-3.241720051E-2
7.267738537E1,-2.297569811E-1,-3.367159069E-1,1.516463906E-1
7.317847325E1,-5.814852715E-1,4.312469363E-1,-1.740425229E-1
7.367956025E1,7.164880633E-1,2.274381638E0,3.520505726E-1
7.418064654E1,-2.482024670E0,1.271076918E0,-8.555898070E-2
7.468173354E1,3.022848368E-1,5.587742805E0,-1.102099866E-1
7.518282092E1,-1.239138484E0,-3.013651133E0,1.335317135E0
7.568390692E1,1.272732019E-1,-1.215000153E0,-7.951071262E-1
7.618499442E1,-1.552337110E-1,-1.542732477E0,4.161058068E-1
7.668608142E1,1.330778956E0,2.181215584E-1,2.508196533E-1
7.718716725E1,-8.389627337E-1,2.622482479E-1,1.869288087E-1
7.768825325E1,2.422963679E-1,1.727332115E0,-6.451388597E-1
7.818933975E1,-3.876223564E-1,-1.536618710E0,6.102728844E-1
7.869042575E1,4.957872033E-1,1.697177887E0,-4.010752738E-1
7.919151237E1,-4.395562410E-1,-6.967239380E-1,6.315116286E-1
7.969259837E1,1.901591718E-1,1.254922390E0,1.372297257E-1
8.019368354E1,2.236286178E-2,-3.730909526E-1,5.444012582E-2
8.069476954E1,-5.051416531E-2,7.373507619E-1,7.194745541E-2
8.119585512E1,-3.893643245E-2,1.194614649E0,-4.122064114E-1
8.169694012E1,-1.247815609E0,5.454965115E0,-1.160515547E0
8.219802567E1,1.868347973E-1,6.450817585E-1,2.376819402E-2
8.269911167E1,-1.685295999E-1,2.190009803E-1,-2.559048831E-1
8.320019637E1,3.055416644E-1,-1.590925455E0,6.569510698E-1
8.370128137E1,-8.150707483E-1,1.588209629E0,-6.594394445E-1
8.420236575E1,-3.721524402E-2,9.744784236E-1,-2.154983282E-1
8.470344975E1,-3.528033495E-1,8.440805078E-1,2.487116307E-1
8.520453500E1,2.013001591E-1,-7.970836759E-1,-1.593558788E-1
8.570562000E1,-2.195777446E-1,-1.078306556E0,1.066917479E-1
8.620670512E1,4.477997124E-1,9.101474881E-1,-3.428620398E-1
8.670778912E1,-7.763225585E-3,-1.756420374E0,2.717500925E-1
8.720887337E1,1.615925431E0,2.145805657E-1,-6.857607365E-1
8.770995837E1,-5.542201996E-1,1.174041152E0,5.268837214E-1
8.821104238E1,-3.728571581E-3,5.718117952E-1,-1.802040488E-1
8.871212637E1,-1.436548084E-1,1.080963969E0,-6.881785989E-1
8.921321038E1,-3.711064756E-1,-6.988996267E-1,2.242332548E-1
8.971429337E1,-1.581672765E-2,5.450285673E-1,-1.036740839E-1
9.021537667E1,2.713642828E-2,9.336437583E-1,5.362882465E-2
9.071646067E1,-3.036679626E-1,2.740180492E-1,-3.278223276E-1
9.121754412E1,-4.201740026E-1,7.533350587E-1,-1.198276758E0
9.171862712E1,-3.711777925E-1,-1.254454374E0,5.504437685E-1
9.221971042E1,-2.931777537E-1,1.873456120E0,-1.903632581E-1
9.272079342E1,-3.923488408E-2,-1.847298265E0,7.928365469E-1
9.322187604E1,-3.555210233E-1,8.120506406E-1,-1.643183380E-1
9.372295904E1,-4.227932543E-2,-1.670477509E0,7.851085067E-1
9.422404187E1,3.386583030E-1,-4.482939467E-2,1.751427799E-1
9.472512487E1,-5.171141028E-1,1.880512118E0,-1.900006086E-2
9.522620687E1,-4.146873951E-1,-9.939864278E-1,3.378012180E-1
9.572728987E1,-5.611881018E-1,3.463466167E-1,-6.057600304E-2
9.622837350E1,2.476275861E-1,1.621843934E0,-5.026768446E-1
9.672945650E1,7.728607859E-3,2.006681710E-1,7.368484512E-4
9.723053900E1,-6.808153987E-1,1.471547008E0,-4.833448827E-1
9.773162100E1,3.451331556E-1,-1.100942492E0,7.755666971E-2
9.823270375E1,8.880646527E-2,-5.457151309E-2,2.668254972E-1
9.873378575E1,-5.650650263E-1,2.154034376E0,-1.732603312E-1
9.923486779E1,8.181877732E-1,-1.037905455E0,4.005241096E-1
9.973594979E1,1.862699538E-2,4.617162943E-1,-7.065069862E-3
1.002370316E2,4.536896646E-1,-1.390193701E0,5.501503944E-1
1.007381136E2,-2.099975049E-1,9.532533288E-1,-4.190490246E-1
1.012391952E2,1.171465591E-1,-1.313156039E-1,4.421488047E-1
