"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.858791667E-2,5.987478662E-1,7.770031589E-1,-2.662803297E0
5.196879167E-1,2.692220931E0,6.305590582E-1,1.613039222E0
1.020787042E0,4.555354630E0,-9.367616036E0,2.540051529E0
1.521887042E0,-3.949900593E0,3.662666649E-1,3.142878413E-1
2.022987292E0,6.334876946E0,-1.793073823E0,-3.922191222E0
2.524087292E0,-6.536183133E0,4.092434075E0,9.029494359E0
3.025187125E0,2.960095914E-1,-1.349895807E0,1.112576619E0
3.526288125E0,-9.320422281E-1,1.566859083E0,-1.063025560E0
4.027389250E0,7.555777182E-1,1.494056570E0,-4.698777182E-1
4.528490250E0,8.397120617E-1,-2.215648590E0,3.017379624E-1
5.029591417E0,-3.094409381E-1,4.974243897E-1,2.158523047E-1
5.530693417E0,1.564875561E0,-1.864136789E0,2.370133781E-1
6.031794000E0,-3.604456155E-1,-1.494655325E0,-1.266918262E0
6.532896000E0,2.978274176E-1,-7.686720461E-1,-8.723727080E-1
7.033996667E0,-4.528242407E-1,6.260204494E-1,-1.902220874E0
7.535098667E0,-7.450304376E-1,1.315631123E0,2.116479228E0
8.036199250E0,1.388827738E-1,3.893140501E-1,1.250706272E0
8.537300250E0,-1.241606542E-1,-9.034006655E-1,1.417038507E0
9.038400375E0,9.606868605E-1,-9.884390616E-1,3.270336020E-1
9.539500375E0,-3.611157649E0,-1.391461909E-1,2.009798824E0
1.004060142E1,2.298340644E0,-2.237939930E-1,-1.566432674E0
1.054170242E1,6.758730061E-1,-1.711137959E0,-2.948283076E-1
1.104280237E1,2.021478784E0,-2.001521798E0,-4.565338751E0
1.154390337E1,7.475465675E-1,-1.616140586E0,-1.314618970E0
1.204500387E1,-5.119312952E-1,-3.732654896E0,-7.097993553E-2
1.254610487E1,-2.710390569E-1,-2.867523673E0,2.374918119E0
1.304720487E1,-5.962554905E-1,-1.221436572E-1,1.506947926E0
1.354830587E1,1.109191228E0,9.370221555E-2,-6.791505166E-1
1.404940679E1,1.290923129E0,8.462523186E-1,1.578134269E0
1.455050779E1,1.901629574E0,-1.246240461E0,6.817502618E-1
