"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.487802505E-2,5.233481094E1,4.865553922E0,2.425645709E0,NaN,NaN,1.177431992E2,1.294681740E1
2.106176019E0,5.233483972E1,4.865605735E0,2.425630450E0,NaN,NaN,1.126666667E2,1.294681740E1
2.219052553E0,5.233397149E1,4.864618555E0,4.371224594E1,3.130000114E0,9.492187500E1,4.087424607E1,4.800000000E1
3.219040155E0,5.233475239E1,4.865249796E0,2.129665375E0,1.060000038E1,7.734375000E1,2.493954610E1,4.000000000E0
4.219026208E0,5.233487468E1,4.865497146E0,2.665981293E0,1.060000038E1,6.785156250E1,2.077067390E1,4.000000000E0
5.219013453E0,5.233492300E1,4.865650702E0,2.545436859E0,1.243000031E1,6.187500000E1,2.488799622E1,4.000000000E0
6.218995452E0,5.233489106E1,4.865562357E0,2.514431000E0,1.243000031E1,6.292968750E1,2.828498529E1,4.000000000E0
7.218978286E0,5.233486378E1,4.865348367E0,2.433132172E0,5.559999943E0,3.146484375E2,2.110689607E1,4.000000000E0
8.220394611E0,5.233489044E1,4.865325401E0,2.430629730E0,5.559999943E0,3.104296875E2,1.924874994E1,4.000000000E0
9.220401645E0,5.233490355E1,4.865287179E0,2.382900238E0,3.460000038E0,3.083203125E2,1.809102139E1,4.000000000E0
1.022039926E1,5.233496512E1,4.865217023E0,2.674648285E0,3.460000038E0,2.896875000E2,1.306802709E1,4.000000000E0
1.122041595E1,5.233498188E1,4.865156170E0,3.015712738E0,3.779999971E0,2.784375000E2,9.382888966E0,4.000000000E0
1.222043777E1,5.233499906E1,4.865096575E0,3.198574066E0,4.000000000E0,2.942578125E2,8.208355557E0,4.000000000E0
1.322044396E1,5.233501176E1,4.865039997E0,3.611049652E0,4.000000000E0,2.770204468E2,6.833474102E0,4.000000000E0
1.422046292E1,5.233502871E1,4.864988244E0,3.611050972E0,4.000000000E0,2.770204468E2,6.833474102E0,4.000000000E0
1.522048450E1,5.233502186E1,4.864923980E0,3.714932896E0,4.139999866E0,2.831010742E2,6.132196038E0,4.000000000E0
1.622048819E1,5.233502012E1,4.864859938E0,3.904813437E0,4.389999866E0,2.697697754E2,5.318356569E0,4.000000000E0
1.722050738E1,5.233501657E1,4.864797256E0,4.026029256E0,4.389999866E0,2.697697754E2,5.023241767E0,4.000000000E0
1.822052991E1,5.233501568E1,4.864736659E0,4.134671764E0,4.289999962E0,2.697697754E2,4.793541168E0,4.000000000E0
1.922053468E1,5.233501288E1,4.864675799E0,4.085111191E0,4.250000000E0,2.697697754E2,4.683635304E0,4.000195707E0
2.022055638E1,5.233500836E1,4.864614338E0,4.051297682E0,4.199999809E0,2.697697754E2,4.612579098E0,4.000415613E0
2.122057366E1,5.233500401E1,4.864551594E0,4.083097038E0,4.260000229E0,2.697697754E2,4.557147336E0,4.000584810E0
2.222057593E1,5.233499926E1,4.864490283E0,3.784329942E0,4.250000000E0,2.697697754E2,4.562045593E0,4.000569927E0
2.322057986E1,5.233499911E1,4.864431102E0,3.902066758E0,4.250000000E0,2.697697754E2,4.766169624E0,3.332891260E0
2.422058320E1,5.233499898E1,4.864376081E0,3.311673563E0,4.050000191E0,2.697697754E2,4.782331296E0,3.309659259E0
2.522058475E1,5.233499884E1,4.864320096E0,3.196866433E0,4.050000191E0,2.697697754E2,4.764173549E0,3.335743909E0
2.622058702E1,5.233499869E1,4.864260852E0,3.104703347E0,4.050000191E0,2.697697754E2,4.730448541E0,3.383399716E0
2.722058737E1,5.233499855E1,4.864202685E0,3.378140784E0,3.950000048E0,2.697697754E2,4.709008901E0,3.413176263E0
2.822058737E1,5.233499840E1,4.864141004E0,3.345792250E0,4.110000134E0,2.697697754E2,4.689386663E0,3.440085720E0
2.922058630E1,5.233499825E1,4.864080902E0,3.138211686E0,4.110000134E0,2.697697754E2,4.652978335E0,3.489173204E0
3.022058558E1,5.233499811E1,4.864022849E0,3.248319050E0,4.019999981E0,2.697697754E2,4.613606999E0,3.541068694E0
3.122058320E1,5.233499797E1,4.863966060E0,3.047330244E0,3.960000038E0,2.697697754E2,4.642259557E0,3.503421648E0
3.222058010E1,5.233503459E1,4.863909494E0,2.555325813E0,3.900000095E0,2.745702674E2,4.694854941E0,3.432619133E0
3.322057748E1,5.233503252E1,4.863849995E0,2.133023616E0,3.980000019E0,2.717577663E2,4.619179489E0,3.533796525E0
3.422057366E1,5.233500578E1,4.863794699E0,9.074364342E-1,3.856515119E0,2.650763215E2,4.835199120E0,3.231932317E0
3.522056925E1,5.233500440E1,4.863740141E0,7.775499374E-1,3.857861202E0,2.690915018E2,4.824335168E0,3.248126724E0
3.622056484E1,5.233500047E1,4.863684742E0,6.445038589E-1,3.824714215E0,2.662658075E2,4.818335789E0,3.257019689E0
3.722056055E1,5.233499896E1,4.863621976E0,5.404200219E-1,3.784207443E0,2.623371179E2,4.811443393E0,3.267192910E0
3.822055471E1,5.233499961E1,4.863566498E0,4.044447783E-1,3.628806042E0,2.619007362E2,4.808544828E0,3.271457423E0
3.922054911E1,5.233500850E1,4.863502963E0,3.628561562E-1,3.818115845E0,2.679364206E2,4.804282946E0,3.277712984E0
4.022054267E1,5.233501184E1,4.863448595E0,3.527234988E-1,3.650083073E0,2.643162240E2,4.796654431E0,3.288866568E0
4.122053599E1,5.233501877E1,4.863388188E0,5.147143062E-1,3.903213439E0,2.722090913E2,4.790489379E0,3.297839981E0
4.222052920E1,5.233501927E1,4.863326310E0,6.723971413E-1,4.036559302E0,2.696458392E2,4.788249491E0,3.301091311E0
4.322052228E1,5.233502141E1,4.863260247E0,8.333670897E-1,4.102038844E0,2.700390018E2,4.782239143E0,3.309792413E0
4.422051501E1,5.233502654E1,4.863198459E0,8.528414033E-1,4.135793000E0,2.695339817E2,4.785485614E0,3.305096742E0
4.522050786E1,5.233502574E1,4.863136364E0,8.102266863E-1,4.108060289E0,2.694622574E2,4.776930288E0,3.317449933E0
4.622050035E1,5.233503342E1,4.863076703E0,1.032194180E0,4.131233077E0,2.728917897E2,4.780116990E0,3.312856561E0
4.722049212E1,5.233503171E1,4.863010131E0,1.044675400E0,4.370621538E0,2.677526616E2,4.780679846E0,3.312044269E0
4.822048426E1,5.233503357E1,4.862944525E0,1.317835019E0,4.311225150E0,2.729580754E2,4.782880902E0,3.308864959E0
4.922047591E1,5.233503432E1,4.862884230E0,1.247440573E0,4.507307642E0,2.696908215E2,4.783109314E0,3.308534770E0
5.022046804E1,5.233503503E1,4.862815983E0,1.357690081E0,4.496760252E0,2.704582610E2,4.786341694E0,3.303856870E0
