"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.858791667E-2,4.024310303E1,-1.302261353E1,-2.317425537E1
5.196879167E-1,2.235733032E1,7.780853271E0,-4.359298706E1
1.020787042E0,-3.716607666E1,1.648388672E1,-2.741275024E1
1.521887042E0,-2.715270996E0,1.428030396E1,-4.475407410E1
2.022987292E0,-6.720886230E-1,1.167410278E1,-4.519842529E1
2.524087292E0,-1.943597412E1,1.121121216E1,-4.143757629E1
3.025187125E0,4.110778809E0,4.277020264E1,-1.752902222E1
3.526288125E0,-1.011065674E1,3.883694458E1,-2.198191833E1
4.027389250E0,3.393920898E0,4.323873901E1,-1.483306885E1
4.528490250E0,-6.766052246E-1,4.461804199E1,-7.337921143E0
5.029591417E0,2.376922607E0,4.319918823E1,-1.214233398E1
5.530693417E0,1.134207153E1,4.440408325E1,-5.244094849E0
6.031794000E0,1.318551636E1,4.374230957E1,-9.070129395E-1
6.532896000E0,1.468685913E1,4.265597534E1,-8.673202515E0
7.033996667E0,1.121359253E1,4.512451172E1,-2.638854980E0
7.535098667E0,1.387823486E1,4.376791382E1,5.669158936E0
8.036199250E0,1.173687744E1,4.504110718E1,-2.651748657E0
8.537300250E0,1.211883545E1,4.550631714E1,-7.120056152E-1
9.038400375E0,1.495867920E1,4.380957031E1,-1.025157166E1
9.539500375E0,5.151763916E0,4.682464600E1,-1.949172974E0
1.004060142E1,9.823242188E0,4.206008911E1,-1.807112122E1
1.054170242E1,3.731414795E0,4.362738037E1,-1.662562561E1
1.104280237E1,7.572906494E0,4.042199707E1,-2.256008911E1
1.154390337E1,1.079110718E1,4.198678589E1,-1.925015259E1
1.204500387E1,8.355316162E0,4.105932617E1,-2.172785950E1
1.254610487E1,1.234826660E1,4.295333862E1,-1.268971252E1
1.304720487E1,1.077209473E1,3.996096802E1,-1.976344299E1
1.354830587E1,7.499755859E0,4.187460327E1,-1.876466370E1
1.404940679E1,9.340026855E0,4.176507568E1,-1.786128235E1
