"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.049583306E-4,-3.503763885E0,4.597689056E0,7.489675140E0
5.005255833E-1,-1.139879608E0,4.211941223E0,8.888815613E0
1.001557583E0,-7.668553162E-1,4.103117523E0,9.364376678E0
1.502589583E0,-8.536747742E-1,4.510719910E0,8.937165070E0
2.003623583E0,-1.758393402E0,4.546046448E0,8.873247986E0
2.504657667E0,-2.589614868E-2,4.396507416E0,9.391320648E0
3.005692667E0,1.046324158E-1,4.052073669E0,8.773704987E0
3.506729417E0,3.836521912E-1,3.600462799E0,9.062155151E0
4.007766417E0,6.053411865E-1,3.671265564E0,9.517657928E0
4.508804958E0,-2.550695801E-1,3.281476135E0,9.827663269E0
5.009841958E0,2.764750671E-1,3.190764771E0,9.192683716E0
5.510878542E0,3.457809448E-1,2.521656189E0,9.228309631E0
6.011914542E0,3.549119568E-1,2.599793701E0,9.558972015E0
6.512949833E0,5.478607178E-1,2.972518616E0,9.527387695E0
7.013984833E0,-1.360670471E-1,2.876418457E0,9.764644318E0
7.515020458E0,6.735992432E-3,3.201392670E0,8.960217133E0
8.016055458E0,-1.602417755E0,4.627028046E0,8.666677551E0
8.517091167E0,-7.381150818E-1,4.037553864E0,8.902137909E0
9.018127167E0,-1.108594666E0,3.771407318E0,9.020092621E0
9.519161583E0,-6.502478027E-1,3.761378174E0,9.170230408E0
1.002019658E1,2.739303589E-2,2.669398956E0,9.641151123E0
1.052123179E1,2.089654541E-1,1.827549591E0,1.043539948E1
1.102226879E1,2.296224976E-1,2.173180847E0,9.560768280E0
1.152330471E1,-6.206094360E-1,1.512305145E0,8.949140167E0
1.202434071E1,-1.467398529E0,7.360194397E-1,9.825867004E0
1.252537633E1,-1.536554718E0,8.149053955E-1,8.619226227E0
1.302641333E1,-1.884580994E0,-4.623884583E-1,1.188184158E1
1.352744958E1,-1.003064117E0,1.364113312E0,1.039393570E1
1.402848658E1,-3.794609070E-1,3.959715729E0,9.282796326E0
1.452952279E1,-2.028431854E0,4.074526978E0,7.918982391E0
1.503055979E1,-1.262474670E0,3.554807739E0,9.581575012E0
1.553159592E1,-1.688638458E0,3.139421539E0,8.958121490E0
1.603263292E1,-1.342258759E0,3.307072906E0,9.084907837E0
1.653366979E1,2.508633270E0,4.038152618E0,7.642207947E0
