"Time (s)","X (hPa)"
-5.610422083E-1,1.017827682E3
4.438337917E-1,1.017869415E3
1.448697792E0,1.017911224E3
2.453558792E0,1.017983475E3
3.458385792E0,1.018046799E3
3.810569792E0,1.018120270E3
4.882395792E0,1.018153534E3
5.954146792E0,1.018226624E3
7.025933792E0,1.018308105E3
8.097746792E0,1.018396759E3
9.169542792E0,1.018498001E3
1.024133179E1,1.018672485E3
1.131313979E1,1.018861084E3
1.238495979E1,1.019040451E3
1.345674879E1,1.019212723E3
1.452855579E1,1.019336472E3
1.560037579E1,1.019342499E3
1.667216879E1,1.019345551E3
1.774395779E1,1.019345551E3
1.881575679E1,1.019367371E3
1.988755079E1,1.019425125E3
2.095936679E1,1.019516678E3
2.203120679E1,1.019625015E3
2.310303579E1,1.019677124E3
2.417485279E1,1.019677124E3
2.524665079E1,1.019668503E3
2.631849979E1,1.019616241E3
2.739035579E1,1.019498978E3
2.846215779E1,1.019405518E3
2.953395479E1,1.019325867E3
3.060577679E1,1.019255219E3
3.167756979E1,1.019198380E3
3.274937679E1,1.019191132E3
3.382122879E1,1.019191132E3
3.489309179E1,1.019191895E3
3.596494379E1,1.019191895E3
3.703676179E1,1.019191360E3
3.810861979E1,1.019190979E3
3.918048179E1,1.019190826E3
4.025236179E1,1.019188232E3
4.132422279E1,1.019186935E3
4.239609079E1,1.019186554E3
4.346794279E1,1.019185333E3
4.453980979E1,1.019185333E3
4.561169379E1,1.019206085E3
4.668354279E1,1.019247437E3
4.775541979E1,1.019289474E3
4.882727479E1,1.019332047E3
4.989916379E1,1.019348907E3
5.097101579E1,1.019348907E3
5.204289779E1,1.019314499E3
5.311481679E1,1.019276047E3
5.418670079E1,1.019233932E3
5.525854679E1,1.019205933E3
5.633041479E1,1.019192657E3
5.740232079E1,1.019178772E3
5.847421879E1,1.019151840E3
5.954611979E1,1.019140015E3
6.061800179E1,1.019140015E3
6.168986479E1,1.019155426E3
6.276171479E1,1.019155426E3
6.383355379E1,1.019150620E3
6.490540779E1,1.019063644E3
6.597724579E1,1.018937073E3
6.704907579E1,1.018781052E3
6.812092179E1,1.018610229E3
6.919273079E1,1.018465271E3
7.026453079E1,1.018375015E3
7.133640879E1,1.018283081E3
7.240832979E1,1.018194809E3
7.348021579E1,1.018101120E3
7.455209279E1,1.017996902E3
7.562397779E1,1.017903824E3
7.669585479E1,1.017836456E3
7.776771879E1,1.017824478E3
7.883958779E1,1.017807693E3
7.991140379E1,1.017793121E3
8.098328679E1,1.017791519E3
8.205518079E1,1.017785110E3
8.312708779E1,1.017784271E3
8.419891579E1,1.017784271E3
8.527074379E1,1.017825851E3
8.634259379E1,1.017910004E3
8.741451479E1,1.017980270E3
8.848640379E1,1.018058624E3
8.955831379E1,1.018132706E3
9.063020479E1,1.018232651E3
9.170211779E1,1.018396530E3
9.277399879E1,1.018553162E3
9.384582879E1,1.018699417E3
9.491766079E1,1.018816528E3
9.598950879E1,1.018882141E3
9.706131279E1,1.018882141E3
9.813317179E1,1.018873138E3
9.920502179E1,1.018873138E3
1.002768878E2,1.018901978E3
1.013487308E2,1.018959579E3
1.024206178E2,1.019011688E3
1.034925358E2,1.019060059E3
1.045644318E2,1.019107437E3
1.056362948E2,1.019136658E3
1.067081608E2,1.019151611E3
1.077800448E2,1.019161530E3
1.088519198E2,1.019171371E3
1.099237768E2,1.019171829E3
1.109956348E2,1.019171829E3
1.120675228E2,1.019150543E3
1.131394238E2,1.019082108E3
1.142113158E2,1.019010773E3
1.152832588E2,1.018929749E3
1.163551968E2,1.018863068E3
1.174271658E2,1.018810349E3
1.184990808E2,1.018805466E3
1.195709188E2,1.018805313E3
1.206427698E2,1.018805313E3
1.217146328E2,1.018804703E3
1.227865108E2,1.018804626E3
1.238583438E2,1.018804626E3
1.249301878E2,1.018805084E3
1.260020878E2,1.018806534E3
1.270739378E2,1.018806534E3
1.281458028E2,1.018805771E3
1.292176498E2,1.018805771E3
1.302895258E2,1.018805771E3
1.313614338E2,1.018804092E3
1.324333108E2,1.018801956E3
1.335051538E2,1.018797302E3
1.345770878E2,1.018785782E3
1.356489908E2,1.018762131E3
1.367209088E2,1.018724518E3
1.377928278E2,1.018697968E3
1.388647518E2,1.018670959E3
1.399367068E2,1.018651581E3
1.410086388E2,1.018644028E3
1.420805718E2,1.018642960E3
1.431524848E2,1.018610382E3
1.442243738E2,1.018566818E3
1.452962408E2,1.018516464E3
1.463681328E2,1.018458176E3
1.474400018E2,1.018392715E3
1.485118898E2,1.018352661E3
1.495837748E2,1.018327866E3
1.506556188E2,1.018304977E3
1.517274328E2,1.018294220E3
1.527993118E2,1.018293076E3
1.538712448E2,1.018293076E3
1.549431918E2,1.018293762E3
1.560150858E2,1.018296967E3
1.570869788E2,1.018296967E3
1.581588768E2,1.018296967E3
1.592307738E2,1.018296890E3
1.603027288E2,1.018296967E3
1.613747118E2,1.018297195E3
1.624466598E2,1.018299484E3
1.635185748E2,1.018301315E3
1.645904638E2,1.018302765E3
1.656623548E2,1.018303909E3
1.667342368E2,1.018303909E3
1.678061668E2,1.018303909E3
1.688781008E2,1.018304749E3
1.699500558E2,1.018305588E3
1.710219658E2,1.018308487E3
1.720938998E2,1.018311081E3
1.731658538E2,1.018317947E3
1.742377678E2,1.018319931E3
1.753096748E2,1.018320541E3
1.763815578E2,1.018322220E3
1.774534718E2,1.018322220E3
1.785253778E2,1.018318863E3
1.795972518E2,1.018318863E3
1.806691128E2,1.018318863E3
1.817409798E2,1.018318787E3
1.828129008E2,1.018318787E3
1.838847998E2,1.018321381E3
1.849567378E2,1.018322144E3
1.860286148E2,1.018322144E3
1.871004578E2,1.018322754E3
1.881723018E2,1.018322754E3
1.892441948E2,1.018320541E3
1.903160858E2,1.018319626E3
1.913879958E2,1.018318634E3
1.924599128E2,1.018318176E3
1.935317618E2,1.018318176E3
1.946036298E2,1.018319855E3
1.956755048E2,1.018322601E3
1.967473718E2,1.018322601E3
1.978192688E2,1.018311844E3
1.988911968E2,1.018295975E3
1.999631258E2,1.018273544E3
2.010350498E2,1.018242035E3
2.021069578E2,1.018204803E3
2.031788238E2,1.018174973E3
2.042507158E2,1.018144150E3
2.053226488E2,1.018110657E3
2.063945838E2,1.018076096E3
2.074664728E2,1.018041534E3
2.085383478E2,1.018002243E3
2.096102128E2,1.017971420E3
2.106820768E2,1.017946472E3
2.117539388E2,1.017931824E3
2.128258048E2,1.017925720E3
2.138976858E2,1.017922211E3
2.149695578E2,1.017917328E3
2.160414898E2,1.017912064E3
2.171134398E2,1.017904510E3
2.181853358E2,1.017895432E3
2.192572138E2,1.017888489E3
2.203290848E2,1.017882843E3
2.214009768E2,1.017877121E3
2.224728408E2,1.017872772E3
2.235447318E2,1.017869110E3
2.246165998E2,1.017867661E3
2.256884738E2,1.017865829E3
2.267603928E2,1.017865829E3
2.278322728E2,1.017865829E3
2.289041138E2,1.017865753E3
2.299759868E2,1.017865753E3
2.310477778E2,1.017865372E3
2.321196288E2,1.017864914E3
2.331915518E2,1.017863235E3
2.342634058E2,1.017863007E3
2.353352588E2,1.017862167E3
2.364071478E2,1.017861176E3
2.374790188E2,1.017860794E3
2.385508958E2,1.017860489E3
2.396227228E2,1.017859039E3
2.406945688E2,1.017858582E3
2.417664518E2,1.017856369E3
2.428383348E2,1.017854614E3
2.439101948E2,1.017854385E3
2.449820268E2,1.017854385E3
