"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.170019698E1,5.191646196E1,4.473908760E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
2.171814096E1,5.191642950E1,4.473793560E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
4.415573597E1,5.191638260E1,4.473619532E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
4.416448593E1,5.191638984E1,4.473649023E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
7.604357493E1,5.191436901E1,4.469978466E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
7.604830396E1,5.191336889E1,4.468181667E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
7.607894099E1,5.191286882E1,4.467283212E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
1.492539589E2,5.191239443E1,4.466419089E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
1.492621300E2,5.191238159E1,4.466401973E0,-9.323762059E-1,NaN,NaN,2.000000000E3,3.140332031E2
1.618447510E2,5.191222955E1,4.466572245E0,3.090909362E0,NaN,NaN,3.500000000E1,2.986512184E1
1.631420159E2,5.191222893E1,4.466571363E0,3.089800835E0,NaN,NaN,3.500000000E1,2.163304329E1
1.691580859E2,5.191222910E1,4.466571681E0,3.068762064E0,NaN,NaN,3.500000000E1,2.092700386E1
1.695642049E2,5.191222934E1,4.466572042E0,3.061211824E0,NaN,NaN,3.500000000E1,1.749652481E1
1.709259290E2,5.191222943E1,4.466572149E0,3.073931217E0,NaN,NaN,3.500000000E1,1.654342461E1
1.769470539E2,5.191222944E1,4.466572169E0,3.080207109E0,NaN,NaN,3.500000000E1,1.950508881E1
1.774563910E2,5.191222949E1,4.466572236E0,3.082903147E0,NaN,NaN,3.500000000E1,1.682598495E1
1.789415669E2,5.191222951E1,4.466572254E0,3.084641218E0,NaN,NaN,3.500000000E1,1.631805801E1
1.849682319E2,5.191222951E1,4.466572239E0,3.104112506E0,NaN,NaN,3.500000000E1,1.944448471E1
1.853821800E2,5.191222953E1,4.466572258E0,3.112447977E0,NaN,NaN,3.500000000E1,1.670660973E1
