"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.516041668E-3,-2.707829285E1,-5.517669678E0,1.935531616E0
5.105465833E-1,-3.162840271E1,-7.410980225E0,7.674942017E0
1.011578583E0,-2.293267822E1,-1.617355347E1,4.485900879E0
1.512610583E0,-9.749023438E0,-1.426626587E1,-5.203857422E-1
2.013643583E0,7.257682800E1,-4.061096191E0,1.508808899E1
2.514678667E0,3.382452393E1,2.432678223E0,1.502079773E1
3.015713667E0,2.667105103E1,1.335726929E1,1.377851868E1
3.516749417E0,2.257296753E1,1.293289185E1,1.525764465E1
4.017787417E0,2.756831360E1,1.372796631E1,7.535049438E0
4.518824958E0,2.349177551E1,1.406521606E1,8.552856445E-1
5.019862958E0,2.246983337E1,1.407147217E1,5.096206665E0
5.520898542E0,2.226615906E1,1.382727051E1,3.201110840E0
6.021934542E0,2.537689209E1,1.157257080E1,1.746139526E0
6.522970833E0,2.305493164E1,1.473056030E1,5.763092041E0
7.024005833E0,3.064152527E1,1.208071899E1,6.728973389E0
7.525040458E0,1.822488403E1,7.304412842E0,-7.181396484E-1
8.026076458E0,1.781362915E1,5.435272217E0,-1.284808350E1
8.527112167E0,8.852401733E0,5.672943115E0,-5.836380005E0
9.028147167E0,7.444396973E0,1.025506592E1,-3.728103638E0
9.529182583E0,8.230850220E0,1.872509766E1,-9.308242798E0
1.003021758E1,6.313461304E0,9.430633545E0,-7.159545898E0
1.053125279E1,7.527526855E0,6.946563721E0,-1.226437378E1
1.103228879E1,2.485946655E0,9.612396240E0,-8.034851074E0
1.153332471E1,-6.987121582E0,9.615905762E0,-8.801147461E0
1.203436171E1,-1.386531067E1,7.378509521E0,-2.978607178E0
1.253539733E1,-7.633850098E0,1.138949585E1,-1.340774536E1
1.303643433E1,-5.900131226E0,1.728411865E1,-7.795745850E0
1.353747058E1,-7.940460205E0,1.815829468E1,-8.728851318E0
1.403850658E1,-1.329524231E1,2.006182861E1,-1.620549011E1
1.453954379E1,-7.636962891E0,1.271990967E1,-1.989056396E1
1.504057979E1,-1.592010498E0,1.506130981E1,-7.856262207E0
1.554161692E1,3.489486694E0,8.512939453E0,-6.823654175E0
1.604265392E1,-2.200286865E0,7.325897217E0,-1.019995117E1
1.654369079E1,-1.214772034E1,6.359588623E0,1.362661743E1
1.704472779E1,-1.426937866E1,2.113861084E1,6.283157349E0
