"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.467541661E-3,-2.576845288E-1,-1.030870676E0,3.014528453E-1
5.065813333E-1,4.214178562E0,-2.177695274E0,-1.308170557E-1
1.007695333E0,-1.972705245E0,2.227265596E0,3.690446615E-1
1.508809292E0,5.699398369E-2,-5.158935115E-2,-5.615102127E-3
2.009924292E0,1.759743877E-2,8.731451817E-4,-6.688257307E-2
2.511038917E0,-1.809506863E-2,-5.575253069E-2,-6.065331399E-3
3.012153917E0,-5.269547179E-2,8.151982725E-2,-2.715655044E-2
3.513269583E0,3.762931377E-2,-1.118790060E-1,-2.813616022E-2
4.014384583E0,1.612118445E-2,-5.769591406E-2,-3.245335072E-2
4.515499458E0,7.050345838E-2,-1.024522856E-1,-2.679650858E-2
5.016614458E0,-9.578933939E-3,6.102148443E-2,-4.391168058E-2
5.517729042E0,-3.894868866E-2,1.173667014E-1,-4.761114717E-2
6.018844042E0,1.660248823E-2,4.471419007E-2,-4.472030699E-2
6.519959167E0,-3.627885282E-1,7.601099610E-1,-3.219258040E-2
7.021074167E0,9.592249244E-2,-3.010751903E-1,9.992314503E-3
7.522188958E0,-2.142324671E-2,-3.061600402E-2,-4.585438967E-2
8.023304958E0,3.910420462E-3,2.511323616E-2,-3.380563855E-2
8.524420792E0,9.920543991E-3,4.239144176E-2,-1.435807813E-2
9.025536792E0,-5.472372100E-2,8.681900054E-2,-2.895406634E-2
9.526653667E0,9.190401062E-3,-1.456745341E-2,-1.330200024E-2
1.002776867E1,-3.159074485E-2,3.779326100E-3,2.945026383E-3
1.052888867E1,1.034102170E-3,-3.174418584E-2,-6.835952867E-3
1.103000467E1,2.003352158E-3,-5.206280574E-2,4.875403829E-3
1.153111579E1,3.612801433E-2,-6.698364019E-2,1.340255141E-2
1.203223279E1,-2.045377716E-2,-2.807234414E-2,1.911612786E-2
1.253334858E1,2.532873116E-2,2.975875046E-3,5.482949317E-3
1.303446458E1,3.073615953E-2,-7.536348701E-2,2.372760326E-2
1.353558054E1,7.818622887E-2,-9.689541161E-2,-7.265200838E-3
1.403669654E1,8.127514273E-3,4.507757723E-3,-3.547136206E-3
1.453781267E1,2.288747020E-2,5.424754694E-3,-2.262450382E-2
