"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.467541661E-3,-8.749960613E-1,-6.143295264E-1,-1.005532227E0
5.065813333E-1,1.167510480E0,-2.743719406E0,3.430035174E-2
1.007695333E0,9.131201997E-1,9.187835205E-1,-3.070965262E0
1.508809292E0,4.622428626E-2,7.360094994E-2,2.075124210E-1
2.009924292E0,-5.464712001E-1,-3.781028911E-2,4.766539103E-1
2.511038917E0,-9.536501750E-2,-9.476494700E-2,-3.020233065E-1
3.012153917E0,-8.438153453E-2,-3.958711177E-3,7.742356718E-2
3.513269583E0,-2.072853298E-1,-3.083865389E-2,3.901121950E-1
4.014384583E0,-2.518653059E-1,-1.763227880E-2,2.267959535E-2
4.515499458E0,-3.762749054E-1,-8.921243101E-2,3.328656149E-1
5.016614458E0,7.077842586E-2,1.076158114E-1,1.658018929E-1
5.517729042E0,1.523623601E-2,1.543547988E-2,-3.071513146E-1
6.018844042E0,-2.229390570E-1,-1.296180068E-1,2.171071172E-1
6.519959167E0,-1.608459391E-1,9.230443865E-2,-5.169347942E-2
7.021074167E0,-4.449420478E-1,-2.195326884E-1,-5.377742708E-2
7.522188958E0,-2.926150634E-1,-3.039353460E-2,2.487674510E-1
8.023304958E0,-8.246817939E-2,-2.915699467E-2,1.436982483E-1
8.524420792E0,2.941255454E-1,-2.920757309E-2,2.192828661E-1
9.025536792E0,3.520532531E-1,7.495268002E-2,-2.020324105E-1
9.526653667E0,9.031726241E-2,-7.841189280E-2,3.590599716E-1
1.002776867E1,2.947331442E-1,-1.903634146E-2,1.761076105E-1
1.052888867E1,7.149185926E-2,1.182920963E-1,7.297091246E-2
1.103000467E1,2.136822568E-1,1.412698996E-1,1.764637059E-1
1.153111579E1,6.555737391E-2,9.379474774E-2,1.518580377E-2
1.203223279E1,1.419262496E-1,3.416162655E-2,-2.291260689E-1
1.253334858E1,2.095226207E-1,2.139604381E-1,-2.750764132E-1
1.303446458E1,1.591870109E-1,1.999977256E-1,4.676708329E-1
1.353558054E1,-1.328889392E-1,-8.974876687E-2,-2.183759630E-2
1.403669654E1,3.433960117E-3,1.079071489E-1,5.578489316E-1
1.453781267E1,-9.901097573E-2,-1.068381317E-1,-8.390877253E-1
1.503892867E1,-9.077776719E-2,1.309907869E-2,2.141250372E-3
1.554004496E1,-4.557586659E-2,-4.196517438E-2,-4.172181326E-1
1.604116096E1,-5.758824024E-2,9.517264411E-2,-2.225245625E-1
1.654227608E1,-4.125798288E-1,-3.738674605E-1,1.321967751E-1
1.704339308E1,-6.245833500E-1,2.144904882E-3,5.058607525E-1
1.754450908E1,-1.515017230E-1,-7.474641949E-3,3.160303116E-1
1.804562508E1,-5.080639102E-1,-1.314794679E-1,3.295607686E-2
1.854674142E1,1.884546641E-1,1.145333599E-1,3.602604049E-1
1.904785842E1,-8.544243872E-2,5.857535988E-2,2.858276886E-1
1.954897421E1,1.727912159E-1,1.586928481E-1,4.345329076E-1
2.005009021E1,1.073197230E-1,-7.137257606E-3,-1.881148678E-1
2.055120667E1,2.036240957E-1,3.452576190E-2,-8.417359293E-2
2.105232367E1,4.678277575E-1,9.816978067E-2,-1.067403370E-1
2.155343971E1,1.302871475E-1,5.022597447E-2,-3.577262217E-1
2.205455571E1,1.041538943E-1,1.007826090E-2,-1.146352476E-1
2.255567171E1,2.880871258E-1,4.006950706E-2,6.886382818E-2
2.305678871E1,7.860909015E-2,2.841600627E-3,-1.147381586E-1
2.355790458E1,6.898756988E-2,-4.256714523E-2,3.222166657E-2
