"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.663504167E-2,-3.820205841E0,7.958051147E0,4.903802490E0
5.177274583E-1,-1.207389221E0,4.800816650E0,6.830296326E0
1.018820458E0,-6.547384644E-1,6.578968964E0,6.058351593E0
1.519914583E0,-3.332070923E-1,6.412964172E0,1.411040726E1
2.021008583E0,-4.026626587E-1,2.617606659E0,9.802515564E0
2.522102667E0,4.715194702E-2,4.520599365E-2,9.854158173E0
3.023197667E0,3.727249146E-2,3.188369751E-2,9.849368134E0
3.524293583E0,4.520599365E-2,2.275268555E-2,9.841734009E0
4.025388583E0,2.829116821E-2,3.487747192E-2,9.843679962E0
4.526485083E0,3.861968994E-2,4.505630493E-2,9.842931519E0
5.027580083E0,3.772155762E-2,2.454895020E-2,9.847871246E0
5.528676042E0,3.532653809E-2,1.901046753E-2,9.838440857E0
6.029772042E0,2.694396973E-2,2.170486450E-2,9.842033386E0
6.530868667E0,3.966751099E-2,3.158432007E-2,9.839338989E0
7.031964667E0,4.011657715E-2,1.930984497E-2,9.833950195E0
7.533061833E0,3.996688843E-2,2.888992310E-2,9.859397278E0
8.034158833E0,4.805007935E-2,2.514770508E-2,9.849068756E0
8.535256917E0,3.772155762E-2,3.308120728E-2,9.849966888E0
9.036354917E0,3.847000122E-2,3.367996216E-2,9.846524048E0
9.537451208E0,2.784210205E-2,3.128494263E-2,9.837842102E0
1.003854921E1,4.011657715E-2,3.293151855E-2,9.845027161E0
1.053964692E1,4.775070190E-2,2.020797729E-2,9.851164398E0
1.104074492E1,2.859054565E-2,2.454895020E-2,9.841284943E0
1.154184446E1,3.607498169E-2,3.323089600E-2,9.833950195E0
1.204294346E1,4.116439819E-2,4.191284180E-2,9.845027161E0
1.254404171E1,4.745132446E-2,2.395019531E-2,9.842632141E0
1.304514071E1,3.427871704E-2,3.592529297E-2,9.847571869E0
1.354623958E1,4.236190796E-2,2.170486450E-2,9.849218445E0
1.404733958E1,5.358856201E-2,2.020797729E-2,9.845476227E0
1.454843892E1,3.667373657E-2,1.826202393E-2,9.824070740E0
1.504953892E1,5.074447632E-2,1.886077881E-2,9.841135254E0
1.555063829E1,3.053649902E-2,1.811233521E-2,9.849817200E0
1.605173829E1,3.966751099E-2,2.754272461E-2,9.832902374E0
1.655283846E1,4.535568237E-2,1.960922241E-2,9.831854553E0
1.705393846E1,4.430786133E-2,2.619552612E-2,9.840237122E0
1.755503929E1,4.041595459E-2,3.442840576E-2,9.849068756E0
1.805613929E1,2.993774414E-2,2.709365845E-2,9.855804749E0
1.855724004E1,5.029541016E-2,2.050735474E-2,9.846224670E0
1.905834104E1,4.730163574E-2,2.559677124E-2,9.823471985E0
1.955944092E1,3.637435913E-2,3.038681030E-2,9.850865021E0
2.006054192E1,4.430786133E-2,2.290237427E-2,9.849068756E0
2.056164329E1,4.805007935E-2,3.128494263E-2,9.834848328E0
2.106274429E1,3.787124634E-2,3.592529297E-2,9.842632141E0
2.156384467E1,3.951782227E-2,2.380050659E-2,9.834249573E0
2.206494667E1,3.772155762E-2,2.260299683E-2,9.842033386E0
2.256604729E1,5.448669434E-2,3.113525391E-2,9.834099884E0
