"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.665704167E-2,3.915587962E-3,4.106569719E-1,-6.124139786E-2
5.277494583E-1,-1.925057613E-1,-1.148098454E0,-6.448894143E-1
1.028842458E0,1.146461380E0,4.086198020E-1,-1.237332813E0
1.529936583E0,-1.730562264E0,2.745442581E0,5.392330926E0
2.031030583E0,-1.592697344E0,-1.104996143E0,6.315232641E-1
2.532124667E0,-2.421517925E-2,-4.138262268E-2,3.262863278E-2
3.033219667E0,-2.034111565E-2,-3.052315549E-2,2.550087690E-2
3.534315583E0,-1.653085066E-2,-1.292059243E-2,1.960337520E-2
4.035410583E0,-1.130553665E-2,-1.552170804E-2,3.155099094E-2
4.536506083E0,-2.416290149E-2,-6.561681451E-3,3.677430868E-2
5.037602083E0,-1.166016571E-2,-1.709115554E-2,3.075869322E-2
5.538698042E0,-1.290305535E-2,-5.605702805E-3,4.646606863E-2
6.039794042E0,-1.127738778E-2,-2.044108020E-2,3.282802284E-2
6.540890667E0,-8.405226320E-3,-3.326796186E-3,3.956284583E-2
7.041986667E0,-1.772094178E-2,-1.283482565E-2,4.030719638E-2
7.543083833E0,1.352447276E-3,-9.738713542E-3,2.338593900E-2
8.044180833E0,-1.264168024E-3,-1.469625934E-2,3.595277488E-2
8.545278917E0,-2.975807930E-3,-1.417865285E-3,4.926630020E-2
9.046376917E0,7.104485789E-3,-1.477257921E-3,2.815609753E-2
9.547473208E0,-8.901659497E-3,6.952659180E-3,3.773442149E-2
1.004857121E1,4.092365736E-4,-1.509956648E-3,3.817939460E-2
1.054966892E1,-1.999697504E-3,-1.709139080E-2,3.623461068E-2
1.105076692E1,6.300475365E-3,-3.876996338E-3,3.727892339E-2
1.155186646E1,-6.590876416E-3,-1.843140589E-3,2.275268555E-2
1.205296546E1,8.174567367E-3,-1.288391714E-2,3.457107782E-2
1.255406371E1,-3.207576941E-3,-1.055291320E-2,2.977460682E-2
1.305516271E1,-1.983645069E-3,-9.594122863E-3,2.662880480E-2
1.355626158E1,7.400811715E-3,-1.215139349E-2,3.411207139E-2
1.405736158E1,-1.250978441E-2,3.369768653E-3,1.225927234E-2
1.455846092E1,-3.980958005E-3,-1.206189226E-3,3.575923204E-2
1.505956092E1,-3.902290114E-3,1.319163828E-3,1.779833972E-2
1.556066029E1,3.537442130E-3,-5.951433135E-3,4.309748769E-2
1.606176029E1,1.506297570E-4,-1.172291136E-2,3.591067493E-2
1.656286046E1,-4.382378496E-3,2.783377434E-3,2.468460560E-2
1.706396046E1,2.842920818E-3,2.952514999E-3,4.878332019E-2
1.756506129E1,-4.670038666E-3,-5.657850376E-3,4.862953842E-2
1.806616129E1,4.236262059E-3,6.525561190E-3,2.572307110E-2
1.856726204E1,6.305664768E-3,7.027832447E-3,3.725027204E-2
1.906836304E1,3.723927196E-3,3.202462911E-3,3.320633769E-2
1.956946292E1,2.599110198E-3,-4.502778605E-3,4.758113265E-2
2.007056392E1,-1.485713543E-3,-4.244196913E-3,2.452906966E-2
2.057166529E1,-1.522184637E-2,-8.952749544E-3,3.291105330E-2
2.107276629E1,1.892547277E-3,3.723155181E-3,3.500903428E-2
2.157386667E1,1.725929040E-3,-5.829886424E-3,3.006755233E-2
2.207496867E1,-4.323737319E-3,-8.817612624E-3,4.892423809E-2
2.257606929E1,2.438553879E-3,6.023029550E-3,4.503174663E-2
2.307717129E1,1.165625995E-2,1.584922292E-2,3.335251808E-2
2.357827279E1,-5.618726565E-3,5.484914405E-3,5.849671483E-2
2.407937479E1,1.812837850E-3,9.414770943E-4,2.571780860E-2
2.458047671E1,1.633109059E-3,-9.015166287E-3,3.604223728E-2
2.508157871E1,-5.885702209E-3,1.381356961E-2,3.364370942E-2
2.558268117E1,-1.219912367E-2,2.761505193E-3,4.008090913E-2
2.608378317E1,-1.289811719E-2,8.214515727E-3,2.541199923E-2
2.658488492E1,1.512351265E-2,8.057312421E-3,3.304553926E-2
2.708598692E1,4.666735902E-3,-6.091981013E-3,3.573876679E-2
2.758708942E1,8.802485238E-3,1.957095513E-2,3.723857760E-2
2.808819142E1,7.346309270E-3,5.136445477E-3,3.844076514E-2
2.858929367E1,-4.608779945E-3,-4.731388749E-3,3.215617776E-2
2.909039667E1,1.077719503E-3,-5.259298675E-3,2.632065654E-2
2.959149942E1,9.260852127E-3,7.385755135E-3,4.772731304E-2
3.009260242E1,-9.400769603E-5,1.168598482E-2,2.781754375E-2
3.059370492E1,-1.271667078E-2,-1.061096052E-3,3.200648904E-2
3.109480692E1,-1.617102306E-3,1.064467337E-3,3.439916968E-2
3.159591021E1,-6.081789499E-4,3.844978265E-3,3.619660378E-2
3.209701321E1,-1.857157918E-3,4.593074690E-3,2.287723124E-2
3.259811617E1,-3.277410055E-3,4.536525719E-3,3.604866922E-2
3.309921917E1,1.305559915E-3,-4.379838612E-3,1.524193704E-2
3.360032146E1,-1.411723425E-3,-5.632661667E-3,3.170477271E-2
3.410142446E1,1.448318772E-3,-4.593757626E-3,4.457975686E-2
3.460252754E1,9.834920797E-3,-6.261159691E-3,3.933714330E-2
3.510363154E1,-2.480653832E-3,6.861479161E-4,2.601543188E-2
3.560473479E1,-4.676735555E-3,-4.463753009E-3,3.903718114E-2
3.610583779E1,7.090566675E-3,5.101056118E-3,3.319756687E-2
3.660694221E1,-9.679795993E-3,1.030181411E-2,2.855897069E-2
3.710804521E1,-2.087154491E-3,3.079308216E-3,3.334491670E-2
3.760914821E1,2.617140636E-3,5.358954873E-3,4.142635345E-2
3.811025221E1,-1.398748088E-2,9.429704184E-3,2.540907562E-2
3.861135546E1,1.466075121E-3,2.126965807E-3,2.630720794E-2
3.911245946E1,-3.593319585E-3,3.425152749E-3,3.124518156E-2
3.961356396E1,-1.263827241E-2,3.442728657E-3,3.767828822E-2
4.011466696E1,1.498350381E-2,1.110205811E-3,4.216719568E-2
4.061577092E1,3.766899663E-3,1.347338500E-2,4.081824303E-2
4.111687492E1,1.376892749E-2,7.555450012E-3,2.914252281E-2
4.161797942E1,-1.102951609E-2,1.013936887E-2,3.677957118E-2
4.211908342E1,9.118193770E-3,1.225078017E-2,2.195746422E-2
4.262018704E1,-2.118724887E-3,-2.619680520E-3,2.570026696E-2
4.312129104E1,-7.300020335E-4,1.347440141E-2,3.797240317E-2
4.362239492E1,4.808750153E-3,-2.055593231E-4,2.989272058E-2
4.412349892E1,1.041092179E-3,1.379744180E-2,2.599905968E-2
4.462460317E1,6.058354955E-4,1.319785552E-2,4.351264000E-2
4.512570717E1,2.700536549E-3,1.074233786E-2,3.872552454E-2
4.562681192E1,7.199379704E-3,7.710252763E-3,3.049206018E-2
4.612791592E1,3.094711974E-3,9.861685513E-3,2.345201254E-2
4.662901896E1,4.948754422E-4,1.555115882E-2,3.288532555E-2
4.713012296E1,1.527337496E-2,1.320367304E-2,3.692575157E-2
4.763122671E1,1.239897968E-2,1.304390472E-2,3.827295005E-2
4.813233071E1,2.521703113E-4,1.008649725E-2,3.573408902E-2
4.863343504E1,-5.194045119E-3,-2.819139096E-3,3.379222870E-2
4.913454004E1,-3.836645982E-3,-2.634641170E-3,4.097845674E-2
4.963564404E1,-2.995076333E-3,-2.597276091E-3,3.962833464E-2
5.013674804E1,3.989523263E-3,8.509653937E-3,2.480622768E-2
5.063785242E1,-3.439734243E-3,1.041397559E-2,3.409160614E-2
5.113895642E1,4.926873045E-4,1.548826014E-2,4.606319547E-2
5.164006183E1,-1.095188060E-3,8.938976610E-4,3.723039150E-2
5.214116683E1,8.238162689E-3,1.138588333E-2,3.333263755E-2
5.264227096E1,6.703469579E-3,-2.092136045E-3,4.575446248E-2
5.314337596E1,9.191635712E-3,1.764379051E-3,3.408108115E-2
5.364447967E1,6.273413720E-3,5.791799580E-3,4.830092490E-2
5.414558467E1,1.572309894E-2,7.232676856E-3,3.886878133E-2
5.464668942E1,1.079332056E-3,-2.765436075E-4,4.575621665E-2
5.514779442E1,1.621524263E-3,6.657260587E-3,4.320683062E-2
5.564889767E1,4.325201407E-3,5.157630213E-3,2.315029621E-2
5.615000267E1,1.013200960E-2,9.469456114E-3,3.976457477E-2
5.665110658E1,8.377248764E-3,-1.811810019E-3,2.629258990E-2
5.715221158E1,3.497525747E-4,-3.220886209E-3,2.614407063E-2
5.765331692E1,-8.912305541E-3,2.277780573E-3,4.261041462E-2
5.815442092E1,2.363469691E-3,6.262598655E-3,2.629142046E-2
5.865552567E1,6.547543067E-3,-4.381882853E-3,4.230811357E-2
5.915662967E1,6.647149015E-3,9.163132820E-3,3.273037434E-2
5.965773433E1,1.400804435E-2,4.016712816E-3,3.692282796E-2
6.015883833E1,2.048407551E-3,-5.398624577E-4,3.498213708E-2
6.065994417E1,8.770042327E-3,1.122155144E-2,2.345610559E-2
6.116104917E1,7.398947915E-3,4.344207142E-3,3.468100548E-2
6.166215304E1,3.919548537E-3,1.682940584E-3,3.618257046E-2
6.216325804E1,6.195874158E-3,4.570343639E-3,1.178272426E-2
6.266436317E1,-5.924257287E-3,6.026572140E-3,3.364487886E-2
6.316546717E1,1.138772657E-3,7.378299935E-3,3.738475800E-2
6.366657129E1,1.006983725E-2,4.553181147E-3,3.797883511E-2
6.416767629E1,7.158636488E-3,9.811917942E-3,3.483595669E-2
6.466878058E1,8.996535139E-4,2.501240142E-3,4.531299770E-2
6.516988558E1,9.059187141E-3,-1.457167254E-4,3.483654141E-2
6.567099233E1,4.219994922E-3,1.066785667E-3,3.498330653E-2
6.617209733E1,-2.277860516E-3,2.107003047E-3,3.737540245E-2
6.667320017E1,7.728607538E-3,1.876163653E-3,2.989272058E-2
6.717430517E1,-1.169816804E-2,1.026634253E-2,3.528151453E-2
6.767541021E1,-3.172648964E-3,8.803108789E-3,2.001384974E-2
6.817651421E1,-1.797657930E-3,1.359489060E-3,3.722395957E-2
6.867761921E1,4.707058850E-3,8.826063678E-3,3.497278154E-2
6.917872421E1,-1.022339975E-2,4.968015973E-3,4.425932944E-2
6.967982758E1,5.566832526E-3,1.751858700E-2,3.557153642E-2
7.018093258E1,6.670393981E-4,1.028784247E-2,2.749243855E-2
7.068203829E1,-1.213671835E-2,1.842049032E-2,3.902548671E-2
7.118314229E1,3.702251385E-3,3.979160443E-3,2.195863366E-2
7.168424642E1,6.667876937E-3,1.383858701E-2,2.539738119E-2
7.218535042E1,1.406529453E-4,8.507947738E-3,3.288006306E-2
7.268645629E1,1.211415632E-2,4.481895366E-3,2.165282428E-2
7.318756029E1,1.287514403E-2,1.114328326E-2,4.710049152E-2
7.368866504E1,7.900529383E-3,-2.393317900E-3,3.975989699E-2
7.418977004E1,7.309373596E-3,2.495162236E-2,3.302507401E-2
7.469087354E1,1.092026452E-2,-1.173604704E-3,3.033418536E-2
7.519197754E1,-1.459104144E-3,2.338815455E-3,2.300177693E-2
7.569308267E1,8.198495270E-3,5.868946281E-3,2.674457967E-2
7.619418667E1,1.202551162E-2,6.262795085E-3,3.482543170E-2
7.669529054E1,1.577270434E-2,1.061070927E-2,3.198193073E-2
7.719639454E1,-6.358988634E-3,1.042730313E-2,3.752392173E-2
7.769749854E1,-3.704914609E-3,-5.919369380E-4,3.034003258E-2
7.819860254E1,1.528775089E-2,-3.375762049E-4,2.315497398E-2
7.869970654E1,1.359748530E-2,1.539437806E-2,3.857291222E-2
7.920081054E1,-6.888568215E-4,4.816623337E-3,4.980424404E-2
7.970191483E1,-1.622894704E-3,1.187646472E-2,3.678015590E-2
8.020301883E1,4.627427082E-3,3.440469713E-3,3.947572231E-2
8.070412296E1,6.787950424E-3,9.385870623E-3,3.633693695E-2
8.120522696E1,-4.426662019E-3,3.985603801E-3,3.783382416E-2
8.170632996E1,9.545497326E-3,5.717640440E-3,2.944891691E-2
8.220743396E1,1.188053722E-3,1.303840469E-2,3.663222134E-2
8.270853817E1,7.009395445E-4,5.837691086E-3,2.390517175E-2
