"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.120100498E-2,5.189627670E1,4.506715790E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.831400156E-1,5.189630743E1,4.506686539E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.180396080E0,5.189631929E1,4.506730353E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.324440503E1,5.189631957E1,4.506695494E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.488462400E1,5.189630878E1,4.506691566E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.688202405E1,5.189630447E1,4.506687835E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.888259399E1,5.189630825E1,4.506671084E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.087719405E1,5.189631686E1,4.506739302E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.287694907E1,5.189632636E1,4.506698629E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
8.488098109E1,5.189631326E1,4.506691344E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
9.687368608E1,5.189632410E1,4.506656537E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.088221340E2,5.189632738E1,4.506633378E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.208717490E2,5.189633058E1,4.506650043E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.329758080E2,5.189633340E1,4.506677171E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.448734010E2,5.189632944E1,4.506690217E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.568159060E2,5.189633508E1,4.506690585E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.689774110E2,5.189633860E1,4.506687692E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.808164210E2,5.189633758E1,4.506692202E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
1.928132560E2,5.189632932E1,4.506665866E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.048144981E2,5.189633562E1,4.506598680E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.168117731E2,5.189634045E1,4.506631197E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.289710120E2,5.189634240E1,4.506633376E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.408168991E2,5.189633665E1,4.506621146E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.528174220E2,5.189632639E1,4.506639142E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.648178140E2,5.189633100E1,4.506640202E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.769752051E2,5.189633454E1,4.506633599E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
2.889741280E2,5.189633526E1,4.506650533E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.008158320E2,5.189633857E1,4.506690455E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.128143780E2,5.189633496E1,4.506671611E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.249737010E2,5.189633521E1,4.506655954E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.331473850E2,5.189633356E1,4.506653657E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.430180150E2,5.189633779E1,4.506670695E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.548159660E2,5.189633428E1,4.506640424E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.668162830E2,5.189634263E1,4.506647756E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.788176260E2,5.189632920E1,4.506627081E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
3.908157170E2,5.189633080E1,4.506619919E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.028143250E2,5.189634047E1,4.506666559E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.148051530E2,5.189634379E1,4.506627758E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.269751680E2,5.189634007E1,4.506665635E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.389749241E2,5.189634638E1,4.506631447E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.508232540E2,5.189633357E1,4.506721295E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.628346391E2,5.189632914E1,4.506722731E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.749926240E2,5.189633026E1,4.506677418E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.868366411E2,5.189633349E1,4.506711726E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
4.988386431E2,5.189632969E1,4.506688991E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.108439250E2,5.189632461E1,4.506642970E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.230009971E2,5.189632529E1,4.506653770E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.349939930E2,5.189633099E1,4.506699851E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.469930100E2,5.189632912E1,4.506659471E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.588363900E2,5.189632366E1,4.506646065E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.708337851E2,5.189632644E1,4.506655932E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.828402290E2,5.189631962E1,4.506645675E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
5.948390911E2,5.189632019E1,4.506675474E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.068364090E2,5.189632711E1,4.506643929E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.188389010E2,5.189633573E1,4.506615699E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.309906690E2,5.189633112E1,4.506624037E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.428387030E2,5.189632829E1,4.506684027E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.549938220E2,5.189632983E1,4.506683403E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.668350210E2,5.189633268E1,4.506677728E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.788373001E2,5.189633795E1,4.506678431E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
6.908445860E2,5.189633894E1,4.506650101E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.028418801E2,5.189634396E1,4.506615918E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.148447801E2,5.189633567E1,4.506631990E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.269978710E2,5.189633363E1,4.506662469E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.389972240E2,5.189633512E1,4.506684195E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.508399011E2,5.189633665E1,4.506633583E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.628373600E2,5.189632563E1,4.506644558E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.748336720E2,5.189633334E1,4.506648056E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.810183140E2,5.189632943E1,4.506674162E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
7.930012690E2,5.189633455E1,4.506643631E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
8.049980960E2,5.189634354E1,4.506677426E0,NaN,NaN,NaN,4.000000000E1,-1.000000000E0
