"Time (s)","X (hPa)"
-5.487778750E-1,1.009465942E3
4.563001250E-1,1.009467392E3
1.461387125E0,1.009468842E3
2.466507125E0,1.009468842E3
3.471629125E0,1.009468079E3
3.823542125E0,1.009463882E3
4.895611125E0,1.009463577E3
5.967672125E0,1.009462738E3
7.039734125E0,1.009461136E3
8.111839125E0,1.009461060E3
9.183925125E0,1.009461060E3
1.025595412E1,1.009460831E3
1.132799913E1,1.009460831E3
1.240008113E1,1.009460831E3
1.347217313E1,1.009464035E3
1.454426113E1,1.009468613E3
1.561634012E1,1.009475250E3
1.668842412E1,1.009482727E3
1.776051713E1,1.009489975E3
1.883265712E1,1.009496460E3
1.990478912E1,1.009501724E3
2.097689513E1,1.009505768E3
2.204901712E1,1.009508820E3
2.312115713E1,1.009510803E3
2.419330912E1,1.009511795E3
2.526544613E1,1.009512024E3
2.633756413E1,1.009512024E3
2.740967812E1,1.009512100E3
2.848178613E1,1.009512405E3
2.955389713E1,1.009512939E3
3.062597812E1,1.009514771E3
3.169811512E1,1.009516220E3
3.277019513E1,1.009517365E3
3.384229413E1,1.009518585E3
3.491436912E1,1.009519653E3
3.598648412E1,1.009520264E3
3.705859312E1,1.009520264E3
3.813070113E1,1.009519196E3
3.920282112E1,1.009516830E3
4.027490812E1,1.009512253E3
4.134700913E1,1.009507828E3
4.241910413E1,1.009503174E3
4.349124512E1,1.009498596E3
4.456339212E1,1.009494934E3
4.563554812E1,1.009492111E3
4.670770912E1,1.009490128E3
4.777992312E1,1.009489288E3
4.885211113E1,1.009489136E3
4.992429113E1,1.009489136E3
5.099646812E1,1.009489670E3
5.206863612E1,1.009490509E3
5.314081412E1,1.009490967E3
5.421300512E1,1.009490967E3
5.528511613E1,1.009490128E3
5.635723412E1,1.009489288E3
5.742930613E1,1.009488525E3
5.850137712E1,1.009488449E3
5.957345412E1,1.009488525E3
6.064553212E1,1.009488525E3
6.171765713E1,1.009489136E3
6.278979412E1,1.009490128E3
6.386197312E1,1.009490814E3
6.493405513E1,1.009492035E3
6.600615312E1,1.009493561E3
6.707827813E1,1.009495239E3
6.815042513E1,1.009496918E3
6.922262112E1,1.009498749E3
7.029479312E1,1.009500504E3
7.136693013E1,1.009502716E3
7.243906913E1,1.009505463E3
7.351124812E1,1.009508820E3
7.458339613E1,1.009512024E3
7.565554812E1,1.009516449E3
7.672769213E1,1.009520645E3
7.779984513E1,1.009524460E3
7.887197313E1,1.009528198E3
7.994409112E1,1.009532089E3
8.101625213E1,1.009535828E3
8.208843112E1,1.009538193E3
8.316062612E1,1.009540634E3
8.423278913E1,1.009542542E3
8.530492313E1,1.009544525E3
8.637704113E1,1.009545975E3
8.744920613E1,1.009546356E3
8.852138412E1,1.009547653E3
8.959358813E1,1.009548187E3
9.066574612E1,1.009548492E3
9.173788912E1,1.009548492E3
9.281000412E1,1.009546967E3
9.388213312E1,1.009543991E3
9.495431312E1,1.009541092E3
9.602645412E1,1.009538193E3
9.709855913E1,1.009536896E3
9.817070813E1,1.009536896E3
9.924287112E1,1.009537735E3
1.003150861E2,1.009538803E3
1.013873401E2,1.009539642E3
1.024596021E2,1.009539795E3
1.035318611E2,1.009539795E3
1.046040331E2,1.009539185E3
1.056761901E2,1.009537964E3
1.067483191E2,1.009535980E3
1.078204701E2,1.009533691E3
1.088926361E2,1.009531021E3
1.099647561E2,1.009528503E3
1.110368811E2,1.009526596E3
1.121089641E2,1.009525299E3
1.131810521E2,1.009524612E3
1.142531411E2,1.009524612E3
1.153252551E2,1.009525070E3
1.163973981E2,1.009525986E3
1.174695551E2,1.009527664E3
1.185417251E2,1.009529724E3
1.196139641E2,1.009531250E3
1.206861431E2,1.009533157E3
1.217583251E2,1.009534760E3
1.228305171E2,1.009536057E3
1.239027461E2,1.009536819E3
1.249749361E2,1.009536896E3
1.260471371E2,1.009537354E3
1.271192961E2,1.009537735E3
1.281914601E2,1.009538574E3
1.292635921E2,1.009539642E3
1.303356981E2,1.009541473E3
1.314077551E2,1.009543686E3
1.324798081E2,1.009546204E3
1.335518491E2,1.009548874E3
1.346239081E2,1.009552078E3
1.356959631E2,1.009555054E3
1.367680281E2,1.009557724E3
1.378401661E2,1.009561157E3
1.404914118E2,1.010319061E3
1.414967388E2,1.010318146E3
1.425020508E2,1.010317154E3
1.435073498E2,1.010315704E3
1.445126808E2,1.010315323E3
1.448643478E2,1.010315018E3
1.459366808E2,1.010314713E3
1.470090398E2,1.010314713E3
1.480814068E2,1.010315628E3
1.491537778E2,1.010315628E3
1.502261158E2,1.010317001E3
1.512984498E2,1.010317001E3
1.523707728E2,1.010316620E3
1.534430888E2,1.010315628E3
1.545154248E2,1.010315399E3
1.555877288E2,1.010314178E3
1.566601088E2,1.010312881E3
1.577324198E2,1.010311737E3
1.588047578E2,1.010310974E3
1.598770838E2,1.010310745E3
1.609494528E2,1.010310745E3
1.620217638E2,1.010311356E3
1.630940518E2,1.010313950E3
1.641664278E2,1.010317841E3
1.652387988E2,1.010322342E3
1.663111588E2,1.010328598E3
1.673835108E2,1.010336227E3
1.684558848E2,1.010343475E3
1.695282948E2,1.010343628E3
1.706007158E2,1.010343628E3
1.716731038E2,1.010337753E3
1.727455308E2,1.010329895E3
1.738179398E2,1.010322800E3
1.748903628E2,1.010317535E3
1.759627828E2,1.010315018E3
1.770351708E2,1.010313492E3
1.781075578E2,1.010310135E3
1.791799518E2,1.010304871E3
1.802523638E2,1.010301208E3
1.813247988E2,1.010299225E3
1.823972058E2,1.010299225E3
1.834696488E2,1.010298996E3
1.845421228E2,1.010297699E3
1.856145598E2,1.010295639E3
1.866869528E2,1.010292664E3
1.877593288E2,1.010289459E3
1.888316998E2,1.010289459E3
1.899040688E2,1.010289688E3
1.909765038E2,1.010290298E3
1.920489248E2,1.010291595E3
1.931213138E2,1.010294724E3
1.941937438E2,1.010298157E3
1.952661828E2,1.010298920E3
1.963385988E2,1.010304184E3
1.974110078E2,1.010309525E3
1.984834088E2,1.010312195E3
1.995558628E2,1.010312576E3
2.006283108E2,1.010315170E3
2.017007438E2,1.010316696E3
2.027731298E2,1.010317307E3
2.038455958E2,1.010317535E3
2.049180408E2,1.010317535E3
2.059904818E2,1.010317535E3
2.070629538E2,1.010314178E3
2.081354318E2,1.010310822E3
2.092078728E2,1.010308228E3
2.102803338E2,1.010304794E3
2.113528208E2,1.010300827E3
2.124252748E2,1.010297318E3
2.134977498E2,1.010293884E3
2.145702048E2,1.010290527E3
2.156426088E2,1.010287781E3
2.167150098E2,1.010285263E3
2.177873818E2,1.010283356E3
2.188597268E2,1.010281067E3
2.199320768E2,1.010278473E3
2.210044308E2,1.010276871E3
2.220768128E2,1.010275650E3
2.231492258E2,1.010274582E3
2.242216498E2,1.010274124E3
2.252940628E2,1.010273972E3
2.263664978E2,1.010273972E3
2.274389368E2,1.010273972E3
2.285113388E2,1.010273972E3
2.295837338E2,1.010274734E3
2.306561258E2,1.010274963E3
2.317285088E2,1.010275192E3
2.328008918E2,1.010276031E3
2.338732408E2,1.010277939E3
2.349456238E2,1.010280457E3
2.360180538E2,1.010281754E3
2.370904858E2,1.010282135E3
2.381629508E2,1.010282288E3
2.392354248E2,1.010282288E3
2.403078788E2,1.010279541E3
2.413803228E2,1.010277100E3
2.424527498E2,1.010276184E3
2.435251668E2,1.010273972E3
2.445975908E2,1.010272217E3
2.456699418E2,1.010270691E3
2.467423108E2,1.010269699E3
2.478147318E2,1.010268478E3
2.488871888E2,1.010266113E3
2.499596318E2,1.010263748E3
2.510320538E2,1.010261307E3
2.521044908E2,1.010258942E3
2.531769708E2,1.010257339E3
2.542494038E2,1.010257263E3
2.553218418E2,1.010257263E3
2.563942478E2,1.010258713E3
2.574666608E2,1.010261536E3
2.585390938E2,1.010265961E3
2.596115428E2,1.010271149E3
2.606839818E2,1.010277100E3
2.617564198E2,1.010282059E3
2.628288448E2,1.010284882E3
2.639012738E2,1.010285339E3
2.649736548E2,1.010285339E3
2.660460858E2,1.010282745E3
2.671184848E2,1.010280457E3
2.681909318E2,1.010279312E3
2.692632988E2,1.010279312E3
2.703356938E2,1.010279999E3
2.714080998E2,1.010282288E3
2.724805278E2,1.010284424E3
2.735529158E2,1.010286484E3
2.746253088E2,1.010288010E3
2.756977298E2,1.010289841E3
2.767701878E2,1.010291214E3
2.778426188E2,1.010291214E3
2.789150768E2,1.010290985E3
2.799875478E2,1.010290146E3
2.810600148E2,1.010289459E3
2.821324798E2,1.010288696E3
2.832049458E2,1.010288162E3
2.842773758E2,1.010287552E3
2.853498388E2,1.010287170E3
2.864223118E2,1.010286713E3
2.874947938E2,1.010285950E3
2.885672418E2,1.010285492E3
2.896397088E2,1.010285492E3
2.907121778E2,1.010286102E3
2.917846698E2,1.010286942E3
2.928571408E2,1.010288467E3
2.939295998E2,1.010290604E3
2.950020698E2,1.010293045E3
2.960745838E2,1.010295334E3
2.971470448E2,1.010297775E3
2.982194918E2,1.010300217E3
2.992918898E2,1.010302277E3
3.003643108E2,1.010304642E3
3.014367398E2,1.010305939E3
3.025092118E2,1.010305939E3
3.035816958E2,1.010305481E3
3.046541528E2,1.010303345E3
3.057266168E2,1.010300217E3
3.067991018E2,1.010296249E3
3.078715748E2,1.010292892E3
3.089440818E2,1.010289459E3
3.100165518E2,1.010287628E3
3.110890328E2,1.010286331E3
3.121614838E2,1.010285645E3
3.132339028E2,1.010285263E3
3.143063358E2,1.010284424E3
3.153787688E2,1.010282516E3
3.164512608E2,1.010279007E3
3.175237138E2,1.010274582E3
3.185961178E2,1.010270386E3
3.196685518E2,1.010267181E3
3.207409838E2,1.010265350E3
3.218134288E2,1.010265350E3
