"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.660716667E-2,2.300523967E-1,-2.139399946E-1,5.548479967E-3
5.276681667E-1,2.470138520E-1,-6.542133093E-1,-7.834352851E-1
1.028730125E0,2.717559338E-1,-1.593162656E0,-1.145869017E0
1.529792125E0,-1.101393718E-4,6.801006384E-4,-9.752633050E-4
2.030853917E0,1.318908762E-4,2.433038782E-3,-1.823089086E-3
2.531915917E0,8.442252874E-5,3.215293400E-4,-1.042149961E-4
3.032978875E0,-1.156095648E-3,7.886192761E-4,6.983103231E-4
3.534041875E0,-1.188134309E-3,1.513555180E-3,-4.494376481E-4
4.035104917E0,2.164795296E-4,9.468831122E-4,-1.433856320E-3
4.536168917E0,1.883753575E-4,8.896347135E-4,-1.447342802E-3
5.037231750E0,-7.479484193E-4,-7.783304900E-4,2.418695018E-3
5.538295750E0,-6.276878994E-4,-4.793768749E-4,-6.235404871E-4
6.039360292E0,-3.355159424E-5,-3.205989487E-4,1.932537183E-3
6.540425292E0,-2.806773409E-6,9.310143068E-4,4.264628515E-4
7.041489250E0,3.052935936E-4,-4.018796608E-4,7.923226804E-5
7.542554250E0,1.190460287E-3,6.381738931E-4,1.474982128E-4
8.043618667E0,-3.072016407E-4,1.577763818E-3,9.956769645E-5
8.544683667E0,-6.930413656E-5,6.103161722E-4,-8.389018476E-4
9.045748625E0,-7.808697410E-5,5.151052028E-5,8.177943528E-6
9.546814625E0,-9.389908519E-4,-3.593480214E-4,5.348939449E-4
1.004788050E1,-1.478977734E-3,-2.742675133E-4,5.140779540E-4
1.054894550E1,-1.740478911E-5,-6.369464099E-4,-1.988336444E-4
1.105001287E1,5.379983922E-4,-7.719974965E-4,3.739707172E-4
1.155107887E1,-9.412104264E-4,3.144140355E-4,1.706311479E-3
1.205214562E1,-3.623648081E-4,-1.411894336E-4,-2.730051056E-4
1.255321263E1,1.830656547E-4,-1.416117419E-3,6.839726120E-5
1.305428025E1,-3.498278093E-4,-1.224563923E-3,3.441460431E-4
1.355534725E1,6.685424596E-4,9.990721010E-4,1.605953090E-3
1.405641375E1,3.462558379E-4,3.038728610E-4,3.201626241E-4
1.455748075E1,-8.252274711E-4,-1.341424417E-3,3.731762990E-4
1.505854925E1,-2.743510995E-4,-1.174869016E-3,4.491722211E-4
1.555961625E1,6.859996356E-4,5.364269018E-4,1.292276196E-3
1.606068437E1,-2.389750443E-5,-1.052481588E-3,-1.485847868E-3
1.656175237E1,8.240240859E-4,-1.154667698E-4,-3.287568688E-5
1.706281879E1,-3.431749064E-4,-1.063413918E-3,1.204431057E-3
1.756388679E1,4.823501222E-4,4.708375782E-4,5.274955183E-4
1.806495525E1,8.867261931E-5,1.206429210E-3,1.801481470E-3
1.856602325E1,2.011335455E-4,-1.194713172E-3,-1.209084876E-3
1.906709167E1,-1.032860018E-3,2.523660660E-4,2.712067217E-4
1.956815967E1,1.002619159E-3,1.209322363E-5,6.535621360E-4
2.006922775E1,4.443181679E-4,3.864979371E-4,-4.084827378E-4
2.057029675E1,2.475832589E-4,6.614103913E-4,-9.891563095E-4
2.107136525E1,-5.933619104E-5,-1.362897456E-4,1.534953713E-3
2.157243425E1,5.005373387E-4,6.154179573E-6,9.958874434E-4
2.207350225E1,6.488136714E-4,4.536542110E-4,-2.133535687E-3
2.257457125E1,7.611889159E-4,2.162018791E-4,-6.515467539E-4
2.307564050E1,-2.823097166E-4,2.866131254E-4,-2.315528691E-4
2.357670950E1,-1.861508936E-4,-5.924282596E-4,2.532089129E-4
2.407777875E1,1.666778349E-3,5.770116113E-4,3.864085302E-4
2.457884775E1,-7.587200962E-4,1.879211981E-3,-1.256905496E-3
2.507991692E1,1.084582997E-3,-6.223241799E-4,1.312214881E-4
2.558098692E1,-2.228494268E-4,-2.091522329E-4,9.279921651E-4
2.608205592E1,1.347225392E-3,-2.171755768E-4,-7.759924047E-4
2.658312492E1,-7.655664813E-4,-6.743059494E-4,8.350219578E-4
2.708419404E1,-4.158089869E-4,-7.550041191E-4,5.408581346E-4
2.758526304E1,-2.194932895E-3,-2.659126185E-4,3.502517939E-4
2.808633354E1,2.015731297E-4,-3.783917055E-4,7.414510474E-4
2.858740254E1,-9.463881142E-4,3.276048228E-4,4.790192470E-4
2.908847054E1,4.459577613E-4,8.148648776E-4,2.039235085E-3
2.958954054E1,-5.917656235E-4,9.323875420E-4,3.726575524E-4
3.009061038E1,2.833192702E-4,1.458143815E-4,8.439272642E-4
3.059167938E1,2.990962239E-4,2.769427374E-5,2.840539441E-3
3.109274804E1,-3.244150430E-4,-3.138268366E-4,-9.479876608E-4
3.159381804E1,6.457185373E-4,5.507799797E-4,1.296499744E-3
3.209488750E1,8.470132016E-4,1.098727807E-5,-2.965883352E-3
3.259595650E1,8.444793057E-4,-4.356335849E-4,-9.158710018E-4
3.309702488E1,-7.997772191E-4,-1.172670163E-4,-3.927564248E-4
3.359809387E1,2.870752942E-4,4.957932979E-4,4.721963778E-4
3.409916429E1,-5.033644848E-4,6.064046174E-4,-3.910679370E-4
3.460023329E1,3.494345583E-5,3.147870302E-4,-1.735608559E-3
3.510130154E1,4.071191652E-4,-1.026559155E-3,-2.076032106E-3
3.560237054E1,1.184257097E-3,-2.287090756E-4,-3.551691771E-4
3.610343992E1,3.019990399E-4,1.118890941E-5,-3.079976887E-4
3.660450892E1,4.282270093E-4,-3.545670770E-4,-7.630870678E-4
3.710557775E1,-9.129752871E-4,-3.474843688E-4,6.281528622E-4
3.760664675E1,5.022616824E-4,7.296213880E-4,5.170330405E-4
3.810771587E1,-1.322098775E-3,-3.496184945E-5,-2.543515991E-3
3.860878488E1,-1.506813336E-3,4.967488348E-4,6.377203390E-4
3.910985375E1,-2.039531246E-4,-1.260032877E-5,9.289551526E-4
3.961092275E1,4.350426607E-4,-1.424024813E-4,1.880060881E-5
4.011199242E1,2.250841353E-4,-2.350257710E-4,-2.785964869E-3
4.061306142E1,-8.555175737E-5,1.532817259E-4,-1.317844726E-3
4.111413013E1,1.138837775E-3,-1.168531366E-3,-9.188586846E-4
4.161519913E1,-9.620958008E-4,-1.389570534E-4,-1.162056811E-3
4.211626800E1,-1.394348219E-4,-6.794189103E-4,1.534312032E-3
4.261733700E1,-5.535727832E-4,1.925784163E-4,-2.248501405E-4
4.311840625E1,7.905516541E-4,-3.025354818E-5,-8.166455664E-4
4.361947425E1,-8.621248417E-4,-3.942539915E-4,-3.747409210E-4
4.412054350E1,4.736240953E-6,1.425393857E-4,1.824672334E-3
4.462161250E1,5.594117101E-4,4.448862746E-4,-4.417262971E-6
4.512268113E1,-1.133607933E-3,-4.307273775E-5,7.873466238E-4
4.562374913E1,-1.420518383E-4,2.314411104E-4,-6.992151029E-4
4.612481812E1,-1.213205280E-3,-1.651444472E-4,-2.747029066E-4
4.662588713E1,-8.092850912E-4,1.446201932E-3,8.768243715E-4
4.712695504E1,6.316859508E-4,-3.380081616E-4,-3.717122599E-4
4.762802404E1,-5.841294769E-4,-7.149009034E-4,-7.975809276E-4
4.812909250E1,-4.535471089E-4,-1.058945898E-3,-7.606153376E-4
4.863016150E1,6.098765880E-6,1.501809340E-3,-1.495782286E-3
4.913122875E1,2.646293724E-4,1.949695870E-4,-1.679119654E-3
4.963229775E1,8.384371176E-4,-2.105884720E-3,-1.223782543E-3
5.013336650E1,6.818003021E-5,-1.676296350E-3,6.032325327E-4
5.063443550E1,1.269068569E-3,1.300210133E-4,-2.608355135E-5
5.113550287E1,-3.700177185E-4,5.063423887E-4,1.698414795E-3
5.163657188E1,-3.604574595E-4,1.532002352E-3,-5.594324321E-4
5.213763942E1,-6.638793275E-5,6.606085226E-4,1.149285585E-3
5.263870842E1,8.563067531E-4,-1.665267162E-3,-8.092820644E-4
5.313977667E1,-9.182565846E-4,1.153713558E-3,-5.087219179E-4
5.364084467E1,-4.058780614E-4,-8.894675411E-4,-2.618720755E-4
5.414191413E1,-1.018554671E-3,-4.150331952E-4,-2.483101562E-4
5.464298213E1,-1.043815399E-3,-2.243277151E-3,-2.090128139E-3
5.514404942E1,5.909786560E-4,-1.355442218E-4,-8.442280814E-4
5.564511742E1,9.398260154E-4,-5.886419676E-4,-8.795307949E-4
5.614618704E1,1.229149406E-3,-7.016817108E-5,-1.004487276E-4
5.664725504E1,4.807336954E-4,-8.455868810E-4,-1.414795406E-3
5.714832292E1,1.297377166E-3,7.635443471E-4,-1.735361293E-4
5.764939092E1,1.239336561E-4,9.444253519E-4,5.911719054E-4
5.815045963E1,-1.337508205E-3,-3.845863976E-4,-1.472961158E-4
5.865152762E1,8.178509306E-4,-1.306464430E-3,1.968896016E-3
5.915259717E1,-5.804398097E-5,7.165661082E-4,1.059972681E-3
5.965366617E1,-1.007252140E-3,-6.179362535E-4,2.647032961E-4
6.015473488E1,-7.011620328E-4,-1.387789380E-3,7.013706490E-4
6.065580388E1,2.162232995E-4,2.404432744E-4,-6.673149765E-4
6.115687262E1,4.364993656E-4,-2.028453164E-4,-4.199296236E-4
6.165794063E1,-9.420642164E-4,-6.128726527E-4,6.221514195E-4
6.215900988E1,-8.282402996E-4,-9.565968066E-4,-9.088488296E-4
6.266007787E1,1.934788888E-4,1.310615800E-3,2.881196328E-3
6.316114675E1,3.361962736E-4,-1.489391085E-3,-5.840719678E-4
6.366221475E1,1.728505595E-3,-4.600724205E-4,-1.195310149E-3
6.416328442E1,5.297224270E-4,1.320837997E-3,1.609725878E-4
6.466435242E1,1.140745590E-3,1.196302939E-3,-1.522202045E-3
6.516541975E1,2.226234647E-4,-4.538516514E-4,1.031364314E-3
6.566648875E1,3.392819781E-4,-1.491082832E-3,8.605299518E-4
6.616755663E1,-3.192427102E-4,-6.695617922E-4,1.757703722E-4
6.666862463E1,7.193475030E-4,3.032991663E-5,1.696646214E-4
6.716969412E1,-1.419387991E-3,3.684861585E-4,1.642590389E-3
6.767076213E1,3.726684954E-4,1.501611434E-3,-4.481663927E-4
6.817183000E1,5.971074570E-4,-6.730193272E-4,1.745020039E-3
6.867289800E1,-3.914022818E-4,9.894701652E-4,-1.046476420E-3
6.917396638E1,-8.611523081E-4,-8.414341137E-4,3.708545119E-4
6.967503438E1,1.025427016E-3,-2.608555369E-4,-1.453981735E-3
7.017610179E1,8.805154357E-4,1.009635627E-3,-1.081498340E-4
7.067717079E1,-1.958925277E-4,-2.061137930E-4,-7.207971066E-5
7.117823942E1,8.681084728E-4,-1.570237800E-4,-5.267607048E-4
7.167930742E1,1.614470268E-3,-2.092742361E-3,-1.380551141E-3
7.218037529E1,1.634638873E-3,-5.442355759E-4,-8.456408978E-6
7.268144329E1,-7.126035634E-4,-7.149344310E-4,2.382504754E-3
7.318251079E1,2.199260052E-4,4.621916451E-4,1.447079703E-3
7.368357879E1,4.786967766E-4,-9.657419287E-4,-5.092322826E-4
7.418464692E1,-6.092109252E-4,8.122837171E-4,-4.444486927E-3
7.468571492E1,-7.948456332E-4,4.413845018E-4,1.675390638E-3
7.518678338E1,1.028080005E-4,6.381003186E-5,6.742607802E-4
7.568785137E1,6.168263499E-4,-1.023533754E-3,1.310199499E-3
7.618891900E1,1.492684241E-4,1.026061364E-3,7.912106812E-4
7.668998700E1,4.769744119E-4,5.840584636E-4,-5.012294278E-4
7.719105479E1,5.979090929E-5,-1.527267508E-3,7.686112076E-5
7.769212279E1,-9.051116649E-4,-5.695652217E-4,-9.339721873E-4
7.819319050E1,6.977275480E-4,-8.383430541E-4,-6.924318150E-4
7.869425850E1,-6.992472336E-4,1.264370047E-3,6.536887959E-4
7.919532679E1,1.871783752E-4,4.260158166E-4,1.310810447E-3
7.969639479E1,-5.148213822E-4,-1.658671536E-4,6.157066673E-5
8.019746254E1,1.936304616E-4,9.086867794E-5,-5.957884714E-4
8.069853154E1,2.302821260E-3,-1.397682820E-3,3.132866696E-4
