"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.660716667E-2,3.841958618E1,3.264962769E1,-9.351501465E0
5.276681667E-1,2.457058716E1,8.237213135E0,-1.911010742E1
1.028730125E0,3.321136475E1,1.231372070E1,-2.951730347E1
1.529792125E0,2.234265137E1,1.353402710E1,-3.931195068E1
2.030853917E0,2.239315796E1,1.356707764E1,-3.934382629E1
2.531915917E0,2.233819580E1,1.348492432E1,-3.926484680E1
3.032978875E0,2.235202026E1,1.364419556E1,-3.918678284E1
3.534041875E0,2.228167725E1,1.355349731E1,-3.916055298E1
4.035104917E0,2.234362793E1,1.368328857E1,-3.943861389E1
4.536168917E0,2.231488037E1,1.350732422E1,-3.930477905E1
5.037231750E0,2.224050903E1,1.360543823E1,-3.909512329E1
5.538295750E0,2.236605835E1,1.342532349E1,-3.921998596E1
6.039360292E0,2.224389648E1,1.345562744E1,-3.919433594E1
6.540425292E0,2.225372314E1,1.357040405E1,-3.927127075E1
7.041489250E0,2.261865234E1,1.367211914E1,-3.937829590E1
7.542554250E0,2.262713623E1,1.373223877E1,-3.924491882E1
8.043618667E0,2.245001221E1,1.379745483E1,-3.898408508E1
8.544683667E0,2.222872925E1,1.349670410E1,-3.951544189E1
9.045748625E0,2.242010498E1,1.366857910E1,-3.936607361E1
9.546814625E0,2.252828979E1,1.351754761E1,-3.927886963E1
1.004788050E1,2.256854248E1,1.349029541E1,-3.943461609E1
1.054894550E1,2.234634399E1,1.335552979E1,-3.948823547E1
1.105001287E1,2.241497803E1,1.358718872E1,-3.930612183E1
1.155107887E1,2.246960449E1,1.356890869E1,-3.915924072E1
1.205214562E1,2.228500366E1,1.348339844E1,-3.935687256E1
1.255321263E1,2.240237427E1,1.371240234E1,-3.922842407E1
1.305428025E1,2.247897339E1,1.356088257E1,-3.925033569E1
1.355534725E1,2.227142334E1,1.356121826E1,-3.911396790E1
1.405641375E1,2.223587036E1,1.365911865E1,-3.920506287E1
1.455748075E1,2.248767090E1,1.364770508E1,-3.921171570E1
1.505854925E1,2.245767212E1,1.349285889E1,-3.931373596E1
1.555961625E1,2.249084473E1,1.368469238E1,-3.938108826E1
1.606068437E1,2.254943848E1,1.360406494E1,-3.924192810E1
1.656175237E1,2.244253540E1,1.347930908E1,-3.953308105E1
1.706281879E1,2.246960449E1,1.364294434E1,-3.926678467E1
1.756388679E1,2.237603760E1,1.359478760E1,-3.934231567E1
1.806495525E1,2.243261719E1,1.356423950E1,-3.926797485E1
1.856602325E1,2.266662598E1,1.374221802E1,-3.957089233E1
1.906709167E1,2.254974365E1,1.369955444E1,-3.928201294E1
1.956815967E1,2.255651855E1,1.364614868E1,-3.930078125E1
2.006922775E1,2.232794189E1,1.349288940E1,-3.955278015E1
2.057029675E1,2.247988892E1,1.381253052E1,-3.928225708E1
2.107136525E1,2.262515259E1,1.378881836E1,-3.929463196E1
2.157243425E1,2.240954590E1,1.345773315E1,-3.926290894E1
2.207350225E1,2.254089355E1,1.375134277E1,-3.928576660E1
2.257457125E1,2.245541382E1,1.364813232E1,-3.936384583E1
2.307564050E1,2.263150024E1,1.374258423E1,-3.934059143E1
2.357670950E1,2.250747681E1,1.388967896E1,-3.911859131E1
2.407777875E1,2.258468628E1,1.374526978E1,-3.930207825E1
2.457884775E1,2.254919434E1,1.378256226E1,-3.899682617E1
2.507991692E1,2.250726318E1,1.386706543E1,-3.907179260E1
2.558098692E1,2.272906494E1,1.394824219E1,-3.923484802E1
2.608205592E1,2.251254272E1,1.372680664E1,-3.915122986E1
2.658312492E1,2.258520508E1,1.378732300E1,-3.920080566E1
2.708419404E1,2.271047974E1,1.376101685E1,-3.928028870E1
2.758526304E1,2.243078613E1,1.366845703E1,-3.937609863E1
2.808633354E1,2.268133545E1,1.374441528E1,-3.936126709E1
2.858740254E1,2.245257568E1,1.359289551E1,-3.934027100E1
2.908847054E1,2.256225586E1,1.355026245E1,-3.941452026E1
