"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.556666197E-4,1.683399353E0,3.793860626E0,8.977581024E0
5.314957916E-1,1.584455109E0,4.092190247E0,9.267827454E0
1.032571792E0,1.612446899E0,3.785028992E0,8.999884644E0
1.533648292E0,9.008267212E-1,4.130360870E0,9.823771362E0
2.034724292E0,1.004710693E0,3.985761566E0,9.001231842E0
2.535798792E0,1.789229279E0,3.826193390E0,8.723858643E0
3.036874792E0,1.082848206E0,4.385580139E0,8.431815948E0
3.537950792E0,4.840933228E-1,4.637805634E0,9.479936371E0
4.039025792E0,1.794917450E0,4.207600250E0,8.645571442E0
4.540099292E0,1.147064667E0,4.632716217E0,8.702453156E0
5.041174292E0,1.100960541E0,4.551285553E0,8.457263031E0
5.542249167E0,1.386117554E0,4.593048706E0,8.175399170E0
6.043324167E0,8.743318176E-1,4.673281860E0,8.820108490E0
6.544399583E0,1.193318481E0,4.438420258E0,8.474926300E0
7.045474583E0,1.007554779E0,4.439019012E0,8.657247162E0
7.546550042E0,8.967851257E-1,4.416565704E0,8.936566315E0
8.047624042E0,1.250499573E0,4.217030640E0,8.746012573E0
8.548698792E0,8.363108826E-1,4.300407257E0,9.167835388E0
9.049772792E0,7.846682739E-1,4.443659363E0,8.968899078E0
9.550846708E0,8.843609619E-1,4.463867340E0,8.625662842E0
1.005192071E1,1.233435059E0,3.897594910E0,9.493857422E0
1.055299471E1,9.880952454E-1,4.241130524E0,8.668473816E0
1.105406871E1,8.259823608E-1,4.197720795E0,9.319919128E0
1.155514154E1,4.610412598E-1,4.529131622E0,8.571176147E0
1.205621554E1,1.112636261E0,4.431384888E0,8.977880402E0
1.255728867E1,9.232800293E-1,4.315825195E0,8.438102875E0
1.305836167E1,9.693841553E-1,4.142186279E0,9.027127991E0
1.355943471E1,7.569758606E-1,4.299958191E0,8.843609619E0
1.406050771E1,1.182391205E0,4.083508301E0,8.864266663E0
1.458162296E1,1.055305481E0,4.312382355E0,8.775950317E0
1.508269596E1,8.903485107E-1,3.921994171E0,8.985364838E0
1.558376942E1,1.214424591E0,3.725003815E0,9.940827942E0
1.608484242E1,7.949967957E-1,3.877985687E0,9.087901611E0
1.658591442E1,7.940986633E-1,3.826792145E0,9.630972290E0
1.708698642E1,1.091230774E0,3.830534363E0,8.719817047E0
1.758805917E1,1.017583923E0,3.957769775E0,8.856931915E0
1.808913117E1,9.614506531E-1,4.007167053E0,8.801547089E0
1.859020267E1,9.725276184E-1,3.907174988E0,9.003477173E0
1.909127467E1,9.147477722E-1,3.713926849E0,9.015452271E0
1.959234546E1,7.250921631E-1,3.869453430E0,8.825796661E0
2.009341746E1,9.047186279E-1,3.668870544E0,8.504714355E0
2.059448817E1,7.789801025E-1,3.785777435E0,9.955347748E0
2.109430717E1,9.903405762E-1,3.747457123E0,8.968150635E0
2.159537946E1,8.475375366E-1,3.708238678E0,9.072184296E0
2.209645046E1,1.004261627E0,3.825594635E0,9.082812195E0
2.259752079E1,6.935078430E-1,4.110152893E0,8.275091858E0
2.309859179E1,6.659651184E-1,3.832330627E0,9.425898743E0
2.359966192E1,1.044228516E0,3.558849335E0,9.752220154E0
2.410073292E1,1.096320190E0,3.513793030E0,9.023236084E0
2.460180317E1,9.906399536E-1,3.602708130E0,9.563462677E0
2.510287317E1,7.979905701E-1,3.816613312E0,8.716374207E0
2.560394392E1,5.751040649E-1,4.004023590E0,8.965007172E0
2.610501392E1,1.932481384E-1,4.054319000E0,8.716673584E0
2.660608279E1,5.029541016E-1,3.780987396E0,9.737400970E0
2.710715279E1,6.261479187E-1,3.606001282E0,9.786798248E0
2.760822229E1,-1.260379028E-1,4.029171295E0,9.270372162E0
2.810929229E1,5.463638306E-2,3.958817596E0,1.031549881E1
2.861036067E1,8.372090149E-1,3.744613037E0,9.626032562E0
2.911142967E1,4.430786133E-1,3.702400818E0,8.819360046E0
2.961249883E1,5.406756592E-1,3.951033783E0,8.395291901E0
3.011356783E1,2.848576355E-1,3.990551605E0,9.050928497E0
3.061463792E1,5.840853882E-1,3.776646423E0,9.107510834E0
3.111570692E1,3.180885315E-1,3.715872803E0,9.081764374E0
3.161677354E1,1.712438965E-1,3.622916107E0,9.825417938E0
3.211784154E1,9.442364502E-1,3.526366882E0,8.458610229E0
3.261891033E1,5.926176453E-1,3.825444946E0,9.525441742E0
3.311997833E1,6.268963623E-1,3.735631714E0,8.891659698E0
3.362104671E1,4.275109863E-1,4.112847290E0,8.098908234E0
3.412211571E1,3.598516846E-1,3.735032959E0,1.038076309E1
3.462318404E1,8.232879639E-1,3.434008942E0,9.959838409E0
3.511423004E1,9.111552429E-1,3.726051636E0,9.155261536E0
3.561529779E1,1.254092102E0,3.831881561E0,8.637488251E0
3.611636579E1,1.233734436E0,3.764521637E0,9.008416901E0
3.661743279E1,7.535330200E-1,3.915258179E0,9.423952789E0
3.711850079E1,1.282832336E0,3.685036926E0,8.961714020E0
3.761956817E1,9.117539978E-1,4.037853241E0,8.781339111E0
3.812063517E1,1.217867432E0,4.035607910E0,7.867190094E0
3.862170217E1,2.933150482E0,3.080444183E0,9.160051575E0
3.912276917E1,4.481680298E-1,4.580325165E0,9.351204071E0
3.962383579E1,2.608475647E0,2.953208771E0,8.407865753E0
4.012490279E1,3.103945312E0,2.394570465E0,9.136700134E0
4.062596996E1,1.936972046E0,3.402274933E0,8.418643341E0
4.112703696E1,1.204694824E0,3.321293335E0,9.613159332E0
4.162810392E1,1.982477417E0,2.557282104E0,9.051976318E0
4.212916992E1,1.549577637E0,2.631527710E0,8.598718872E0
4.263023792E1,9.605525208E-1,2.787503357E0,9.130263519E0
4.313130392E1,1.302142181E0,2.878065033E0,9.077722778E0
4.363236892E1,1.344204712E-1,3.322191467E0,9.201365662E0
4.413343492E1,2.559677124E-2,3.103196869E0,9.762099609E0
4.463450083E1,5.156776428E-1,3.361858978E0,8.446784821E0
4.513556683E1,1.382075958E0,3.123704224E0,7.567363586E0
4.563663292E1,1.883533173E0,2.771935730E0,1.086964645E1
4.613769792E1,2.183359680E0,2.731968842E0,9.333391113E0
4.663876429E1,2.300715637E0,2.774929504E0,8.766819305E0
4.713982929E1,2.239792328E0,2.535427551E0,9.272767181E0
4.764089396E1,1.933529205E0,2.932551727E0,8.970545654E0
4.814195996E1,1.797462158E0,2.941832428E0,9.654024353E0
4.864302471E1,2.150877228E0,2.769241333E0,9.412875824E0
4.914408971E1,1.464853821E0,2.991229706E0,8.640332336E0
4.964515529E1,1.917662201E0,2.751578064E0,9.540111237E0
5.014622029E1,1.733694763E0,3.052901459E0,8.720116425E0
5.064728479E1,1.369651794E0,3.124153290E0,9.733808441E0
5.114333879E1,1.800755310E0,2.679727478E0,1.049512527E1
5.164440354E1,1.636696472E0,2.858605499E0,1.053359528E1
5.214546754E1,1.367406464E0,3.162473602E0,9.308393097E0
5.264653321E1,1.638792114E0,2.943029938E0,8.740623779E0
5.314759721E1,1.739682312E0,2.956651611E0,9.130263519E0
5.364866067E1,1.502874756E0,3.128494263E0,8.838220825E0
5.414972567E1,1.249152374E0,2.968626709E0,9.231602783E0
5.465078958E1,1.899250488E0,2.301164703E0,9.370813293E0
5.515185358E1,1.275347900E0,2.580633545E0,9.393715668E0
5.565291917E1,1.488055573E0,2.598745880E0,9.351503448E0
5.615398317E1,1.708247681E0,2.378703461E0,9.329199829E0
5.665504829E1,1.485510864E0,2.492766266E0,9.383836212E0
5.715611229E1,1.578617249E0,2.377056885E0,9.498348083E0
5.765717633E1,1.250649261E0,2.583777008E0,9.682614899E0
5.815824033E1,1.631008301E0,2.376907196E0,9.507628784E0
5.865930429E1,1.691781921E0,2.470013580E0,8.994346161E0
5.916036829E1,1.405876465E0,2.497556305E0,9.444460144E0
5.966143179E1,2.148332520E0,2.131717072E0,9.923613739E0
6.016249579E1,1.989213409E0,2.277663574E0,9.064101105E0
6.066356054E1,1.903890839E0,2.321073303E0,8.810977478E0
6.116462354E1,1.769470367E0,2.274071045E0,9.215286713E0
6.166568679E1,1.617536316E0,2.404000854E0,1.014440460E1
6.216675079E1,1.736688538E0,2.417772217E0,8.918304291E0
6.266781467E1,1.887874146E0,2.471510468E0,9.306596832E0
6.316887867E1,1.061143341E0,2.821033630E0,9.547595673E0
6.366994146E1,1.013093262E0,2.498155060E0,8.938063202E0
6.417100546E1,1.535506897E0,2.426304474E0,9.229656830E0
6.467206867E1,1.328337708E0,2.401905212E0,9.242380371E0
6.517313167E1,1.301244049E0,2.496358795E0,9.474397888E0
6.567419629E1,1.410965881E0,2.362088013E0,9.721833344E0
6.617525929E1,6.129753113E-1,2.713706818E0,9.245074768E0
6.667632217E1,1.141077118E0,2.534978485E0,9.611213379E0
6.717738517E1,1.135089569E0,2.581082611E0,9.496252441E0
6.767844904E1,1.736987915E0,2.267484741E0,9.376501465E0
6.817951204E1,1.344354401E0,2.394720154E0,9.273964691E0
6.868057517E1,1.443298645E0,2.384990387E0,9.465865631E0
6.918163817E1,1.245260468E0,2.333647156E0,9.922715607E0
6.968270021E1,1.198557587E0,2.477647705E0,1.052281769E1
7.018376321E1,1.408570862E0,2.603984985E0,8.607101440E0
7.068482642E1,1.891915741E0,2.405647430E0,9.191635895E0
7.118588942E1,1.394649811E0,2.392774200E0,7.566465454E0
7.168695279E1,2.646646271E0,1.928290100E0,9.786947937E0
7.218801579E1,1.723216553E0,2.352657623E0,1.063822769E1
7.268907908E1,1.317111053E0,2.563119965E0,9.327852631E0
7.319014208E1,1.998494110E0,2.776725769E0,7.778873749E0
7.369120517E1,2.430795135E0,2.403102722E0,8.951235809E0
7.419226817E1,3.171903992E-1,2.974314880E0,9.191935272E0
7.469333079E1,1.467847595E0,2.447410583E0,8.888665924E0
7.519439279E1,6.646179199E-2,2.985391846E0,1.015727783E1
7.569545554E1,1.798809357E0,2.123035126E0,9.100625153E0
7.619651754E1,1.528321838E0,2.439776459E0,8.787176971E0
7.669758058E1,1.668580170E0,2.553090820E0,8.930578766E0
7.719864358E1,2.090402985E0,2.237546997E0,9.044042816E0
7.769970679E1,1.087638245E0,2.368674316E0,9.421707458E0
7.820076979E1,1.247954865E0,2.793191528E0,9.053323517E0
7.870183254E1,1.224753113E0,2.717598724E0,8.752449188E0
7.920289554E1,1.609902191E0,2.127226410E0,1.009500732E1
7.970395879E1,1.431922302E0,2.511177979E0,9.037157135E0
8.020502179E1,1.806443481E0,1.995799713E0,9.889484711E0
8.070608442E1,1.773661652E0,2.030078430E0,9.724827118E0
8.120714742E1,1.424437866E0,2.264940033E0,9.110354919E0
8.170821054E1,1.118623810E0,1.913770294E0,1.086201233E1
8.220927354E1,1.287322998E-1,2.453697510E0,8.918004913E0
8.271033742E1,3.950584717E0,3.974534912E0,8.051456909E0
8.321139942E1,3.744313660E0,3.435655518E0,8.722511444E0
8.371246208E1,5.425317993E0,3.505709839E0,8.003406830E0
8.421352408E1,6.595135345E0,3.278332672E0,6.594536591E0
8.471458746E1,4.559817810E0,4.319268036E0,7.853418732E0
8.521564946E1,5.124593353E0,3.391048279E0,7.340884552E0
8.571671179E1,4.900509338E0,3.536545715E0,7.588170319E0
8.621777379E1,4.857099609E0,3.328478394E0,8.129893799E0
8.671883742E1,4.714595947E0,3.662882996E0,7.556436310E0
8.721990042E1,4.313879242E0,3.808530121E0,7.282056885E0
8.772096242E1,4.558171234E0,3.534450073E0,7.603887634E0
8.822202542E1,4.698728943E0,3.489543457E0,7.649542694E0
8.872308858E1,5.078189850E0,3.508104858E0,8.087232513E0
8.922415058E1,5.091661835E0,3.734434204E0,7.950716400E0
8.972521392E1,5.916596375E0,3.870650940E0,7.277865601E0
9.022627692E1,4.618046722E0,3.488046570E0,6.940616913E0
9.072733883E1,4.967120819E0,3.463048553E0,8.328680420E0
9.122840183E1,4.935536499E0,3.346291351E0,7.861052856E0
9.172946346E1,3.224744110E0,3.991599426E0,8.981921997E0
9.223052646E1,3.916904755E0,4.237537994E0,8.826844482E0
9.273158867E1,3.560795288E0,3.824846191E0,8.493936768E0
9.323265167E1,1.084494781E0,1.895208893E0,9.295070801E0
9.373371467E1,-3.350632324E0,4.420906677E0,1.300720139E1
9.423477767E1,-4.555027771E-1,2.181862793E0,9.714947662E0
9.473583929E1,-1.330433350E0,1.978136444E0,9.652078400E0
9.523690229E1,-1.207538910E0,1.346300354E0,9.265731812E0
9.573796592E1,-8.165519714E-1,1.434616699E0,9.348060608E0
9.623902892E1,-1.710792389E0,1.812131653E0,9.504485321E0
9.674009054E1,-1.392853546E0,1.592388611E0,9.300010529E0
9.724115354E1,-9.967771912E-1,1.537602539E0,9.998009033E0
9.774221658E1,-1.666484528E0,1.885628815E0,1.055395294E1
9.824327858E1,-1.361718292E0,1.542093201E0,9.971963196E0
9.874434154E1,-9.457333374E-1,1.488504639E0,8.841214600E0
9.924540454E1,-7.914042664E-1,1.199006653E0,1.023676254E1
9.974646771E1,-9.816586304E-1,1.116378479E0,9.884844360E0
1.002475307E2,-9.584568787E-1,7.770341492E-1,1.096095657E1
1.007485929E2,-1.527423706E0,7.213499451E-1,1.028181885E1
1.012496559E2,-1.742227020E0,1.196461945E0,9.905202026E0
1.017507195E2,-1.428180084E0,1.121318207E0,9.225315857E0
1.022517825E2,-1.419348450E0,1.485660553E0,9.114695892E0
1.027528437E2,-1.506916351E0,1.298250275E0,8.454868011E0
1.032539067E2,-1.172362061E0,1.418001251E0,9.809401245E0
1.037549695E2,-1.186432800E0,1.646426239E0,9.745933228E0
