"Time (s)","X (hPa)"
-5.239132084E-1,1.014185486E3
4.809197916E-1,1.014179993E3
1.485709792E0,1.014174500E3
2.490540792E0,1.014164124E3
3.495366792E0,1.014158936E3
3.847650792E0,1.014151001E3
4.919502792E0,1.014138947E3
5.991378792E0,1.014121933E3
7.063210792E0,1.014099274E3
8.135112792E0,1.014067307E3
9.207019792E0,1.014029999E3
1.027891179E1,1.013993530E3
1.135078979E1,1.013954544E3
1.242266379E1,1.013916321E3
1.349448579E1,1.013879700E3
1.456633479E1,1.013850174E3
1.563816979E1,1.013825302E3
1.670998879E1,1.013799210E3
1.778183379E1,1.013768463E3
1.885374579E1,1.013741302E3
1.992561179E1,1.013711853E3
2.099744679E1,1.013680954E3
2.206926579E1,1.013657150E3
2.314105979E1,1.013643799E3
2.421288779E1,1.013634033E3
2.528472479E1,1.013629379E3
2.635660279E1,1.013626404E3
2.742850879E1,1.013626404E3
2.850040979E1,1.013626785E3
2.957230579E1,1.013634186E3
3.064424679E1,1.013646011E3
3.171614979E1,1.013661270E3
3.278800179E1,1.013683472E3
3.385989079E1,1.013702850E3
3.493176579E1,1.013723450E3
3.600363679E1,1.013742218E3
3.707551879E1,1.013766861E3
3.814738779E1,1.013792877E3
3.921927479E1,1.013825150E3
4.029116179E1,1.013847275E3
4.136307679E1,1.013866577E3
4.243498179E1,1.013882828E3
4.375941979E1,1.013889923E3
4.509187979E1,1.013890991E3
4.642427779E1,1.013897171E3
4.775662079E1,1.013904419E3
4.908904079E1,1.013907394E3
5.042148979E1,1.013911057E3
5.175380079E1,1.013914642E3
5.308616979E1,1.013919830E3
5.441865079E1,1.013934174E3
5.575115979E1,1.013948212E3
5.708361879E1,1.013963165E3
5.841608379E1,1.013976669E3
5.974855079E1,1.013988647E3
6.108106379E1,1.013989944E3
6.241361779E1,1.013991470E3
6.374614779E1,1.013991852E3
6.507868779E1,1.013992233E3
6.641121879E1,1.013994141E3
6.774373879E1,1.013994141E3
6.907624679E1,1.013993301E3
7.040876379E1,1.013992004E3
7.174131079E1,1.013991394E3
7.307384279E1,1.013987045E3
7.440628579E1,1.013983383E3
