"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.162966667E-2,3.376375511E-2,-5.393902212E-2,-4.610840231E-2
5.127057916E-1,-1.167057827E-1,2.787542064E-3,-2.623813786E-2
1.013781792E0,-1.179906577E-1,-4.120304063E-2,-1.216246746E-2
1.514858292E0,-1.444087774E-1,6.270737946E-2,-9.749746323E-2
2.015934292E0,9.459344298E-2,-4.481898621E-2,-5.683909357E-2
2.517008792E0,-6.160134450E-2,-9.480056912E-2,-6.094264984E-2
3.018083792E0,2.716487944E-1,-8.298356831E-2,-2.112617642E-1
3.519160792E0,-7.309280336E-2,-5.529076979E-2,-1.476001590E-1
4.020235792E0,-7.664296031E-2,2.359065693E-3,-9.241615981E-2
4.521309292E0,7.929646969E-2,-1.878821291E-2,-8.802860975E-6
5.022384292E0,-6.101427972E-2,-2.304672897E-1,-2.770526111E-1
5.523459167E0,5.772388726E-2,-4.454089701E-2,-2.214031667E-2
6.024534167E0,-5.602257326E-3,-2.854551561E-2,-7.537044585E-2
6.525609583E0,1.226928011E-1,8.919926360E-3,-9.830757231E-2
7.026684583E0,-4.146838188E-2,-6.598671433E-3,-6.862572581E-2
7.527760042E0,-4.105091467E-2,3.674399108E-3,-8.313745260E-3
8.028834042E0,-4.823505878E-2,1.859822124E-2,4.810312763E-3
8.529908792E0,-1.129951254E-1,1.969347894E-2,-1.337329000E-1
9.030982792E0,-3.538307920E-2,-8.352572098E-3,-7.393684983E-2
9.532056708E0,-1.376234647E-2,-9.534716606E-3,-7.624273747E-2
1.003313071E1,-1.482456625E-1,2.842845768E-2,7.943712920E-2
1.053420471E1,2.096899040E-2,7.299894001E-3,-1.087190956E-1
1.103527871E1,3.231577575E-3,-3.023070283E-2,-6.568925828E-2
1.153635154E1,-1.454001945E-2,2.757899463E-2,-6.491407007E-2
1.203742554E1,-7.662481815E-2,-6.358153187E-4,1.429515425E-2
1.253849867E1,6.487900019E-2,-2.655372210E-2,-1.092784330E-1
1.303957167E1,-4.207420349E-2,-1.821156777E-2,-2.772944979E-2
1.354064471E1,-5.770597234E-2,-5.460876971E-3,-4.128866270E-2
1.404171771E1,-7.288519293E-2,1.337108202E-3,-3.252532333E-4
1.454279096E1,-5.635033175E-2,-6.331785023E-2,5.499619246E-2
1.504386296E1,-1.606360264E-2,-3.401108831E-2,-4.006297514E-2
1.554493642E1,-1.596178710E-1,2.635855600E-2,1.399945561E-2
1.604600942E1,-2.641427517E-2,-1.055573486E-2,-7.291682810E-2
1.654708142E1,-8.928132057E-2,5.993928295E-3,-5.595715716E-2
1.704815342E1,-4.635223001E-2,-4.269478098E-2,2.776996233E-3
1.754922717E1,6.049579475E-3,-3.079721518E-2,-2.684441023E-2
1.805029917E1,7.589752227E-2,-2.172426786E-3,-3.700899333E-2
1.855136967E1,-3.906492144E-2,-2.731587365E-2,-4.060389474E-2
1.905244167E1,-1.604245044E-4,-7.980585098E-3,9.710721672E-3
1.955351346E1,7.796080410E-2,7.314994000E-4,-2.390442416E-2
2.005458446E1,8.493413776E-2,8.730916306E-3,-1.737475209E-2
2.055565517E1,-1.438893080E-1,2.024545521E-2,-6.464405358E-2
2.105672617E1,3.679949790E-2,-7.205419708E-3,-9.688124992E-3
2.155779846E1,-5.199811980E-2,-2.405428514E-2,-6.355206668E-2
2.205886946E1,3.314578533E-2,-8.025097102E-2,-2.188768424E-2
2.255994079E1,1.717770845E-1,-2.066000402E-1,-5.555464700E-2
2.306101079E1,-1.010631397E-1,2.706546336E-2,-3.637551144E-2
2.356208092E1,-1.079845652E-1,1.915062964E-2,-3.167678043E-2
2.406315192E1,-2.181802318E-2,-6.542898715E-3,4.097798467E-2
2.456422217E1,-9.736087173E-2,2.299955487E-2,3.177954257E-2
2.506529317E1,5.731818452E-2,-5.103312805E-2,-1.623751782E-2
2.556636292E1,-7.301874459E-3,-5.120734498E-2,-1.037503481E-1
2.606743292E1,9.247917682E-2,-3.234483302E-2,-1.104387715E-1
2.656850279E1,-7.388257980E-2,7.027043030E-3,-6.893783808E-2
2.706957179E1,-1.827572137E-1,-2.213504538E-2,-4.571885243E-2
2.757064229E1,-1.049283296E-1,4.990768805E-2,-1.521506160E-1
2.807171129E1,-1.914559007E-1,7.029204071E-2,-1.054998711E-1
2.857278067E1,-1.339697093E-1,-3.001699410E-2,-3.899274766E-2
2.907384967E1,4.427839071E-2,1.123684831E-2,-7.614618540E-2
2.957491883E1,1.141045317E-1,9.821541607E-3,-5.450648442E-2
3.007598783E1,1.415737066E-2,-2.690043859E-2,-1.123136207E-1
3.057705792E1,-5.479388312E-2,-2.566176280E-2,-6.205695868E-2
3.107812592E1,-5.375575647E-2,5.342930555E-2,-9.985490143E-2
3.157919354E1,-1.771593094E-1,5.214075558E-3,-1.009091139E-1
3.208026154E1,1.320212185E-1,-5.431724340E-2,7.226722315E-3
3.258132933E1,-6.537698209E-2,-4.970851354E-3,-4.591599852E-2
3.308239833E1,9.584462643E-2,-1.000931580E-2,-3.940599784E-2
3.358346671E1,2.934666276E-1,6.834351271E-2,-1.430689692E-1
3.408453471E1,-2.379737198E-1,4.039782286E-2,-1.303096563E-1
3.458560304E1,-1.743133068E-1,1.468108688E-2,1.467704214E-2
3.508667104E1,-1.439690823E-3,1.512652449E-2,1.035699435E-2
3.558773879E1,7.370290905E-2,1.401700824E-2,8.111597039E-3
3.608880679E1,-8.054908365E-2,4.729536921E-2,8.648411371E-3
3.658987379E1,-6.438844651E-2,-1.001806743E-2,-2.115764283E-2
3.709094179E1,-7.805431634E-2,6.154814269E-3,3.001540154E-2
3.759200917E1,9.195127338E-2,-1.643233001E-2,-4.961147159E-2
3.809307617E1,2.356998324E-1,-4.553185031E-2,-6.272281706E-2
3.859414317E1,-1.682936698E-1,-4.797279090E-2,4.195919335E-1
3.909521017E1,9.061045945E-2,-4.952944815E-2,-2.433947027E-1
3.959627679E1,-1.851913631E-1,-1.337482482E-1,1.627811939E-1
4.009734379E1,-2.245944142E-1,-2.235019654E-1,3.867981955E-2
4.059841096E1,2.766986191E-1,-2.360148355E-3,-1.492532492E-1
4.109947796E1,6.356946379E-2,1.566051133E-2,-2.232564241E-1
4.160054492E1,2.431645989E-2,-3.098107316E-2,1.515322179E-1
4.210161092E1,3.839796036E-2,-1.322010607E-1,1.278732568E-1
4.260267892E1,-1.098247711E-2,-3.426079638E-3,7.271656767E-3
4.310374492E1,8.222884685E-2,-9.598782659E-2,1.260240655E-2
4.360480992E1,-7.952860743E-2,-5.808508396E-2,6.756129116E-2
4.410587592E1,-5.436453968E-2,5.581986159E-2,-3.442852795E-1
4.460694183E1,-1.730232537E-1,-1.535352319E-1,1.115560308E-1
4.510800783E1,2.296961099E-1,-1.345238090E-1,-5.210081115E-3
4.560907392E1,-1.717188656E-1,-3.619415313E-2,9.735849500E-2
4.611013892E1,-9.414408356E-2,4.048944917E-3,1.463731192E-2
4.661120529E1,1.499758661E-2,-3.274903074E-2,2.149867266E-2
4.711227029E1,6.304272264E-2,-3.654383868E-2,-4.463274498E-3
4.761333496E1,6.279461831E-2,2.473460883E-2,1.037541032E-1
4.811440096E1,-3.883518651E-2,-3.234966099E-2,2.848524600E-4
4.861546571E1,-1.879437082E-2,-6.275493186E-3,6.151439995E-2
4.911653071E1,4.473683238E-2,-6.554454565E-3,-4.810088128E-2
4.961759629E1,-5.207930505E-2,-1.379872672E-3,3.845946491E-2
5.011866129E1,1.795185506E-1,-3.810492903E-2,1.932470314E-2
5.061972579E1,-7.344504818E-3,-9.702239186E-4,-3.420772403E-2
5.112079079E1,-1.826117337E-1,1.391284633E-2,-4.181175027E-3
