"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.162966667E-2,1.691204801E-2,-1.610966384E-1,1.230675173E-1
5.127057916E-1,-2.798796085E-1,2.285205898E-1,9.713394642E-2
1.013781792E0,-2.687877327E-2,-1.168916881E-2,-4.102640390E-1
1.514858292E0,-4.180298723E-1,3.753658095E-1,1.467721295E-1
2.015934292E0,-3.159908429E-1,-9.838817418E-3,3.823716509E-1
2.517008792E0,2.683364739E-1,-9.026434511E-2,-2.777509296E-1
3.018083792E0,-3.840132567E-1,-2.238577276E-2,5.051731199E-1
3.519160792E0,-9.497335638E-1,5.342437220E-1,5.470005924E-1
4.020235792E0,5.292747581E-1,-1.294561851E-1,-4.080643165E-1
4.521309292E0,-4.908366242E-1,4.384733462E-1,2.113528723E-1
5.022384292E0,1.293369019E-1,2.050396335E-1,-5.534956795E-1
5.523459167E0,-1.122421284E-1,1.908849862E-1,-3.381848270E-1
6.024534167E0,-4.278151146E-1,3.192038879E-1,1.714573199E-1
6.525609583E0,1.169083527E-1,1.752205878E-2,2.706559181E-1
7.026684583E0,1.242444156E-1,7.348780632E-3,-2.343955797E-1
7.527760042E0,-2.447790653E-3,1.672938100E-1,7.266334891E-3
8.028834042E0,2.648039516E-1,2.153149456E-2,-5.900425315E-3
8.529908792E0,7.655467093E-2,2.718282849E-2,-1.843627095E-2
9.030982792E0,8.355926983E-2,1.634188601E-1,1.606171668E-2
9.532056708E0,1.430769816E-1,2.024159878E-1,1.240252912E-2
1.003313071E1,2.667694931E-1,-4.803019881E-2,3.392993063E-1
1.053420471E1,4.016543794E-1,-6.404338360E-2,-1.101820081E-1
1.103527871E1,-4.147970930E-2,2.442849755E-2,4.620768017E-1
1.153635154E1,-1.343564442E-1,4.006626186E-1,-5.177551585E-1
1.203742554E1,1.782859907E-2,4.051714066E-1,-2.196506560E-2
1.253849867E1,1.209989917E-1,1.412090886E-1,-2.553537548E-1
1.303957167E1,-9.400429733E-2,1.537575057E-1,-1.069596076E-1
1.354064471E1,-1.562911043E-1,2.388128588E-1,-3.868558806E-1
1.404171771E1,8.334833153E-2,1.043485335E-1,-3.314529276E-1
1.454279096E1,-4.316610476E-1,3.723688191E-1,-2.044935036E-1
1.504386296E1,1.745996135E-1,1.312232137E-2,-2.109792352E-2
1.554493642E1,7.250108868E-3,1.067058384E-2,5.735744333E-1
1.604600942E1,7.280587479E-3,-1.120130637E-1,-2.694391125E-1
1.654708142E1,1.335463855E-1,3.366680592E-2,1.685337120E-1
1.704815342E1,1.522112095E-1,-1.864048496E-1,-3.062601990E-1
1.754922717E1,-1.909416311E-1,-1.405816823E-2,-2.906305915E-1
1.805029917E1,-1.197250295E-1,-4.306825161E-2,3.985848105E-1
1.855136967E1,-4.372167796E-2,1.121004796E-1,-1.891048014E-2
1.905244167E1,-2.024601343E-1,7.855968118E-2,1.935153562E-1
1.955351346E1,8.829580687E-2,-1.432480127E-2,2.085526407E-2
2.005458446E1,1.581288110E-1,-2.998151055E-1,3.575461274E-1
2.055565517E1,1.808831046E-1,4.229583442E-2,1.387327927E-1
2.105672617E1,-3.108320638E-1,2.504771769E-2,4.619528407E-1
2.155779846E1,2.531595871E-2,2.310322613E-2,-5.063419783E-1
2.205886946E1,1.144386350E-1,7.533757299E-2,-8.594986010E-1
2.255994079E1,-1.026295982E-1,-1.151568192E-1,1.015338593E0
2.306101079E1,3.849836022E-2,8.007527947E-2,-4.089384753E-1
2.356208092E1,2.090440261E-1,-5.817628741E-2,7.656811953E-2
2.406315192E1,6.150744617E-2,-6.932137281E-2,1.902912015E-1
2.456422217E1,-1.217103785E-1,1.346488050E-1,-5.013472867E-1
2.506529317E1,-4.484079849E-1,1.894176275E-2,7.152302492E-1
2.556636292E1,-1.971718394E-1,1.584990129E-1,-1.941182041E-1
2.606743292E1,-5.123074539E-1,2.274072799E-1,3.305992341E-1
2.656850279E1,-1.095467813E-1,-8.859467268E-2,8.499033201E-1
2.706957179E1,4.672874017E-1,-6.403724402E-2,-6.536000115E-1
2.757064229E1,-5.032479972E-1,1.266580001E-1,2.236378723E-1
2.807171129E1,4.259806238E-2,1.937565538E-1,-1.805181652E-1
