"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.849292755E-2,5.234801701E1,4.835014900E0,2.168556452E-1,NaN,NaN,5.998678367E2,3.393412018E1
5.323791504E-2,5.234750116E1,4.834932192E0,2.168556452E-1,NaN,NaN,8.494248928E2,3.393412018E1
1.148173928E0,5.234747105E1,4.834927365E0,2.168556452E-1,NaN,NaN,8.504783075E2,3.393412018E1
1.152567983E0,5.234747093E1,4.834927346E0,2.168556452E-1,NaN,NaN,8.504783245E2,3.393412018E1
7.132188916E0,5.234576551E1,4.833426253E0,2.168556452E-1,NaN,NaN,8.806678358E2,3.393412018E1
7.134802938E0,5.234464877E1,4.832362638E0,2.168556452E-1,NaN,NaN,8.806678416E2,3.393412018E1
1.568676090E1,5.234243095E1,4.830690537E0,2.168556452E-1,NaN,NaN,9.381774839E2,3.393412018E1
1.569053197E1,5.234112460E1,4.829642728E0,2.168556452E-1,NaN,NaN,9.381774949E2,3.393412018E1
5.277303290E1,5.233817289E1,4.821557096E0,2.168556452E-1,NaN,NaN,1.414000000E3,3.393412018E1
5.277453995E1,5.233796115E1,4.818476902E0,2.168556452E-1,NaN,NaN,1.414000000E3,3.393412018E1
5.788663518E1,5.233858790E1,4.819296598E0,6.608058929E0,2.387999916E1,2.710546875E2,3.819699519E1,1.280000000E2
5.888662910E1,5.233858090E1,4.818997616E0,-2.890968323E-1,2.412000084E1,2.710546875E2,3.307767031E1,9.600000000E1
5.988662219E1,5.233859524E1,4.818527224E0,5.406215668E0,2.412000084E1,2.703515625E2,3.218217771E1,8.000000000E0
6.088661587E1,5.233855987E1,4.818094047E0,5.267299652E0,2.461000061E1,2.685937500E2,2.682053533E1,8.000000000E0
6.188660967E1,5.233855370E1,4.817736475E0,5.185817719E0,2.510000038E1,2.682421875E2,2.613387106E1,8.000000000E0
6.288660276E1,5.233854126E1,4.817363564E0,5.113735199E0,2.500000000E1,2.671875000E2,2.833123407E1,8.000000000E0
6.388659644E1,5.233849717E1,4.816994341E0,4.981838226E0,2.529999924E1,2.675390625E2,2.538624336E1,8.000000000E0
6.488659012E1,5.233845233E1,4.816386653E0,4.319728851E0,2.529999924E1,2.664843750E2,1.906392676E1,8.000000000E0
6.588658392E1,5.233837412E1,4.816108039E0,4.165309906E0,2.570999908E1,2.629687500E2,1.530096833E1,8.000000000E0
6.688846982E1,5.233834784E1,4.815709228E0,3.652126312E0,2.611000061E1,2.619140625E2,1.510509891E1,8.000000000E0
6.788847065E1,5.233830828E1,4.815325337E0,3.563503265E0,2.629999924E1,2.612109375E2,1.574638613E1,8.000000000E0
6.888844657E1,5.233827274E1,4.814955276E0,3.445644379E0,2.626000023E1,2.605078125E2,1.691712170E1,8.000000000E0
6.988843095E1,5.233823382E1,4.814575273E0,3.445698395E0,2.626000023E1,2.605075117E2,1.691712170E1,8.000000000E0
7.088841653E1,5.233818715E1,4.814164203E0,3.337055985E0,2.629999924E1,2.598043869E2,1.753592170E1,8.000000000E0
7.188838363E1,5.233812573E1,4.813791308E0,3.152487329E0,2.670000076E1,2.587496959E2,1.868954347E1,8.000000000E0
7.288836479E1,5.233807023E1,4.813409995E0,1.690695213E0,2.667000008E1,2.583981341E2,1.929907543E1,1.200000000E1
7.388833857E1,5.233803380E1,4.813030202E0,6.370454375E-1,2.670000076E1,2.583981337E2,1.548461067E1,1.200000000E1
7.488830614E1,5.233798508E1,4.812647128E0,-8.483672049E-1,2.669000053E1,2.583981338E2,1.676967554E1,1.200000000E1
7.588830137E1,5.233793626E1,4.812264328E0,-2.348367159E0,2.670000076E1,2.580465716E2,1.784297537E1,1.200000000E1
7.688828862E1,5.233788699E1,4.811881675E0,-3.638040054E0,2.669000053E1,2.580465717E2,1.999294359E1,1.200000000E1
7.788825917E1,5.233783777E1,4.811499275E0,-4.730020079E0,2.668000030E1,2.580465719E2,2.269741961E1,1.200000000E1
7.888824546E1,5.233772481E1,4.811145695E0,-6.232339409E0,2.668000030E1,2.559371994E2,2.513405396E1,1.600000000E1
7.988823318E1,5.233775940E1,4.810773558E0,-5.203348750E0,2.643000030E1,2.573434505E2,2.837351428E1,1.600000000E1
8.088820601E1,5.233766295E1,4.810342769E0,-4.585062620E0,2.643000030E1,2.562887643E2,3.476679046E1,1.600000000E1
8.188817799E1,5.233761516E1,4.810074779E0,-2.816570200E0,2.612999916E1,2.559372056E2,4.331905501E1,1.600000000E1
8.288815105E1,5.233755817E1,4.809705456E0,-2.377361380E0,2.609000015E1,2.559372061E2,5.443582265E1,2.400000000E1
8.388812518E1,5.233738745E1,4.809356906E0,-4.442302779E0,2.609000015E1,2.517184623E2,5.116906745E1,2.400000000E1
8.488810015E1,5.233731606E1,4.809002203E0,-4.885846316E0,2.582999992E1,2.517184652E2,5.679377127E1,2.400000000E1
8.588807631E1,5.233722820E1,4.808428707E0,-6.482159794E0,2.582999992E1,2.524215890E2,5.151721248E1,2.400000000E1
8.688805389E1,5.233712486E1,4.808163289E0,-6.144205926E0,2.637000084E1,2.510153354E2,5.402061045E1,2.400000000E1
8.788803244E1,5.233588613E1,4.807194122E0,1.925713158E0,3.356999969E1,2.323825037E2,1.341079488E1,8.000000000E0
8.888801086E1,5.233562560E1,4.806892265E0,1.755425084E0,3.356999969E1,2.288668939E2,1.039231547E1,8.000000000E0
8.988799131E1,5.233540112E1,4.806560768E0,2.541862920E0,3.354000092E1,2.274606505E2,1.000272011E1,8.000000000E0
9.088797212E1,5.233517588E1,4.806177920E0,2.605461555E0,3.354000092E1,2.271090896E2,1.003342393E1,8.000000000E0
9.188795304E1,5.233494008E1,4.805780429E0,2.249631170E0,3.440000153E1,2.271090823E2,1.003931328E1,8.000000000E0
9.288793516E1,5.233472794E1,4.805433389E0,2.307855718E0,3.384000015E1,2.267575262E2,1.106413992E1,8.000000000E0
9.388791776E1,5.233450419E1,4.805086807E0,3.773983122E0,3.420000076E1,2.267575232E2,1.314266068E1,8.000000000E0
9.488790095E1,5.233429565E1,4.804714485E0,4.292171599E0,3.420000076E1,2.267575232E2,1.410049123E1,8.000000000E0
9.588788462E1,5.233407820E1,4.804357059E0,4.774776634E0,3.420999908E1,2.267575231E2,1.740317041E1,8.000000000E0
9.688786888E1,5.233383498E1,4.804019496E0,5.277585221E0,3.438999939E1,2.257028392E2,2.055781066E1,8.000000000E0
9.788785338E1,5.233352756E1,4.803715770E0,5.508790102E0,3.506999969E1,2.239450299E2,2.051486853E1,8.000000000E0
9.888783908E1,5.233325850E1,4.803381183E0,5.187989322E0,3.506999969E1,2.235934692E2,1.702836782E1,8.000000000E0
9.988782501E1,5.233303174E1,4.803038056E0,4.238586315E0,3.486000061E1,2.239450316E2,1.651466390E1,8.000000000E0
