"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.162966667E-2,-7.583618164E0,4.191061401E1,-2.152265930E1
5.127057916E-1,-1.122076416E1,4.146813965E1,-2.162423706E1
1.013781792E0,-1.130441284E1,4.153668213E1,-2.104116821E1
1.514858292E0,-1.292401123E1,4.199142456E1,-2.150942993E1
2.015934292E0,-1.679487610E1,4.008923340E1,-2.041491699E1
2.517008792E0,-1.854243469E1,4.071514893E1,-1.933227539E1
3.018083792E0,-2.198963928E1,3.855422974E1,-2.159640503E1
3.519160792E0,-1.343191528E1,3.780822754E1,-7.643707275E0
4.020235792E0,-3.052825928E1,3.509036255E1,-4.700225830E0
4.521309292E0,-2.695462036E1,3.526916504E1,-3.315628052E0
5.022384292E0,-1.905661011E1,3.303985596E1,-2.113494873E0
5.523459167E0,-2.427618408E1,3.263510132E1,5.370666504E0
6.024534167E0,-2.350012207E1,2.953012085E1,9.072280884E0
6.525609583E0,-2.069036865E1,2.633752441E1,5.640960693E0
7.026684583E0,-2.361419678E1,2.619253540E1,4.114944458E0
7.527760042E0,-2.007229614E1,2.548617554E1,2.907333374E0
8.028834042E0,-1.884588623E1,2.165283203E1,8.070129395E0
8.529908792E0,-1.641781616E1,2.188775635E1,8.452041626E0
9.030982792E0,-1.452035522E1,2.002651978E1,7.961288452E0
9.532056708E0,-1.266299438E1,2.068444824E1,9.074569702E0
1.003313071E1,-1.264309692E1,2.034802246E1,8.329833984E0
1.053420471E1,-1.162048340E1,2.070416260E1,1.190356445E1
1.103527871E1,-1.298678589E1,2.265209961E1,1.059260559E1
1.153635154E1,-1.207354736E1,2.906253052E1,1.265957642E1
1.203742554E1,-1.898464966E1,1.923129272E1,9.674194336E0
1.253849867E1,-1.854934692E1,2.281036377E1,6.300674438E0
1.303957167E1,-1.714328003E1,2.094754028E1,7.408676147E0
1.354064471E1,-2.024835205E1,1.966751099E1,4.781982422E0
1.404171771E1,-1.695108032E1,2.014520264E1,5.541061401E0
1.454279096E1,-1.743124390E1,2.022329712E1,8.577621460E0
1.504386296E1,-1.879560852E1,1.908941650E1,1.047378540E1
1.554493642E1,-3.321939087E1,2.579638672E1,-3.189544678E-1
1.604600942E1,-3.168601990E1,3.641452026E1,-9.072204590E0
1.654708142E1,-3.706762695E1,3.449783325E1,-4.253326416E0
1.704815342E1,-3.363212585E1,3.630426025E1,-4.943847656E0
1.754922717E1,-3.826402283E1,4.203686523E1,-6.058258057E0
1.805029917E1,1.367797852E1,-4.315322876E1,7.147201538E0
1.855136967E1,1.451110840E0,-5.816369629E1,1.125289917E1
1.905244167E1,3.085327148E-2,-6.082510376E1,1.163247681E1
1.955351346E1,-9.327392578E-1,-5.963265991E1,9.881927490E0
2.005458446E1,-4.975799561E0,-6.294778442E1,5.076431274E0
2.055565517E1,-2.133575439E0,-5.648645020E1,-1.806701660E0
2.105672617E1,-9.816802979E0,-6.588287354E1,-4.135192871E0
2.155779846E1,-2.285873413E1,-5.375402832E1,-1.273773193E1
