"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.443337501E-2,-2.198029175E0,5.645809479E0,8.448880463E0
5.456096250E-1,-1.349593506E0,3.867507477E0,1.147169449E1
1.046785625E0,-2.111808472E0,1.502276001E0,9.532177734E0
1.547962625E0,-1.956730957E0,1.302291870E0,9.728868713E0
2.049142625E0,-1.973346405E0,1.345102844E0,9.270970917E0
2.550321125E0,-1.957329712E0,1.179547119E0,9.903555450E0
3.051502125E0,-2.028581543E0,1.006806335E0,9.881251831E0
3.552687625E0,-2.014061737E0,1.035247192E0,9.485175476E0
4.053870625E0,-1.975442047E0,1.419647827E0,9.416618042E0
4.555049875E0,-2.009870453E0,1.047371979E0,9.814939728E0
5.056233875E0,-2.187101898E0,1.111738129E0,9.964329071E0
5.557417792E0,-1.997296600E0,1.326990509E0,9.015302582E0
6.058602792E0,-1.922452240E0,1.156045990E0,9.528136139E0
6.559787500E0,-2.143991547E0,1.234033813E0,1.010533585E1
7.060973500E0,-2.013612671E0,8.451425171E-1,9.732910309E0
7.562160625E0,-2.074086914E0,1.097068634E0,9.366322632E0
8.063346625E0,-2.029329987E0,1.328786774E0,9.306896210E0
8.564533500E0,-2.232158203E0,1.217418365E0,9.745484161E0
9.060708500E0,-2.173629913E0,1.358125763E0,9.562265167E0
9.561895000E0,-2.012564850E0,1.189875641E0,9.276060333E0
1.006308300E1,-2.138602753E0,1.069974976E0,9.268126831E0
1.056427225E1,-2.209255829E0,1.282383270E0,9.403445435E0
1.106546125E1,-2.115850067E0,1.522633667E0,9.855205994E0
1.156664729E1,-2.096989288E0,9.883946228E-1,8.949738922E0
1.206783529E1,-2.141446838E0,1.166823578E0,9.685908051E0
1.256902175E1,-2.193987579E0,1.086889801E0,9.833650818E0
1.307020975E1,-2.144290924E0,1.285526733E0,9.128616943E0
1.357139775E1,-2.224973145E0,1.479074249E0,9.818831635E0
1.407258475E1,-2.015858002E0,9.990225220E-1,9.076225891E0
1.457377225E1,-2.165995789E0,1.212927704E0,9.457632751E0
1.507496025E1,-2.133064270E0,1.309177551E0,9.376800842E0
1.557614725E1,-2.153272247E0,1.397493896E0,9.920470276E0
1.607733425E1,-2.031725006E0,1.228495331E0,9.267228699E0
1.657852125E1,-2.239492950E0,1.455273743E0,9.917326813E0
1.707970825E1,-2.081721039E0,1.458716583E0,9.636810150E0
1.758089663E1,-2.076781311E0,1.412313080E0,9.078471222E0
1.808208363E1,-2.124382324E0,1.441053314E0,9.374854889E0
1.858326962E1,-2.159858551E0,1.294208679E0,9.560917969E0
1.912454963E1,-2.062560883E0,1.178798676E0,9.709708557E0
1.962573292E1,-2.177821198E0,1.293160858E0,9.900262299E0
2.012691792E1,-2.074386292E0,1.144669647E0,9.305399323E0
2.062810288E1,-2.164648590E0,1.382075958E0,8.918903046E0
2.112928788E1,-2.233505402E0,1.441951447E0,9.924811249E0
2.163047200E1,-2.137704620E0,1.437311096E0,9.239685974E0
2.213165700E1,-2.289938049E0,1.480720825E0,9.992620239E0
2.263284250E1,-2.268682251E0,1.384021912E0,9.665101318E0
2.313402750E1,-2.034718781E0,1.476529541E0,8.844208374E0
2.363521163E1,-2.231110382E0,1.572480011E0,1.007030869E1
2.413639363E1,-2.023192749E0,1.338067474E0,8.896898804E0
2.463757429E1,-2.285297699E0,1.637744293E0,9.738299103E0
2.513875429E1,-2.080224152E0,1.633852386E0,9.720935211E0
2.563993288E1,-1.836979980E0,1.587748260E0,8.751101990E0
2.614111088E1,-2.164199524E0,1.443897400E0,9.595795441E0
2.664228762E1,-2.254012756E0,1.536554718E0,9.758507080E0
2.714346263E1,-2.433040466E0,1.468745728E0,9.471703491E0
2.764463629E1,-2.229463806E0,1.876048737E0,9.421857147E0
2.814581129E1,-2.146386566E0,1.510808258E0,9.450148315E0
2.864698817E1,-2.169139252E0,1.184486847E0,9.766739960E0
2.914816517E1,-2.212399292E0,1.473086700E0,9.339228973E0
2.964934225E1,-2.095043335E0,1.176403656E0,9.648186493E0
3.015052025E1,-2.440524902E0,1.523831177E0,9.806706848E0
3.065169800E1,-1.986668701E0,9.482780457E-1,9.087602234E0
3.115287600E1,-2.374961243E0,1.685494995E0,9.650282135E0
3.165405425E1,-2.019001465E0,8.954379272E-1,9.756860504E0
3.215523325E1,-2.326013031E0,1.495090942E0,9.804162140E0
3.265641275E1,-2.105521545E0,1.313518524E0,8.804241486E0
3.315759275E1,-2.211052094E0,1.417552185E0,9.401798859E0
3.365877188E1,-2.300715637E0,1.793719940E0,1.025831772E1
3.415995188E1,-2.312091980E0,1.961820374E0,9.770482178E0
3.466113179E1,-2.350711670E0,1.255439301E0,1.050395691E1
3.516231179E1,-2.452949066E0,1.578168182E0,9.857601013E0
3.566349213E1,-2.107916565E0,1.144819336E0,9.622889099E0
3.616467212E1,-2.233206024E0,1.482666779E0,9.682764587E0
3.666585188E1,-2.383194122E0,1.475332031E0,9.677675171E0
3.716703188E1,-2.262395325E0,1.478325806E0,9.428593140E0
3.766821179E1,-2.114652557E0,1.251697083E0,9.439520416E0
3.816939079E1,-2.242636414E0,1.147513733E0,9.549092560E0
3.867057138E1,-2.145488434E0,1.173559570E0,9.395062866E0
3.917175138E1,-2.189197540E0,1.112187195E0,9.609267426E0
3.967293013E1,-2.172881470E0,1.026415558E0,9.317224731E0
4.017411013E1,-2.191592560E0,1.111289062E0,9.544601898E0
4.067528863E1,-2.019600220E0,8.891510010E-1,9.286837921E0
4.117646663E1,-2.114951935E0,1.056353302E0,9.641899567E0
4.167764637E1,-1.989063721E0,7.740403748E-1,9.510173492E0
4.217882438E1,-2.028731232E0,9.418414307E-1,9.422605591E0
4.268000154E1,-2.106419678E0,9.946815491E-1,9.677824860E0
4.318117954E1,-2.143692169E0,9.442364502E-1,9.740394745E0
4.368235825E1,-2.222877502E0,7.429051208E-1,9.547296295E0
4.418353525E1,-1.896256714E0,5.060975647E-1,9.418713684E0
4.468471150E1,-2.292033691E0,9.996212769E-1,9.549691315E0
4.518588850E1,-2.079026642E0,1.124311981E0,9.725575562E0
4.568706538E1,-2.181264038E0,7.939489746E-1,9.559870148E0
4.618824138E1,-2.264041901E0,9.877958679E-1,9.482930145E0
4.668941738E1,-2.243684235E0,1.229692841E0,1.056278458E1
4.719059338E1,-1.942061462E0,8.957373047E-1,9.011260986E0
4.769176842E1,-1.984872437E0,9.840536499E-1,9.777667236E0
4.819294342E1,-2.106269989E0,1.028810577E0,9.448801117E0
4.869411875E1,-2.002835083E0,1.064436493E0,9.403146057E0
4.919529275E1,-2.020049286E0,1.022074585E0,9.300309906E0
4.969646738E1,-2.174677734E0,9.842033386E-1,9.123677216E0
5.019764138E1,-2.235900421E0,1.044078827E0,9.860744476E0
5.069881413E1,-2.250719604E0,1.083596649E0,9.893077240E0
5.119998713E1,-1.942061462E0,9.716294861E-1,9.152567139E0
5.170115979E1,-2.059866486E0,9.328601074E-1,9.433233490E0
5.220233179E1,-1.930236053E0,7.869136047E-1,9.517208862E0
5.270350350E1,-2.033970337E0,7.890092468E-1,9.566007385E0
5.320467450E1,-1.985321503E0,7.155120850E-1,9.825417938E0
5.370584650E1,-1.970652008E0,8.298742676E-1,9.505233765E0
5.420701650E1,-2.005080414E0,6.509962463E-1,9.599986725E0
5.470818813E1,-2.066901855E0,7.584727478E-1,9.762698364E0
5.520935813E1,-2.111060028E0,8.211923218E-1,9.582622833E0
5.571052750E1,-2.288441162E0,9.515711975E-1,9.967771912E0
5.621169650E1,-1.946252747E0,9.854008484E-1,9.645941162E0
5.671286642E1,-1.999092865E0,7.026388550E-1,9.163644104E0
5.721403542E1,-2.227966919E0,1.085542603E0,9.931696930E0
5.771520400E1,-1.712888031E0,6.454577637E-1,8.936865692E0
5.821637200E1,-1.617835693E0,1.128203888E0,8.934470673E0
5.871754079E1,-2.235301666E0,1.325643311E0,1.017778519E1
5.921870879E1,-2.221230927E0,1.251846771E0,9.004824371E0
5.971987713E1,-2.018702087E0,1.013093262E0,9.296567688E0
6.022104512E1,-1.874851227E0,8.340655518E-1,9.313931580E0
6.072221238E1,-2.227368164E0,8.885522461E-1,9.805808716E0
6.125344938E1,-1.823507996E0,1.130149841E0,9.355545044E0
6.175461575E1,-1.911375275E0,8.511300659E-1,9.481582947E0
6.225578175E1,-1.951342163E0,9.150471497E-1,9.782906342E0
6.275694762E1,-1.892514496E0,7.134164429E-1,9.691895599E0
6.325811263E1,-1.957928467E0,9.238787842E-1,9.501790924E0
6.375928000E1,-1.907932434E0,7.948471069E-1,9.766739960E0
6.426044500E1,-1.877395935E0,8.297245789E-1,9.552086334E0
6.476160854E1,-1.933229828E0,6.650669861E-1,9.757459259E0
6.526277354E1,-1.917362823E0,8.316705322E-1,9.660161591E0
6.576393879E1,-1.944157104E0,7.625143433E-1,9.474098511E0
6.626510379E1,-1.952090607E0,8.631051636E-1,9.610464935E0
6.676626838E1,-1.860630798E0,6.138734436E-1,9.435778198E0
6.726743238E1,-1.878294067E0,7.641609192E-1,9.364825745E0
6.776859513E1,-1.864223328E0,7.265890503E-1,9.293723602E0
6.826975913E1,-1.852846985E0,8.376580811E-1,9.521849213E0
6.877092213E1,-1.876497803E0,7.723937988E-1,9.476343842E0
6.927208513E1,-1.974693604E0,8.219407654E-1,9.748328247E0
6.977324654E1,-1.846560059E0,8.562194824E-1,9.737550659E0
7.027440954E1,-1.927391968E0,9.846524048E-1,9.385482788E0
7.077557142E1,-1.986069946E0,1.090482330E0,9.610464935E0
7.127673342E1,-2.106719055E0,1.132245483E0,9.794881439E0
7.177789450E1,-1.895358582E0,9.457333374E-1,9.202114105E0
7.227905650E1,-1.963167572E0,1.049467621E0,9.587113495E0
7.278021817E1,-2.020198975E0,1.033001862E0,9.759105835E0
7.328137917E1,-2.040257263E0,1.100661163E0,9.460476837E0
