"Time (s)","X (hPa)"
-5.723481250E-1,1.018346024E3
4.330108750E-1,1.018317261E3
1.438381875E0,1.018288574E3
2.443767875E0,1.017951355E3
3.449103875E0,1.017315216E3
3.800652875E0,1.016937408E3
4.873002875E0,1.016851654E3
5.945401875E0,1.016595535E3
7.017769875E0,1.016332932E3
8.090179875E0,1.016249161E3
9.162576875E0,1.016249161E3
1.023498988E1,1.016488571E3
1.130744487E1,1.016828613E3
1.237985787E1,1.017182236E3
1.345225188E1,1.017639084E3
1.452466488E1,1.017712784E3
1.559708087E1,1.017712784E3
1.666952388E1,1.017248383E3
1.774197887E1,1.016866455E3
1.881443187E1,1.016377487E3
1.988689088E1,1.015948639E3
2.095932288E1,1.015841293E3
2.203174988E1,1.015841293E3
2.310414488E1,1.015920639E3
2.417655987E1,1.016354294E3
2.524897988E1,1.016675720E3
2.632133888E1,1.016992722E3
2.739370788E1,1.016992722E3
2.846609888E1,1.016909561E3
2.953842287E1,1.016381073E3
3.061079087E1,1.015902252E3
3.168317387E1,1.015508652E3
3.275550287E1,1.015508652E3
3.382787288E1,1.015708389E3
3.490028288E1,1.016184387E3
3.597272687E1,1.016807327E3
3.704512688E1,1.017466202E3
3.811752988E1,1.018164978E3
3.918995888E1,1.018427200E3
4.026242087E1,1.018643036E3
4.133494188E1,1.018665695E3
4.240745287E1,1.018665695E3
4.347993288E1,1.018604965E3
4.455245588E1,1.018542862E3
4.562498788E1,1.018479385E3
4.669750088E1,1.018412247E3
4.776998787E1,1.018344269E3
4.884246988E1,1.018274994E3
4.991495788E1,1.018200684E3
5.098743688E1,1.018117523E3
5.205992087E1,1.018040314E3
5.313239587E1,1.017967072E3
5.420491788E1,1.017891846E3
5.527740487E1,1.017820282E3
5.634988088E1,1.017759247E3
5.742225687E1,1.017695847E3
5.849467688E1,1.017626648E3
5.956709887E1,1.017558670E3
6.063949688E1,1.017490616E3
6.171192888E1,1.017420578E3
6.278434487E1,1.017349319E3
6.385674388E1,1.017283249E3
6.492913787E1,1.017218704E3
6.600154487E1,1.017158890E3
6.707399687E1,1.017105560E3
6.814643088E1,1.017056351E3
6.921887787E1,1.017011261E3
7.029135087E1,1.016972122E3
7.136380888E1,1.016936569E3
7.243622487E1,1.016904373E3
7.350864488E1,1.016877213E3
7.458105788E1,1.016851883E3
7.565352888E1,1.016835327E3
7.672600488E1,1.016823120E3
7.779843288E1,1.016811600E3
7.887090188E1,1.016803741E3
7.994337988E1,1.016800842E3
8.101585987E1,1.016800537E3
8.208830987E1,1.016800537E3
8.316076487E1,1.016808624E3
8.423320288E1,1.016820602E3
8.530563388E1,1.016836166E3
8.637811787E1,1.016850281E3
8.745055988E1,1.016865997E3
8.852300988E1,1.016883240E3
8.959545588E1,1.016896515E3
