"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.591375004E-3,1.901133358E-2,-5.376168340E-2,8.054886013E-3
5.067653750E-1,-1.517897725E0,-1.119026423E0,5.423674732E-2
1.007943625E0,3.670450673E-2,5.274773762E-2,-1.831015944E-2
1.509121625E0,1.157638524E-2,4.431033134E-2,-8.230816573E-3
2.010299625E0,-2.096048789E-3,3.732075915E-3,-3.335786983E-3
2.511479625E0,6.898995023E-3,8.266488090E-3,2.355831116E-2
3.012660125E0,-4.783155397E-3,4.802962765E-3,3.994079307E-4
3.513844625E0,-3.952051979E-3,-7.192823105E-4,-6.508390419E-3
4.015027625E0,-3.355272813E-3,-4.078732803E-3,-1.685695723E-2
4.516206875E0,-8.220633492E-3,1.156747062E-2,2.331971377E-2
5.017390875E0,9.251814336E-4,-9.702591226E-3,-3.137453273E-2
5.518574792E0,-1.018811762E-2,-1.698642969E-2,-3.818315268E-2
6.019759792E0,1.974729588E-3,-3.502157051E-3,1.671632193E-2
6.520944500E0,-5.747088231E-3,2.079059742E-2,3.254280984E-2
7.022130500E0,-3.168082237E-2,-4.759380221E-2,-1.173652709E-5
7.523317625E0,-3.547226265E-2,-2.693489939E-2,-2.891401201E-2
8.024503625E0,-2.521722764E-2,-1.263425685E-2,-2.093811147E-2
8.525690500E0,-1.893593185E-2,-1.668022946E-3,-2.676215768E-2
9.026877500E0,-3.036836395E-3,-1.204954274E-2,-1.806774363E-2
9.528064000E0,-9.450246580E-3,-3.415751038E-3,-4.073241726E-2
1.002925100E1,1.013178844E-2,-5.946258549E-3,-2.174374275E-2
1.053044125E1,1.621577144E-2,4.146237858E-3,-2.038860321E-2
1.103162925E1,2.567389281E-3,5.121709779E-3,-1.504056808E-2
1.153281529E1,-3.863020800E-3,5.408093333E-3,-3.029574454E-2
1.203400329E1,-4.606100731E-3,-1.207109727E-2,-4.777764529E-2
1.253519075E1,1.478792541E-2,-4.836317152E-3,-2.449885383E-2
1.303637875E1,9.449444711E-3,-4.767565988E-3,-3.260913864E-2
1.353756575E1,-4.289442673E-3,-1.531124394E-2,-5.098136887E-2
1.403875375E1,-2.409444656E-3,1.440765336E-3,-5.261901766E-3
1.453994125E1,1.128076692E-3,-1.270403899E-2,-1.921048760E-2
1.504112925E1,-1.548202476E-3,-8.943283930E-3,-3.364527971E-2
1.554231625E1,9.564938955E-3,-1.113385893E-2,-3.756485507E-2
1.604350325E1,2.253193641E-3,-6.685456261E-3,-2.648004331E-2
1.654469025E1,6.092217751E-3,2.706050873E-5,-2.367746271E-2
