"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.591375004E-3,-2.281851058E-1,5.188363087E-1,2.491486895E-1
5.067653750E-1,-7.303903252E-1,-1.733861409E0,-4.002561201E0
1.007943625E0,-3.165533450E-1,3.037697967E-1,2.818948513E-1
1.509121625E0,1.292401305E-1,1.105006814E-2,-2.136455655E-2
2.010299625E0,8.883060783E-2,3.002618328E-3,-4.752640271E-1
2.511479625E0,1.183143157E-1,-1.593261015E-1,4.264602417E-1
3.012660125E0,-1.636825696E-2,-1.656086424E-1,2.903715599E-1
3.513844625E0,9.264474660E-3,-1.529504438E-1,-1.464581341E-1
4.015027625E0,1.548693538E-2,1.931797260E-1,-8.940802038E-2
4.516206875E0,-3.199625641E-2,-1.323534805E-1,2.874210548E-1
5.017390875E0,-8.438467741E-2,1.026218507E-1,2.702781880E-1
5.518574792E0,-2.369043276E-2,1.125097847E-1,-6.854375160E-1
6.019759792E0,6.688454568E-2,-1.557714330E-1,6.052745283E-2
6.520944500E0,-1.331260438E-1,-1.640202463E-1,2.030954343E-1
7.022130500E0,-4.006526783E-2,-4.942907207E-2,3.131242454E-1
7.523317625E0,-1.940456986E-2,1.936225795E-1,-2.960152924E-1
8.024503625E0,-4.907012612E-2,2.703786870E-1,-1.764239448E-1
8.525690500E0,-5.093977332E-2,2.552031159E-1,2.775059313E-1
9.026877500E0,-4.505572021E-2,4.045797414E-1,1.115590274E-2
9.528064000E0,1.144592464E-2,1.552663797E-1,-2.950078171E-1
1.002925100E1,-3.696668208E-2,2.047893727E-1,-8.643003345E-2
1.053044125E1,2.512870163E-2,1.451337397E-2,-3.385625571E-1
1.103162925E1,3.713493571E-2,6.624105960E-2,4.150306892E-1
1.153281529E1,4.766036242E-2,-6.593174189E-2,-8.354759002E-1
1.203400329E1,-1.295713753E-1,1.785572284E-1,3.459294641E-1
1.253519075E1,-7.460667104E-2,-5.884893648E-2,1.586425620E-1
1.303637875E1,-1.635305420E-2,4.548972979E-2,-4.507109839E-1
1.353756575E1,-1.164908615E-1,3.240059137E-1,4.255141622E-1
1.403875375E1,1.856135751E-1,-2.369680622E-1,-2.749740869E-1
1.453994125E1,-3.394323304E-2,1.565495512E-1,-7.296623468E-2
1.504112925E1,3.513650358E-2,-2.910627007E-2,-2.078462970E-1
1.554231625E1,-6.712515861E-2,1.749568784E-1,3.485554487E-1
1.604350325E1,5.398485705E-2,1.864794016E-2,-1.498208678E-1
1.654469025E1,-8.901888818E-2,1.936042339E-1,5.196397161E-1
1.704587725E1,1.063437496E-1,5.121488482E-2,-5.176423073E-2
1.754706563E1,-8.660837352E-2,8.079565644E-2,-2.547783887E-1
1.804825263E1,1.104919106E-2,2.348973439E-1,4.887102842E-2
1.854943862E1,4.738817453E-2,2.084225401E-2,1.021596283E-1
1.905062363E1,1.015646741E-1,-2.292580698E-1,1.891925097E-1
1.955180692E1,-1.608172877E-1,7.995526537E-2,3.332901227E-1
2.005299192E1,1.147169624E-1,1.330164085E-1,-2.659787303E-1
2.055417688E1,-7.713354528E-3,1.393593219E-1,-4.037379616E-1
2.105536188E1,8.751527667E-2,5.401277751E-2,5.548148113E-1
2.155654600E1,5.739787683E-2,1.773369876E-1,-4.548484737E-1
2.205773100E1,-4.968598410E-2,3.107379967E-1,3.484209627E-1
2.255891650E1,1.247838213E-1,1.796988241E-1,-4.576843733E-1
2.306010150E1,1.088428496E-1,5.009938225E-2,-2.230128050E-1
2.356128563E1,-2.361778110E-2,1.041352563E-1,5.777774119E-1
2.406246863E1,1.887688789E-1,-1.121918423E-1,-4.132946509E-1
2.456364929E1,-1.533324131E-1,1.891302368E-1,7.425133574E-1
2.506482929E1,3.499599499E-1,-1.674803361E-2,-1.133992631E0
2.556600888E1,-1.013623604E-1,-3.344801773E-1,3.074349046E-2
2.606718587E1,-9.818381399E-2,9.847091228E-2,4.451602221E-1
2.656836263E1,9.795284897E-2,-4.475166500E-2,1.349385345E-1
2.706953863E1,-3.587939233E-2,9.657612205E-2,-3.527777231E-1
2.757071229E1,8.957919762E-2,6.885353708E-1,2.024259281E-1
2.807188729E1,-1.660702801E-1,-1.001151493E-1,3.915067559E-1
2.857306417E1,6.296486467E-2,2.685070664E-2,1.315541661E-1
2.907424017E1,-1.159247048E-1,-6.755463660E-2,1.596061832E-1
2.957541825E1,-3.380640820E-2,-1.040867244E-1,6.504846150E-1
3.007659525E1,-9.239711702E-2,1.605117707E-1,-1.705153334E-1
3.057777300E1,2.542869303E-1,-1.052134828E-1,-4.301352167E-1
3.107895100E1,-9.847851366E-2,3.618890007E-1,2.304352605E-1
3.158012925E1,-4.527937621E-2,-2.744073455E-1,7.511303991E-1
3.208130825E1,3.293210328E-2,5.339648098E-2,1.625303757E-1
3.258248875E1,1.872354466E-1,7.099104524E-3,-6.161012328E-1
3.308366775E1,-3.770913228E-2,7.853366107E-2,5.847636652E-1
3.358484788E1,-1.921326359E-1,1.379624221E-1,1.026772823E0
3.408602688E1,-6.692211404E-2,-1.919275448E-2,-1.042792439E-2
3.458720679E1,8.387860090E-2,7.482170239E-2,2.871111524E-1
3.508838679E1,-6.387600705E-2,4.301779014E-1,3.690879464E-2
3.558956713E1,2.301234578E-1,-1.735281113E-1,1.601435423E-1
3.609074713E1,-7.591527790E-2,3.794886813E-2,4.637871122E-1
3.659192688E1,3.822880358E-2,1.185872345E-1,-3.392893660E-1
3.709310687E1,-5.814485863E-2,2.515910715E-3,5.185182202E-1
3.759428679E1,-2.367771506E-2,-5.410911039E-2,2.680790502E-1
3.809546579E1,1.338722947E-1,4.129654527E-2,-1.085336781E-1
3.859664638E1,1.056707351E-1,-1.924347907E-1,5.937730551E-2
3.909782638E1,1.334634282E-1,-3.165409197E-1,7.587814808E-2
3.959900513E1,-2.941836521E-2,-3.470147073E-1,3.568380296E-2
4.010018513E1,-1.888182878E-2,1.301546350E-2,4.895639777E-2
4.060136363E1,1.311436915E-1,-3.490489537E-1,-4.751564384E-2
4.110254263E1,1.179017946E-2,-2.569471210E-1,3.714560688E-1
4.160372138E1,2.525668256E-1,-4.438310768E-1,-1.047990614E-1
4.210490038E1,8.820670992E-3,-1.512932698E-1,9.647204161E-2
4.260607754E1,1.722765148E-2,-2.050829760E-1,3.052644181E-1
4.310725554E1,-1.696787430E-1,1.130540143E-1,3.878849906E-1
