"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.591375004E-3,4.355090332E1,-1.216963196E2,4.316346741E1
5.067653750E-1,6.464163208E1,-1.411192322E2,7.086518097E1
1.007943625E0,4.298135376E1,-1.718952026E2,1.567855835E1
1.509121625E0,4.947674561E1,-1.674760132E2,9.013778687E0
2.010299625E0,4.295327759E1,-1.635569763E2,1.389622498E1
2.511479625E0,4.609759521E1,-1.595854492E2,2.051123047E1
3.012660125E0,4.095755005E1,-1.588182068E2,2.113600159E1
3.513844625E0,5.640408325E1,-1.560460510E2,3.026400757E1
4.015027625E0,6.396218872E1,-1.771000671E2,1.499995422E1
4.516206875E0,7.645034790E1,-1.720250854E2,9.751281738E0
5.017390875E0,6.235028076E1,-1.742516785E2,1.052687073E1
5.518574792E0,4.543402100E1,-1.740302429E2,9.632827759E0
6.019759792E0,4.759182739E1,-1.757401428E2,1.505879211E1
6.520944500E0,4.404333496E1,-1.756012878E2,1.768745422E1
7.022130500E0,4.487356567E1,-1.735642090E2,1.318417358E1
7.523317625E0,4.811813354E1,-1.638999634E2,1.702586365E1
8.024503625E0,5.794570923E1,-1.639853516E2,5.567047119E0
8.525690500E0,5.485107422E1,-1.574199524E2,6.685333252E-1
9.026877500E0,5.898812866E1,-1.591008911E2,6.411499023E0
9.528064000E0,5.887673950E1,-1.594980469E2,-4.607040405E0
1.002925100E1,5.169067383E1,-1.591430054E2,-1.918151855E0
1.053044125E1,4.989355469E1,-1.591870728E2,1.102005005E0
1.103162925E1,4.664614868E1,-1.647109680E2,4.634002686E0
1.153281529E1,5.119750977E1,-1.625466309E2,2.956695557E0
1.203400329E1,4.973254395E1,-1.595145264E2,3.782699585E0
1.253519075E1,5.047027588E1,-1.530862427E2,7.602996826E-1
1.303637875E1,4.749966431E1,-1.473479004E2,2.977630615E0
1.353756575E1,4.585296631E1,-1.535941162E2,4.071655273E0
1.403875375E1,4.040655518E1,-1.465144653E2,-4.095993042E0
1.453994125E1,6.657005310E1,-1.204667358E2,-8.896179199E0
