"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.209749997E-3,2.965483246E0,7.555837555E0,6.370452576E0
5.017959167E-1,4.239633636E0,7.393874359E0,6.080655212E0
9.993809167E-1,1.308369232E1,4.825515289E0,5.049599304E0
1.496967000E0,6.607559509E0,-2.704426117E0,-4.173471222E0
1.994551000E0,8.134234772E0,-2.220781860E0,-5.516478424E0
2.492135000E0,7.736362152E0,-2.752625885E0,-5.000800781E0
2.989719000E0,9.137747955E0,-1.982627106E0,-3.425476685E0
3.487302542E0,9.368567963E0,-2.241289215E0,-3.004701691E0
3.984885542E0,9.179960175E0,-2.289039917E0,-3.897894287E0
4.482467375E0,9.305399323E0,-2.669848022E0,-3.170856171E0
4.980048375E0,8.956923981E0,-2.201172638E0,-3.605552216E0
5.477629625E0,8.909921722E0,-1.811981964E0,-3.455713806E0
5.975209625E0,9.142987061E0,-1.372346191E0,-3.604953461E0
6.472788875E0,9.157656555E0,-1.422342224E0,-3.473975830E0
6.970367875E0,8.894803162E0,-8.095166016E-1,-3.245999908E0
7.467946375E0,9.643246765E0,-1.167122955E0,-3.038980408E0
7.965524375E0,9.446406097E0,-3.400927734E-1,-3.523971863E0
8.463101000E0,9.785151672E0,-2.131567383E-1,-3.315305786E0
8.960678000E0,9.125024414E0,-5.718109131E-2,-3.578608246E0
9.458253792E0,8.936416626E0,-6.676116943E-2,-3.236868896E0
9.955829792E0,1.000025436E1,-3.073109436E-1,-3.412902832E0
1.045340500E1,9.262438660E0,-3.619473267E-1,-3.441493378E0
1.095097900E1,9.287736053E0,-3.326083374E-1,-3.636986847E0
1.144855300E1,9.418264618E0,-9.943821716E-1,-3.772455139E0
1.194612712E1,9.399553528E0,-9.095086670E-1,-2.937491455E0
1.244369912E1,9.579030304E0,-9.235794067E-1,-2.752326508E0
1.294127275E1,9.189839630E0,-1.055006104E0,-3.293451233E0
1.343884475E1,1.017673737E1,-1.270557861E0,-2.852917328E0
1.393641504E1,9.434730377E0,-1.368603973E0,-2.622546387E0
1.443398604E1,9.276659088E0,-1.161285095E0,-2.602488098E0
1.493155663E1,9.446256409E0,-1.218166809E0,-2.507435760E0
1.542912662E1,9.463021545E0,-2.459535370E0,-1.607207794E0
1.592669550E1,9.802066498E0,-1.764979706E0,-2.441722412E0
1.642426450E1,9.077872467E0,-1.864971771E0,-2.294279022E0
1.692183350E1,8.878786469E0,-2.092947693E0,-2.079026642E0
1.741940250E1,9.376052399E0,-2.443818054E0,-1.150058441E0
1.791697037E1,9.638606415E0,-2.509082336E0,-6.674620056E-1
1.841453937E1,9.612410889E0,-2.483036499E0,-1.219514008E0
1.891210637E1,9.160650330E0,-2.120490417E0,-1.410367126E0
1.940967437E1,9.739197235E0,-2.053579559E0,-1.335971832E0
1.990724104E1,9.694140930E0,-2.290836182E0,-1.100511475E0
2.040480804E1,9.447154541E0,-2.231858826E0,-6.744973755E-1
2.090237442E1,9.849218445E0,-2.215542755E0,-1.135239258E0
2.139994042E1,9.988578644E0,-2.259850616E0,-8.195457458E-1
2.189750604E1,9.929750977E0,-2.225721588E0,-1.190324707E0
2.239507104E1,9.556427307E0,-2.184856567E0,-1.292412415E0
2.289263625E1,9.603429565E0,-2.233355713E0,-1.015488281E0
2.339020025E1,9.354646912E0,-1.853146362E0,-1.834135895E0
2.388776454E1,9.225166168E0,-1.404529266E0,-2.721490631E0
2.438532754E1,9.379195862E0,-1.554667053E0,-2.530637512E0
2.488289042E1,9.402696991E0,-1.507066040E0,-2.560126190E0
2.538045242E1,9.449399872E0,-1.528172150E0,-2.586770782E0
2.587801450E1,9.450447693E0,-1.530716858E0,-2.584675140E0
2.637557550E1,9.452393646E0,-1.526974640E0,-2.638114014E0
2.687313750E1,9.471853180E0,-1.539548492E0,-2.663860474E0
2.737069850E1,9.418114929E0,-1.562001801E0,-2.677781525E0
2.786825979E1,9.505233765E0,-1.576671295E0,-2.670746155E0
2.836581979E1,9.470056915E0,-1.584904175E0,-2.647993469E0
2.886337950E1,9.432335358E0,-1.558708649E0,-2.576891327E0
2.936093950E1,9.346863098E0,-1.570683746E0,-2.558030548E0
2.985849950E1,9.263636169E0,-1.479373627E0,-2.564167786E0
3.035605850E1,9.345515900E0,-1.524280243E0,-2.546504517E0
3.085361754E1,9.332343292E0,-1.579515381E0,-2.537523193E0
3.135117554E1,9.229806519E0,-1.513053589E0,-2.530787201E0
3.184873375E1,9.250613251E0,-1.585053864E0,-2.633773041E0
3.234629175E1,9.309740295E0,-1.579216003E0,-2.752925262E0
3.284384875E1,9.496701508E0,-1.567989349E0,-2.704426117E0
3.334140575E1,9.394913177E0,-1.522633667E0,-2.566862183E0
3.383896100E1,9.264085236E0,-1.531764679E0,-2.479443970E0
3.433651800E1,9.270072784E0,-1.584904175E0,-2.563269653E0
3.483407379E1,9.295370178E0,-1.538500671E0,-2.626887360E0
3.533162979E1,9.305998077E0,-1.579814758E0,-2.608924713E0
3.582918300E1,9.386231232E0,-1.586850128E0,-2.660417633E0
3.632673800E1,9.453591156E0,-1.577270050E0,-2.646646271E0
3.682429242E1,9.217082977E0,-1.508712616E0,-2.492466888E0
3.732184542E1,9.404942322E0,-1.455273743E0,-3.041674805E0
3.781939787E1,9.448352051E0,-1.468446350E0,-2.763104095E0
3.831694987E1,9.172326050E0,-1.356778564E0,-3.059787140E0
3.881450212E1,9.131011963E0,-1.082399139E0,-3.857927399E0
3.931205412E1,9.098529510E0,-9.907896423E-1,-3.790118408E0
