"Time (s)","X (hPa)"
-4.852812500E-1,1.011012802E3
5.527507500E-1,1.011026077E3
1.590824750E0,1.011039352E3
2.628920750E0,1.011043625E3
3.666956750E0,1.011043625E3
4.705001750E0,1.011028290E3
5.216985750E0,1.011022263E3
6.255014750E0,1.011005936E3
7.293081750E0,1.011012115E3
8.331106750E0,1.011012115E3
9.369137750E0,1.011026840E3
1.040715075E1,1.011037674E3
1.144516975E1,1.011043625E3
1.248316875E1,1.011050873E3
1.352122675E1,1.011050873E3
1.455924475E1,1.011038132E3
1.559722075E1,1.011024780E3
1.663527375E1,1.011002121E3
1.767334375E1,1.010988007E3
1.871140775E1,1.010982285E3
1.974949475E1,1.010973587E3
2.078756075E1,1.010973587E3
2.164336475E1,1.010981369E3
2.247717175E1,1.011002808E3
2.331102075E1,1.011015091E3
2.414487275E1,1.011026840E3
2.497873475E1,1.011037064E3
2.581258275E1,1.011037064E3
2.664647475E1,1.011035385E3
2.748033575E1,1.011030197E3
2.831419875E1,1.011030197E3
2.914808775E1,1.011029205E3
2.998196375E1,1.011029129E3
3.081585075E1,1.011028824E3
3.164970475E1,1.011028595E3
3.248354075E1,1.011028595E3
3.331736775E1,1.011038742E3
3.415119875E1,1.011049652E3
3.498504775E1,1.011061783E3
3.581885275E1,1.011076889E3
3.665269075E1,1.011092072E3
3.748649775E1,1.011109314E3
3.832031975E1,1.011127472E3
3.915414175E1,1.011141434E3
3.998795875E1,1.011151733E3
4.082176675E1,1.011157455E3
4.165558675E1,1.011157455E3
4.248938575E1,1.011147308E3
4.332318075E1,1.011130981E3
4.415698175E1,1.011118393E3
4.499076275E1,1.011094055E3
4.582451475E1,1.011083832E3
4.665828375E1,1.011066895E3
4.749202375E1,1.011058426E3
4.832578275E1,1.011038895E3
4.915955875E1,1.011029358E3
4.999327675E1,1.011019897E3
5.082704775E1,1.011003265E3
5.166083375E1,1.010998688E3
5.249463575E1,1.010993729E3
5.332844275E1,1.010984650E3
5.416223175E1,1.010972061E3
5.499598975E1,1.010971069E3
5.582976575E1,1.010969620E3
5.666353775E1,1.010969620E3
5.749732275E1,1.010972214E3
5.833109275E1,1.010983963E3
5.916488075E1,1.010988541E3
5.999861075E1,1.010993652E3
6.083234975E1,1.011009674E3
6.166610375E1,1.011027985E3
6.249985875E1,1.011039352E3
6.333365275E1,1.011054153E3
6.416741475E1,1.011067200E3
6.500119375E1,1.011067886E3
6.583493675E1,1.011068268E3
6.666869775E1,1.011070557E3
6.750244775E1,1.011070557E3
6.833622075E1,1.011070557E3
6.916997175E1,1.011070557E3
7.000374675E1,1.011070862E3
7.083750675E1,1.011070862E3
7.167127475E1,1.011069794E3
7.250503775E1,1.011069183E3
7.333883975E1,1.011068649E3
7.417263575E1,1.011067047E3
7.500642375E1,1.011067047E3
7.584016875E1,1.011068039E3
7.667394975E1,1.011068344E3
7.750771675E1,1.011069717E3
7.834146075E1,1.011082611E3
7.917521275E1,1.011103134E3
8.000897575E1,1.011122055E3
8.084273275E1,1.011129608E3
8.167649175E1,1.011129608E3
8.251025275E1,1.011108551E3
8.334401275E1,1.011083984E3
8.417780975E1,1.011072464E3
8.501162675E1,1.011063461E3
8.584543075E1,1.011063461E3
8.667923675E1,1.011080017E3
8.751305575E1,1.011094513E3
8.834687175E1,1.011096802E3
8.918070775E1,1.011098251E3
9.001449475E1,1.011098251E3
9.084826875E1,1.011089249E3
9.168205375E1,1.011073685E3
9.251587075E1,1.011053772E3
9.334966475E1,1.011026077E3
9.418343075E1,1.011008682E3
9.501719175E1,1.010989456E3
9.585098175E1,1.010966263E3
9.668478075E1,1.010946579E3
9.751857175E1,1.010926208E3
9.835237675E1,1.010902710E3
9.918614675E1,1.010874863E3
1.000199017E2,1.010842056E3
1.008536707E2,1.010804596E3
1.016874237E2,1.010764999E3
1.025211927E2,1.010711136E3
1.033550077E2,1.010662384E3
1.041888327E2,1.010614929E3
1.050226287E2,1.010566177E3
1.058564367E2,1.010521317E3
1.066902357E2,1.010477371E3
1.075240487E2,1.010432205E3
1.083578687E2,1.010398941E3
1.091916807E2,1.010373001E3
1.100923167E2,1.010351791E3
1.111304367E2,1.010351791E3
1.121685907E2,1.010352249E3
1.132067637E2,1.010358963E3
1.142449107E2,1.010374908E3
1.152830397E2,1.010399323E3
1.163211717E2,1.010432434E3
1.173592877E2,1.010478439E3
1.183973147E2,1.010531921E3
1.194354277E2,1.010588303E3
1.204735737E2,1.010648422E3
1.215116677E2,1.010694046E3
1.225497507E2,1.010730896E3
1.235878967E2,1.010759125E3
1.246260517E2,1.010779953E3
1.256641647E2,1.010795975E3
1.267023177E2,1.010825043E3
1.277404697E2,1.010862274E3
1.287786417E2,1.010896454E3
1.298167827E2,1.010933838E3
1.308550147E2,1.010957718E3
1.318932077E2,1.010958252E3
1.329313947E2,1.010958252E3
1.339695797E2,1.010947723E3
1.350077907E2,1.010926361E3
1.360459757E2,1.010919342E3
1.370841827E2,1.010918961E3
1.381223447E2,1.010919342E3
1.391605247E2,1.010924149E3
1.401987057E2,1.010936279E3
1.412369117E2,1.010957108E3
1.422751047E2,1.010958328E3
1.433133487E2,1.010961456E3
1.443515747E2,1.010962753E3
1.453898237E2,1.010962753E3
1.464280547E2,1.010956650E3
1.474662507E2,1.010956650E3
1.485044517E2,1.010962067E3
1.495426777E2,1.010975266E3
1.505808437E2,1.010987473E3
1.516190247E2,1.011001816E3
1.526571227E2,1.011030121E3
1.536952887E2,1.011057281E3
1.545752007E2,1.011070786E3
1.554090407E2,1.011081619E3
1.562428627E2,1.011081619E3
1.570766537E2,1.011055527E3
1.579104457E2,1.011024323E3
1.587442437E2,1.010992126E3
1.595780547E2,1.010963364E3
1.604118467E2,1.010963364E3
1.612456647E2,1.010971985E3
1.620794887E2,1.010989380E3
1.629133227E2,1.011014252E3
1.637471917E2,1.011036606E3
1.645810617E2,1.011049881E3
1.654149037E2,1.011049881E3
1.662487347E2,1.011046600E3
1.670825997E2,1.011040955E3
1.679164577E2,1.011028519E3
1.687502987E2,1.011003113E3
1.695841627E2,1.010978012E3
1.704180577E2,1.010953979E3
1.712519697E2,1.010913544E3
1.720858497E2,1.010875244E3
1.729197117E2,1.010834122E3
1.737535517E2,1.010797195E3
1.745873647E2,1.010751953E3
1.754211867E2,1.010738983E3
1.762550357E2,1.010706482E3
1.770888847E2,1.010698013E3
1.779227327E2,1.010698013E3
1.788020317E2,1.010718384E3
1.798403407E2,1.010720901E3
1.808786187E2,1.010746613E3
1.819169017E2,1.010759583E3
1.829551717E2,1.010760040E3
1.839934267E2,1.010760040E3
1.850317607E2,1.010757523E3
1.860700977E2,1.010750427E3
1.871084157E2,1.010742188E3
1.881467867E2,1.010731430E3
1.891850417E2,1.010724792E3
1.902233057E2,1.010724792E3
1.912616187E2,1.010738525E3
1.922999487E2,1.010760422E3
1.933383407E2,1.010783615E3
1.943767407E2,1.010804977E3
1.954150327E2,1.010829849E3
1.964533907E2,1.010859909E3
1.974917287E2,1.010887375E3
1.985300107E2,1.010906754E3
1.995683567E2,1.010923615E3
2.006066707E2,1.010923615E3
2.016450177E2,1.010905304E3
2.026833857E2,1.010885391E3
2.037216887E2,1.010863724E3
2.047599427E2,1.010841141E3
2.057981827E2,1.010826263E3
2.068364727E2,1.010819931E3
2.078747187E2,1.010815125E3
2.089130087E2,1.010813904E3
2.099513007E2,1.010815125E3
2.109895667E2,1.010816040E3
2.120278917E2,1.010820160E3
2.130661887E2,1.010820160E3
2.141045097E2,1.010808182E3
2.151427307E2,1.010806656E3
2.161810047E2,1.010805740E3
2.172193407E2,1.010805740E3
2.182576617E2,1.010807037E3
2.192959837E2,1.010812683E3
2.203342977E2,1.010818024E3
2.213726097E2,1.010820465E3
2.224109807E2,1.010820465E3
2.234492977E2,1.010820236E3
2.244875857E2,1.010820236E3
2.255258637E2,1.010828781E3
2.265641547E2,1.010850525E3
2.276024927E2,1.010867767E3
2.286407707E2,1.010886917E3
2.296790897E2,1.010908661E3
2.307173507E2,1.010925980E3
2.317556577E2,1.010935287E3
2.327939297E2,1.010948181E3
2.338322347E2,1.010960159E3
2.348706237E2,1.010970306E3
2.359089737E2,1.010978241E3
2.369473257E2,1.010978241E3
2.379856547E2,1.010974350E3
2.390240217E2,1.010973587E3
2.400624067E2,1.010971222E3
2.411007617E2,1.010969086E3
2.421390277E2,1.010967712E3
2.431772977E2,1.010965958E3
2.442155767E2,1.010965347E3
2.452538617E2,1.010965347E3
2.462921157E2,1.010967407E3
2.473303267E2,1.010980759E3
2.483686047E2,1.010997772E3
2.494068747E2,1.010997772E3
2.504451387E2,1.010982590E3
2.514834467E2,1.010963516E3
2.525217497E2,1.010943832E3
2.535600287E2,1.010930939E3
2.545983527E2,1.010893478E3
2.556367087E2,1.010860291E3
2.565055977E2,1.010860291E3
2.573394127E2,1.010860291E3
2.581732087E2,1.010850220E3
2.590069937E2,1.010850220E3
2.598407947E2,1.010874252E3
2.606745537E2,1.010874252E3
2.615083097E2,1.010856400E3
2.623421427E2,1.010856400E3
2.631759617E2,1.010861130E3
2.640097677E2,1.010869827E3
2.648435547E2,1.010883102E3
2.656773377E2,1.010893402E3
2.665111017E2,1.010902328E3
2.673448997E2,1.010911255E3
2.681786857E2,1.010911255E3
2.690125057E2,1.010925598E3
2.698463017E2,1.010925598E3
2.706801007E2,1.010916061E3
2.715139157E2,1.010903091E3
