"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.540574999E-2,2.845841408E1,6.993591309E0,-1.224664307E1
5.129909167E-1,2.396078873E1,6.533569336E0,-1.818927002E1
1.010576917E0,1.962175941E1,-9.714569092E0,-3.596936035E1
1.508162000E0,-1.446030712E1,-2.177389526E1,-2.854101562E1
2.005747000E0,-2.542282104E1,-2.227343750E1,-3.073370361E1
2.503331000E0,-2.271384621E1,-1.720416260E1,-2.599151611E1
3.000915000E0,-1.561843681E1,-1.873004150E1,-3.084020996E1
3.498498542E0,-1.448043156E1,-1.676254272E1,-3.506042480E1
3.996080542E0,-1.259299183E1,-1.411431885E1,-2.730065918E1
4.493662375E0,-1.191839409E1,-1.273245239E1,-2.821697998E1
4.991244375E0,-1.430672264E1,-1.870404053E1,-2.535021973E1
5.488825625E0,-1.059962463E1,-1.678811646E1,-2.509210205E1
5.986405625E0,-8.499489784E0,-1.702966309E1,-2.198162842E1
6.483983875E0,-1.017246342E1,-1.665017700E1,-2.558874512E1
6.981562875E0,-1.064203072E1,-1.953549194E1,-2.258239746E1
7.479142375E0,-1.227041245E1,-1.984448242E1,-2.347229004E1
7.976720375E0,-1.297812080E1,-2.446035767E1,-1.663964844E1
8.474297000E0,-1.274300575E1,-2.481591797E1,-1.411206055E1
8.971874000E0,-1.271156883E1,-2.617401123E1,-7.311218262E0
9.469449792E0,-1.458999920E1,-2.557037354E1,-6.062805176E0
9.967024792E0,-1.233390141E1,-2.717630005E1,-8.903808594E0
1.046460000E1,-1.210009861E1,-2.261972046E1,-5.702575684E0
1.096217500E1,-1.121726513E1,-2.420840454E1,-1.007080078E-1
1.145974913E1,-1.146803474E1,-2.699902344E1,-4.181762695E0
1.195732212E1,-7.484820366E0,-2.167703247E1,-1.120483398E0
1.245489575E1,-6.608646393E0,-2.702398682E1,-4.449279785E0
1.295246775E1,-7.523529053E0,-2.655407715E1,-2.396240234E0
1.345003975E1,-5.476977348E0,-2.573858643E1,-2.639831543E0
1.394761004E1,-6.496540070E0,-2.681726074E1,-4.212646484E-1
1.444518104E1,-3.358884811E0,-2.926617432E1,-8.319091797E-1
1.494275162E1,7.119814873E0,-2.539074707E1,-1.362854004E0
1.544032162E1,1.306650162E1,-2.400451660E1,-8.479309082E0
1.593789150E1,2.201895523E1,-2.730902100E1,-1.043908691E1
1.643546050E1,2.211814499E1,-2.362567139E1,-7.467407227E0
1.693302950E1,1.943373108E1,-2.383706665E1,-9.800598145E0
1.743059750E1,1.575617886E1,-2.815243530E1,-7.038146973E0
1.792816638E1,1.652403069E1,-2.416156006E1,-9.240844727E0
1.842573437E1,1.612028885E1,-2.165332031E1,-5.457641602E0
1.892330237E1,1.204012680E1,-2.378744507E1,-4.300720215E0
1.942086937E1,1.058699894E1,-2.241647339E1,-3.802001953E0
1.991843604E1,1.030541992E1,-2.186001587E1,-3.759399414E0
2.041600304E1,1.214885902E1,-1.832955933E1,-5.582153320E0
2.091357042E1,1.327545166E1,-1.850793457E1,-6.402893066E0
2.141113642E1,-4.319653034E0,-2.324728394E1,-6.024414062E0
2.190870104E1,-2.173262024E1,-2.610186768E1,-4.851806641E0
2.240626604E1,-2.925359726E1,-2.835263062E1,-1.824401855E0
2.290383125E1,-3.260234070E1,-3.006204224E1,-2.200805664E0
2.340139525E1,-3.199942207E1,-2.953192139E1,-4.757934570E0
2.389895954E1,-2.959523964E1,-2.930612183E1,-4.026611328E0
2.439652254E1,-2.856021881E1,-2.963751221E1,-3.699707031E0
2.489408542E1,-2.920463562E1,-2.928536987E1,-3.557250977E0
2.539164742E1,-2.900033569E1,-2.958511353E1,-3.220642090E0
2.588920950E1,-2.918180656E1,-2.943905640E1,-3.355468750E0
2.638677050E1,-2.916517258E1,-2.943841553E1,-3.510925293E0
2.688433250E1,-2.895993614E1,-2.942080688E1,-3.364257812E0
2.738189350E1,-2.902530861E1,-2.970239258E1,-3.918701172E0
2.787945379E1,-2.928775406E1,-2.942993164E1,-4.042175293E0
2.837701479E1,-2.918854713E1,-2.928945923E1,-3.930664062E0
2.887457450E1,-2.917131233E1,-2.962249756E1,-3.671691895E0
2.937213450E1,-2.932391930E1,-2.949624634E1,-3.636779785E0
2.986969450E1,-2.931358147E1,-2.927755737E1,-3.398620605E0
