"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.272291674E-3,7.872150280E-3,-1.831157506E-1,-2.143330127E-1
5.068152917E-1,-5.296084881E-1,-9.369076490E-1,3.106780350E-1
1.004357375E0,-2.675235271E-2,-2.444019794E0,1.236461759E0
1.501900375E0,-3.923532665E-1,-3.704865575E-1,-1.743031293E-1
1.999442375E0,-2.049790770E-1,-2.364726812E-1,-3.138229996E-2
2.496984375E0,-6.289144158E-1,-4.522451162E-1,5.804464817E-1
2.994526542E0,-8.846157789E-2,7.677338272E-2,-6.737530231E-2
3.492068542E0,-4.716237262E-2,7.896371186E-2,-6.584633142E-2
3.989610875E0,6.897833943E-2,-5.540286303E-1,-9.171286970E-2
4.487151875E0,-1.868141699E-4,-4.399837926E-2,-1.090711355E-2
4.984693500E0,9.979411960E-2,1.047830656E-1,2.487117425E-2
5.482234500E0,1.526061594E-1,-1.980287731E-1,-9.975266643E-3
5.979775375E0,-1.309133023E-1,-1.686993539E-1,5.134212971E-2
6.477316375E0,-2.746960148E-2,1.030727476E-1,1.659491658E-1
6.974857375E0,-3.118346073E-2,-7.787565887E-2,-5.300871283E-2
7.472398375E0,-3.611207381E-2,-4.727346823E-5,1.589662582E-2
7.969938625E0,-6.921616383E-3,1.758225262E-2,-3.016923089E-3
8.467479625E0,-2.073353902E-2,-4.414597899E-2,5.681964569E-3
8.965019000E0,1.194065204E-3,1.601322368E-2,-2.036413737E-2
9.462560000E0,-2.534583909E-3,5.664759129E-2,-1.103405096E-2
9.960101000E0,-2.565523610E-2,-1.857433468E-3,-2.824718133E-3
1.045764225E1,-2.176927216E-2,-5.499362946E-3,6.141421385E-3
1.095518225E1,-4.654669203E-3,3.746062890E-2,1.596221700E-2
1.145272375E1,-2.191470703E-3,1.959041134E-2,2.666090243E-2
1.195026375E1,-9.017023258E-3,3.022949025E-2,2.752507478E-2
1.244780300E1,-2.561578713E-2,-8.579622954E-3,1.848022453E-2
1.294534300E1,-1.823003590E-2,-2.116869017E-2,7.452924736E-3
1.344288354E1,-3.926921636E-2,-4.729983211E-2,8.262638934E-3
1.394042254E1,-2.032207325E-2,3.181595728E-2,-2.697262913E-2
1.443796237E1,6.092378870E-3,3.502843902E-5,-9.739988483E-3
1.493550237E1,1.888165064E-2,-2.781406417E-2,-1.279158518E-2
1.543304163E1,-1.949771494E-2,2.275331691E-2,2.950703725E-2
1.593058162E1,-4.954963177E-2,1.868296787E-2,5.920225382E-2
1.642812150E1,-9.299841523E-2,-5.897028837E-3,1.324798074E-2
1.692566050E1,-1.851647496E-1,7.363353856E-3,-2.364568599E-2
1.742320017E1,-2.171805352E-1,4.067922384E-2,-6.102780253E-2
1.792073917E1,-2.237626910E-1,-6.803069264E-2,-1.230600849E-1
1.841827838E1,-2.937027812E-1,-2.062073350E-2,-5.632671714E-2
1.891581738E1,-3.999338746E-1,-4.608831182E-2,-9.921874106E-2
1.941335600E1,-3.975029886E-1,-2.571334131E-2,-1.122503653E-1
1.991089500E1,-3.663102388E-1,-2.984129079E-2,-1.037679985E-1
2.040843288E1,-2.645435631E-1,-8.111868054E-2,-7.854062319E-2
2.090597188E1,-3.359598517E-1,2.026877552E-1,-1.185045764E-1
2.140350992E1,-3.399001360E-1,-9.241177887E-2,-1.012920588E-1
2.190104792E1,-2.255978435E-1,7.848505676E-2,-1.542828083E-1
2.239858604E1,-1.428440213E-1,3.490182757E-2,-2.577281930E-2
2.289612304E1,-7.498367876E-2,2.988949977E-2,-3.334033489E-2
2.339365992E1,-2.229245007E-2,2.895205468E-2,-7.145259529E-3
2.389119792E1,1.290535275E-2,1.116830576E-2,1.213323791E-2
2.438873388E1,1.520527713E-2,-7.543759421E-3,9.281609207E-3
2.488627087E1,1.783835329E-2,6.966907531E-3,-3.549036570E-3
2.538380787E1,1.306487620E-2,7.092686370E-3,-1.113936305E-3
2.588134388E1,1.169762295E-2,3.783669090E-3,7.314216346E-3
2.637888063E1,2.447889186E-3,-1.781338267E-2,-3.904486075E-4
2.687641663E1,-1.736111008E-2,-9.518831223E-2,3.300609812E-2
2.737395088E1,3.693625797E-3,1.945619285E-2,4.389602691E-5
2.787148687E1,7.831128314E-3,3.953780979E-4,1.957423985E-3
2.836902250E1,7.221138570E-3,3.903708421E-3,8.646855131E-4
2.886655750E1,1.756959362E-3,-8.515214548E-3,-1.648589969E-3
2.936409204E1,-5.967485253E-3,2.041718177E-2,-2.127709333E-3
