"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.161520832E-2,3.255022162E-1,-4.853770790E-1,5.762431026E-1
5.092542083E-1,-4.049606144E-2,-3.913845491E-1,-9.497047663E-3
1.006892125E0,1.302066752E-1,-2.514478147E-1,2.434312820E-2
1.504530125E0,-2.291333780E-2,-3.246903303E-1,1.271781099E-1
2.002168083E0,2.650528237E-2,-5.932058752E-2,3.145603216E-1
2.499806083E0,-2.819819748E-4,-2.429994652E-1,7.717739940E-2
2.997444625E0,1.313461514E-1,-1.163230464E-1,1.531034946E-2
3.495082625E0,-1.404303856E-1,-1.087006161E-1,-9.054998159E-2
3.992721583E0,-7.614478111E-2,-1.633390456E-1,-1.971154869E-1
4.490359583E0,-4.653301924E-2,-6.431264788E-2,-3.006579816E-2
4.987996958E0,7.232859582E-3,-1.173746681E-1,4.665142536E-2
5.485635958E0,1.079400395E-1,5.475019911E-1,-4.035835952E-1
5.983273833E0,9.474462792E-2,5.376584959E-1,-1.969944495E-1
6.480911833E0,-1.089774817E-2,2.515387389E-1,-8.317138016E-2
6.978549333E0,1.028297192E-1,2.296812621E-1,-6.696699142E-2
7.476186333E0,-1.068607897E-2,1.237443325E-1,-1.320745683E-1
7.973822833E0,5.253694028E-2,8.457675844E-2,-9.534762204E-2
8.471459833E0,-1.723115981E-2,1.167966709E-1,-5.735416889E-2
8.969095125E0,2.129322052E-2,5.906681836E-2,-5.429315150E-2
9.466730125E0,4.493658319E-2,6.113000840E-2,-4.021773398E-2
9.964366208E0,-4.457551762E-2,2.143092245E-2,-4.043817401E-2
1.046200121E1,2.984287307E-2,2.769007444E-2,-1.055656314E-2
1.095963533E1,3.855332404E-2,4.844271988E-2,-2.157096326E-2
1.145726933E1,-3.863650069E-2,-1.534426332E-2,-2.527809799E-2
1.195490363E1,5.048983008E-2,-3.099112004E-2,-1.635407746E-2
1.245253763E1,5.135784924E-2,1.745803177E-2,-5.940010965E-2
1.295017008E1,3.441086411E-3,-3.240234554E-3,-6.881588101E-3
