"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.241938591E-3,5.200719417E1,4.357054782E0,1.245739750E0,2.408699751E0,8.270844089E1,5.969461526E0,2.400000095E0
9.789382219E-1,5.200720641E1,4.357128219E0,1.148506255E0,2.632374287E0,7.160124190E1,3.715270216E0,2.400000095E0
1.978976250E0,5.200720309E1,4.357155716E0,1.365875001E0,1.940156341E0,5.917860312E1,3.626968116E0,2.400000095E0
2.979014158E0,5.200720424E1,4.357171490E0,1.284652337E0,1.940156341E0,5.392551146E1,3.578657801E0,2.400000095E0
3.979084015E0,5.200719577E1,4.357175999E0,1.377599885E0,1.626382709E0,5.859242263E1,3.457809796E0,2.400000095E0
4.979154229E0,5.200720339E1,4.357196214E0,1.377600158E0,1.626382709E0,5.859243856E1,4.759492000E0,3.342420221E0
5.979220867E0,5.200720585E1,4.357210882E0,1.489815298E0,1.180587530E0,6.413967540E1,4.790552714E0,3.297747978E0
6.979294181E0,5.200720750E1,4.357211776E0,1.584755125E0,4.517468810E-1,6.413966788E1,4.787516877E0,3.302153720E0
7.979360938E0,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.812031694E0,3.266326378E0
8.979423881E0,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.830282619E0,3.239275667E0
9.979495049E0,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.840203932E0,3.224432187E0
1.097955179E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.850553714E0,3.208841800E0
1.197960639E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.861175408E0,3.192727782E0
1.297967398E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.858415236E0,3.196926403E0
1.397973812E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.868551531E0,3.181468689E0
1.497979641E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.823419415E0,3.249486449E0
1.597985327E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.924108278E0,3.094785082E0
1.697990835E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.925927694E0,3.091888320E0
1.797996223E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,5.014898205E0,2.945391829E0
1.898000860E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.993779597E0,2.981057257E0
1.998005605E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,4.921821188E0,3.098421087E0
2.098009872E1,5.200720573E1,4.357205856E0,1.584755111E0,0.000000000E0,NaN,5.030154140E0,2.935775109E0
2.198014081E1,5.200721491E1,4.357198630E0,2.448706883E0,4.490927979E-2,6.413966368E1,4.997628555E0,2.974600117E0
2.298017931E1,5.200722024E1,4.357206319E0,2.345592560E0,1.751970947E-1,6.413966502E1,4.991250976E0,2.985289052E0
2.398021936E1,5.200722223E1,4.357213510E0,2.326214162E0,4.044578373E-1,6.413966739E1,5.014618248E0,2.945868440E0
2.498025215E1,5.200719352E1,4.357247618E0,1.762839284E0,2.117056171E0,5.904522713E1,4.773980647E0,3.321693216E0
2.598028636E1,5.200721076E1,4.357299892E0,1.678165444E0,3.196490920E0,5.777182709E1,4.769578665E0,3.328010876E0
2.698031819E1,5.200721675E1,4.357329121E0,1.465188060E0,2.412964740E0,5.389832343E1,4.770373651E0,3.326871243E0
2.798034871E1,5.200722535E1,4.357353463E0,1.644130833E0,2.174355018E0,5.089582933E1,4.761960681E0,3.338902141E0
2.898037732E1,5.200723546E1,4.357378522E0,1.478812459E0,2.102142398E0,5.080649958E1,4.761473788E0,3.339596443E0
2.998040426E1,5.200724557E1,4.357403598E0,1.783103504E0,1.918862090E0,5.342310497E1,4.764674670E0,3.335028084E0
3.098043144E1,5.200725482E1,4.357432344E0,1.506929632E0,2.261326387E0,5.817886131E1,4.768510132E0,3.329541733E0
3.198045647E1,5.200726244E1,4.357473504E0,1.147653612E0,2.398430123E0,6.209791708E1,4.772128388E0,3.324353724E0
3.298048007E1,5.200726766E1,4.357505589E0,1.072377438E0,2.123525245E0,6.886832660E1,4.771595987E0,3.325117858E0
3.398050296E1,5.200727127E1,4.357541660E0,9.559674822E-1,2.365318377E0,7.993621997E1,4.778459927E0,3.315246260E0
3.498052561E1,5.200727136E1,4.357604097E0,1.594715067E0,2.775989456E0,9.809967884E1,4.777117697E0,3.317180058E0
3.598054612E1,5.200725998E1,4.357668957E0,2.350066737E0,3.326919255E0,1.146275733E2,4.784491099E0,3.306536247E0
3.698056638E1,5.200723804E1,4.357722430E0,2.792518565E0,3.795860447E0,1.290752627E2,4.777084464E0,3.317227918E0
3.798058617E1,5.200719746E1,4.357779754E0,2.545532881E0,4.669293372E0,1.412826289E2,4.773191523E0,3.322827068E0
3.898060429E1,5.200714806E1,4.357831477E0,2.688827587E0,5.646274654E0,1.493163477E2,4.761273457E0,3.339882049E0
