"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.274791656E-3,3.825744324E0,-6.868766327E0,5.687872009E0
5.009447917E-1,3.810326385E0,-6.877597961E0,5.689368896E0
9.986137917E-1,3.794908447E0,-6.919211426E0,5.664819946E0
1.496282792E0,3.764821014E0,-7.016509094E0,5.691464539E0
1.993951167E0,3.758833466E0,-7.042704620E0,5.758824463E0
2.491619167E0,3.762575684E0,-7.031927032E0,5.723797302E0
2.989288583E0,3.800297241E0,-6.957531738E0,5.645959167E0
3.486955583E0,3.821403351E0,-6.901099091E0,5.685177612E0
3.984621708E0,3.786675568E0,-6.882238312E0,5.678441620E0
4.482286708E0,3.814367981E0,-7.017407227E0,5.640420685E0
4.979950542E0,3.725602570E0,-7.032974854E0,5.783373413E0
5.477614542E0,3.749702454E0,-7.059320068E0,5.763464813E0
5.975278542E0,3.791615295E0,-7.001989288E0,5.679040375E0
6.472941542E0,3.843856659E0,-6.867568817E0,5.661676483E0
6.970604667E0,3.812871094E0,-6.877597961E0,5.710025940E0
7.468266667E0,3.783382416E0,-6.953939209E0,5.636828156E0
7.965929333E0,3.798650665E0,-7.019053802E0,5.689967651E0
8.463591333E0,3.767515411E0,-6.977440338E0,5.761369171E0
8.961252333E0,3.704047394E0,-6.983577576E0,5.817652130E0
9.458913333E0,3.769611053E0,-7.061565399E0,5.679788818E0
9.956574417E0,3.848347321E0,-7.025191040E0,5.626349945E0
1.045423542E1,3.855981445E0,-6.914271698E0,5.667065277E0
1.095189592E1,3.814966736E0,-6.838978271E0,5.742209015E0
1.144955492E1,3.969445496E0,-6.913972321E0,5.712870026E0
1.194721354E1,5.507497101E0,-6.012097778E0,6.032754822E0
1.244487154E1,4.924758911E0,-5.593717804E0,6.053711243E0
1.294252942E1,5.770799561E0,-6.205794983E0,5.387446747E0
1.344018642E1,5.120402069E0,-6.363267517E0,5.476062469E0
1.393784321E1,5.171146545E0,-6.623426514E0,4.875511322E0
1.443549921E1,4.849166107E0,-7.458390198E0,4.630470886E0
1.493315554E1,4.860841827E0,-7.878117371E0,3.759881287E0
1.543081054E1,4.627477112E0,-8.261470184E0,3.962110748E0
1.592846417E1,3.792962494E0,-7.274572449E0,4.041445770E0
1.642611917E1,5.104684753E0,-7.799979858E0,3.945345612E0
1.692377271E1,5.207969971E0,-7.862250366E0,3.670816498E0
1.742142671E1,5.619763641E0,-7.790848846E0,3.370840302E0
1.791907929E1,5.730383606E0,-7.405250702E0,4.337679749E0
1.841673229E1,5.322332153E0,-6.692133636E0,5.071453857E0
1.891438454E1,4.980443115E0,-5.664520569E0,6.035898285E0
1.941203554E1,5.444777527E0,-6.657555542E0,5.191653900E0
1.990968692E1,5.367538147E0,-6.673721924E0,5.480403442E0
2.040733792E1,5.122797089E0,-6.118975525E0,5.730084229E0
2.090498829E1,4.833598480E0,-6.427933044E0,5.862558746E0
2.140263829E1,3.436254272E0,-6.858288116E0,5.410049744E0
2.190028779E1,3.851939850E0,-6.536307678E0,5.309309235E0
2.239793779E1,4.251758423E0,-6.349496155E0,5.754184113E0
2.289558692E1,4.115841064E0,-6.148464203E0,5.579048309E0
2.339323592E1,4.635410614E0,-6.688541107E0,5.769152985E0
2.389088329E1,3.840114441E0,-6.879693604E0,5.235662384E0
2.438853129E1,3.807482300E0,-6.984475708E0,5.609584808E0
2.488617896E1,3.869902496E0,-6.432573395E0,5.569468231E0
2.538382596E1,4.313729553E0,-6.705306244E0,6.000272369E0
