"Time (s)","X (hPa)"
-5.417417084E-1,1.014869080E3
4.970922917E-1,1.014868317E3
1.535963292E0,1.014867630E3
2.574757292E0,1.014866180E3
3.613596292E0,1.014866180E3
4.652453292E0,1.014866638E3
5.163557292E0,1.014866638E3
6.202368292E0,1.014866638E3
7.241184292E0,1.014866638E3
8.280019292E0,1.014866562E3
9.318863292E0,1.014866409E3
1.035773429E1,1.014864273E3
1.139652829E1,1.014856796E3
1.243543229E1,1.014851303E3
1.347428029E1,1.014842911E3
1.451316929E1,1.014832458E3
1.555205029E1,1.014820480E3
1.659092929E1,1.014809036E3
1.762982429E1,1.014796906E3
1.866873329E1,1.014785156E3
1.970758929E1,1.014773712E3
2.074648029E1,1.014762573E3
2.178530229E1,1.014752197E3
2.282414429E1,1.014743652E3
2.386299629E1,1.014737091E3
2.490185229E1,1.014727478E3
2.594066429E1,1.014713898E3
2.697953329E1,1.014704285E3
2.801840929E1,1.014691696E3
2.905719629E1,1.014677353E3
3.009601229E1,1.014671173E3
3.113483929E1,1.014671173E3
3.217367629E1,1.014676743E3
3.321255229E1,1.014684448E3
3.425138429E1,1.014688034E3
3.529021129E1,1.014690857E3
3.632908129E1,1.014690857E3
3.736791529E1,1.014691162E3
3.840674529E1,1.014691925E3
3.944560729E1,1.014698334E3
4.048444929E1,1.014711533E3
4.152319829E1,1.014730835E3
4.256198029E1,1.014754639E3
4.360076629E1,1.014779892E3
4.463956429E1,1.014806366E3
4.567834329E1,1.014827194E3
4.671713929E1,1.014840317E3
4.775591329E1,1.014848480E3
4.879471429E1,1.014851685E3
4.983351629E1,1.014851685E3
5.087231829E1,1.014847107E3
5.191110029E1,1.014841080E3
5.294989729E1,1.014831772E3
5.398873229E1,1.014819717E3
5.502759729E1,1.014810104E3
5.606643229E1,1.014804382E3
5.710526229E1,1.014795685E3
5.814410029E1,1.014781799E3
5.918291629E1,1.014770889E3
6.022182129E1,1.014763260E3
6.126074129E1,1.014754105E3
6.229960829E1,1.014749908E3
6.333850529E1,1.014749908E3
6.437738429E1,1.014749908E3
6.541629129E1,1.014748993E3
6.645514329E1,1.014748993E3
6.749402929E1,1.014749451E3
6.853288629E1,1.014749451E3
6.957173829E1,1.014749298E3
7.061061729E1,1.014746094E3
7.164950629E1,1.014739304E3
7.268839429E1,1.014730225E3
7.372730329E1,1.014719086E3
7.476621629E1,1.014708710E3
7.580518329E1,1.014698944E3
7.684414129E1,1.014682922E3
7.788303329E1,1.014671402E3
7.892195929E1,1.014666061E3
7.996087729E1,1.014661179E3
8.099979329E1,1.014661179E3
8.203871229E1,1.014675446E3
8.307759129E1,1.014688568E3
8.411647329E1,1.014689484E3
8.515530529E1,1.014689484E3
8.619412229E1,1.014687119E3
8.723295229E1,1.014682312E3
8.827180429E1,1.014676743E3
8.931063129E1,1.014676743E3
9.034949429E1,1.014677353E3
9.138837529E1,1.014677353E3
9.242721429E1,1.014676819E3
9.346607029E1,1.014676819E3
9.450490129E1,1.014680939E3
9.554382229E1,1.014690704E3
9.658276629E1,1.014700394E3
9.762175829E1,1.014712677E3
9.866070929E1,1.014716187E3
9.969959729E1,1.014716187E3
1.007385513E2,1.014713821E3
1.017775393E2,1.014708862E3
1.028164943E2,1.014708862E3
1.038554303E2,1.014712906E3
1.048943433E2,1.014734802E3
1.059332853E2,1.014758148E3
1.069722263E2,1.014787674E3
1.080111193E2,1.014821091E3
1.090500203E2,1.014841003E3
1.100889063E2,1.014850693E3
1.111277663E2,1.014851685E3
1.121667363E2,1.014851685E3
1.132055493E2,1.014848709E3
1.142444293E2,1.014842453E3
1.152833103E2,1.014837036E3
1.163222183E2,1.014836960E3
1.173610773E2,1.014836960E3
1.183999243E2,1.014838257E3
1.194387613E2,1.014841461E3
1.204776013E2,1.014842987E3
1.215164303E2,1.014842987E3
1.225552573E2,1.014840698E3
1.235941123E2,1.014836884E3
1.246329283E2,1.014831009E3
1.256717933E2,1.014828033E3
1.267106303E2,1.014828033E3
1.277494723E2,1.014829407E3
1.287883483E2,1.014835129E3
1.298272563E2,1.014843521E3
1.308661713E2,1.014850311E3
1.319051443E2,1.014855423E3
1.329441833E2,1.014860840E3
1.339832623E2,1.014860840E3
1.350223053E2,1.014854584E3
1.360613113E2,1.014849777E3
1.371002683E2,1.014844284E3
1.381392203E2,1.014843979E3
1.391782673E2,1.014843979E3
1.402173123E2,1.014853668E3
1.412563243E2,1.014857788E3
1.422953613E2,1.014857788E3
1.433343163E2,1.014857712E3
1.443732573E2,1.014852600E3
1.454122513E2,1.014847260E3
1.464512513E2,1.014845505E3
1.474902873E2,1.014845123E3
