"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.274791656E-3,3.800660938E-2,1.383457071E-1,-4.242622733E-2
5.009447917E-1,1.808894634E-2,1.436175567E-1,-1.784921050E-2
9.986137917E-1,-6.296281815E-3,8.772460699E-2,-5.135024786E-2
1.496282792E0,-3.475672692E-2,1.757673025E-3,-3.451494455E-2
1.993951167E0,-3.892549932E-2,-5.111109674E-2,1.925312698E-2
2.491619167E0,-4.791237742E-2,-1.140616357E-2,2.217790425E-2
2.989288583E0,-2.838823199E-4,1.994017482E-2,-8.020391822E-2
3.486955583E0,1.604505211E-2,1.009995407E-1,-3.256665230E-2
3.984621708E0,-4.718995392E-3,1.398116040E-1,-4.129128277E-2
4.482286708E0,8.852099776E-3,-4.426342249E-4,-7.609449506E-2
4.979950542E0,-6.463044405E-2,-4.727006078E-2,4.025223255E-2
5.477614542E0,-5.465597123E-2,-6.614838123E-2,5.177358627E-2
5.975278542E0,-1.426808327E-2,-1.686336994E-3,-3.895298123E-2
6.472941542E0,3.252923012E-2,1.266004050E-1,-6.194891095E-2
6.970604667E0,1.541092157E-2,1.450811148E-1,-1.352811813E-2
7.468266667E0,-1.754457057E-3,5.850080788E-2,-8.571725786E-2
7.965929333E0,2.734450400E-3,-8.474369645E-3,-5.118594110E-2
8.463591333E0,-2.580814809E-2,9.875947237E-3,8.699487448E-3
8.961252333E0,-1.102615303E-1,2.301814914E-2,1.076571804E-1
9.458913333E0,-3.309874892E-2,-6.450706780E-2,-3.020203829E-2
9.956574417E0,2.645485014E-2,-3.823845148E-2,-8.816256344E-2
1.045423542E1,4.508700281E-2,6.598582864E-2,-6.974675775E-2
1.095189592E1,1.496039361E-2,1.508850610E-1,3.601066232E-2
1.144955492E1,9.695092857E-2,2.207499325E-2,-1.367722213E-2
1.194721354E1,1.568398947E0,7.144759583E-1,3.856203640E-1
1.244487154E1,9.747393277E-1,1.168613411E0,2.191969121E-1
1.294252942E1,1.624155364E0,5.646960211E-1,-3.272803545E-1
1.344018642E1,7.696268964E-1,3.533659530E-1,-2.309907460E-1
1.393784321E1,6.959779993E-1,3.759116471E-2,-7.149729717E-1
1.443549921E1,3.595961612E-1,-7.406457567E-1,-8.707720327E-1
1.493315554E1,2.557911265E-1,-1.067624395E0,-1.572529128E0
1.543081054E1,3.879218280E-2,-1.571816937E0,-1.567887608E0
1.592846417E1,-8.678607041E-1,-6.533468270E-1,-1.488250285E0
1.642611917E1,5.311645782E-1,-1.207952893E0,-1.655198232E0
1.692377271E1,6.486962441E-1,-1.291734138E0,-2.017000548E0
1.742142671E1,1.246683680E0,-1.102317680E0,-2.479628742E0
1.791907929E1,1.579472696E0,-7.450522184E-1,-1.677881920E0
1.841673229E1,1.282590262E0,-1.508710277E-1,-1.004935811E0
1.891438454E1,6.057455215E-1,7.522214895E-1,1.510189623E-1
1.941203554E1,1.071241482E0,-7.931572616E-2,-5.956482571E-1
1.990968692E1,8.908361685E-1,-2.426962870E-1,-3.650030816E-1
2.040733792E1,5.355496976E-1,1.979604095E-1,-5.012701035E-2
2.090498829E1,2.207765374E-1,-4.966040254E-2,-3.033535480E-3
2.140263829E1,-1.256295041E0,-3.152385986E-1,-2.895079261E-1
2.190028779E1,-7.246945524E-1,1.307022268E-1,-3.390841287E-1
2.239793779E1,-3.353366482E-1,2.971338648E-1,5.426274598E-2
2.289558692E1,-4.131022775E-1,3.576940620E-1,-6.086132884E-2
2.339323592E1,3.930849195E-2,8.414728045E-3,1.466622019E-1
2.389088329E1,-6.168844673E-1,-3.801526326E-1,-5.036838341E-1
2.438853129E1,-5.185892639E-1,-2.200634694E-1,-1.296596682E-1
2.488617896E1,-3.634331042E-1,1.852099711E-1,-1.738967782E-1
2.538382596E1,1.235616070E-1,2.196857393E-2,2.375980997E-1
2.588147267E1,-2.071966714E-1,5.387250280E-1,3.019385219E-2
2.637911867E1,1.979759046E-1,-1.231131256E-2,2.767884779E-1
2.687676442E1,1.356893170E-1,-4.898990232E-1,-4.857983708E-1
2.737441042E1,-9.125690997E-2,-8.400209409E-1,-5.470011771E-1
2.787205546E1,-1.502471298E-1,-3.270838881E-1,-3.497126126E-1
2.836970046E1,5.039130449E-3,-5.874054372E-2,-2.254861772E-2
2.886734504E1,-1.863498858E-1,-1.005013579E-1,-1.326160204E-1
2.936498904E1,-3.472626293E-1,-8.638267100E-2,-1.825260991E-1
2.986263317E1,-4.541941702E-2,-2.152272373E-1,-1.530286503E-1
3.036027717E1,-1.027156985E-1,-7.921807766E-3,1.103416371E-1
3.085792054E1,-2.930481228E-1,2.719247639E-1,-5.427911818E-2
3.135556254E1,-2.548760372E-1,2.093642342E-1,-4.772497416E-2
3.185320458E1,-1.112356764E-1,-1.817069042E-1,-1.039108694E-1
3.235084658E1,-1.226433018E-1,-2.880730194E-1,-3.057333648E-1
3.284848733E1,-2.953624508E-1,3.745726347E-3,2.673814774E-2
3.334612833E1,-2.082509243E-1,-1.734810412E-2,3.814372659E-2
3.384376829E1,-1.953589833E-1,-1.966617429E-1,-2.132409382E-1
3.434140829E1,-9.789554626E-2,-2.739420533E-3,1.523649913E-1
3.483904846E1,-1.763988018E-2,-1.312840247E-1,-1.265395939E-1
3.533668846E1,-7.948207945E-2,9.454070628E-2,1.414207578E-2
3.583432804E1,9.895740062E-2,-1.317389381E-1,-3.297829628E-1
3.633196704E1,1.032787853E-1,-1.105474591E-1,9.667260110E-2
3.682960583E1,9.339172840E-2,1.117654341E-1,-2.666318643E-1
3.732724483E1,6.875068456E-2,-9.367005587E-2,2.126088542E-1
3.782488233E1,-1.161593243E-1,1.499167621E-1,-6.470645785E-2
3.832252133E1,-1.422683117E-1,-3.785136580E-1,-2.316789633E-1
3.882015967E1,-3.649881712E-1,1.529736865E-1,4.922887802E-2
3.931779767E1,-1.905142727E-1,-4.855048406E-1,-2.131462133E-1
3.981543529E1,-1.674037376E-1,-2.934705842E-1,-3.382386214E-1
4.031307329E1,-2.987585136E-1,6.590981483E-2,2.346370697E-2
4.081071167E1,-7.105741113E-2,-1.736143577E-1,-9.850921154E-2
4.130834867E1,-5.040981093E-1,9.298768580E-2,-2.984278536E-1
4.180598617E1,-6.730697778E-1,-3.044352829E-1,5.838561773E-2
4.230362417E1,-2.415832695E-1,-4.350363529E-1,1.132465339E-1
4.280126129E1,-2.320458761E-1,-2.892453861E-1,1.009498394E-1
4.329889829E1,-5.839666897E-1,2.623569649E-1,-1.256894088E-1
4.379653546E1,-1.841720903E-1,-2.382290143E-1,1.516124547E-1
4.429417146E1,-2.876090428E-1,-8.157099724E-2,-9.600543380E-2
4.479180883E1,-1.654341030E-1,-6.068240404E-3,-1.349163151E-1
4.528944483E1,-1.248333764E-1,-6.968126893E-2,-1.824290353E-1
4.578708029E1,-1.830236971E-1,-1.679098141E-1,7.828193843E-2
4.628471629E1,2.133505735E-1,4.686075568E-2,-1.806719470E-1
4.678235158E1,3.532832149E-1,2.017815650E-1,6.745172560E-2
4.727998758E1,3.387596083E-1,1.502208173E-1,8.776670694E-2
4.777762279E1,2.126380903E-1,1.643090987E-1,5.133270621E-3
4.827525779E1,1.572898087E-1,1.342286825E-1,4.224788725E-2
4.877289204E1,1.292804763E-1,-1.057457256E-1,-1.442818004E-1
4.927052704E1,-6.417026818E-3,-1.711263674E-1,-2.973075271E-2
4.976816229E1,-5.474894196E-2,-1.754041904E-1,4.814480424E-2
5.026579629E1,-1.052639151E-1,2.339745802E-1,1.393216074E-1
5.076343029E1,2.265287358E-1,2.588784564E-1,5.508895755E-2
