"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.034159899E-1,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
5.063140392E-1,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
1.207825065E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
1.409057021E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
2.211585045E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
2.411431074E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
3.220517039E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
3.414368033E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
4.219070077E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
4.415253997E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
5.120760083E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
5.320472002E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
6.125115991E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
6.322635055E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
7.123555064E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
7.323886991E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
8.228049994E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
8.426697016E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
9.133048058E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
9.331997991E0,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
1.013806307E1,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
1.034057200E1,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
1.114198506E1,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
1.134008801E1,5.205581358E1,4.275477450E0,2.000000000E0,0.000000000E0,5.000000000E1,1.000000000E1,1.900000000E1
1.214637899E1,5.205581583E1,4.275481983E0,1.000000000E0,4.115555556E-1,5.000000000E1,1.000000000E1,1.900000000E1
1.234214997E1,5.205581583E1,4.275481983E0,1.000000000E0,4.115555556E-1,4.990000000E1,1.000000000E1,1.900000000E1
1.324698007E1,5.205581583E1,4.275481983E0,1.000000000E0,0.000000000E0,4.990000000E1,1.000000000E1,1.900000000E1
1.344704700E1,5.205582053E1,4.275490950E0,1.000000000E0,8.231111111E-1,5.010000000E1,1.000000000E1,1.900000000E1
1.425036907E1,5.205583420E1,4.275518450E0,1.000000000E0,3.241000000E0,5.270000000E1,1.000000000E1,1.900000000E1
1.445087600E1,5.205584057E1,4.275532700E0,1.000000000E0,3.652555556E0,5.560000000E1,1.000000000E1,1.900000000E1
1.525326502E1,5.205585313E1,4.275568483E0,1.000000000E0,4.064111111E0,6.600000000E1,1.000000000E1,1.900000000E1
1.545366108E1,5.205585817E1,4.275590450E0,1.000000000E0,4.424222222E0,7.220000000E1,1.000000000E1,1.900000000E1
1.625862098E1,5.205586262E1,4.275630850E0,1.000000000E0,4.424222222E0,8.800000000E1,1.000000000E1,1.900000000E1
1.646796405E1,5.205586237E1,4.275648533E0,1.000000000E0,4.064111111E0,9.500000000E1,1.000000000E1,1.900000000E1
1.726165497E1,5.205585582E1,4.275694133E0,1.000000000E0,4.424222222E0,1.134000000E2,1.000000000E1,1.900000000E1
1.736082399E1,5.205584920E1,4.275715083E0,1.000000000E0,4.835777778E0,1.217000000E2,1.000000000E1,1.900000000E1
1.816753399E1,5.205582792E1,4.275754983E0,2.000000000E0,5.247333333E0,1.502568207E2,1.000000000E1,1.900000000E1
1.836381602E1,5.205581383E1,4.275773333E0,2.000000000E0,5.658888889E0,1.502568207E2,1.000000000E1,1.900000000E1
1.916911507E1,5.205577720E1,4.275811383E0,2.000000000E0,6.842111111E0,1.502568207E2,1.000000000E1,1.900000000E1
1.936812198E1,5.205575833E1,4.275829167E0,2.000000000E0,7.253666667E0,1.502568207E2,1.000000000E1,1.900000000E1
2.017402399E1,5.205571073E1,4.275871733E0,2.000000000E0,8.488333333E0,1.502568207E2,1.000000000E1,1.900000000E1
2.037416601E1,5.205568835E1,4.275891017E0,2.000000000E0,8.848444444E0,1.520926819E2,1.000000000E1,1.900000000E1
2.117485404E1,5.205563378E1,4.275937617E0,2.000000000E0,9.723000000E0,1.520926819E2,1.000000000E1,1.900000000E1
2.137549603E1,5.205560813E1,4.275959583E0,2.000000000E0,1.008311111E1,1.520926819E2,1.000000000E1,1.900000000E1
2.207639909E1,5.205555683E1,4.276003417E0,2.000000000E0,1.085477778E1,1.520926819E2,1.000000000E1,1.900000000E1
2.227642298E1,5.205553120E1,4.276025467E0,2.000000000E0,1.085477778E1,1.520926819E2,1.000000000E1,1.900000000E1
2.319341099E1,5.205546070E1,4.276085900E0,2.000000000E0,1.126633333E1,1.520926819E2,1.000000000E1,1.900000000E1
2.338584697E1,5.205543505E1,4.276107950E0,2.000000000E0,1.126633333E1,1.520926819E2,1.000000000E1,1.900000000E1
2.418598998E1,5.205536783E1,4.276166033E0,2.000000000E0,1.172933333E1,1.533772583E2,1.000000000E1,1.900000000E1
2.439010000E1,5.205533908E1,4.276191000E0,2.000000000E0,1.208944444E1,1.533772583E2,1.000000000E1,1.900000000E1
2.519374001E1,5.205527227E1,4.276250183E0,2.000000000E0,1.214088889E1,1.520030823E2,1.000000000E1,1.900000000E1
2.539634597E1,5.205524378E1,4.276276083E0,2.000000000E0,1.214088889E1,1.520030823E2,1.000000000E1,1.900000000E1
2.619478202E1,5.205517798E1,4.276338283E0,2.000000000E0,1.208944444E1,1.520030823E2,1.000000000E1,1.900000000E1
2.640074408E1,5.205514688E1,4.276368367E0,2.000000000E0,1.250100000E1,1.487689972E2,1.000000000E1,1.900000000E1
2.720067203E1,5.205507522E1,4.276437517E0,2.000000000E0,1.332411111E1,1.487689972E2,1.000000000E1,1.900000000E1
2.740284407E1,5.205504387E1,4.276467100E0,2.000000000E0,1.332411111E1,1.510127411E2,1.000000000E1,1.900000000E1
2.820214903E1,5.205497137E1,4.276534083E0,2.000000000E0,1.332411111E1,1.510127411E2,1.000000000E1,1.900000000E1
2.840268707E1,5.205494287E1,4.276559983E0,2.000000000E0,1.291255556E1,1.510127411E2,1.000000000E1,1.900000000E1
2.920491898E1,5.205487842E1,4.276631383E0,2.000000000E0,1.286111111E1,1.505720825E2,1.000000000E1,1.900000000E1
2.940371609E1,5.205484663E1,4.276659633E0,2.000000000E0,1.332411111E1,1.505720825E2,1.000000000E1,1.900000000E1
3.020703304E1,5.205477338E1,4.276724433E0,2.000000000E0,1.332411111E1,1.505720825E2,1.000000000E1,1.900000000E1
3.040553403E1,5.205474153E1,4.276752433E0,2.000000000E0,1.327266667E1,1.505720825E2,1.000000000E1,1.900000000E1
3.121336508E1,5.205466802E1,4.276816633E0,2.000000000E0,1.332411111E1,1.513292236E2,1.000000000E1,1.900000000E1
3.140872109E1,5.205463617E1,4.276844550E0,2.000000000E0,1.332411111E1,1.513292236E2,1.000000000E1,1.900000000E1
3.221418607E1,5.205456275E1,4.276908750E0,2.000000000E0,1.332411111E1,1.514306335E2,1.000000000E1,1.900000000E1
3.241206002E1,5.205453082E1,4.276936750E0,2.000000000E0,1.332411111E1,1.514306335E2,1.000000000E1,1.900000000E1
3.311929607E1,5.205447013E1,4.276989800E0,2.000000000E0,1.291255556E1,1.514306335E2,1.000000000E1,1.900000000E1
3.331706107E1,5.205443818E1,4.277017800E0,2.000000000E0,1.296400000E1,1.514306335E2,1.000000000E1,1.900000000E1
3.422046900E1,5.205435848E1,4.277087783E0,2.000000000E0,1.296400000E1,1.513294983E2,1.000000000E1,1.900000000E1
3.441774702E1,5.205432973E1,4.277112933E0,2.000000000E0,1.250100000E1,1.513294983E2,1.000000000E1,1.900000000E1
3.522469807E1,5.205425948E1,4.277174367E0,2.000000000E0,1.250100000E1,1.513294983E2,1.000000000E1,1.900000000E1
3.542115009E1,5.205423082E1,4.277199433E0,2.000000000E0,1.250100000E1,1.513294983E2,1.000000000E1,1.900000000E1
3.622501504E1,5.205416377E1,4.277258183E0,2.000000000E0,1.208944444E1,1.513294983E2,1.000000000E1,1.900000000E1
3.642254603E1,5.205413510E1,4.277283417E0,2.000000000E0,1.208944444E1,1.513294983E2,1.000000000E1,1.900000000E1
3.722810400E1,5.205407132E1,4.277339333E0,2.000000000E0,1.172933333E1,1.511999359E2,1.000000000E1,1.900000000E1
3.742529607E1,5.205404257E1,4.277364467E0,2.000000000E0,1.167788889E1,1.515594330E2,1.000000000E1,1.900000000E1
3.823406804E1,5.205397560E1,4.277423233E0,2.000000000E0,1.208944444E1,1.515594330E2,1.000000000E1,1.900000000E1
3.843457901E1,5.205395003E1,4.277445617E0,2.000000000E0,1.172933333E1,1.515594330E2,1.000000000E1,1.900000000E1
3.923576701E1,5.205388625E1,4.277501433E0,3.000000000E0,1.131777778E1,1.515594330E2,1.000000000E1,1.900000000E1
3.943712509E1,5.205385750E1,4.277526583E0,3.000000000E0,1.172933333E1,1.515594330E2,1.000000000E1,1.900000000E1
4.013881898E1,5.205380645E1,4.277571333E0,3.000000000E0,1.131777778E1,1.511753693E2,1.000000000E1,1.900000000E1
4.033886206E1,5.205378097E1,4.277593717E0,3.000000000E0,1.090622222E1,1.511753693E2,1.000000000E1,1.900000000E1
