"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.015950000E-2,-1.760637737E-3,2.896166407E-3,-1.668021083E-3
5.077492083E-1,-2.874654019E-4,-1.591697801E-3,5.672154948E-4
1.005338208E0,-1.027702121E-3,2.734543756E-3,1.552278176E-3
1.502926708E0,-4.829028330E-4,-1.693679951E-3,-1.316783950E-3
2.000515708E0,-1.399670145E-3,-1.781674568E-3,-9.491737001E-4
2.498106125E0,3.183079534E-4,-2.908454277E-3,1.243149862E-3
2.995695125E0,-3.352795029E-4,2.044627443E-3,-2.454374917E-4
3.493284833E0,8.843661053E-4,2.805672120E-3,-2.352077048E-3
3.990873833E0,-7.441516500E-4,1.100141322E-3,-5.428022705E-4
4.488463833E0,-2.702784492E-3,3.511921968E-3,6.118863821E-4
4.986052833E0,-1.267141779E-3,1.439157641E-3,2.579344437E-4
5.483642250E0,-1.290044165E-3,-1.076581422E-3,5.201445892E-4
5.981231250E0,2.307636169E-4,6.865118630E-4,6.850725040E-4
6.478819583E0,-1.056160894E-3,-3.501860425E-3,1.434623264E-3
6.976407583E0,1.269360189E-3,-9.406311437E-4,1.323260367E-4
7.473996333E0,2.511584666E-3,-5.139357410E-3,-1.738808118E-3
7.971584333E0,-5.690861144E-4,1.459142659E-3,5.116211250E-4
8.469171958E0,4.131924070E-4,4.177716561E-3,-6.733741611E-5
8.966759958E0,-1.808309578E-3,2.580383094E-3,-1.039067283E-4
9.464346625E0,3.020800883E-3,5.521854851E-3,-1.515416428E-3
9.961934625E0,-1.156846294E-3,-4.674588330E-3,1.631171443E-3
1.045952221E1,1.121239911E-4,2.451978857E-3,-2.877740189E-4
1.095711021E1,-4.919867497E-4,1.967086922E-3,9.919786826E-4
1.145469671E1,-3.220317420E-3,8.939502761E-3,2.856506035E-3
1.195228371E1,-2.778708702E-3,1.114401780E-2,1.412859932E-2
1.244987233E1,3.282362130E-3,9.039867669E-3,1.931744814E-2
1.294745933E1,-1.975248801E-3,3.159207851E-2,4.479964823E-2
1.344504596E1,-3.709602635E-3,2.272589877E-2,3.850343078E-2
1.394263296E1,-1.851858688E-3,1.104500145E-2,2.777051553E-2
1.444021938E1,-3.187968396E-4,1.213848032E-2,1.956190914E-2
1.493780537E1,2.488401718E-3,5.986888893E-3,2.979200333E-2
1.543539175E1,7.078065071E-3,5.595148541E-3,-2.513205167E-3
1.593297875E1,1.843150094E-4,3.857426345E-4,1.743402332E-3
1.643056475E1,-5.682629067E-3,-9.386474267E-4,2.008724958E-3
1.692814975E1,1.174103119E-3,-6.529425271E-3,-1.447019633E-3
1.742573550E1,-7.784520858E-4,-3.211635631E-3,-2.290749457E-3
1.792332050E1,-1.119062304E-3,-4.929634277E-3,-1.542090438E-3
1.842090737E1,-1.286344486E-3,1.964503899E-4,8.167588152E-3
1.891849237E1,-2.996283001E-4,2.371748723E-2,2.801280655E-2
1.941607708E1,1.176016813E-4,1.969156787E-2,2.079055831E-2
1.991366208E1,-2.542123897E-3,8.413108066E-3,8.564288728E-3
2.041124546E1,1.841232879E-4,7.496445905E-3,5.916979164E-3
2.090883046E1,-3.705752548E-3,2.077815309E-2,2.072608843E-2
2.140641633E1,-4.369328963E-4,1.444995124E-2,1.887656376E-2
2.190400133E1,-2.759288531E-3,5.196256097E-3,5.309702829E-3
2.240158546E1,-1.205345034E-4,-1.056864392E-3,1.105216332E-3
2.289917046E1,3.537757555E-3,5.063080695E-3,1.234142482E-2
2.339675583E1,4.418828059E-3,1.541000046E-2,2.372237667E-2
2.389434183E1,1.352268620E-3,7.239391562E-3,1.195961982E-2
2.439192825E1,7.268615300E-4,9.585777298E-4,1.079689711E-3
2.488951425E1,-1.775537268E-3,7.632209919E-3,1.094935741E-2
2.538710025E1,-8.014910854E-3,1.240031421E-2,-2.738418523E-3
2.588468608E1,-6.482315715E-3,2.103733597E-3,3.001987003E-3
2.638227108E1,-5.530302878E-4,1.964480150E-3,-1.708827913E-4
2.687985650E1,1.887492836E-4,1.047947444E-4,-6.125266664E-4
2.737744250E1,1.949711470E-3,3.051069565E-3,-9.956676513E-5
2.787502788E1,2.418764168E-3,3.568226006E-3,4.138674587E-3
2.837261288E1,-2.650944516E-3,-1.764454413E-3,3.588205203E-3
2.887019821E1,-7.401585463E-4,9.199513122E-3,5.658132024E-3
2.936778321E1,-5.362686934E-4,9.511116892E-3,1.956253871E-2
2.986536783E1,6.396747194E-4,1.786117442E-2,2.747245319E-2
3.036295283E1,-7.289712667E-4,2.539208159E-2,4.079235718E-2
3.086053808E1,-3.763090121E-3,4.670188576E-2,6.611098349E-2
3.135812308E1,-4.126922227E-3,4.381076247E-2,5.899172276E-2
3.185570783E1,-5.897672963E-4,2.356141619E-2,2.257188782E-2
3.235329183E1,3.620491130E-3,2.509620227E-2,3.553747013E-2
3.285087700E1,2.219775459E-3,2.461975068E-2,3.283527493E-2
3.334846200E1,4.201024771E-3,1.501452550E-2,2.453024127E-2
3.384604708E1,7.111273590E-4,3.896806017E-2,4.167844355E-2
3.434363208E1,-4.825483076E-3,5.567511916E-2,6.636059284E-2
