"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.542412499E-2,-3.241884613E1,3.461968994E1,-6.987304688E0
5.130721250E-1,-3.257722473E1,3.464303589E1,-7.371215820E0
1.000719000E0,-3.251630783E1,3.473190308E1,-7.020385742E0
1.488367000E0,-3.230250549E1,3.478561401E1,-7.170043945E0
1.976014000E0,-3.263396072E1,3.502780151E1,-7.496398926E0
2.463660750E0,-3.210979462E1,3.517883301E1,-6.937316895E0
2.951307750E0,-3.111116028E1,3.464376831E1,-8.027648926E0
3.438954125E0,-3.121842957E1,3.463226318E1,-7.940429688E0
3.926600125E0,-3.138586044E1,3.464926147E1,-7.929931641E0
4.414246500E0,-3.112601471E1,3.464105225E1,-7.696228027E0
4.901891500E0,-3.117268753E1,3.461923218E1,-7.745117188E0
5.389536000E0,-3.127320480E1,3.424301147E1,-7.601318359E0
5.877180000E0,-3.123492622E1,3.451513672E1,-7.465087891E0
6.364824000E0,-3.128109360E1,3.450280762E1,-7.599487305E0
6.852468000E0,-3.105039978E1,3.485925293E1,-7.735473633E0
7.340111167E0,-3.088318634E1,3.477310181E1,-7.888366699E0
7.827754167E0,-3.088409042E1,3.481958008E1,-7.722290039E0
8.315396375E0,-3.132200241E1,3.819873047E1,-3.666320801E0
8.803038375E0,-3.318781281E1,3.496234131E1,9.529418945E-1
9.290679875E0,-3.326895142E1,3.497857666E1,1.114807129E0
9.778321875E0,-3.361779404E1,3.549230957E1,1.400695801E0
1.026596342E1,-3.358166885E1,3.570635986E1,1.603942871E0
1.075360342E1,-3.353031540E1,3.561312866E1,1.390319824E0
1.124124400E1,-3.314220428E1,3.491787720E1,1.389892578E0
1.172888400E1,-3.258209610E1,3.116134644E1,4.158569336E0
1.221652437E1,-3.217100525E1,2.817987061E1,5.401733398E0
1.270416337E1,-3.253551483E1,2.503106689E1,5.640808105E0
1.319180175E1,-3.362066650E1,1.803585815E1,-2.317687988E0
1.367944075E1,-3.336215973E1,1.611047363E1,3.660278320E-1
1.416707867E1,-3.385574341E1,1.458117676E1,-5.993652344E-2
1.465471667E1,-3.240908813E1,9.814575195E0,-5.889953613E0
1.514235550E1,-3.281946564E1,9.104125977E0,-6.511169434E0
1.562999350E1,-3.167065048E1,1.065310669E1,-6.583679199E0
1.611763117E1,-3.131100273E1,1.131488037E1,-6.018615723E0
1.660526817E1,-3.023160934E1,1.170404053E1,-3.248046875E0
1.709290550E1,-2.943726730E1,1.399035645E1,-5.459594727E-1
1.758054250E1,-2.719791412E1,1.481466675E1,1.898803711E0
1.806817929E1,-2.527343750E1,1.184204102E1,3.860473633E-1
