"Time (s)","Distance (cm)"
5.023461250E-1,5.000000000E0
1.002346125E0,5.000000000E0
1.502346125E0,5.000000000E0
2.002346125E0,5.000000000E0
2.502346125E0,5.000000000E0
3.002346125E0,5.000000000E0
3.502346125E0,5.000000000E0
4.002346125E0,5.000000000E0
4.502346125E0,5.000000000E0
5.002346125E0,5.000000000E0
5.502346125E0,5.000000000E0
6.002346125E0,5.000000000E0
6.502346125E0,5.000000000E0
7.002346125E0,5.000000000E0
7.502346125E0,5.000000000E0
8.002346125E0,5.000000000E0
8.502346125E0,5.000000000E0
9.002346125E0,5.000000000E0
9.502346125E0,5.000000000E0
1.000234612E1,5.000000000E0
1.050234612E1,5.000000000E0
1.100234612E1,5.000000000E0
1.150234612E1,5.000000000E0
1.200234612E1,5.000000000E0
1.250234612E1,5.000000000E0
1.300234612E1,5.000000000E0
1.350234612E1,5.000000000E0
1.400234612E1,5.000000000E0
1.450234612E1,5.000000000E0
1.500234612E1,5.000000000E0
1.550234612E1,5.000000000E0
1.600234612E1,5.000000000E0
1.650234612E1,5.000000000E0
1.700234612E1,5.000000000E0
1.750234612E1,5.000000000E0
1.800234612E1,5.000000000E0
1.850234612E1,5.000000000E0
1.900234612E1,5.000000000E0
1.950234612E1,5.000000000E0
2.000234612E1,5.000000000E0
2.050234612E1,5.000000000E0
2.100234612E1,5.000000000E0
2.150234612E1,5.000000000E0
2.200234612E1,5.000000000E0
2.250234612E1,5.000000000E0
2.300234612E1,5.000000000E0
2.350234612E1,5.000000000E0
2.400234612E1,5.000000000E0
2.450234612E1,5.000000000E0
2.500234612E1,5.000000000E0
2.550234612E1,5.000000000E0
2.600234612E1,5.000000000E0
2.650234612E1,5.000000000E0
2.700234612E1,5.000000000E0
2.750234612E1,5.000000000E0
2.800234612E1,5.000000000E0
2.850234612E1,5.000000000E0
2.900234612E1,5.000000000E0
2.950234612E1,5.000000000E0
3.000234612E1,5.000000000E0
3.050234612E1,5.000000000E0
3.100234612E1,5.000000000E0
3.150234612E1,5.000000000E0
3.200234612E1,5.000000000E0
3.250234612E1,5.000000000E0
3.300234612E1,5.000000000E0
3.350234612E1,5.000000000E0
3.400234612E1,5.000000000E0
3.450234612E1,5.000000000E0
3.500234612E1,5.000000000E0
3.550234612E1,5.000000000E0
3.600234612E1,5.000000000E0
3.650234612E1,5.000000000E0
3.700234612E1,5.000000000E0
3.750234612E1,5.000000000E0
3.800234612E1,5.000000000E0
3.850234612E1,5.000000000E0
3.900234612E1,5.000000000E0
3.950234612E1,5.000000000E0
4.000234612E1,5.000000000E0
4.050234612E1,5.000000000E0
4.100234612E1,5.000000000E0
4.150234612E1,5.000000000E0
4.200234612E1,5.000000000E0
4.250234612E1,5.000000000E0
4.300234612E1,5.000000000E0
4.350234612E1,5.000000000E0
4.400234612E1,5.000000000E0
4.450234612E1,5.000000000E0
4.500234612E1,5.000000000E0
4.550234612E1,5.000000000E0
4.600234612E1,5.000000000E0
4.650234612E1,5.000000000E0
4.700234612E1,5.000000000E0
4.750234612E1,5.000000000E0
4.800234612E1,5.000000000E0
4.850234612E1,5.000000000E0
4.900234612E1,5.000000000E0
4.950234612E1,5.000000000E0
5.000234612E1,5.000000000E0
5.050234612E1,5.000000000E0
5.100234612E1,5.000000000E0
5.150234612E1,5.000000000E0
5.200234612E1,5.000000000E0
5.250234612E1,5.000000000E0
5.300234612E1,5.000000000E0
5.350234612E1,5.000000000E0
5.400234612E1,5.000000000E0
5.450234612E1,5.000000000E0
5.500234612E1,5.000000000E0
5.550234612E1,5.000000000E0
5.600234612E1,5.000000000E0
5.650234612E1,5.000000000E0
5.700234612E1,5.000000000E0
5.750234612E1,5.000000000E0
5.800234612E1,5.000000000E0
5.850234612E1,5.000000000E0
5.900234612E1,5.000000000E0
5.950234612E1,5.000000000E0
6.000234612E1,5.000000000E0
6.050234612E1,5.000000000E0
6.100234612E1,5.000000000E0
6.150234612E1,5.000000000E0
6.200234612E1,5.000000000E0
6.250234612E1,5.000000000E0
6.300234612E1,5.000000000E0
6.350234612E1,5.000000000E0
6.400234612E1,5.000000000E0
6.450234612E1,5.000000000E0
6.500234612E1,5.000000000E0
6.550234612E1,5.000000000E0
6.600234612E1,5.000000000E0
6.650234612E1,5.000000000E0
6.700234612E1,5.000000000E0
6.750234612E1,5.000000000E0
6.800234612E1,5.000000000E0
6.850234612E1,5.000000000E0
6.900234612E1,5.000000000E0
6.950234612E1,5.000000000E0
7.000234612E1,5.000000000E0
7.050234612E1,5.000000000E0
7.100234612E1,5.000000000E0
7.150234612E1,5.000000000E0
7.200234612E1,5.000000000E0
7.250234612E1,5.000000000E0
7.300234612E1,5.000000000E0
7.350234612E1,5.000000000E0
7.400234612E1,5.000000000E0
7.450234612E1,5.000000000E0
7.500234612E1,5.000000000E0
7.550234612E1,5.000000000E0
7.600234612E1,5.000000000E0
7.650234612E1,5.000000000E0
7.700234612E1,5.000000000E0
7.750234612E1,5.000000000E0
7.800234612E1,5.000000000E0
7.850234612E1,5.000000000E0
7.900234612E1,5.000000000E0
7.950234612E1,5.000000000E0
8.000234612E1,5.000000000E0
8.050234612E1,5.000000000E0
8.100234612E1,5.000000000E0
8.150234612E1,5.000000000E0
8.200234612E1,5.000000000E0
8.250234612E1,5.000000000E0
8.300234612E1,5.000000000E0
8.350234612E1,5.000000000E0
8.400234612E1,5.000000000E0
8.450234612E1,5.000000000E0
8.500234612E1,5.000000000E0
8.550234612E1,5.000000000E0
8.600234612E1,5.000000000E0
8.650234612E1,5.000000000E0
8.700234612E1,5.000000000E0
8.750234612E1,5.000000000E0
8.800234612E1,5.000000000E0
8.850234612E1,5.000000000E0
8.900234612E1,5.000000000E0
8.950234612E1,5.000000000E0
9.000234612E1,5.000000000E0
9.050234612E1,5.000000000E0
9.100234612E1,5.000000000E0
9.150234612E1,5.000000000E0
9.200234612E1,5.000000000E0
9.250234612E1,5.000000000E0
9.300234612E1,5.000000000E0
9.350234612E1,5.000000000E0
9.400234612E1,5.000000000E0
9.450234612E1,5.000000000E0
9.500234612E1,5.000000000E0
9.550234612E1,5.000000000E0
9.600234612E1,5.000000000E0
9.650234612E1,5.000000000E0
9.700234612E1,5.000000000E0
9.750234612E1,5.000000000E0
9.800234612E1,5.000000000E0
9.850234612E1,5.000000000E0
9.900234612E1,5.000000000E0
9.950234612E1,5.000000000E0
1.000023461E2,5.000000000E0
1.005023461E2,5.000000000E0
1.010023461E2,5.000000000E0
1.015023461E2,5.000000000E0
1.020023461E2,5.000000000E0
1.025023461E2,5.000000000E0
1.030023461E2,5.000000000E0
1.035023461E2,5.000000000E0
1.040023461E2,5.000000000E0
1.045023461E2,5.000000000E0
1.050023461E2,5.000000000E0
1.055023461E2,5.000000000E0
1.060023461E2,5.000000000E0
1.065023461E2,5.000000000E0
1.070023461E2,5.000000000E0
1.075023461E2,5.000000000E0
1.080023461E2,5.000000000E0
1.085023461E2,5.000000000E0
1.090023461E2,5.000000000E0
1.095023461E2,5.000000000E0
1.100023461E2,5.000000000E0
1.105023461E2,5.000000000E0
1.110023461E2,5.000000000E0
1.115023461E2,5.000000000E0
1.120023461E2,5.000000000E0
1.125023461E2,5.000000000E0
1.130023461E2,5.000000000E0
1.135023461E2,5.000000000E0
1.140023461E2,5.000000000E0
1.145023461E2,5.000000000E0
1.150023461E2,5.000000000E0
1.155023461E2,5.000000000E0
1.160023461E2,5.000000000E0
1.165023461E2,5.000000000E0
1.170023461E2,5.000000000E0
1.175023461E2,5.000000000E0
1.180023461E2,5.000000000E0
1.185023461E2,5.000000000E0
1.190023461E2,5.000000000E0
1.195023461E2,5.000000000E0
1.200023461E2,5.000000000E0
1.205023461E2,5.000000000E0
1.210023461E2,5.000000000E0
1.215023461E2,5.000000000E0
1.220023461E2,5.000000000E0
1.225023461E2,5.000000000E0
1.230023461E2,5.000000000E0
1.235023461E2,5.000000000E0
1.240023461E2,5.000000000E0
1.245023461E2,5.000000000E0
1.250023461E2,5.000000000E0
1.255023461E2,5.000000000E0
1.260023461E2,5.000000000E0
1.265023461E2,5.000000000E0
1.270023461E2,5.000000000E0
1.275023461E2,5.000000000E0
1.280023461E2,5.000000000E0
1.285023461E2,5.000000000E0
1.290023461E2,5.000000000E0
1.295023461E2,5.000000000E0
1.300023461E2,5.000000000E0
1.305023461E2,5.000000000E0
1.310023461E2,5.000000000E0
1.315023461E2,5.000000000E0
1.320023461E2,5.000000000E0
1.325023461E2,5.000000000E0
