"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.335500001E-3,-5.674699402E0,7.386389923E0,9.547146606E-1
4.952357500E-1,-5.368436279E0,7.688461761E0,4.554279327E0
9.928057500E-1,-4.293222198E0,8.355923767E0,3.061733093E0
1.490375375E0,-4.389472046E0,8.357570343E0,2.670596466E0
1.987946375E0,-4.396357727E0,8.315807190E0,1.819466400E0
2.485516750E0,-1.455872498E0,7.557035065E0,7.028633881E0
2.983085750E0,3.830534363E-1,9.047485657E0,5.034031677E0
3.480655625E0,1.486408997E-1,8.726852417E0,4.373605042E0
3.978225625E0,7.188052368E-1,8.480764160E0,3.955524445E0
4.475794292E0,4.466711426E-1,8.806337128E0,4.869673462E0
4.973364292E0,6.149212646E-1,8.670569458E0,4.704866180E0
5.470933000E0,7.780819702E-1,8.704548798E0,4.910837860E0
5.968502000E0,3.891906738E-3,8.516390076E0,4.522994385E0
6.466071000E0,7.834707642E-1,8.699609070E0,4.472100220E0
6.963640000E0,8.059240723E-1,9.027876434E0,4.856351166E0
7.461209292E0,3.359014893E-1,8.773555298E0,4.576433258E0
7.958777292E0,9.015751648E-1,8.766220551E0,4.704716492E0
8.456346542E0,-2.170486450E-2,8.628357239E0,4.878355408E0
8.953914542E0,4.778063965E-1,8.390202484E0,4.641697540E0
9.451482875E0,9.674382019E-1,8.045619049E0,4.966072998E0
9.949050875E0,-2.130818939E0,7.978259125E0,5.901627502E0
1.044661854E1,-3.282673645E-1,7.795788574E0,5.697601776E0
1.094418654E1,-6.349795532E-1,7.715555420E0,5.585784302E0
1.144175475E1,-3.219804382E-1,7.822732544E0,5.452261963E0
1.193932275E1,-3.607498169E-1,8.087082825E0,5.980663147E0
1.243689125E1,1.743873596E-1,8.008945312E0,5.655239868E0
1.293446025E1,3.058140564E-1,7.825726318E0,5.748945007E0
1.343202942E1,-2.698887634E-1,7.777376862E0,5.713768158E0
1.392959842E1,4.044589233E-1,8.294701080E0,5.414839783E0
1.442716779E1,3.489244080E-1,8.171357574E0,5.130730591E0
1.492473779E1,-6.259982300E-1,8.175848236E0,6.166726227E0
1.542230625E1,-2.050735474E-1,7.778873749E0,4.373305664E0
1.591987525E1,5.987548828E-2,7.866741028E0,4.985233154E0
1.641744550E1,6.092330933E-2,8.660091248E0,5.850583649E0
1.691501550E1,-2.918930054E-1,7.939040680E0,5.472769318E0
1.741258388E1,3.986210632E-1,8.278085632E0,5.477409668E0
1.791015388E1,-1.492396545E-1,8.128995667E0,5.515430603E0
1.840772462E1,-1.082249451E-1,8.269852753E0,5.396877136E0
1.890529463E1,2.240840149E-1,8.097860413E0,5.587430878E0
1.940286438E1,1.056802368E-1,8.102949829E0,4.588857422E0
1.990043438E1,-2.031275940E-1,7.862699432E0,5.436694336E0
2.039800404E1,2.740800476E-1,8.684490509E0,5.592071228E0
2.089557304E1,3.243754578E-1,8.441096649E0,5.181026001E0
2.139314287E1,-7.095245361E-2,8.249195709E0,5.119803314E0
2.189071187E1,4.471202087E-1,8.776249695E0,5.337600403E0
2.238827992E1,-2.409988403E-1,8.126900024E0,5.115612030E0
2.288584892E1,1.451980591E-1,8.130492554E0,5.447920990E0
2.338341850E1,1.249900818E-1,8.112230530E0,5.521867218E0
2.388098650E1,-2.146536255E-1,8.123906250E0,5.308560791E0
2.437855425E1,7.289840698E-2,8.438102875E0,4.978347473E0
2.487612325E1,-4.999603271E-2,8.217461700E0,5.620961151E0
2.537369004E1,-3.189866638E-1,8.295449524E0,5.270240479E0
2.587125804E1,3.263214111E-1,8.169261932E0,5.634133759E0
2.636882662E1,4.246669006E-1,8.356223145E0,5.698799286E0
2.686639363E1,3.011737061E-1,8.390651550E0,4.929249573E0
2.736396000E1,-1.243913269E-1,8.308322754E0,4.761598206E0
2.786152700E1,-9.729766846E-3,8.308472443E0,5.282065887E0
2.835909450E1,1.865121460E-1,8.304281158E0,5.131479034E0
2.885666150E1,-4.191284180E-3,8.242160339E0,5.047503662E0
2.935422879E1,4.206253052E-2,8.139623566E0,5.935606842E0
2.985179579E1,-2.444416809E-1,8.131390686E0,5.126239929E0
3.034936275E1,1.995350647E-1,8.221353607E0,5.427862701E0
3.084692975E1,7.933502197E-2,8.388106842E0,6.007607117E0
3.134449600E1,9.894424438E-2,8.412057037E0,5.405858459E0
3.184206200E1,-3.742218018E-3,8.289911041E0,4.873864746E0
3.233962950E1,3.731739807E-1,8.346194000E0,5.155279541E0
3.283719550E1,-4.161346436E-2,8.285869446E0,5.603297882E0
3.333476279E1,4.144880676E-1,8.426876221E0,5.625002747E0
3.383232879E1,2.167492676E-1,8.449778595E0,5.533692627E0
3.432989513E1,2.058219910E-1,8.361312561E0,5.418731689E0
3.482746113E1,8.876541138E-2,8.335416412E0,5.529201965E0
3.532502713E1,-4.625381470E-2,8.027506714E0,5.533093872E0
3.582259312E1,5.019062805E-1,8.265811157E0,5.502407684E0
3.632015912E1,-2.236349487E-1,8.007149048E0,5.839955750E0
3.681772400E1,1.522334290E-1,8.183182983E0,5.633235626E0
3.731529000E1,1.642085266E-1,8.112829285E0,5.413043518E0
3.781285512E1,1.971400452E-1,8.250393219E0,5.252726898E0
3.831042113E1,-8.277786255E-2,8.220156097E0,5.423072662E0
3.880798587E1,-8.547225952E-2,8.225993958E0,5.306764526E0
3.930555087E1,4.490661621E-3,8.126001892E0,4.994962921E0
3.980311562E1,7.903564453E-2,8.442593536E0,5.277425537E0
4.030068062E1,-8.696914673E-2,8.017776947E0,5.400918732E0
4.079824538E1,-1.968406677E-1,8.055498505E0,5.351222076E0
4.129580938E1,-8.711883545E-2,8.141120453E0,5.386997681E0
4.179337337E1,-3.143463135E-3,8.244705048E0,5.366041260E0
4.229093738E1,-1.616638184E-2,8.123457184E0,5.471272430E0
4.278850104E1,1.052311707E-1,8.286019135E0,5.662724304E0
4.328606504E1,2.963836670E-1,8.350834351E0,5.178032227E0
4.378362900E1,-1.565744019E-1,8.359665985E0,6.930587769E0
4.428119300E1,2.493814087E-1,8.543334045E0,5.080884247E0
4.477875550E1,6.444099426E-1,8.471333771E0,5.357658691E0
4.527631850E1,-1.401086426E-1,8.211025085E0,5.592220917E0
