"Time (s)","X (hPa)"
-5.665803750E-1,1.017353363E3
4.342396250E-1,1.017352448E3
1.435070625E0,1.017351532E3
2.435895625E0,1.017351532E3
3.436754625E0,1.017356720E3
3.793999625E0,1.017358475E3
4.861575625E0,1.017358551E3
5.929128625E0,1.017363663E3
6.996705625E0,1.017371216E3
8.064281625E0,1.017372589E3
9.131868625E0,1.017372589E3
1.019943663E1,1.017364349E3
1.126697562E1,1.017350006E3
1.233454562E1,1.017332764E3
1.340209062E1,1.017320786E3
1.446965062E1,1.017296753E3
1.553725562E1,1.017246170E3
1.660487962E1,1.017063675E3
1.767247762E1,1.016985779E3
1.874005962E1,1.016985779E3
1.980766563E1,1.016985855E3
2.087527262E1,1.017045593E3
2.194291762E1,1.017191086E3
2.301051462E1,1.017296600E3
2.407807963E1,1.017304916E3
2.514566263E1,1.017315903E3
2.621322363E1,1.017330170E3
2.728078862E1,1.017336273E3
2.834833663E1,1.017336273E3
2.941591762E1,1.017335052E3
3.048357962E1,1.017327118E3
3.155123762E1,1.017315521E3
3.261887262E1,1.017303467E3
3.368643862E1,1.017298203E3
3.475397262E1,1.017296066E3
3.582152863E1,1.017296066E3
3.688910463E1,1.017301559E3
3.795672963E1,1.017302475E3
3.902428663E1,1.017304306E3
4.009183762E1,1.017312775E3
4.115937462E1,1.017319946E3
4.222692362E1,1.017324142E3
4.329451662E1,1.017332764E3
4.436209862E1,1.017345581E3
4.542966362E1,1.017351761E3
4.649723363E1,1.017357330E3
4.756478862E1,1.017361984E3
4.863237162E1,1.017364120E3
4.969991063E1,1.017364120E3
5.076744762E1,1.017357788E3
5.183500462E1,1.017346649E3
5.290255063E1,1.017329178E3
5.397008863E1,1.017303314E3
5.503765663E1,1.017262039E3
5.610526062E1,1.017212906E3
5.717287162E1,1.017147141E3
5.824049863E1,1.017068787E3
5.930808963E1,1.016993408E3
6.037569362E1,1.016922150E3
6.144326362E1,1.016850662E3
6.251084162E1,1.016791687E3
6.357841963E1,1.016740799E3
6.464597962E1,1.016691284E3
6.571353762E1,1.016643372E3
6.678107863E1,1.016603317E3
6.784864462E1,1.016569443E3
6.891624262E1,1.016548157E3
6.998379162E1,1.016538696E3
7.105135463E1,1.016538696E3
7.211896662E1,1.016541061E3
7.318657062E1,1.016548996E3
7.425417063E1,1.016556320E3
7.532177862E1,1.016563492E3
7.638941062E1,1.016576004E3
7.745699862E1,1.016599884E3
7.852457663E1,1.016634445E3
7.959216362E1,1.016678696E3
8.065967662E1,1.016733017E3
8.172721562E1,1.016791916E3
8.279473362E1,1.016848526E3
8.386230962E1,1.016894455E3
8.492983862E1,1.016934280E3
8.599739262E1,1.016963959E3
8.706490162E1,1.016983871E3
8.813239962E1,1.016995316E3
8.919995162E1,1.017008972E3
9.026751862E1,1.017008972E3
9.133505463E1,1.017003250E3
9.240261762E1,1.016985855E3
9.347017263E1,1.016959457E3
9.453770462E1,1.016914825E3
9.560517362E1,1.016861191E3
9.667265563E1,1.016796417E3
9.774016762E1,1.016730499E3
9.880769263E1,1.016661377E3
9.987517263E1,1.016590881E3
1.009426866E2,1.016527328E3
1.020102086E2,1.016471481E3
1.030777156E2,1.016415710E3
1.041452056E2,1.016365280E3
1.052127136E2,1.016325455E3
1.062802146E2,1.016296997E3
1.073476826E2,1.016270065E3
1.084151356E2,1.016253052E3
1.094825606E2,1.016242523E3
1.105499926E2,1.016236115E3
1.116174476E2,1.016216354E3
1.126849296E2,1.016188354E3
1.137523876E2,1.016159592E3
1.148198466E2,1.016125641E3
1.158873386E2,1.016088562E3
1.169548196E2,1.016058350E3
1.180223626E2,1.016045074E3
1.190898266E2,1.016045074E3
1.201573176E2,1.016047134E3
1.212247846E2,1.016057205E3
1.222922466E2,1.016070938E3
1.233597306E2,1.016085663E3
1.244271556E2,1.016091995E3
1.254946376E2,1.016098022E3
1.265621296E2,1.016098022E3
1.276295896E2,1.016094666E3
1.286971076E2,1.016084747E3
1.297646166E2,1.016077499E3
1.308321606E2,1.016066284E3
1.318997086E2,1.016059723E3
1.329672086E2,1.016059113E3
1.340347146E2,1.016056366E3
1.351022206E2,1.016056366E3
1.361697246E2,1.016059494E3
1.372372096E2,1.016064377E3
1.383047106E2,1.016070709E3
1.393721976E2,1.016094971E3
1.404397076E2,1.016128006E3
1.415072176E2,1.016163559E3
1.425746936E2,1.016204987E3
1.436421866E2,1.016253433E3
1.447096426E2,1.016299973E3
1.457770856E2,1.016342239E3
1.468445806E2,1.016388168E3
1.479120316E2,1.016434860E3
1.489794636E2,1.016476288E3
1.500469326E2,1.016513672E3
1.511144096E2,1.016542511E3
1.521818946E2,1.016568604E3
1.532493346E2,1.016583328E3
1.543167686E2,1.016589203E3
1.553842346E2,1.016591568E3
1.564516906E2,1.016591568E3
1.575191436E2,1.016589584E3
1.585866006E2,1.016587143E3
1.596540686E2,1.016587143E3
1.607215516E2,1.016577225E3
1.617890716E2,1.016568604E3
1.628566086E2,1.016555786E3
1.639240836E2,1.016531067E3
1.649915126E2,1.016509476E3
1.660589536E2,1.016509476E3
1.671264316E2,1.016549835E3
1.681939346E2,1.016620560E3
1.692614326E2,1.016698837E3
1.703289346E2,1.016786270E3
1.713964346E2,1.016859360E3
1.724639476E2,1.016898041E3
1.735314546E2,1.016905212E3
1.745989766E2,1.016905212E3
1.756665206E2,1.016905212E3
1.767340496E2,1.016905975E3
1.778015706E2,1.016907120E3
1.788690506E2,1.016910629E3
1.799366046E2,1.016917648E3
1.810041236E2,1.016923523E3
1.820716406E2,1.016929398E3
1.831391716E2,1.016929398E3
1.842067056E2,1.016923447E3
1.852742476E2,1.016915359E3
1.863417496E2,1.016909027E3
1.874092356E2,1.016902237E3
1.884767356E2,1.016902237E3
1.895442326E2,1.016902924E3
1.906117256E2,1.016907959E3
1.916792646E2,1.016910019E3
1.927467816E2,1.016917191E3
1.938142106E2,1.016936417E3
1.948816776E2,1.016960144E3
1.961958866E2,1.016994095E3
1.975254746E2,1.017037201E3
1.988551316E2,1.017078934E3
2.001848746E2,1.017107315E3
2.015146146E2,1.017131958E3
2.028443116E2,1.017149124E3
2.041740776E2,1.017160339E3
2.055037206E2,1.017167130E3
2.068333846E2,1.017167130E3
2.081630766E2,1.017164917E3
2.094927786E2,1.017155533E3
2.108225076E2,1.017139130E3
2.121521586E2,1.017116547E3
2.134817196E2,1.017090683E3
2.148113646E2,1.017055740E3
2.161409676E2,1.017013168E3
2.174705936E2,1.016966248E3
2.188002166E2,1.016919250E3
2.201298346E2,1.016883545E3
2.214595046E2,1.016859894E3
2.227891286E2,1.016859894E3
2.241187956E2,1.016867142E3
2.254484686E2,1.016889725E3
2.267781336E2,1.016915741E3
2.281079326E2,1.016939240E3
2.294376936E2,1.016962051E3
2.307673626E2,1.016974182E3
2.320970116E2,1.016979523E3
2.334266986E2,1.016979523E3
2.347563656E2,1.016978912E3
2.360860336E2,1.016965561E3
2.374157546E2,1.016947556E3
2.387454136E2,1.016918869E3
2.400751046E2,1.016876526E3
2.414047546E2,1.016814499E3
2.427343936E2,1.016750412E3
2.440641146E2,1.016680145E3
2.453937156E2,1.016611786E3
2.467233226E2,1.016543121E3
2.480529586E2,1.016479568E3
2.493825986E2,1.016413879E3
2.507122526E2,1.016347504E3
2.520419156E2,1.016284866E3
2.533716576E2,1.016232529E3
2.547013876E2,1.016193085E3
2.560311026E2,1.016167908E3
2.573608256E2,1.016163330E3
2.586905526E2,1.016163330E3
2.600203136E2,1.016180649E3
2.613500716E2,1.016212387E3
2.626798166E2,1.016258240E3
2.640096256E2,1.016314087E3
2.653394026E2,1.016372604E3
2.666691596E2,1.016433029E3
2.679989206E2,1.016490021E3
2.693286626E2,1.016534271E3
2.706584026E2,1.016569366E3
2.719881266E2,1.016598053E3
2.733178786E2,1.016615982E3
2.746476096E2,1.016625595E3
2.759773626E2,1.016632843E3
2.773070976E2,1.016632843E3
2.786368296E2,1.016627884E3
2.799664706E2,1.016625900E3
2.812961756E2,1.016623993E3
2.826258956E2,1.016623917E3
2.839555646E2,1.016615677E3
2.852852546E2,1.016615524E3
2.866149996E2,1.016615677E3
2.879446486E2,1.016616364E3
2.892743176E2,1.016620407E3
2.906040056E2,1.016637421E3
2.919336926E2,1.016661224E3
2.932633836E2,1.016691132E3
2.945931576E2,1.016725616E3
2.959229266E2,1.016765671E3
2.972526376E2,1.016809235E3
2.985823026E2,1.016851578E3
2.999119806E2,1.016888809E3
3.012416746E2,1.016924515E3
3.025714136E2,1.016957932E3
3.039011036E2,1.016979980E3
3.052308056E2,1.016980743E3
3.065605626E2,1.016980743E3
3.078903126E2,1.016962814E3
3.092200056E2,1.016937637E3
3.105496766E2,1.016913147E3
3.118792866E2,1.016897354E3
3.132089586E2,1.016883240E3
3.145387286E2,1.016873322E3
3.158684886E2,1.016862640E3
3.171982356E2,1.016853180E3
3.185280456E2,1.016840591E3
3.198578406E2,1.016824188E3
3.211876446E2,1.016803894E3
3.225174806E2,1.016783752E3
3.238473516E2,1.016761246E3
3.251772146E2,1.016740570E3
3.265070716E2,1.016724548E3
3.278369266E2,1.016713638E3
3.291667506E2,1.016701050E3
3.304965426E2,1.016683502E3
3.318263246E2,1.016663361E3
3.331560836E2,1.016640396E3
3.344858166E2,1.016616287E3
3.358155326E2,1.016594467E3
3.371453436E2,1.016576004E3
3.384751096E2,1.016555252E3
3.398049816E2,1.016534653E3
3.411347116E2,1.016516190E3
3.424644286E2,1.016495895E3
3.437058116E2,1.016475983E3
3.447732946E2,1.016461182E3
3.458407756E2,1.016448746E3
3.469082446E2,1.016435928E3
3.479757326E2,1.016425171E3
3.490431906E2,1.016417007E3
3.501106416E2,1.016406479E3
3.511780706E2,1.016396103E3
3.522454986E2,1.016388168E3
3.533129296E2,1.016384735E3
3.543803706E2,1.016379471E3
3.554478256E2,1.016374893E3
3.565152266E2,1.016370010E3
3.575826326E2,1.016365891E3
3.586500716E2,1.016360550E3
3.597174916E2,1.016358871E3
3.607849386E2,1.016358871E3
3.618524076E2,1.016363754E3
