"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.640499995E-3,2.831477737E1,-5.417163086E1,-2.725366211E1
5.002107500E-1,2.051370239E1,-5.601068115E1,-3.259191895E1
9.977817500E-1,1.636347008E1,-6.043566895E1,-2.847509766E1
1.495351375E0,1.408025837E1,-5.738479614E1,-2.199932861E1
1.992921375E0,2.189460373E1,-6.473632812E1,-1.967980957E1
2.490491750E0,-3.844260216E0,-5.638912964E1,-4.089544678E1
2.988061750E0,-2.709649849E1,-6.067309570E1,-2.944628906E1
3.485631625E0,-2.192978859E1,-6.477890015E1,-3.039746094E1
3.983201625E0,-2.634729004E1,-6.327401733E1,-3.057067871E1
4.480770292E0,-2.907374573E1,-6.050048828E1,-3.216107178E1
4.978339292E0,-2.681336594E1,-6.196038818E1,-3.191735840E1
5.475909000E0,-2.632945061E1,-6.248211670E1,-3.237054443E1
5.973478000E0,-2.666229248E1,-6.036914062E1,-3.297637939E1
6.471047000E0,-2.537077713E1,-6.017013550E1,-3.217938232E1
6.968616000E0,-2.326996231E1,-5.961944580E1,-3.161291504E1
7.466184292E0,-2.457009888E1,-6.031097412E1,-3.209088135E1
7.963753292E0,-2.484780884E1,-5.888888550E1,-3.307250977E1
8.461321542E0,-2.085954285E1,-5.993594360E1,-3.307080078E1
8.958890542E0,-2.051829147E1,-5.958047485E1,-3.456427002E1
9.456458875E0,-2.065233612E1,-5.941360474E1,-3.568713379E1
9.954026875E0,9.420022964E-1,-6.086734009E1,-3.955212402E1
1.045159454E1,-1.213683510E1,-5.702532959E1,-4.018823242E1
1.094916254E1,-1.504342461E1,-5.775180054E1,-4.001739502E1
1.144673075E1,-1.311222267E1,-5.914212036E1,-3.789019775E1
1.194429875E1,-1.320279694E1,-5.737228394E1,-3.799249268E1
1.244186625E1,-1.620946121E1,-5.711871338E1,-3.686926270E1
1.293943525E1,-1.403592777E1,-5.838284302E1,-4.028698730E1
1.343700442E1,-1.150503540E1,-5.622946167E1,-3.796685791E1
1.393457442E1,-9.921582222E0,-5.676138306E1,-3.349102783E1
1.443214379E1,-1.033891869E1,-5.330145264E1,-3.444360352E1
1.492971279E1,-1.247335434E1,-5.132910156E1,-3.359454346E1
1.542728225E1,-8.798875809E0,-5.588204956E1,-4.325067139E1
1.592485125E1,-5.553384781E0,-6.355245972E1,-3.714398193E1
1.642242150E1,-3.008296967E0,-5.660690308E1,-4.243041992E1
1.691999050E1,-3.068988800E0,-6.285244751E1,-3.274090576E1
1.741755988E1,-9.236568451E0,-6.689123535E1,-4.506457520E1
1.791512988E1,-5.578834534E0,-5.720672607E1,-3.790789795E1
1.841270062E1,-9.436929703E0,-6.300250244E1,-5.080133057E1
1.891027062E1,-8.589685440E0,-5.597830200E1,-5.700384521E1
1.940784038E1,-1.573609924E1,-5.274331665E1,-3.426434326E1
1.990541038E1,-8.014543533E0,-4.880981445E1,-3.957427979E1
2.040297904E1,-1.856826401E1,-5.293652344E1,-9.391967773E0
2.090054904E1,-1.221339798E1,-4.555474854E1,-5.146850586E0
2.139811887E1,-1.022722435E1,-4.962216187E1,-2.741516113E0
2.189568787E1,-1.321655178E1,-4.953073120E1,-4.241271973E0
2.239325592E1,-1.319987297E1,-4.728463745E1,-5.540100098E0
2.289082492E1,-1.251920700E1,-5.080755615E1,-4.963500977E0
2.338839350E1,-1.114570999E1,-5.461953735E1,-5.821350098E0
2.388596250E1,-8.402868271E0,-5.268402100E1,1.252990723E1
2.438353025E1,-7.829759121E0,-5.161523438E1,1.206414795E1
2.488109825E1,-6.538362980E0,-4.868667603E1,1.497424316E1
2.537866604E1,-2.545171738E0,-5.428219604E1,1.803204346E1
2.587623404E1,-2.321609497E0,-5.004397583E1,2.140991211E1
2.637380163E1,-5.161590576E0,-4.658084106E1,1.884313965E1
2.687136963E1,-1.928749084E0,-4.997769165E1,1.967010498E1
2.736893600E1,-1.137652397E0,-5.212820435E1,2.120562744E1
2.786650300E1,-6.365056038E-1,-4.797650146E1,1.820135498E1
2.836407050E1,3.600635529E-1,-5.112170410E1,1.869903564E1
2.886163750E1,-1.279268265E-1,-5.044635010E1,1.977130127E1
2.935920479E1,-1.773906708E0,-4.864486694E1,1.641729736E1
2.985677179E1,9.281635284E-2,-5.374807739E1,1.485540771E1
3.035433875E1,-9.707307816E-1,-5.057342529E1,1.563360596E1
3.085190575E1,-4.491229057E0,-5.130395508E1,5.002014160E0
3.134947100E1,-2.618077278E0,-4.859179688E1,5.143737793E0
3.184703800E1,-3.555873394E0,-4.839825439E1,1.070074463E1
3.234460550E1,-4.730443954E0,-4.885983276E1,5.355102539E0
3.284217150E1,-5.366503716E0,-4.820272827E1,2.889892578E0
