"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.080250002E-3,9.266708046E-2,2.047304213E-1,-2.802165598E-2
5.056741250E-1,-1.239158288E-1,3.304278851E-1,2.385439873E-1
1.003268125E0,2.381702662E-1,-3.021241724E-2,-9.867580235E-2
1.500860917E0,-5.523882061E-2,-2.277634889E-1,1.016081870E-1
1.998453917E0,-2.836367488E-2,-6.156287715E-2,4.681671411E-2
2.496046875E0,-1.767839640E-1,-1.143184006E-1,1.380985826E-1
2.993638875E0,-9.517533332E-2,-3.805347681E-1,1.730696857E-1
3.491229875E0,9.578283876E-3,-1.086355075E-1,6.050412357E-2
3.988820875E0,-6.103019416E-2,-4.503051937E-2,6.361491978E-2
4.486412500E0,-1.778773591E-2,-7.173603773E-2,1.380158868E-2
4.984002500E0,2.289651660E-3,2.026682347E-2,2.721077204E-2
5.481592625E0,7.430846803E-3,-6.875395309E-3,3.034366295E-3
5.979181625E0,-4.481099080E-3,-2.695922181E-2,3.313898109E-3
6.476770625E0,-9.541063756E-2,-1.056335866E-1,5.292946100E-2
6.974358625E0,1.955324970E-2,-1.600542571E-3,6.188943982E-3
7.471946542E0,-1.705737785E-2,-2.608179301E-2,1.253464911E-2
7.969534542E0,6.675020605E-2,8.888402581E-2,-2.877868526E-2
8.467121750E0,3.956430405E-2,4.716352373E-2,1.185949985E-2
8.964708750E0,2.703089267E-2,-4.029869288E-2,3.457354754E-2
9.462295500E0,1.747147553E-2,1.000202633E-2,-4.141889978E-3
9.959881500E0,9.496413171E-3,2.273114212E-2,-9.207241237E-3
1.045746750E1,1.113274321E-2,7.231635042E-3,9.100304917E-3
1.095505350E1,-7.674730849E-3,-1.375759207E-2,8.790849708E-3
1.145263842E1,-1.267108973E-2,3.533907235E-3,-7.516331039E-3
1.195022342E1,-2.535230247E-3,-2.617042977E-3,8.830755949E-3
1.244780725E1,-8.949230425E-3,9.968040511E-3,-1.251711696E-2
1.294539125E1,3.464529291E-3,-1.207312662E-2,9.350664914E-3
1.344297554E1,1.514594816E-2,1.299808174E-2,-6.567141972E-3
1.394055854E1,-1.275373623E-3,-4.305830225E-5,1.953741536E-3
1.443814187E1,-4.126993590E-4,1.497096196E-2,-8.260098286E-3
1.493572488E1,-6.097799167E-3,8.497042581E-3,-1.140256412E-3
1.543330629E1,-4.796777386E-3,2.151999809E-2,-5.950697698E-3
1.593088829E1,-7.048908155E-3,1.156489179E-2,-1.751710661E-3
1.642846938E1,-2.360773832E-2,5.989283323E-3,-1.308092847E-2
1.692605038E1,2.464680374E-2,1.626180857E-2,-9.306473657E-5
1.742363175E1,2.194544859E-2,2.854835615E-2,-7.326938212E-4
1.792121175E1,-1.447475515E-3,-1.249597967E-2,1.873115078E-2
1.841879129E1,-2.186506055E-2,1.088031381E-2,-1.263394207E-2
1.891637029E1,-2.617378952E-3,-1.538831182E-2,9.083002806E-3
1.941395000E1,-3.989917692E-3,9.728095494E-3,-8.954985999E-3
1.991152900E1,-2.389371023E-2,-7.100895047E-3,-9.339096025E-3
2.040910738E1,-5.087098107E-4,1.809246605E-3,1.034413092E-2
2.090668537E1,1.235501282E-2,1.597227156E-2,-2.131504007E-4
2.140426363E1,5.536139943E-3,-3.062634543E-2,3.610458970E-2
2.190184163E1,2.196724154E-2,1.261301339E-2,1.166371815E-2
2.239941879E1,-1.277016848E-2,1.451749355E-2,-8.857976645E-3
2.289699579E1,8.014404215E-3,2.277862839E-2,-1.240208186E-2
2.339457242E1,1.708382741E-2,4.310737178E-2,-2.151030675E-2
2.389214942E1,1.273007598E-2,-1.532000303E-2,1.798034832E-2
2.438972550E1,-6.000768859E-3,-3.868734464E-2,9.638899937E-3
2.488730150E1,-2.564053237E-2,-5.729271844E-2,2.419798449E-2
2.538487742E1,1.540472358E-2,-9.373925626E-3,2.125227079E-2
2.588245242E1,1.234181877E-2,5.089173093E-3,6.506382488E-3
2.638002750E1,5.617869552E-3,-8.561924100E-3,7.077896968E-3
2.687760250E1,3.085779026E-2,2.085295133E-2,1.579856500E-2
2.737517713E1,1.969656162E-2,1.595359063E-3,6.836820394E-4
2.787275113E1,-3.790091723E-3,4.729887471E-3,-8.413327858E-3
2.837032537E1,-1.197987515E-2,8.118571714E-4,-5.753178615E-3
2.886789938E1,2.533685789E-2,3.258837759E-2,-2.580415457E-5
2.936547192E1,-1.173257548E-2,-1.560816914E-2,-3.381958697E-3
2.986304592E1,-5.765049718E-4,9.928860702E-3,-9.126747958E-3
3.036061913E1,-3.735221922E-2,-2.312392741E-2,-7.241755258E-3
3.085819213E1,-3.284786269E-2,-9.891234338E-3,-1.606467366E-2
3.135576392E1,2.810874395E-2,-9.456933476E-4,1.854653284E-2
3.185333592E1,2.669531386E-3,1.050800830E-2,-5.411475897E-3
3.235090817E1,-1.522117388E-2,-1.177023258E-2,1.277150214E-2
3.284848017E1,1.753858849E-2,8.201386780E-3,2.848956734E-3
3.334605225E1,4.399083555E-3,1.240305603E-2,-1.092411391E-2
3.384362425E1,3.905115882E-3,4.631644115E-3,7.745051757E-3
3.434119554E1,1.109740604E-2,-4.205945879E-5,4.523447715E-3
3.483876654E1,1.416762010E-3,5.713325925E-3,-7.214956917E-3
3.533633754E1,-1.784731820E-2,-2.365576290E-2,2.528705634E-2
3.583390854E1,2.800968708E-3,-1.951219887E-2,2.835615724E-2
3.633147838E1,1.143190265E-2,3.536381945E-2,-1.274920627E-2
3.682904937E1,-9.234018624E-3,9.461991489E-3,2.888809890E-3
3.732661979E1,7.317699492E-3,2.463997528E-2,-2.159419470E-2
3.782419079E1,1.077831257E-2,2.330071665E-2,-2.631828561E-2
3.832176087E1,-9.745062329E-3,1.109456830E-2,4.072375596E-3
3.881933188E1,5.943715572E-3,1.196205895E-2,-7.735545281E-3
3.931690100E1,2.310585696E-3,-2.263328061E-2,7.548243739E-3
3.981447100E1,-2.357091289E-3,6.928928196E-4,-6.111549214E-3
4.031204138E1,-2.500794595E-3,-4.974057898E-3,-9.896256961E-3
4.080961138E1,-9.963441640E-3,-2.164207399E-2,1.746370457E-3
4.130718100E1,-1.560631674E-3,4.921597894E-3,-2.948603127E-3
4.180475100E1,-5.539101548E-3,-1.897457242E-2,5.659652874E-3
4.230232017E1,-3.306964354E-4,-5.350678694E-3,-2.544202842E-3
4.279988917E1,-3.069080180E-3,-4.509040155E-3,4.717681557E-3
4.329745954E1,3.718934604E-4,-7.475321181E-3,-7.457565516E-3
4.379502854E1,9.597691242E-4,-4.602084402E-3,-5.409647711E-4
4.429259742E1,-1.222725492E-2,1.121894922E-3,-7.863963954E-3
4.479016642E1,-1.043253671E-2,-1.197932754E-2,-8.802349679E-3
4.528773404E1,1.429301919E-4,-1.153831556E-2,-9.560529143E-4
4.578530304E1,-1.754810289E-2,5.755870137E-3,-1.346717961E-2
4.628287204E1,-6.582569331E-3,-9.654367343E-3,-1.908231992E-3
4.678044004E1,1.755969017E-3,5.619877484E-3,8.080750704E-4
4.727800900E1,-8.626146242E-3,-1.304043271E-2,-2.281913999E-3
4.777557700E1,-4.564411007E-3,7.133330684E-3,-1.178578101E-2
4.827314525E1,-1.458728313E-2,-3.173461184E-2,5.327685736E-3
4.877071325E1,-8.028927259E-3,-4.896607250E-2,4.505281895E-2
4.926828225E1,1.745985635E-2,-6.175684743E-3,1.432923879E-2
4.976584992E1,-4.370944109E-3,-7.006353699E-4,-2.564366534E-2
5.026341692E1,4.518390633E-3,-5.685952958E-3,-8.675456047E-4
5.076098529E1,-1.897136681E-2,-1.341603324E-2,1.350604184E-2
5.125855229E1,-1.310611237E-2,-9.903987870E-3,-7.954415865E-3
5.175612029E1,6.965189707E-3,-4.077487811E-2,2.996778861E-2
5.225368729E1,-6.206725258E-3,3.279085830E-2,-1.914172620E-2
5.275125404E1,-1.401192043E-2,1.851680689E-3,-7.547711488E-3
5.324882104E1,1.741787978E-2,-8.030153811E-3,4.876898602E-4
5.374638700E1,7.913785987E-3,3.529710462E-3,2.578181215E-3
5.424395400E1,2.464382909E-3,-7.642082870E-3,3.822557628E-4
5.474152079E1,5.928605795E-3,-1.340777613E-2,-3.812978044E-3
5.523908679E1,-1.293691248E-2,-1.666197740E-2,-4.905820824E-3
5.573665237E1,-2.779825591E-2,-3.837037086E-2,1.148199104E-2
5.623421737E1,-6.452333182E-3,-2.549248748E-4,6.027845666E-4
5.673178337E1,-1.626659743E-2,-2.409426309E-2,2.365612611E-2
5.722934837E1,-7.539548911E-3,6.360121071E-3,8.404096588E-4
5.772691400E1,4.760425072E-3,-1.248458214E-2,3.754502162E-3
5.822447900E1,-3.303150646E-3,-2.674100362E-2,1.540600043E-2
5.872204425E1,-8.337611333E-3,-1.871342398E-2,1.256161463E-2
5.921960825E1,-4.085928202E-3,-1.463254355E-2,-3.614729270E-3
5.971717304E1,-1.556221396E-2,-3.374915570E-2,3.306562081E-3
6.021473704E1,8.631453384E-4,-1.022733003E-2,-1.631734427E-3
6.071230117E1,-6.770048640E-5,-1.580888033E-2,8.225698024E-3
6.120986517E1,5.110017490E-3,-1.784273610E-2,2.330524847E-3
6.170742950E1,-4.039599746E-2,-1.258794777E-2,-6.592942402E-3
6.220499250E1,2.401095582E-3,-1.071570814E-2,1.418127306E-2
6.270255487E1,3.038541414E-2,1.714004949E-2,-5.008897744E-3
6.320011687E1,-1.174004283E-3,-1.042952295E-3,1.302463561E-2
6.369767900E1,5.253264681E-3,2.691958286E-2,-1.552484557E-2
6.419524100E1,-4.820643459E-3,-1.265706774E-2,1.602573879E-2
6.469280388E1,5.798764993E-3,1.287119277E-2,-1.713928208E-2
6.519036488E1,7.834544405E-3,2.515368164E-2,-4.054498859E-3
6.568792538E1,4.376241413E-4,2.001549676E-2,-2.015389316E-2
6.618548537E1,2.313486184E-4,2.719454840E-2,-2.279473469E-2
6.668304500E1,-2.747005317E-3,-1.183132082E-2,1.642815024E-2
6.718060500E1,1.275860937E-3,4.683572799E-2,-2.578787878E-2
6.767816475E1,-3.430176526E-3,-5.588433892E-2,5.477967858E-2
6.817572375E1,4.680746701E-3,1.567644626E-2,-4.147864878E-2
6.867328200E1,-2.119757608E-2,1.865762472E-2,-5.002282560E-2
6.917084000E1,7.963724434E-3,-3.216388635E-3,-8.598599583E-3
6.966839854E1,9.095749818E-3,1.045729220E-2,-1.402498968E-2
7.016595554E1,5.473010824E-4,-1.153911650E-2,5.049633794E-3
7.066351263E1,1.145153213E-2,5.826236680E-3,-1.041074470E-2
7.116106962E1,-1.090658270E-2,-2.183736488E-2,4.643653519E-3
7.165862579E1,-1.233041193E-2,-2.382529899E-2,-2.528919373E-3
7.215618279E1,-1.371924020E-2,-1.663367078E-2,-1.315729879E-2
7.265373812E1,5.438545719E-3,1.531739486E-3,1.779547893E-4
