"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.080250002E-3,1.886788318E-1,-3.093223858E-1,1.185853341E0
5.056741250E-1,2.443566039E-2,-6.322798938E-1,9.846605909E-1
1.003268125E0,1.005990795E-1,-9.872029603E-1,7.622558963E-1
1.500860917E0,7.397056706E-2,-9.966052830E-2,2.377051038E-1
1.998453917E0,-2.406151168E-2,-6.554816455E-1,-8.011416346E-1
2.496046875E0,-8.034087463E-1,-9.035161480E-1,-5.468292689E-1
2.993638875E0,-8.252234836E-2,-4.816638047E-1,1.378910276E0
3.491229875E0,-1.146699654E-1,-2.194372326E-1,3.705854183E-1
3.988820875E0,-1.771421656E-1,-4.236427608E-1,-2.777117532E-1
4.486412500E0,1.004257827E-1,-2.112540543E-2,1.797650439E-1
4.984002500E0,1.336755359E-1,1.070683658E-2,2.807827109E-1
5.481592625E0,9.075383015E-2,4.729052603E-2,1.381474864E-1
5.979181625E0,7.013274707E-2,-1.229608056E-1,-1.367347991E-1
6.476770625E0,-1.220774375E-2,6.344024330E-2,-1.119806117E-1
6.974358625E0,-7.900743172E-2,1.219179547E-1,1.071742004E-1
7.471946542E0,-1.395163927E-1,-1.139078540E-1,-4.137098032E-1
7.969534542E0,1.479750480E-1,2.184642559E-1,5.043638653E-1
8.467121750E0,7.302514538E-3,1.834166300E-1,-2.765323699E-2
8.964708750E0,1.618652549E-1,1.557774264E-1,1.724168479E-1
9.462295500E0,-5.258444890E-2,1.975736162E-1,-2.514513230E-1
9.959881500E0,9.669123910E-2,1.553701678E-1,-1.145674199E-1
1.045746750E1,8.276390232E-2,4.566178411E-2,5.563918054E-2
1.095505350E1,-6.526684038E-2,3.361768931E-2,-5.488021195E-2
1.145263842E1,-5.388033807E-2,3.266400844E-2,-7.265282393E-2
1.195022342E1,4.224247858E-3,3.575016886E-2,-1.193212062E-1
1.244780725E1,4.032707691E-2,3.119197190E-3,2.454719603E-2
1.294539125E1,-1.285931361E-1,6.110808134E-2,4.242271900E-2
1.344297554E1,1.489849352E-1,-1.110590905E-2,-9.898751378E-3
1.394055854E1,1.040180927E-1,-1.582548916E-2,3.566099882E-2
1.443814187E1,-3.195108667E-2,9.551046699E-2,7.047999859E-2
1.493572488E1,2.154077701E-2,9.686906755E-2,-1.577251339E-1
1.543330629E1,1.062325794E-1,-5.073044300E-2,-1.159485322E-1
1.593088829E1,-9.523462459E-2,2.208931893E-2,7.600269377E-2
1.642846938E1,-3.268034410E-2,3.267248690E-2,-1.099311626E-1
1.692605038E1,5.127438024E-2,1.189341205E-1,8.342924237E-2
1.742363175E1,1.201768731E-1,8.577339113E-2,3.250800472E-1
1.792121175E1,-1.081179045E-1,-4.458823532E-2,-1.535309261E-1
1.841879129E1,3.188581713E-2,1.033735102E-1,-1.097194934E-1
1.891637029E1,-4.783592507E-2,-3.702749312E-2,3.248596072E-2
1.941395000E1,-1.058226896E-1,6.236113966E-2,-8.991848230E-2
1.991152900E1,5.491207927E-2,2.054302275E-2,-2.113593042E-1
2.040910738E1,1.373377933E-1,-9.177117258E-2,5.055795014E-2
2.090668537E1,-4.699282967E-2,1.495688528E-2,9.005179882E-2
2.140426363E1,-8.820184942E-2,-9.708921522E-2,1.281534255E-2
2.190184163E1,-2.087426752E-2,-7.474788129E-3,-1.597868621E-2
2.239941879E1,3.595694102E-2,1.062880549E-1,-6.415681958E-2
2.289699579E1,5.214258213E-2,8.906742007E-2,2.889752448E-2
2.339457242E1,3.701583158E-1,1.694897318E-1,3.177979249E-1
2.389214942E1,-7.692271661E-2,-4.840149701E-2,1.958641827E-1
2.438972550E1,-1.635121598E-1,-1.940299112E-1,-4.922536969E-2
2.488730150E1,3.595803738E-2,-5.121839315E-2,-3.411616445E-1
2.538487742E1,6.442623004E-2,3.226815194E-2,2.892980111E-1
2.588245242E1,-7.444287591E-2,-1.143142354E-1,2.444159532E-1
2.638002750E1,1.079648536E-1,-8.039541453E-2,1.871459842E-1
2.687760250E1,-1.718858111E-1,-2.106535453E-1,5.138866407E-1
2.737517713E1,-1.644737709E-2,6.072333455E-2,4.486855084E-1
2.787275113E1,-9.743580893E-3,-1.112912250E-1,-3.758005500E-3
2.837032537E1,-1.409083955E-2,1.046768546E-1,-9.424951494E-2
2.886789938E1,2.334022108E-2,5.197765410E-2,5.586020529E-2
2.936547192E1,7.679718420E-2,2.276905775E-3,2.077118111E-1
2.986304592E1,-4.068909265E-2,-6.056312084E-2,4.089834988E-2
3.036061913E1,-3.210958276E-2,4.996475011E-2,-2.804488349E-1
3.085819213E1,-3.852269925E-2,-2.149319530E-2,-6.006371015E-1
3.135576392E1,-3.575682007E-2,3.682576418E-3,-1.235657001E-1
3.185333592E1,-9.818110965E-2,-6.443280816E-2,1.166537064E-1
3.235090817E1,-5.817643359E-2,1.481354079E-1,2.957474899E-1
3.284848017E1,1.986411716E-1,1.102708858E-1,-1.533724666E-1
3.334605225E1,-9.621381395E-2,-1.491858602E-2,1.223097181E-1
3.384362425E1,-3.305321373E-2,-6.726870775E-2,-8.780763745E-2
3.434119554E1,7.119317617E-2,-5.527753025E-2,3.433707225E-1
3.483876654E1,6.738780823E-2,9.531224638E-2,-6.271489620E-2
3.533633754E1,-1.462471227E-1,1.228005919E-1,-2.923549354E-1
3.583390854E1,4.575731300E-2,5.523426086E-2,4.312321544E-2
3.633147838E1,2.104810889E-1,2.277344316E-2,-1.076302832E-1
3.682904937E1,-1.400378182E-1,9.625598699E-2,-3.651287967E-1
3.732661979E1,-7.572403740E-2,-2.090905845E-2,7.487535059E-2
3.782419079E1,2.800064565E-1,-2.238167971E-2,2.978454709E-1
3.832176087E1,1.380319308E-2,8.235978663E-2,-3.365405899E-1
3.881933188E1,-2.347944694E-1,9.655565679E-2,-7.988407552E-2
3.931690100E1,1.653886409E-1,5.467146635E-5,1.178909773E-1
3.981447100E1,1.092617660E-1,3.547008723E-2,2.917409778E-2
4.031204138E1,-1.520655042E-1,-1.194352269E-2,-1.616690809E-1
4.080961138E1,4.450739756E-2,-9.903604567E-2,-1.681442875E-1
4.130718100E1,4.903014578E-2,2.736321509E-2,2.038163960E-2
4.180475100E1,-1.093959231E-1,-2.866831362E-2,-1.611638814E-1
4.230232017E1,7.101830788E-2,-8.285446107E-2,-9.383904040E-2
4.279988917E1,-8.686546829E-2,1.011188239E-2,-2.814264894E-3
4.329745954E1,-4.430497427E-2,-1.403068632E-2,-8.144060433E-2
4.379502854E1,3.210388172E-2,-4.224642545E-2,-1.074969667E-1
4.429259742E1,-5.418881524E-2,1.144504756E-2,-6.700909138E-2
