"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.747893095E0,5.211355993E1,4.412196843E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
3.755478024E0,5.211267833E1,4.408302606E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
8.291272902E1,5.210664736E1,4.399878013E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
8.291668200E1,5.210435662E1,4.397658013E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
8.393469203E1,5.210268699E1,4.396625680E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
8.393622303E1,5.210187294E1,4.396132276E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.230762120E2,5.210130406E1,4.387603010E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.230791091E2,5.210153625E1,4.383883502E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.291640821E2,5.210175008E1,4.389582335E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.291721630E2,5.210190800E1,4.392510167E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.372127360E2,5.210178748E1,4.392330827E0,4.028463364E0,NaN,NaN,1.442696118E3,4.048884201E1
1.372354281E2,5.210178716E1,4.392330352E0,4.028463364E0,NaN,NaN,1.442696360E3,4.048884201E1
1.377456241E2,5.210178001E1,4.392319719E0,4.028463364E0,NaN,NaN,1.442818815E3,4.048884201E1
1.463913810E2,5.209827541E1,4.389092266E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.565970521E2,5.209851606E1,4.377753543E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.566019671E2,5.209875939E1,4.372600457E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.702513111E2,5.209447089E1,4.374531484E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.702556220E2,5.209268174E1,4.375924575E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.712720480E2,5.209145498E1,4.377166999E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.712750241E2,5.209086673E1,4.377815051E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.753726060E2,5.209595617E1,4.372687938E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
1.753751501E2,5.209856856E1,4.370256404E0,4.028463364E0,NaN,NaN,1.414000000E3,4.048884201E1
