"Time (s)","X (hPa)"
-5.186534583E-1,1.018160172E3
5.197155417E-1,1.018172455E3
1.558146542E0,1.018184662E3
2.596601542E0,1.018196564E3
3.634971542E0,1.018201904E3
4.673308542E0,1.018204575E3
5.184927542E0,1.018205643E3
6.223325542E0,1.018211517E3
7.261726542E0,1.018211517E3
8.300107542E0,1.018206329E3
9.338469542E0,1.018201752E3
1.037683554E1,1.018196640E3
1.141520454E1,1.018186951E3
1.245359454E1,1.018184891E3
1.349198354E1,1.018184891E3
1.453031154E1,1.018185043E3
1.556865354E1,1.018185043E3
1.660695454E1,1.018184738E3
1.764527354E1,1.018184738E3
1.868368854E1,1.018184814E3
1.972207454E1,1.018194351E3
2.076042854E1,1.018203430E3
2.179877054E1,1.018213348E3
2.283714354E1,1.018225021E3
2.387549854E1,1.018241882E3
2.491384054E1,1.018258591E3
2.590652654E1,1.018273849E3
2.674042654E1,1.018293381E3
2.757432454E1,1.018312073E3
2.840818454E1,1.018325424E3
2.924204054E1,1.018330841E3
3.007584654E1,1.018330841E3
3.090967554E1,1.018328629E3
3.174351054E1,1.018319931E3
3.257736954E1,1.018303909E3
3.341124354E1,1.018288651E3
3.424508954E1,1.018272705E3
3.507897454E1,1.018260193E3
3.591278754E1,1.018248215E3
3.674658554E1,1.018246231E3
3.758039654E1,1.018242264E3
3.841418354E1,1.018241425E3
3.924799854E1,1.018241425E3
4.008178554E1,1.018243332E3
4.091556454E1,1.018244247E3
4.174938654E1,1.018244247E3
4.258323754E1,1.018240356E3
4.341707554E1,1.018233185E3
4.425091754E1,1.018225784E3
4.508474754E1,1.018218918E3
4.591857154E1,1.018215103E3
4.675239554E1,1.018215103E3
4.758625154E1,1.018215561E3
4.842009854E1,1.018215561E3
4.925393554E1,1.018211899E3
5.008782454E1,1.018206711E3
5.092172054E1,1.018203049E3
5.175562054E1,1.018202133E3
5.258950454E1,1.018202133E3
5.342336454E1,1.018204498E3
5.425716954E1,1.018208542E3
5.509102154E1,1.018208542E3
5.592488554E1,1.018206177E3
5.675873954E1,1.018202591E3
5.759258354E1,1.018202057E3
5.842647754E1,1.018199615E3
5.926036254E1,1.018199615E3
6.009422754E1,1.018201447E3
6.092808254E1,1.018203125E3
6.176196054E1,1.018203430E3
6.259581754E1,1.018206100E3
6.342966354E1,1.018206100E3
6.426354254E1,1.018204117E3
6.509738054E1,1.018204117E3
6.593123554E1,1.018206787E3
6.676508854E1,1.018207016E3
6.759895754E1,1.018209076E3
6.843281954E1,1.018213654E3
6.926670254E1,1.018218079E3
7.010057854E1,1.018218994E3
7.093444854E1,1.018218994E3
7.176830354E1,1.018217545E3
7.260215454E1,1.018215790E3
7.343603554E1,1.018214188E3
7.426990154E1,1.018211823E3
7.510376254E1,1.018208389E3
7.593764754E1,1.018202515E3
7.677150554E1,1.018190079E3
7.760541354E1,1.018170242E3
7.843932354E1,1.018146210E3
7.927323354E1,1.018115158E3
8.010714354E1,1.018082657E3
8.094102954E1,1.018047638E3
8.177490154E1,1.018011246E3
8.260877754E1,1.017968597E3
8.344268754E1,1.017931366E3
8.427658954E1,1.017894745E3
8.511048354E1,1.017863846E3
8.594435054E1,1.017841492E3
8.677820454E1,1.017830048E3
