"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.575458329E-3,-1.660796356E0,2.193837891E0,8.978030090E0
4.991454167E-1,-7.146139526E-1,1.835782471E0,9.742340698E0
9.967154167E-1,-7.379653931E-1,2.032922516E0,9.275311890E0
1.494284458E0,-9.484277344E-1,1.885329437E0,1.002989273E1
1.991854458E0,-7.313790894E-1,1.797162781E0,9.728719025E0
2.489423042E0,-1.015488281E0,1.644929352E0,9.567504272E0
2.986992042E0,-9.415420532E-1,1.636247406E0,9.742340698E0
3.484561208E0,-8.653504944E-1,1.608405304E0,9.494456177E0
3.982130208E0,-9.352551270E-1,1.687740326E0,9.380842438E0
4.479699667E0,-9.111552429E-1,2.550845490E0,9.602232056E0
4.977268667E0,-8.011340332E-1,3.181933136E0,9.074579315E0
5.474837292E0,-6.253994751E-1,3.864663391E0,7.985593872E0
5.972406292E0,-8.035290527E-1,4.060456238E0,9.271419983E0
6.469975708E0,-8.599617004E-1,4.158801727E0,9.126521301E0
6.967544708E0,-7.069798279E-1,4.140390015E0,8.760532379E0
7.465113208E0,-8.093669128E-1,4.303850098E0,9.306746521E0
7.962682208E0,-7.077282715E-1,4.154909821E0,8.923543396E0
8.460250417E0,-7.813751221E-1,4.086951141E0,8.957373047E0
8.957819417E0,-9.105564880E-1,4.147724762E0,8.973539429E0
9.455387167E0,-6.985972595E-1,4.122726746E0,9.222771149E0
9.952956167E0,-8.696914673E-1,3.977378998E0,8.830736389E0
1.045052379E1,-7.976911926E-1,3.968996429E0,9.004674683E0
1.094809179E1,-1.082548828E0,3.910468140E0,8.781339111E0
1.144566071E1,-3.800596619E-1,3.936214600E0,8.602760468E0
1.194322871E1,-8.864566040E-1,3.910468140E0,8.708889771E0
1.244079496E1,-3.074606323E-1,3.766766968E0,8.524473267E0
1.293836196E1,-1.169368286E0,4.025728455E0,9.245074768E0
1.343592958E1,-8.952882385E-1,3.452121277E0,9.746382294E0
1.393349558E1,-1.051263885E0,3.642076263E0,1.013677048E1
1.443106079E1,-8.587641907E-1,2.996019745E0,9.328301697E0
1.492862579E1,-8.358618164E-1,3.280877380E0,9.409732361E0
1.542619092E1,-7.411088562E-1,3.348386993E0,8.598569183E0
1.592375592E1,-1.048569489E0,2.857857056E0,8.637188873E0
1.642132021E1,-1.052162018E0,2.903661804E0,9.318721619E0
1.691888421E1,-8.857081604E-1,2.822530518E0,9.812844086E0
1.741644808E1,-7.824229431E-1,2.841990051E0,8.784781952E0
1.791401308E1,-9.894424438E-1,2.702330475E0,9.556127930E0
1.841157779E1,-6.035449219E-1,2.643053741E0,9.900411987E0
1.890914079E1,-8.939410400E-1,2.784060516E0,9.164542236E0
1.940670467E1,-7.020401001E-1,2.634521484E0,9.183103638E0
1.990426867E1,-5.917195129E-1,2.780767365E0,9.516161041E0
2.040183104E1,-9.608518982E-1,2.790946198E0,8.932524719E0
2.089939404E1,-7.958949280E-1,2.876717834E0,9.424701233E0
2.139695604E1,-2.522254944E-1,2.922223206E0,9.343420258E0
2.189451904E1,-9.744735718E-1,2.796035614E0,9.256451111E0
2.239208117E1,-3.944297791E-1,3.041375427E0,9.101822662E0
2.288964317E1,-3.459306335E-1,2.838846588E0,9.662107544E0
2.338720533E1,-2.917433167E-1,2.866688690E0,9.384584656E0
2.388476733E1,-2.320175171E-1,2.783761139E0,9.517358551E0
2.438232871E1,1.047821045E-3,2.799029388E0,9.485025787E0
2.487988971E1,-2.842588806E-1,2.790197754E0,9.700577545E0
2.537745033E1,-6.436614990E-2,2.772085419E0,9.170080719E0
2.587501033E1,-5.254074097E-2,2.834505615E0,9.149723053E0
2.637257171E1,-1.336720276E-1,2.862048340E0,9.533674622E0
2.687013171E1,-1.089733887E-1,2.785557404E0,9.078171844E0
2.736769017E1,-2.275268555E-1,2.332599335E0,9.758956146E0
2.786524917E1,-1.574725342E-1,2.363285522E0,9.784702606E0
2.836280871E1,-2.480342102E-1,2.142644348E0,9.702673187E0
2.886036771E1,-1.469943237E-1,2.145937500E0,9.098080444E0
2.935792679E1,-1.448986816E-1,2.309397583E0,9.531429291E0
2.985548579E1,-3.053649902E-2,2.180066528E0,9.954000549E0
3.035304371E1,-2.338137817E-1,2.308200073E0,1.047701294E1
3.085060271E1,-1.228944397E-1,2.322869568E0,9.869725800E0
3.134816129E1,-1.465452576E-1,2.362686768E0,9.371561737E0
