"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.795458310E-3,-2.539953403E-2,-1.689780205E-1,1.190528087E-2
5.053654167E-1,2.540952154E-2,-6.557127833E-2,8.280915208E-4
1.002935417E0,-7.184773684E-2,9.752882272E-2,-2.120896243E-4
1.500504458E0,1.701481640E-2,-4.664758965E-2,2.888194472E-2
1.998073458E0,-2.984123118E-2,2.457557246E-2,1.541666500E-2
2.495643042E0,-1.061462425E-2,1.130413450E-2,-2.391266171E-3
2.993212042E0,7.939065807E-3,-2.109424211E-2,1.109558158E-2
3.490781208E0,-2.060384862E-2,2.670096979E-2,-3.667308483E-3
3.988350208E0,7.028265391E-3,1.175984461E-2,3.937536385E-3
4.485919667E0,4.384032916E-3,-8.130549453E-3,4.191678017E-4
4.983488667E0,7.437586784E-3,4.394730553E-3,-6.182717625E-3
5.481057292E0,-4.525120556E-2,-9.804526344E-3,-1.821030676E-2
5.978626292E0,1.322789490E-2,-2.266996168E-2,1.949248370E-3
6.476195708E0,7.877418771E-3,-2.075558901E-2,2.723691519E-3
6.973764708E0,2.620679094E-3,2.903430723E-3,4.193177912E-3
7.471333208E0,3.397083841E-3,-2.086624503E-3,4.764231853E-4
7.968901208E0,1.092537958E-2,1.703056321E-2,-3.355579916E-3
8.466470417E0,1.572459191E-2,-9.400539100E-3,3.709836397E-3
8.964038417E0,1.136244973E-4,-8.617030457E-3,3.982198890E-3
9.461607167E0,2.937399084E-3,-6.742320955E-3,6.390831899E-3
9.959175167E0,7.388613652E-3,6.999261677E-4,4.049067851E-3
1.045674379E1,1.384309307E-2,-7.611201610E-3,3.209905233E-3
1.095431179E1,3.258555371E-4,2.234990522E-2,-1.124162972E-2
1.145188071E1,7.312476169E-3,-3.382125869E-4,1.864021085E-2
1.194944771E1,4.671062808E-3,-2.387138549E-3,-1.109892968E-3
1.244701496E1,6.270175800E-3,7.070018910E-4,3.893393558E-3
1.294458196E1,1.671054959E-2,-2.816951647E-2,1.790014096E-2
1.344214858E1,4.542259034E-3,-1.362661365E-2,2.667889558E-2
1.393971558E1,-3.720844863E-3,-1.197973266E-2,8.863929659E-3
1.443727979E1,-1.572095416E-2,1.160770655E-2,-2.043997403E-3
1.493484579E1,-1.355112158E-2,3.628187999E-2,-4.335656017E-2
1.543241092E1,-9.042644501E-2,-1.319608539E-1,-1.615495980E-2
1.592997592E1,-3.923195973E-2,6.760476530E-2,-4.651107267E-2
1.642754021E1,1.481833030E-2,-8.022146672E-2,4.108180106E-2
1.692510421E1,-9.442938864E-2,-5.431059003E-2,2.581342869E-2
1.742266808E1,-1.054359507E-2,-1.991477236E-2,-1.858939882E-3
1.792023208E1,-1.222724561E-2,1.843320206E-5,5.725649651E-3
1.841779679E1,5.002345517E-2,2.090850472E-2,-9.723841213E-4
1.891536079E1,-7.430935651E-2,-3.595457971E-2,9.566629305E-3
1.941292467E1,-4.569822550E-2,-5.390769802E-3,-1.980925445E-3
1.991048767E1,-5.403204635E-2,5.470741168E-2,-4.578664154E-2
2.040805004E1,1.236104965E-2,-5.635870993E-2,4.018970579E-2
2.090561304E1,-1.717903279E-2,3.805402294E-2,-2.409454808E-2
2.140317604E1,3.354720771E-2,8.030882105E-3,-8.234595507E-2
2.190073904E1,-1.008126140E-2,9.233513847E-3,3.436115012E-2
2.239830117E1,-1.434167661E-2,2.036847640E-3,-2.377653681E-2
2.289586317E1,-3.095695190E-2,-9.114906937E-2,-2.909953892E-2
2.339342533E1,2.886366099E-2,-1.231389865E-2,7.266540546E-3
2.389098633E1,8.708083071E-3,5.569992587E-3,6.712722126E-3
2.438854871E1,-1.916356757E-2,8.061340079E-3,9.124085307E-3
2.488610971E1,-1.330420282E-2,-6.044926122E-3,1.307466999E-2
2.538367033E1,-1.301568351E-3,-2.646760084E-3,-3.464489710E-3
2.588123033E1,-7.655472495E-3,-5.179977510E-3,3.421237227E-3
2.637879071E1,1.100680977E-2,-4.920870997E-4,-2.224915661E-4
2.687635071E1,9.907550178E-3,-6.248237099E-3,-1.885122620E-3
2.737391017E1,-9.626618121E-4,6.711740512E-3,-2.848913427E-3
2.787146917E1,-2.173849847E-3,1.163817942E-3,-1.305226609E-2
2.836902871E1,5.647263024E-3,2.091382071E-2,-1.018440537E-2
2.886658771E1,-2.848901227E-2,7.459012326E-3,-8.246031590E-3
2.936414579E1,-3.550263122E-2,3.107958473E-4,3.675724845E-3
2.986170479E1,2.626096085E-2,1.314565539E-2,-1.132915076E-2
3.035926371E1,-4.284272343E-2,-3.858813643E-2,7.264262531E-3
3.085682271E1,-3.008206934E-2,1.069509890E-3,3.892437089E-3
3.135438029E1,-5.022301152E-2,-3.614146728E-3,3.198548220E-4
3.185193929E1,-4.432835057E-2,1.507160440E-2,9.932755493E-4
3.234949729E1,5.728465505E-3,3.107583150E-3,9.572734125E-4
3.284705429E1,3.338048235E-2,-4.738620017E-3,-1.894372515E-3
3.334461267E1,-1.153601184E-1,2.011666447E-2,4.401409533E-3
3.384216967E1,3.438990936E-2,-3.111981787E-3,3.664564807E-3
3.433972604E1,3.494067490E-2,1.539938711E-2,7.071679924E-3
3.483728204E1,2.007826045E-2,-3.059524577E-3,2.219048329E-4
3.533483942E1,-3.107386176E-3,1.095109805E-2,-1.165731996E-2
3.583239542E1,-8.400317165E-4,1.914697513E-2,-1.415454783E-3
3.632995067E1,3.670734540E-2,-2.669640351E-3,4.410210531E-3
3.682750667E1,-3.082889877E-2,1.645478606E-2,9.553185664E-4
3.732506167E1,-5.376697704E-2,9.031496942E-3,-1.066945493E-3
3.782261567E1,-3.221718222E-2,9.757213295E-3,1.574768219E-3
3.832017067E1,-5.507913418E-3,-5.535715725E-3,3.908298444E-3
3.881772429E1,9.793300414E-4,-3.172155935E-3,-1.991151366E-3
3.931527829E1,-1.126705762E-2,-1.332139596E-3,2.967670094E-3
3.981283204E1,1.033807080E-2,-3.348343447E-2,1.230841503E-2
4.031038504E1,-1.226174831E-2,4.645591602E-3,-5.210631061E-3
4.080793904E1,-2.282671165E-3,7.996641099E-3,-9.897765703E-4
4.130549204E1,-5.118499510E-3,1.581632998E-3,-7.899543270E-4
4.180304529E1,-1.269120723E-2,-1.509225927E-3,-4.469832405E-3
4.230059829E1,-3.733383492E-2,8.961255662E-3,3.966176882E-4
4.279815054E1,1.872184314E-2,-1.786103472E-2,1.490839291E-2
4.329570354E1,-1.028970405E-1,-1.255305484E-2,8.380993456E-2
4.379325567E1,-4.132050276E-2,2.725082263E-2,-2.631667815E-2
4.429080867E1,-9.092603810E-3,-9.665636346E-3,1.542856917E-4
4.478836017E1,-4.152477253E-3,-5.182768684E-3,-3.851039102E-3
4.528591217E1,1.910410705E-3,7.646016311E-4,-1.248704270E-3
4.578346429E1,2.407866996E-3,-5.687683821E-3,4.026284441E-3
4.628101629E1,-2.648494439E-3,2.289569937E-3,1.535262913E-3
4.677856896E1,2.204862656E-3,3.335555084E-4,1.725902315E-3
4.727612096E1,-1.509590656E-3,-2.097100019E-3,-3.081266768E-3
4.777367242E1,4.950352944E-3,-5.194857717E-3,1.921476331E-3
4.827122442E1,-4.410299473E-3,7.364837453E-3,1.180797350E-3
4.876877617E1,2.162299585E-3,-2.942106687E-3,1.688540448E-3
4.926632817E1,-1.171823358E-3,-5.475468934E-4,2.178800758E-3
4.976387933E1,-3.801762592E-3,8.668303490E-4,-7.802238688E-4
5.026143133E1,2.914317185E-3,1.028691884E-2,-2.565892879E-3
5.075898271E1,2.610651311E-3,1.363729360E-3,3.949424252E-3
5.125653471E1,5.665235221E-4,-3.828783520E-4,1.151224598E-3
5.175408542E1,2.545810305E-3,-5.436799489E-3,2.524292096E-3
