"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.795458310E-3,-4.456051221E-1,-1.085271876E0,4.079368472E-2
5.053654167E-1,9.171818219E-2,-7.881187159E-1,3.606521684E-1
1.002935417E0,-7.171609998E-3,-4.238517988E-1,-1.665117449E-1
1.500504458E0,-1.735640717E-1,-4.404596454E-1,5.243590039E-1
1.998073458E0,6.326614246E-3,-4.099873196E-1,2.124433780E-1
2.495643042E0,-1.674217909E-1,-4.483742903E-1,3.485174417E-2
2.993212042E0,-1.957077697E-2,-3.473471215E-1,5.727581620E-2
3.490781208E0,8.251298368E-3,-3.438974105E-1,-6.258567274E-2
3.988350208E0,-1.367415234E-2,-1.678152354E-1,-1.847860479E-1
4.485919667E0,5.799356192E-2,6.011615968E-1,1.792990208E-2
4.983488667E0,1.383255342E-1,1.120699571E0,-3.909144330E-1
5.481057292E0,3.015931707E-1,1.529287945E0,-1.542548114E0
5.978626292E0,1.437158630E-1,1.721798164E0,-3.164641750E-1
6.476195708E0,1.013894769E-1,1.573646531E0,-3.841807795E-1
6.973764708E0,1.652319355E-1,1.461122712E0,-6.475405419E-1
7.471333208E0,6.859968022E-2,1.468881383E0,-2.526932716E-2
7.968901208E0,1.498203561E-1,1.194991955E0,-6.035080844E-1
8.466470417E0,9.518485017E-2,1.024200633E0,-4.919437945E-1
8.964038417E0,-6.347993128E-2,9.980270335E-1,-3.110847366E-1
9.461607167E0,1.008269747E-1,7.972029501E-1,-6.959297597E-2
9.959175167E0,-6.642173856E-2,5.222619000E-1,-3.945864844E-1
1.045674379E1,2.650900997E-2,4.209761381E-1,-3.464978135E-1
1.095431179E1,-2.245082304E-1,3.555253297E-1,-3.375714540E-1
1.145188071E1,3.872390925E-1,1.167042848E-1,-3.943438250E-1
1.194944771E1,-9.533176146E-2,2.115399832E-1,-6.088939548E-1
1.244701496E1,4.166446669E-1,5.327427417E-2,-5.336408740E-1
1.294458196E1,-3.611915740E-1,3.463805768E-1,2.349633443E-1
1.344214858E1,-8.970301241E-2,-2.146550873E-1,8.380206084E-1
1.393971558E1,-2.271878631E-1,1.385205388E-2,1.171625896E0
1.443727979E1,-1.045630532E-1,-6.047149497E-1,4.810609567E-1
1.493484579E1,-3.297354542E-2,-3.363107944E-1,2.625154245E-1
1.543241092E1,-7.098307841E-2,-1.214978322E-1,-6.941229701E-3
1.592997592E1,-3.380564075E-1,-4.373673454E-1,-6.421289438E-1
1.642754021E1,-1.534519156E-1,-3.980661625E-1,1.123484015E-1
1.692510421E1,-1.243895727E-1,-2.553177944E-1,6.236575896E-1
1.742266808E1,-3.207928687E-4,-3.142077345E-1,-4.212550503E-1
1.792023208E1,-1.899250927E-1,-2.917009243E-1,2.397750181E-1
1.841779679E1,1.701823345E-1,-2.778380531E-1,4.070749676E-1
1.891536079E1,-1.740863742E-1,-1.412590823E-1,1.025777042E-2
1.941292467E1,-4.006417148E-2,-1.343149289E-1,-1.218197215E-1
1.991048767E1,1.275507237E-1,-7.168101668E-2,1.768811971E-1
2.040805004E1,-1.208764925E-1,-1.221579829E-1,-4.434475726E-1
2.090561304E1,-5.692154802E-2,-6.470470369E-2,1.090412164E-1
2.140317604E1,3.329238312E-1,1.203839377E-1,-1.315179133E-1
2.190073904E1,-3.555860677E-1,-3.789551228E-1,1.566662031E-1
2.239830117E1,9.226449486E-2,-1.920462433E-1,-1.208280337E-1
2.289586317E1,-6.569767054E-2,-1.123475245E-1,3.527163273E-1
2.339342533E1,-3.708117787E-2,-1.005507669E-1,2.927466989E-2
2.389098633E1,-7.381236333E-2,-1.337024331E-2,3.727775395E-2
2.438854871E1,6.753194209E-2,-1.627224568E-1,2.263170666E-1
2.488610971E1,-1.234550141E-1,-1.049724314E-1,3.387069833E-1
2.538367033E1,3.557630556E-2,-7.586469948E-2,-2.332577115E-1
2.588123033E1,6.820714018E-2,-1.742236376E-2,-1.094294715E-1
2.637879071E1,-2.839791644E-2,-3.757420778E-3,1.300537705E-1
2.687635071E1,-4.170645336E-3,-2.032755286E-2,-3.064566654E-1
2.737391017E1,-7.683058642E-2,-4.453528878E-1,3.864079839E-1
2.787146917E1,-5.266185142E-2,-3.978597558E-1,4.316350275E-1
2.836902871E1,-1.519821540E-1,-5.318305761E-1,1.615287477E-1
2.886658771E1,-4.182940934E-2,-5.116173363E-1,-2.744940305E-1
2.936414579E1,-1.525163976E-3,-2.710263392E-1,1.996280354E-1
2.986170479E1,7.599640802E-2,-3.473354271E-1,3.721314222E-1
3.035926371E1,-6.530515792E-2,-2.132704666E-1,1.220516805E0
3.085682271E1,-2.706950214E-2,-1.854347965E-1,4.648875582E-1
3.135438029E1,-5.383441002E-2,-1.949584490E-1,3.483478725E-2
3.185193929E1,7.453344380E-2,-1.612469119E-1,1.053732580E-1
3.234949729E1,-1.744901062E-1,-1.844398928E-1,7.069552696E-1
3.284705429E1,1.746303845E-1,-2.857839806E-1,-1.098445069E0
3.334461267E1,-5.795695287E-2,-1.951386894E-1,-2.269965130E-1
3.384216967E1,-1.171946652E-1,-3.560413465E-1,-3.835802704E-1
3.433972604E1,4.924606335E-2,-2.358797492E-1,-1.702305740E-1
3.483728204E1,4.352085351E-2,-2.460227680E-1,1.472837609E-1
3.533483942E1,1.020832490E-2,-3.381617305E-1,2.355632687E-1
3.583239542E1,-7.035974694E-2,-3.113545856E-1,-6.198832119E-1
3.632995067E1,-1.097913411E-2,-3.368130702E-1,1.341199243E-1
