"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.198705196E-1,5.232876476E1,4.868815120E0,8.652992472E-1,1.105517698E1,1.799951015E2,4.788058161E0,3.301368819E0
1.519868851E0,5.232868289E1,4.868810038E0,9.930878477E-1,9.993356124E0,1.800997445E2,4.783008742E0,3.308680161E0
2.519868731E0,5.232861674E1,4.868807707E0,7.470401432E-1,8.717458228E0,1.799571969E2,4.778867973E0,3.314658041E0
3.519867897E0,5.232855723E1,4.868805816E0,7.932267422E-1,7.535872188E0,1.798353006E2,4.774568823E0,3.320847721E0
4.519866586E0,5.232850623E1,4.868807857E0,6.265314538E-1,6.367157409E0,1.798175829E2,4.770932552E0,3.326069694E0
5.519865990E0,5.232846893E1,4.868811491E0,7.395430701E-1,5.126781651E0,1.803145441E2,4.759687752E0,3.342141460E0
6.519865036E0,5.232843374E1,4.868811249E0,1.129233679E0,4.532153624E0,1.819071932E2,4.765337840E0,3.334080429E0
7.519864917E0,5.232837698E1,4.868814996E0,4.503931757E-1,5.839452196E0,1.800431528E2,4.767442490E0,3.331070269E0
8.519864202E0,5.232830834E1,4.868813061E0,6.956183724E-2,7.013886747E0,1.800200120E2,4.767424177E0,3.331096479E0
9.519863129E0,5.232822898E1,4.868814046E0,-3.644282771E-1,8.158872076E0,1.806074808E2,4.769329343E0,3.328368167E0
1.051986289E1,5.232813490E1,4.868815218E0,-4.482026435E-1,9.376378434E0,1.796007832E2,4.765150826E0,3.334347708E0
1.151986134E1,5.232802582E1,4.868812961E0,-4.309391724E-1,1.051298206E1,1.799562274E2,4.768842234E0,3.329066053E0
1.251986122E1,5.232791680E1,4.868813181E0,-6.004142556E-1,1.135101179E1,1.795933924E2,4.769332522E0,3.328363611E0
1.351986063E1,5.232779118E1,4.868816436E0,7.854905818E-2,1.272173298E1,1.796108839E2,4.737257105E0,3.373860126E0
1.451985955E1,5.232766963E1,4.868817765E0,-5.927562760E-1,1.322030308E1,1.793981959E2,4.739406950E0,3.370839479E0
1.551985919E1,5.232755466E1,4.868822140E0,-7.194176279E-1,1.296732503E1,1.790178101E2,4.740887241E0,3.368757219E0
1.651985812E1,5.232743291E1,4.868824550E0,-6.859266600E-1,1.330620347E1,1.791855921E2,4.741949387E0,3.367261950E0
1.751985717E1,5.232731319E1,4.868830677E0,-8.842197089E-1,1.313880933E1,1.790687261E2,4.743774791E0,3.364689847E0
1.851985645E1,5.232720792E1,4.868798271E0,-1.094383935E0,1.228716585E1,1.862721677E2,4.742766847E0,3.366110465E0
1.951985526E1,5.232710444E1,4.868779900E0,-1.211775223E0,1.161888686E1,1.881864784E2,4.748354706E0,3.358223432E0
2.051985490E1,5.232696868E1,4.868837775E0,-7.751270449E-1,1.294098199E1,1.758802285E2,4.743479103E0,3.365106689E0
2.151985419E1,5.232684911E1,4.868841316E0,-4.000142226E-1,1.310048708E1,1.772777158E2,4.746696723E0,3.360566507E0
2.251985383E1,5.232673611E1,4.868837213E0,1.823880430E-1,1.285073223E1,1.795035366E2,4.751199891E0,3.354196868E0
2.351985300E1,5.232662214E1,4.868847350E0,2.104497505E-1,1.276331174E1,1.785903880E2,4.755505585E0,3.348089555E0
2.451985228E1,5.232649572E1,4.868883739E0,-4.551840164E-1,1.347158368E1,1.728658518E2,4.775673291E0,3.319259203E0
2.551985085E1,5.232639649E1,4.868866995E0,-5.479934020E-1,1.242847700E1,1.772876862E2,4.755335970E0,3.348330456E0
2.651985073E1,5.232628426E1,4.868875308E0,-4.549932424E-1,1.229824327E1,1.772895520E2,4.782705961E0,3.309117817E0
