"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.795458310E-3,-3.050443649E0,-2.663140869E1,-1.550079346E1
5.053654167E-1,-9.908452988E0,-2.563241577E1,-2.049426270E1
1.002935417E0,-1.216557789E1,-2.418179321E1,-1.904638672E1
1.500504458E0,-2.119610214E1,-3.362472534E1,-1.780529785E1
1.998073458E0,-7.893469810E0,-3.058880615E1,-1.804907227E1
2.495643042E0,-1.450403023E1,-2.639791870E1,-1.820367432E1
2.993212042E0,-1.699020767E1,-2.702572632E1,-2.124633789E1
3.490781208E0,-1.483774185E1,-2.653598022E1,-2.237115479E1
3.988350208E0,-1.550871468E1,-2.433901978E1,-2.172119141E1
4.485919667E0,-1.244076347E1,-2.152871704E1,-2.669061279E1
4.983488667E0,-5.326070309E0,-1.492102051E1,-3.298956299E1
5.481057292E0,5.251199722E0,1.390609741E1,-4.249255371E1
5.978626292E0,-8.587852478E1,-8.269836426E0,-3.510504150E1
6.476195708E0,-7.121294403E1,-2.362255859E1,-3.199359131E1
6.973764708E0,-4.853009033E1,-1.928665161E1,-3.141491699E1
7.471333208E0,-4.440038300E1,-1.896804810E1,-2.961425781E1
7.968901208E0,-4.364709473E1,-1.824349976E1,-2.964617920E1
8.466470417E0,-3.638980865E1,-1.868395996E1,-2.979852295E1
8.964038417E0,-4.087626648E1,-1.231362915E1,-3.878833008E1
9.461607167E0,-3.139324188E1,-1.499002075E1,-4.386633301E1
9.959175167E0,-9.409919739E0,-1.619592285E1,-3.829547119E1
1.045674379E1,-1.377785301E1,-1.013867188E1,-3.645416260E1
1.095431179E1,-3.601140213E1,-7.077117920E0,-4.072277832E1
1.145188071E1,-1.479905701E2,3.601898193E0,-2.953704834E1
1.194944771E1,-8.353987885E1,-6.642352295E1,-6.332342529E1
1.244701496E1,-1.264227219E2,-6.594152832E1,-5.741815186E1
1.294458196E1,-1.251793823E2,-6.662741089E1,-6.188323975E1
1.344214858E1,-1.029036560E2,-7.468975830E1,-7.036187744E1
1.393971558E1,-6.188967133E1,-3.620065308E1,-5.278326416E1
1.443727979E1,-3.947456741E1,-3.166592407E1,-4.935913086E1
1.493484579E1,-4.695006561E1,-3.263613892E1,-4.832220459E1
1.543241092E1,-1.991815186E2,2.961862183E1,-2.765734863E1
1.592997592E1,-1.814932404E2,2.438717651E1,-1.906072998E1
1.642754021E1,-1.674706268E2,2.422473145E1,-3.242071533E1
1.692510421E1,-1.555643768E2,2.564129639E1,-1.872583008E1
1.742266808E1,-1.537766266E2,2.275851440E1,-1.867144775E1
1.792023208E1,-1.487035828E2,2.287014771E1,-1.880194092E1
1.841779679E1,-1.483724365E2,2.393203735E1,-1.523095703E1
1.891536079E1,-1.340202179E2,1.706417847E1,-1.729486084E1
1.941292467E1,-1.129688034E2,2.345349121E1,-2.354492188E0
1.991048767E1,-1.018092728E2,3.014505005E1,-7.882629395E0
2.040805004E1,-7.528874969E1,2.217129517E1,-8.359069824E0
2.090561304E1,-8.709429932E1,2.211041260E1,-7.764465332E0
2.140317604E1,-8.611212921E1,4.466928101E1,-3.446289062E0
2.190073904E1,-6.432217407E1,3.282348633E1,-1.548992920E1
2.239830117E1,-5.968469620E1,3.171694946E1,-1.576513672E1
2.289586317E1,-5.774803925E1,2.621820068E1,-1.512109375E1
2.339342533E1,-4.625825500E1,2.413644409E1,-6.856140137E0
2.389098633E1,-2.871807861E1,1.827481079E1,-2.083557129E0
2.438854871E1,-2.679335403E1,2.199530029E1,-2.535156250E0
2.488610971E1,-2.778843117E1,2.177954102E1,-3.095214844E0
2.538367033E1,-2.745258522E1,2.109866333E1,-3.660522461E0
2.588123033E1,-2.414976120E1,2.076577759E1,-3.066772461E0
2.637879071E1,-2.231496429E1,2.242092896E1,-3.479370117E0
2.687635071E1,-2.374347878E1,2.070141602E1,-3.279785156E0
2.737391017E1,-2.992631912E1,2.208502197E1,4.295043945E0
2.787146917E1,-2.753115463E1,2.667266846E1,6.447509766E0
2.836902871E1,-2.531198883E1,2.456845093E1,4.570312500E0
2.886658771E1,-2.438352966E1,2.392279053E1,2.807189941E0
2.936414579E1,-2.659635162E1,2.385794067E1,-2.101623535E0
2.986170479E1,-2.746054268E1,2.466204834E1,3.494018555E0
3.035926371E1,-2.709872818E1,2.668511963E1,4.470947266E0
3.085682271E1,-2.340937805E1,2.922100830E1,9.575134277E0
3.135438029E1,-3.004275894E1,2.913281250E1,7.990478516E0
3.185193929E1,-4.200385284E1,2.443106079E1,4.837463379E0
3.234949729E1,-3.511536789E1,1.744552612E1,3.202941895E0
3.284705429E1,-2.725755310E1,3.178628540E1,1.469476318E1
3.334461267E1,-4.011837769E1,2.838842773E1,-7.690734863E0
3.384216967E1,-3.931565857E1,2.212487793E1,-1.656573486E1
3.433972604E1,-3.644728470E1,2.594976807E1,-7.953125000E0
3.483728204E1,-4.295326996E1,2.283282471E1,-9.055541992E0
3.533483942E1,-4.280236053E1,2.477499390E1,-6.277282715E0
3.583239542E1,-4.296903229E1,2.683270264E1,-9.135131836E0
3.632995067E1,-4.275111389E1,2.646667480E1,-1.032061768E1
3.682750667E1,-4.286326599E1,2.576126099E1,-1.082714844E1
3.732506167E1,-4.302093124E1,2.672091675E1,-8.908874512E0
3.782261567E1,-4.377108002E1,2.610253906E1,-7.432922363E0
3.832017067E1,-4.362621689E1,2.692276001E1,-7.381652832E0
3.881772429E1,-4.325972366E1,2.831018066E1,-6.199035645E0
3.931527829E1,-4.464031601E1,2.763238525E1,-1.117010498E1
3.981283204E1,-4.244254303E1,2.905795288E1,-1.213977051E1
