"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.744083333E-3,-6.659351807E0,3.686234436E0,6.166277161E0
4.993160833E-1,-7.339237976E-1,7.743397522E-1,7.628586273E0
9.968883333E-1,3.516188049E-1,3.286715240E0,7.619904327E0
1.494461333E0,8.673114166E0,-5.310207367E0,4.263883209E0
1.992034625E0,3.415148163E0,-9.078620911E0,2.001936951E0
2.489607625E0,7.977959747E0,-8.466992798E0,-8.102650452E-1
2.987181333E0,8.851393433E0,-8.730594635E0,3.934717712E0
3.484755333E0,1.005878265E1,-5.251978455E0,-2.494861908E0
3.982329708E0,1.508218643E1,6.529421997E-1,5.596561890E0
4.479903708E0,3.706741791E0,1.453028412E0,4.164340210E0
4.977478583E0,2.585722961E0,2.087109833E0,7.744145966E0
5.475053583E0,1.672621765E0,3.239712982E0,4.583169250E0
5.972629250E0,1.951940918E0,2.632425842E0,5.548811188E0
6.470205250E0,1.129551086E1,-8.072263641E0,4.559368744E0
6.967781250E0,1.144594803E1,-8.375083923E0,2.883453827E0
7.465358250E0,8.703800354E0,-6.708599396E0,3.633544006E0
7.962934708E0,1.025592270E1,-6.892716522E0,2.498005371E0
8.460511708E0,5.562582550E0,-7.198081512E0,6.126759338E-1
8.958088458E0,6.650520172E0,-5.848488007E0,1.378633118E0
9.455666458E0,3.953129425E0,-5.595663757E0,1.261875916E0
9.953245083E0,4.169878693E0,-4.425547028E0,7.716453552E-1
1.045082308E1,7.331753540E0,-7.290439453E0,3.289559326E0
1.094840037E1,1.058838135E1,-7.082222443E0,2.262994080E0
1.144597937E1,1.145942001E1,-1.040591080E1,3.330124969E0
1.194355808E1,8.995693359E0,-8.482410736E0,2.573298798E0
1.244113608E1,1.164458496E1,-3.210972748E0,6.973997498E-1
1.293871496E1,6.435716858E0,-9.156459045E0,1.209484863E0
1.343629296E1,1.329071182E1,-5.313500519E0,2.963986359E0
1.393387133E1,5.668113098E0,-8.810977478E0,2.051034851E0
1.443144933E1,9.302255859E0,-6.388714600E0,2.666255493E0
1.492902738E1,3.507356415E0,-5.571863251E0,-3.956272888E-1
1.542660537E1,6.651268616E0,-4.169729004E0,1.670526123E0
1.592418363E1,5.783822479E0,-4.513264618E0,1.185983734E0
1.642176262E1,5.497617645E0,-3.816014557E0,1.147962799E0
1.691934146E1,8.255782013E0,-6.958280182E0,3.261866913E0
1.741692146E1,1.020353165E1,-7.724686432E0,1.824256439E0
1.791450025E1,1.295002029E1,-9.393416290E0,3.227288818E0
1.841207925E1,1.186223236E1,-1.024319916E1,4.924758911E-2
1.890965896E1,1.268626877E1,-6.033952332E0,4.846621399E0
1.940723896E1,6.200406189E0,-9.731862488E0,3.400478668E0
1.990481821E1,1.085018692E1,-3.704945526E0,8.464897156E-1
2.040239721E1,2.661016388E0,-7.841892700E0,5.554948425E-1
2.089997546E1,9.263187103E0,-4.721631317E0,3.783232727E0
2.139755446E1,5.208718414E0,-6.428232422E0,4.445755005E-2
2.189513346E1,1.039468414E1,-6.193819885E0,3.550466766E0
2.239271333E1,6.570586395E0,-7.890092468E0,2.574645996E0
2.289029233E1,1.018092865E1,-5.830675049E0,1.705553284E0
2.338787046E1,1.174472672E1,-9.498946838E0,3.970343628E0
2.388544946E1,1.164862656E1,-9.339977417E0,5.072052612E0
2.438302871E1,1.221055801E1,-7.364235992E0,2.178569641E0
2.488060771E1,6.598727875E0,-9.440568237E0,-5.080435181E-1
2.537818546E1,1.563723221E1,-3.272345123E0,3.429069214E0
2.587576446E1,5.843847656E0,-9.373956757E0,4.042343903E0
2.637334371E1,1.191776688E1,-4.796176300E0,4.915777588E-1
2.687092171E1,4.876409454E0,-7.462880859E0,5.797444153E-1
2.736850025E1,1.005608826E1,-5.687572632E0,2.974763947E0
2.786607825E1,7.699538727E0,-8.322094116E0,2.662363586E0
2.836365608E1,9.468110962E0,-5.304668884E0,-2.515518951E0
2.886123408E1,1.094149704E1,-9.325457611E0,3.096760254E0
2.935881196E1,1.361284195E1,-1.174846893E1,4.789589996E0
2.985638896E1,1.327439575E1,-1.053868469E1,3.434607697E0
3.035396537E1,7.791896667E0,-9.871222687E0,-1.725312195E0
3.085154237E1,1.394784531E1,-3.953728180E0,2.908451843E0
3.134911950E1,3.997137909E0,-7.397317200E0,1.691482544E0
3.184669650E1,1.277308823E1,-3.605552216E0,3.669169922E0
3.234427396E1,5.010829926E0,-7.108867035E0,1.029858398E0
3.284184996E1,1.025457550E1,-5.412594452E0,3.871549072E0
3.333942608E1,7.448660431E0,-7.509733429E0,1.291963348E0
3.383700208E1,8.690478058E0,-5.130281525E0,1.854643250E-1
3.433457750E1,1.026415558E1,-9.082512817E0,4.517605591E0
3.483215250E1,1.192480225E1,-7.338489532E0,2.353106689E0
3.532972883E1,1.317530182E1,-1.092024124E1,3.902085571E0
3.582730383E1,1.155596924E1,-1.071651489E1,1.252894592E-1
3.632487858E1,1.364397720E1,-4.672683105E0,3.904630280E0
3.682245358E1,6.121370544E0,-9.541907501E0,9.216334534E-1
3.732002921E1,1.263043488E1,-3.938759308E0,5.611231384E0
3.781760321E1,3.730093231E0,-9.605225830E0,1.752854919E-1
3.831517733E1,8.219707031E0,-3.754791870E0,2.146236877E0
3.881275133E1,7.505392456E0,-7.930658112E0,2.860551453E-1
3.931032621E1,8.891360321E0,-3.988006897E0,-3.888912964E-1
3.980790021E1,1.159084671E1,-1.028825546E1,4.704117737E0
4.030547308E1,1.289987457E1,-8.489895172E0,6.137087860E0
4.080304708E1,1.395398254E1,-1.009366013E1,4.013004913E0
4.130061962E1,8.446036377E0,-6.281687164E0,3.375330963E0
4.179819362E1,1.274210266E1,-3.759731598E0,6.690487061E0
4.229576696E1,4.779261475E0,-9.692194977E0,5.013075256E0
4.279333996E1,1.102053268E1,-4.768034821E0,2.050436096E0
4.329091233E1,6.025869141E0,-7.708969116E0,1.899400177E0
4.378848533E1,1.057625656E1,-6.656807098E0,2.163600769E0
4.428605796E1,5.050946503E0,-7.586972809E0,2.240391083E0
4.478363096E1,8.559201050E0,-5.687273254E0,4.467759247E0
4.528120358E1,1.065619034E1,-9.253756714E0,5.501659241E0
4.577877558E1,1.072878937E1,-1.026565247E1,3.384461975E0
4.627634883E1,1.437505692E1,-7.115603027E0,2.244881744E0
4.677392183E1,6.873556366E0,-1.174996582E1,-5.926176453E-1
4.727149471E1,1.032552795E1,-4.883145447E0,2.332599335E0
4.776906771E1,4.315076752E0,-1.034393967E1,3.380719757E0
4.826664096E1,1.173799072E1,-4.285737762E0,1.704954529E0
4.876421396E1,5.757477264E0,-7.992329865E0,2.015408936E0
4.926178675E1,9.359137573E0,-5.441334686E0,1.317709808E0
4.975935875E1,1.094224548E1,-1.034528687E1,4.532125397E0
5.025693221E1,1.254735764E1,-1.025083328E1,5.795797577E0
5.075450521E1,1.253553223E1,-1.041519150E1,4.285139008E0
5.125207721E1,1.056023987E1,-1.007494904E1,1.243314514E0
5.174964921E1,1.474912903E1,-1.961221619E0,1.425186310E0
5.224722283E1,4.667593689E0,-9.861492920E0,-1.380130005E-1
5.274479483E1,1.172511749E1,-6.296506348E0,3.869603119E0
5.324236533E1,4.330345001E0,-1.041564056E1,3.568429413E0
5.373993733E1,1.021580612E1,-5.129533081E0,1.684746552E0
5.423751008E1,5.409750366E0,-8.102650452E0,2.618504791E0
5.473508308E1,1.048808990E1,-8.349936218E0,4.035009155E0
5.523265500E1,7.994275818E0,-9.757908325E0,3.874093781E0
5.573022700E1,1.101170105E1,-5.809119873E0,1.077459412E0
5.622779983E1,1.011820908E1,-8.484955444E0,4.159250793E0
5.672537183E1,1.113294891E1,-7.726931763E0,1.973945160E0
5.722294421E1,1.293415329E1,-9.882449341E0,4.705764313E0
5.772051621E1,9.289232941E0,-9.490414581E0,1.128952332E0
5.821808812E1,1.239213043E1,-3.393892365E0,3.454067230E0
5.871566012E1,4.755610657E0,-1.045710434E1,2.327809296E0
5.921323133E1,1.047431854E1,-2.713257751E0,1.556014252E0
5.971080333E1,4.340972900E-1,-7.122339020E0,4.595443726E-2
6.020837488E1,7.508086853E0,-4.456233215E0,1.308279419E0
6.070594688E1,7.401209106E0,-9.228159943E0,2.413730621E0
6.120351821E1,9.456884308E0,-6.707252197E0,2.091600494E0
6.170108921E1,1.283131714E1,-1.135882919E1,5.467829590E0
6.219865946E1,1.309132645E1,-1.440679092E1,2.654430084E0
6.269623046E1,1.350985611E1,-1.174906769E1,4.528083801E0
6.319380158E1,7.787256317E0,-1.177990356E1,1.364562378E0
6.369137158E1,1.313488586E1,-4.287384338E0,4.493505707E0
6.418894171E1,3.065175934E0,-8.872349854E0,3.016527100E0
6.468651171E1,1.031265472E1,-3.766317902E0,2.272723846E0
6.518408200E1,3.362906799E0,-6.499933319E0,1.483714600E0
6.568165200E1,8.997938690E0,-5.106331329E0,5.035229187E0
6.617922225E1,6.816824341E0,-9.002728729E0,2.909948730E0
6.667679225E1,9.364676056E0,-7.450756073E0,1.311123505E0
6.717436221E1,1.280197815E1,-1.072669373E1,4.958289185E0
6.767193221E1,1.194396240E1,-1.200219131E1,4.016597443E0
6.816950175E1,1.316841614E1,-8.196804657E0,8.810678101E-1
6.866707175E1,7.572602692E0,-1.056038956E1,3.382965088E-2
6.916464083E1,1.327289886E1,-4.558769989E0,4.853806458E0
6.966221083E1,4.467459869E0,-1.002195923E1,3.349584503E0
7.015978125E1,1.086635330E1,-6.958878937E0,2.310595093E0
7.065735025E1,4.709805908E0,-7.560777283E0,1.424587555E0
7.115492008E1,9.964329071E0,-6.615343323E0,2.464924164E0
7.165248908E1,7.717052307E0,-8.593479767E0,2.938239899E0
7.215005821E1,1.192180847E1,-6.566844177E0,1.847607880E0
7.264762721E1,1.142304565E1,-1.150432663E1,4.616849213E0
7.314519583E1,9.821226654E0,-9.283694458E0,2.999761963E-1
7.364276383E1,1.187046524E1,-5.893394623E0,1.874851227E0
7.414033283E1,5.345533905E0,-8.883875885E0,3.140319672E0
7.463790083E1,1.174308014E1,-5.726192322E0,-1.162632294E0
7.513546871E1,3.938160553E0,-7.518864441E0,1.621577911E0
7.563303771E1,8.124055939E0,-5.849236450E0,9.087602234E-1
7.613060571E1,1.011282028E1,-8.523126068E0,3.470383301E0
