"Time (s)","X (hPa)"
-5.714476667E-1,1.010864182E3
4.294093333E-1,1.010867920E3
1.430236333E0,1.010871658E3
2.431039333E0,1.010880890E3
3.431819333E0,1.010880890E3
3.788966333E0,1.010880585E3
4.856495333E0,1.010880585E3
5.924043333E0,1.010883331E3
6.991615333E0,1.010883331E3
8.059170333E0,1.010883408E3
9.126653333E0,1.010884857E3
1.019414333E1,1.010884857E3
1.126166533E1,1.010884247E3
1.232916033E1,1.010882339E3
1.339662233E1,1.010880890E3
1.446409833E1,1.010880890E3
1.553157033E1,1.010881271E3
1.659905933E1,1.010881271E3
1.766660833E1,1.010881195E3
1.873412833E1,1.010881195E3
1.980163533E1,1.010881653E3
2.086913933E1,1.010881653E3
2.193668233E1,1.010881271E3
2.300424933E1,1.010881271E3
2.407177433E1,1.010882568E3
2.513927333E1,1.010882721E3
2.620677133E1,1.010882721E3
2.727423733E1,1.010883713E3
2.834173133E1,1.010884628E3
2.940925333E1,1.010884781E3
3.047674633E1,1.010885620E3
3.154424833E1,1.010886459E3
3.261175933E1,1.010886459E3
3.367925833E1,1.010885239E3
3.474677633E1,1.010884552E3
3.581429733E1,1.010882492E3
3.688181433E1,1.010881424E3
3.794933233E1,1.010880051E3
3.901688333E1,1.010880051E3
4.008443933E1,1.010880356E3
4.115199833E1,1.010880661E3
4.221953633E1,1.010880661E3
4.328708933E1,1.010879288E3
4.435465533E1,1.010877609E3
4.542221933E1,1.010874710E3
4.648974233E1,1.010871964E3
4.755726433E1,1.010868835E3
4.862479133E1,1.010865707E3
4.969227333E1,1.010862656E3
5.075978933E1,1.010858917E3
5.182731433E1,1.010855408E3
5.289475533E1,1.010850754E3
5.396223833E1,1.010845947E3
5.502972933E1,1.010841904E3
5.609724533E1,1.010837479E3
5.716471933E1,1.010833893E3
5.823217033E1,1.010831528E3
5.929956733E1,1.010831528E3
6.036701233E1,1.010831985E3
6.143446933E1,1.010835037E3
6.250188433E1,1.010840836E3
6.356937533E1,1.010846481E3
6.463683533E1,1.010851974E3
6.570432633E1,1.010855560E3
6.677180533E1,1.010858154E3
6.783925633E1,1.010859985E3
6.890673433E1,1.010861816E3
6.997419533E1,1.010862885E3
7.104165033E1,1.010863953E3
7.210912333E1,1.010863953E3
7.317656933E1,1.010863724E3
7.424402433E1,1.010862122E3
7.531150533E1,1.010859833E3
7.637898433E1,1.010858917E3
