"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.573294878E-1,5.233380426E1,4.862611564E0,2.709804125E1,1.041022301E0,1.471440423E2,7.311294331E0,2.400000095E0
1.857449174E0,5.233380426E1,4.862618583E0,2.682014267E1,9.225940704E-1,1.471440415E2,6.854014433E0,2.400000095E0
2.857562184E0,5.233380675E1,4.862621843E0,2.665065602E1,9.225940704E-1,1.471440415E2,6.693390809E0,2.400000095E0
3.857669115E0,5.233380737E1,4.862637042E0,2.667452704E1,7.489437461E-1,1.471440404E2,6.424331826E0,2.400000095E0
4.857767105E0,5.233380358E1,4.862651501E0,2.669674759E1,7.489437461E-1,1.471440404E2,6.024876315E0,2.521618618E0
5.857859969E0,5.233380374E1,4.862667809E0,2.608160145E1,9.161533117E-1,1.471440415E2,5.797899255E0,2.587666057E0
6.857947350E0,5.233380111E1,4.862674994E0,2.574535604E1,9.161533117E-1,1.471440415E2,5.673080166E0,2.622225470E0
7.858028531E0,5.233379246E1,4.862701367E0,2.514006736E1,9.161533117E-1,1.471440415E2,5.693635251E0,2.616616910E0
8.858104467E0,5.233378927E1,4.862726001E0,2.465320294E1,1.105189443E0,1.170637301E2,5.832881331E0,2.577760404E0
9.858174920E0,5.233378687E1,4.862748385E0,2.449965007E1,1.238166094E0,1.100208919E2,5.995711727E0,2.530344480E0
1.085824203E1,5.233387454E1,4.862776115E0,-3.554446148E-1,1.037814854E0,6.339371604E1,4.877321905E0,3.168006955E0
1.185830379E1,5.233385333E1,4.862795975E0,-2.304758532E-1,1.200923511E0,1.046321169E2,4.877880730E0,3.167146447E0
1.285836160E1,5.233382899E1,4.862800439E0,-3.280785959E-2,8.269689985E-1,1.270449868E2,4.880150817E0,3.163647425E0
1.385841632E1,5.233381928E1,4.862830156E0,-3.150181426E-1,9.606641830E-1,1.074598375E2,4.883175367E0,3.158976950E0
1.485846686E1,5.233378950E1,4.862859571E0,-8.696768526E-2,1.400728017E0,1.178745088E2,4.871451146E0,3.177027033E0
1.585851395E1,5.233375897E1,4.862867863E0,-8.342718706E-3,9.033330569E-1,9.754766316E1,4.857401177E0,3.198466951E0
1.685855865E1,5.233374077E1,4.862884210E0,-2.718070149E-2,8.903712876E-1,7.962397516E1,4.852370142E0,3.206094358E0
1.785860002E1,5.233372178E1,4.862907043E0,-5.761794839E-2,9.805652969E-1,1.059038977E2,4.852303428E0,3.206195327E0
1.885863900E1,5.233376704E1,4.862933729E0,-2.325477079E-3,1.176888441E0,1.020657875E2,4.811774125E0,3.266705803E0
1.985867465E1,5.233375002E1,4.862957212E0,2.224735646E-1,1.254507917E0,1.038352999E2,4.817520353E0,3.258225695E0
2.085870862E1,5.233373999E1,4.862984591E0,4.471535366E-1,1.228988890E0,9.384210503E1,4.813580126E0,3.264044025E0
2.185873902E1,5.233372326E1,4.863004664E0,9.648240888E-1,9.148043175E-1,1.015377124E2,4.810290211E0,3.268890503E0
2.285876858E1,5.233371251E1,4.863023533E0,1.224049297E0,9.212957540E-1,1.022870971E2,4.807075213E0,3.273616491E0
2.385879529E1,5.233371441E1,4.863041499E0,9.653316913E-1,8.996095190E-1,8.757578871E1,4.799108757E0,3.285284185E0
2.485882151E1,5.233371526E1,4.863077666E0,2.226511585E-1,1.501227709E0,8.501400059E1,4.794270197E0,3.292341160E0
2.585884488E1,5.233370696E1,4.863083869E0,-5.544702141E-1,1.016535049E0,9.222809290E1,4.805284810E0,3.276244027E0
2.685886693E1,5.233370133E1,4.863100200E0,-2.960099727E-1,8.621423121E-1,9.845906930E1,4.812490629E0,3.265650162E0
2.785888684E1,5.233369144E1,4.863113565E0,-1.393394768E-1,6.844223098E-1,1.082233967E2,4.817124756E0,3.258810537E0
2.885890615E1,5.233368371E1,4.863135464E0,3.737390041E-2,8.210718483E-1,1.028218122E2,4.821728399E0,3.251995123E0
2.985892427E1,5.233367535E1,4.863155940E0,2.953053303E-1,9.265418332E-1,1.009697519E2,4.816753915E0,3.259358642E0
3.085894048E1,5.233367064E1,4.863172670E0,4.632469248E-1,9.083430584E-1,1.014601500E2,4.817321419E0,3.258519815E0
3.185895538E1,5.233366620E1,4.863190454E0,3.537001424E-1,9.387994166E-1,1.024717832E2,4.815346707E0,3.261437278E0
3.285896945E1,5.233365976E1,4.863222000E0,5.414743694E-1,1.339294991E0,9.754119880E1,4.808816170E0,3.271058556E0
3.385898185E1,5.233365431E1,4.863250216E0,6.051735934E-1,1.457597610E0,1.017772097E2,4.798302569E0,3.286461546E0
3.485899472E1,5.233364839E1,4.863273619E0,9.661387047E-1,1.377440568E0,1.008710311E2,4.796782369E0,3.288679969E0
3.585900497E1,5.233364959E1,4.863293440E0,1.330034965E0,1.350707563E0,9.565366235E1,4.794816131E0,3.291546035E0
3.685901606E1,5.233365120E1,4.863298981E0,1.458067635E0,8.566183231E-1,9.113314511E1,4.789654806E0,3.299051966E0
3.785902011E1,5.233365701E1,4.863329194E0,1.257484460E0,1.348451573E0,8.686061035E1,4.796205235E0,3.289521603E0
3.885901785E1,5.233365025E1,4.863349315E0,1.411831257E0,1.285266556E0,9.139153087E1,4.789744926E0,3.298921123E0
3.985901666E1,5.233364545E1,4.863360272E0,1.325574748E0,8.965387920E-1,1.027705739E2,4.785748241E0,3.304716449E0
4.085901523E1,5.233364533E1,4.863373591E0,1.292931121E0,7.563809979E-1,1.009425831E2,4.785498598E0,3.305077941E0
4.185901272E1,5.233364443E1,4.863395809E0,9.826352587E-1,1.068394633E0,1.025866037E2,4.787139069E0,3.302701404E0
4.285901117E1,5.233364463E1,4.863425089E0,8.298386838E-1,1.530699936E0,1.022177979E2,4.791477176E0,3.296404632E0
4.385900998E1,5.233364252E1,4.863445324E0,6.990619777E-1,1.359673317E0,1.004618647E2,4.795847353E0,3.290043343E0
4.485900760E1,5.233364341E1,4.863471590E0,8.546676226E-1,1.683929896E0,9.474835078E1,4.800839384E0,3.282754673E0
4.585900700E1,5.233364670E1,4.863483870E0,8.958668904E-1,1.335948651E0,9.644808087E1,4.799166948E0,3.285199178E0
4.685900438E1,5.233364685E1,4.863499087E0,1.007399765E0,1.219045380E0,9.426068238E1,4.798147796E0,3.286687506E0
4.785900259E1,5.233364992E1,4.863513974E0,9.974087467E-1,1.135803601E0,9.154002028E1,4.796962965E0,3.288416541E0
4.885900092E1,5.233364483E1,4.863521488E0,1.097151789E0,8.070871463E-1,9.722089291E1,4.787822888E0,3.301710016E0
4.985899866E1,5.233363686E1,4.863523099E0,1.309545863E0,4.111516124E-1,1.026074926E2,4.779365267E0,3.313940958E0
5.085899639E1,5.233363533E1,4.863549169E0,1.508890201E0,1.087332562E0,9.370368981E1,4.784855751E0,3.306008541E0
5.185899448E1,5.233363636E1,4.863572164E0,1.372415833E0,1.334042004E0,9.194709687E1,4.782538713E0,3.309359529E0
5.285899162E1,5.233363551E1,4.863590925E0,1.269950579E0,1.372914067E0,8.791017642E1,4.780381418E0,3.312474986E0
5.385899031E1,5.233363772E1,4.863606293E0,1.196943965E0,1.255469697E0,8.558936043E1,4.788689060E0,3.300453624E0
5.485898769E1,5.233363416E1,4.863626346E0,1.376893381E0,1.214874393E0,9.637829636E1,4.796092484E0,3.289685990E0
5.585898566E1,5.233362889E1,4.863642276E0,1.474279418E0,1.174476444E0,1.091878073E2,4.797002456E0,3.288358933E0
5.685898387E1,5.233363175E1,4.863661162E0,1.623517651E0,1.009194386E0,1.012844198E2,4.795878892E0,3.289997368E0
5.785898101E1,5.233363402E1,4.863682887E0,1.485654287E0,1.093339312E0,9.136699288E1,4.800232079E0,3.283642646E0
5.885897839E1,5.233364824E1,4.863699228E0,1.551544026E0,1.094689837E0,7.644331078E1,4.790646318E0,3.297611998E0
5.985897672E1,5.233366670E1,4.863706844E0,1.565177260E0,9.310255372E-1,5.718138299E1,4.781390097E0,3.311018842E0
6.085897434E1,5.233368139E1,4.863721172E0,1.626401599E0,1.087760117E0,5.338159729E1,4.776723433E0,3.317747772E0
