"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.350333334E-2,-2.744621658E1,-2.000857544E1,-1.579498291E1
5.110115417E-1,-2.277387810E1,-1.902777100E1,-2.272747803E1
1.008521542E0,-2.039291000E1,-1.754278564E1,-2.583770752E1
1.506033792E0,-2.141201591E1,-1.579565430E1,-2.613470459E1
2.003547792E0,-3.794545746E1,5.097686768E0,-1.296447754E0
2.501062833E0,-3.681250000E1,1.299871826E1,5.993896484E0
2.998577833E0,-3.124193192E1,1.857211304E1,1.584631348E1
3.496095333E0,-3.163730812E1,1.748846436E1,1.639135742E1
3.993612333E0,-3.471733093E1,-1.279718018E1,-1.358471680E1
4.491130208E0,-2.875013161E1,2.252423096E1,1.657928467E1
4.988648208E0,-3.897573090E1,-1.417602539E0,1.250506592E1
5.486167417E0,-3.078689766E1,2.452239990E1,1.245489502E1
5.983686417E0,-3.785971069E1,1.094274902E1,1.377221680E1
6.481206417E0,-2.953547287E1,2.646276855E1,1.384991455E1
6.978726417E0,-3.287704468E1,2.411135864E1,1.201586914E1
7.476246042E0,-3.438623428E1,2.008364868E1,1.572833252E1
7.973767042E0,-3.218117905E1,2.702545166E1,1.296795654E1
8.471287917E0,-4.179797745E1,1.029620361E1,8.156860352E0
8.968808917E0,-3.303205872E1,2.783580017E1,1.131237793E1
9.466329917E0,-4.015379333E1,1.387765503E1,1.350317383E1
9.963850917E0,-3.422639084E1,2.665823364E1,1.260980225E1
1.046137317E1,-3.656107712E1,2.309506226E1,1.077471924E1
1.095889417E1,-4.263792801E1,7.292297363E0,8.920471191E0
1.145641617E1,-3.610565948E1,2.336132812E1,1.104010010E1
1.195393717E1,-4.163558960E1,3.877258301E-1,1.226397705E1
1.245145846E1,-3.966520691E1,1.574441528E1,8.338562012E0
1.294897946E1,-3.965151215E1,1.335452271E1,8.940307617E0
1.344650046E1,-4.025021744E1,1.052398682E1,9.027587891E0
1.394402046E1,-3.691716003E1,1.569039917E1,1.298986816E1
1.444154042E1,-3.979673386E1,7.217895508E0,1.076910400E1
1.493906042E1,-3.684768295E1,1.668969727E1,1.037768555E1
1.543657867E1,-4.043291855E1,3.156188965E0,8.401428223E0
1.593409767E1,-3.478087997E1,1.930108643E1,1.154943848E1
1.643161717E1,-3.847450256E1,1.122518921E1,1.075805664E1
1.692913517E1,-3.665922165E1,1.687704468E1,8.673950195E0
1.742665208E1,-3.138222122E1,2.273742676E1,1.274615479E1
1.792417008E1,-3.743085098E1,1.265371704E1,9.591552734E0
1.842168579E1,-3.151970863E1,2.296340942E1,1.155297852E1
1.891920179E1,-3.860169220E1,9.400573730E0,8.444946289E0
1.941671842E1,-3.305091858E1,2.174441528E1,1.004895020E1
1.991423442E1,-3.922027588E1,8.064758301E0,8.132385254E0
2.041174896E1,-3.303646088E1,2.103991699E1,1.092962646E1
2.090926396E1,-3.528368378E1,1.633087158E1,1.142620850E1
2.140677804E1,-3.574344635E1,1.576562500E1,9.669189453E0
2.190429304E1,-3.336542892E1,1.987023926E1,1.106787109E1
2.240180679E1,-3.907071304E1,5.755889893E0,7.432373047E0
2.289932179E1,-3.087902069E1,2.350619507E1,1.097241211E1
2.339683592E1,-3.981219101E1,-2.777679443E0,8.334533691E0
2.389434992E1,-3.626162338E1,-1.803848267E1,-8.634033203E-1
2.439186442E1,-3.818813324E1,9.419769287E0,5.797851562E0
2.488937842E1,-3.550400162E1,1.539279175E1,8.481811523E0
2.538689204E1,-3.640307617E1,1.012295532E1,9.963317871E0
2.588440604E1,-3.637268829E1,6.084136963E0,1.289172363E1
2.638191996E1,-3.321529770E1,1.854574585E1,9.690979004E0
2.687943496E1,-3.788001251E1,5.199920654E0,4.723876953E0
2.737694954E1,-3.375447464E1,1.616876221E1,8.285461426E0
2.787446454E1,-3.647325516E1,9.222137451E0,7.460876465E0
2.837197992E1,-3.094291496E1,2.119094849E1,7.298950195E0
2.886949592E1,-3.401067734E1,1.580364990E1,8.689941406E0
2.936701233E1,-3.211734772E1,1.813479614E1,1.059692383E1
2.986452833E1,-3.261691666E1,1.736923218E1,1.344152832E1
3.036204517E1,-3.638965225E1,7.742126465E0,1.019305420E1
3.085956117E1,-3.042023659E1,2.219525146E1,1.012017822E1
3.135707654E1,-3.585290909E1,5.235321045E0,1.389044189E1
3.185459354E1,-3.144427490E1,2.059603882E1,1.014660645E1
3.235210992E1,-3.575681305E1,1.097457886E1,9.879516602E0
3.284962592E1,-3.149989128E1,2.107952881E1,8.642700195E0
3.334714058E1,-3.151008034E1,1.999713135E1,8.347595215E0
3.384465658E1,-3.229544830E1,1.937976074E1,8.010375977E0
3.434217242E1,-3.059287834E1,2.219079590E1,8.091186523E0
3.483968842E1,-3.454767609E1,1.510113525E1,5.218627930E0
3.533720379E1,-2.853098869E1,2.458355713E1,7.338134766E0
3.583471979E1,-2.905508423E1,2.252191162E1,8.540283203E0
3.633223592E1,-3.379396057E1,1.501608276E1,7.593322754E0
3.682975192E1,-3.326041794E1,1.554064941E1,5.869384766E0
3.732726929E1,-3.066242218E1,1.859722900E1,8.063659668E0
3.782478629E1,-3.022305107E1,1.701473999E1,8.953186035E0
3.832230404E1,-2.751968575E1,2.031558228E1,1.196887207E1
3.881982204E1,-2.700866318E1,2.243942261E1,1.034997559E1
3.931733971E1,-3.458194351E1,1.284472656E1,7.570800781E0
3.981485871E1,-2.887946510E1,2.250268555E1,9.909301758E0
4.031237954E1,-3.802166748E1,1.278686523E-2,4.489562988E0
4.080989854E1,-3.397959137E1,1.623556519E1,7.046020508E0
4.130741754E1,-3.820976257E1,1.588439941E0,4.409484863E0
4.180493654E1,-3.142753029E1,2.166403198E1,6.011047363E0
4.230245608E1,-3.489146042E1,1.545108032E1,8.559265137E0
4.279997608E1,-3.267594147E1,2.061062622E1,9.426147461E0
4.329749442E1,-3.052638054E1,2.388623047E1,1.155621338E1
4.379501342E1,-3.789848709E1,1.350997925E1,8.218383789E0
4.429253067E1,-3.150797653E1,2.532177734E1,1.153350830E1
4.479004767E1,-4.117594910E1,6.859466553E0,6.563415527E0
4.528756504E1,-3.627962494E1,2.066076660E1,9.490783691E0
4.578508204E1,-4.002411270E1,1.610977173E1,6.210876465E0
4.628259771E1,-3.626049423E1,2.283056641E1,1.023339844E1
4.678011371E1,-3.721523285E1,2.275311279E1,8.370239258E0
4.727762883E1,-4.160536194E1,1.569259644E1,6.769775391E0
4.777514483E1,-3.734429169E1,2.411840820E1,9.352600098E0
4.827266017E1,-4.430717087E1,1.032113647E1,4.047058105E0
4.877017517E1,-3.103895187E1,3.209973145E1,1.335400391E1
4.926769008E1,-4.413056183E1,8.997070312E0,9.223083496E0
4.976520408E1,-3.782973480E1,2.431161499E1,8.376586914E0
5.026271908E1,-3.840469360E1,2.034359741E1,1.081378174E1
5.076023308E1,-3.973180389E1,1.428854370E1,1.020190430E1
5.125774704E1,-3.282885361E1,2.510314941E1,1.147711182E1
5.175526104E1,-3.940508652E1,8.890563965E0,1.110845947E1
5.225277467E1,-3.428637695E1,1.852218628E1,1.483483887E1
5.275028767E1,-3.984540176E1,4.244384766E0,1.004357910E1
5.324780054E1,-3.558383179E1,1.725195312E1,1.209997559E1
5.374531354E1,-3.750621796E1,1.537533569E1,1.000689697E1
5.424282742E1,-3.236388397E1,2.497860718E1,1.219805908E1
5.474033942E1,-3.183878326E1,2.687216187E1,1.462634277E1
5.523785129E1,-3.795338440E1,2.122085571E1,1.234826660E1
5.573536329E1,-3.192333984E1,2.546810913E1,1.437603760E1
5.623287404E1,-3.836836243E1,1.626663208E1,9.214355469E0
5.673038604E1,-3.295928192E1,2.546728516E1,1.010491943E1
5.722789704E1,-3.685699081E1,2.345092773E1,5.271484375E0
5.772540817E1,-3.289865112E1,2.817332458E1,7.082885742E0
5.822291917E1,-3.221190262E1,2.990255737E1,5.887817383E0
5.872043008E1,-3.164321136E1,2.968342590E1,4.942810059E0
5.921794108E1,-2.949413109E1,3.244599915E1,2.951538086E0
5.971545067E1,-4.004936218E1,1.616110229E1,1.680908203E-1
6.021296067E1,-2.423075867E1,3.614222717E1,2.263122559E0
6.071047046E1,-3.814828110E1,1.921240234E1,-1.051025391E-1
6.120798046E1,-3.191913795E1,2.848338318E1,2.667724609E0
6.170548954E1,-3.297513580E1,2.703567505E1,2.642822266E0
6.220299854E1,-3.046196938E1,3.010934448E1,4.166076660E0
6.270050754E1,-2.696977806E1,3.351718140E1,6.441345215E0
6.319801554E1,-3.961907959E1,2.006878662E1,8.695678711E-1
6.369552417E1,-2.585641479E1,3.669088745E1,6.054687500E0
6.419303217E1,-4.307259750E1,1.709689331E1,-2.049743652E0
6.469053942E1,-2.574485588E1,3.879449463E1,5.924011230E0
6.518804542E1,-3.637811279E1,3.042759705E1,1.248535156E0
6.568555079E1,-3.036610794E1,3.553877258E1,6.553710938E0
6.618305679E1,-2.613977432E1,3.844071960E1,9.847167969E0
6.668056329E1,-4.383665466E1,1.714682007E1,2.055908203E0
6.717806829E1,-2.036143875E1,4.057907104E1,1.224841309E1
6.767557258E1,-4.480811310E1,1.594027710E1,7.317504883E-1
6.817307658E1,-2.522615433E1,3.977514648E1,8.944702148E0
6.867058096E1,-3.872147369E1,2.029748535E1,3.231567383E0
6.916808396E1,-2.806449318E1,2.784024048E1,4.134887695E0
6.966558667E1,-2.308342171E1,2.883743286E1,6.112976074E0
7.016308867E1,-3.124809074E1,1.967626953E1,4.800048828E0
7.066059079E1,-1.748468399E1,3.333905029E1,4.075622559E0
7.115809179E1,-3.415645218E1,1.948461914E1,-6.382446289E-1
7.165559254E1,-1.585074139E1,3.475238037E1,1.044018555E1
7.215806754E1,-2.541491127E1,3.163769531E1,2.564208984E0
7.266054304E1,-2.195074081E1,3.430126953E1,8.785522461E0
7.316301704E1,-2.293639565E1,3.404350281E1,9.036315918E0
7.366549042E1,-2.955650902E1,3.123423767E1,9.735107422E-1
7.416796342E1,-2.232337952E1,3.645381165E1,5.570617676E0
7.467043554E1,-3.147457886E1,3.036203003E1,9.283447266E-2
7.517290754E1,-2.426293564E1,3.569131470E1,9.840087891E0
7.567537871E1,-3.901909256E1,2.211639404E1,-5.429077148E-1
7.617784971E1,-2.472151566E1,3.593946838E1,9.573364258E0
7.668032104E1,-3.022267532E1,3.084088135E1,9.487243652E0
7.718279104E1,-2.531976700E1,3.471633911E1,1.001220703E1
7.768526129E1,-1.694072914E1,3.875852966E1,1.138348389E1
7.818773029E1,-3.693278503E1,2.311169434E1,-7.728271484E-1
7.869019942E1,-1.136299324E1,3.712931824E1,1.875610352E1
7.919266742E1,-4.130260849E1,1.650097656E1,-1.149108887E0
7.969513467E1,-1.581353760E1,3.888096619E1,1.473400879E1
8.019760267E1,-3.438226318E1,2.835049438E1,1.685607910E0
8.070006967E1,-1.817492867E1,3.989456177E1,3.980712891E0
8.120253567E1,-1.762553978E1,3.675216675E1,1.737268066E1
8.170500146E1,-3.818919373E1,2.117880249E1,-9.661010742E0
8.220746746E1,-2.145686913E1,3.693725586E1,1.461053467E1
8.270993254E1,-2.199558258E1,4.006741333E1,-2.044067383E-1
8.321239754E1,-2.755400276E1,3.616801453E1,-4.530029297E0
8.371486179E1,-1.092130852E1,4.337283325E1,1.059930420E1
8.421732579E1,-4.218952942E1,1.638201904E1,-7.178344727E0
8.471978971E1,-1.733065605E1,4.121148682E1,8.919128418E0
8.522225271E1,-2.969166565E1,3.467553711E1,-2.426513672E0
8.572471567E1,-2.545187378E1,3.798355103E1,-1.019287109E-1
8.622717767E1,-2.322273827E1,3.869412231E1,7.327026367E0
8.672963967E1,-3.695930481E1,2.775175476E1,-2.543945312E-1
8.723210167E1,-2.466732025E1,3.045260620E1,2.438696289E1
8.773456433E1,-3.096783447E1,3.453753662E1,1.290100098E0
8.823702633E1,-2.987255669E1,3.568498230E1,-7.281127930E0
8.873948779E1,-1.570930099E1,4.308038330E1,1.113641357E1
8.924194979E1,-3.556940842E1,3.251541138E1,-1.333666992E1
8.974441229E1,-2.253610611E1,4.542414856E1,-8.449462891E0
9.024687329E1,-2.883518410E1,4.531559753E1,-7.796142578E0
