"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.218500017E-3,-6.068481877E-2,-3.341246247E-1,-9.040079266E-2
5.048475000E-1,-1.851862520E-1,2.029571980E-1,-5.359699130E-1
1.002476708E0,1.648931503E-1,-5.943948627E-1,5.270913243E-1
1.500106708E0,-1.298886895E0,-8.910443187E-1,2.589147806E0
1.997737750E0,1.210008860E0,-3.170706749E0,-2.489882231E0
2.495368750E0,-1.353517294E0,1.011597276E0,3.154921532E0
2.993000583E0,2.227661848E0,-2.721014261E0,-1.601186275E0
3.490632583E0,-6.575033665E-1,5.406703949E-1,2.549932241E0
3.988265000E0,1.003185153E0,-8.093343973E-1,3.715550303E-1
4.485898000E0,-2.912134826E-1,6.826233864E-1,9.240793586E-1
4.983529958E0,-1.515046477E0,8.019344211E-1,9.608713984E-1
5.481162958E0,4.299108386E-1,5.783947110E-1,-4.408142269E-1
5.978794208E0,-1.697337478E-1,-1.027903035E-1,2.305216312E0
6.476426208E0,2.142063528E-1,-2.374517918E-1,-2.798666239E0
6.974058583E0,2.270270884E-2,1.023824692E0,2.212146044E0
7.471690583E0,1.848468333E-1,1.702224374E0,-4.291848183E0
7.969321625E0,-1.663655601E-2,4.555211067E-1,1.291251779E-1
8.466952625E0,-6.483692527E-1,-7.871950865E-1,1.865376085E-1
8.964583083E0,-5.291278958E-1,-1.001180172E0,2.925119877E0
9.462213083E0,2.137747049E0,-1.365597963E0,-1.293525934E0
9.959842083E0,-1.735521197E0,5.220761299E-1,2.895896912E0
1.045747108E1,-1.107728109E-1,2.943179607E-1,1.819803864E-1
1.095510058E1,-9.276465178E-1,5.896141529E-1,-8.506189585E-1
1.145272858E1,-1.336181402E0,7.597863078E-1,1.692433476E0
1.195035646E1,1.080449939E0,6.476402879E-1,-3.489475965E0
1.244798346E1,-1.675561905E0,1.089565277E0,2.150727987E0
1.294561008E1,2.229797363E0,-1.425261021E0,-4.255215645E0
1.344323608E1,-1.953998685E0,2.747411132E-1,3.826767206E0
1.394086258E1,1.477462649E0,-2.032197237E0,-3.839380264E0
1.443848758E1,-1.508073926E0,-4.972932637E-1,4.365939140E0
1.493611238E1,-2.203711987E0,2.330404758E0,7.054055333E-1
1.543373738E1,6.226971149E-1,-1.861882806E-1,-3.703949153E-1
1.593136158E1,-2.569340542E-2,1.514418960E0,1.076133847E0
1.642898558E1,1.253916621E-1,-1.686619371E-1,-1.939039469E0
1.692660975E1,-9.688275456E-1,-4.896295816E-2,2.765744448E0
1.742423375E1,1.689249754E0,-2.998095751E-1,-3.798474312E0
1.792185621E1,-2.223012686E0,3.187893629E-1,2.267591476E0
