"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.218500017E-3,8.894188035E-1,2.324716119E0,1.936434102E0
5.048475000E-1,6.896872723E-1,1.732032984E0,-3.538308066E-1
1.002476708E0,-1.929942523E0,-5.280839726E-1,-4.767977518E0
1.500106708E0,4.031400254E0,1.269686041E0,5.006856158E0
1.997737750E0,2.029016576E0,-1.409022267E0,2.373250932E0
2.495368750E0,4.279987611E0,-2.702643886E0,1.603900609E0
2.993000583E0,6.562414327E0,-2.867509639E-1,-4.050255916E-1
3.490632583E0,5.133989829E-1,-5.715240487E0,1.347479153E-1
3.988265000E0,9.020009006E0,1.761006523E0,4.242857791E0
4.485898000E0,-3.585556492E0,-8.795350794E0,2.948591809E0
4.983529958E0,7.572317348E0,3.221916981E0,3.492812051E0
5.481162958E0,-6.212683588E0,-8.242320553E0,3.205038993E0
5.978794208E0,7.455530909E0,4.348994696E0,3.604346520E0
6.476426208E0,-4.787061076E0,-6.034751061E0,2.093525398E0
6.974058583E0,5.434984610E0,2.760370522E0,-1.783400774E-3
7.471690583E0,5.192941457E-1,-6.859078660E0,4.575950863E0
7.969321625E0,-3.703912908E-1,-1.718565385E-1,-1.066998743E0
8.466952625E0,-7.324011827E-1,-1.640459448E0,-2.689438534E0
8.964583083E0,6.028627272E0,-1.667599007E0,2.533061768E0
9.462213083E0,6.318714657E0,3.796778387E-1,2.598639461E0
9.959842083E0,-2.283206735E0,-9.067139318E0,-2.356672614E0
1.045747108E1,6.912137464E0,3.980871540E0,3.545006344E0
1.095510058E1,-5.441187921E0,-6.946834257E0,-1.202507381E0
1.145272858E1,4.819459913E0,3.262891345E0,2.706794239E0
1.195035646E1,-2.425193503E0,-6.097809189E0,-1.543231800E0
1.244798346E1,2.582630369E0,6.443883079E-1,2.633050325E0
1.294561008E1,1.187611014E0,-5.658324859E0,2.214473884E0
1.344323608E1,4.486314216E0,-1.602247016E0,7.062616984E-2
1.394086258E1,7.218108226E0,-3.110281355E0,3.094192157E0
1.443848758E1,-3.918423861E-1,-1.015414840E1,-1.332937127E0
1.493611238E1,1.026541273E1,4.391420338E0,1.142354851E1
1.543373738E1,-4.453821824E0,-9.698905826E0,1.367063232E0
1.593136158E1,7.747449058E0,3.829178393E0,2.931147226E0
1.642898558E1,-5.773760591E0,-8.597724845E0,1.755938741E0
1.692660975E1,5.232773860E0,1.308647794E0,3.643309734E0
1.742423375E1,-2.528368208E0,-8.131966052E0,1.073679771E0
1.792185621E1,1.821637471E0,2.915339863E-1,4.205066067E-1
1.841947921E1,4.227317646E0,-2.072491501E0,2.682455204E0
1.891710025E1,3.916881366E0,-3.328090723E0,1.857467455E0
1.941472125E1,6.901271583E0,-3.255633196E0,4.334945590E0
1.991234233E1,2.966619945E0,-1.075188704E1,-1.519546337E0
2.040996133E1,1.125833544E1,1.334942722E-1,6.000489886E0
2.090758063E1,-6.230954382E0,-9.467937884E0,-2.179375972E0
2.140519863E1,8.374758818E0,7.269980630E0,5.658548223E0
2.190281546E1,-4.386014587E0,-1.027381986E1,5.605163582E-1
2.240043146E1,7.344601042E0,4.331306283E0,1.954164322E0
2.289804700E1,-5.758689977E0,-9.259941899E0,3.348505107E0
2.339566100E1,8.225194058E0,3.323250983E0,2.443124574E0
2.389327488E1,-3.111908051E0,-7.476019553E0,1.791835967E0
2.439088688E1,2.035389456E0,1.803081332E0,-6.067398405E-1
2.488849821E1,5.156261873E-1,-1.295555293E0,2.932562252E0
2.538610921E1,-1.348395411E0,-6.929851019E-1,-1.829696689E0
2.588372058E1,6.001059989E0,-9.120627308E-1,3.992496389E0
2.638132958E1,-8.854157996E-1,-7.844093592E0,2.670612838E0
2.687893846E1,1.032074961E1,3.311989245E0,1.674432063E0
2.737654646E1,-2.097706742E0,-8.676699094E0,4.518715831E-1
2.787415363E1,1.083814633E1,6.367103291E0,1.081693965E0
2.837176063E1,-5.282810823E0,-9.066563367E0,2.256693120E0
2.886936658E1,8.552230584E0,3.505064891E0,2.409793106E0
2.936697158E1,-6.035788942E0,-8.885556960E0,2.875968221E0
2.986457696E1,7.160072857E0,4.718166842E0,3.500015820E0
3.036217996E1,-4.377321532E0,-1.022760229E1,1.538849165E0
3.085978246E1,5.757115322E0,4.871858566E0,3.455358880E0
3.135738446E1,-4.240203740E0,-7.199672540E0,5.880509333E-1
3.185498675E1,3.881904491E0,2.504449587E0,3.288070625E0
3.235258775E1,-4.091977408E0,-5.770684955E0,2.589277191E-1
3.285018663E1,3.937905614E0,2.080840448E0,3.789140754E0
3.334778663E1,-1.306369134E0,-4.276805556E0,1.637664186E0
3.384538483E1,8.308074832E-1,4.819813085E-1,2.070596126E0
3.434298283E1,2.662140223E0,-3.103229029E0,3.722366136E0
3.484057963E1,5.590017101E0,-1.626931622E0,2.395185007E0
3.533817563E1,4.951583598E0,-2.712736765E0,3.620378416E0
3.583577188E1,3.405041251E0,-4.655899550E0,2.640915415E0
3.633336588E1,8.916012182E0,8.031875753E-1,1.873583550E0
3.683096058E1,-4.363481757E0,-7.533681285E0,-1.589896674E0
3.732855358E1,7.529515729E0,3.238054712E0,5.022536051E0
3.782614708E1,-4.382587534E0,-8.901133357E0,1.597095619E0
3.832373908E1,6.984794966E0,4.582579266E0,4.335377115E-1
3.882132933E1,-4.722289129E0,-8.377742652E0,5.924042219E-1
3.931892033E1,6.355605910E0,2.440790951E0,1.888942432E0
3.981651058E1,-5.973125501E0,-7.259248066E0,3.317196776E0
4.031410058E1,5.826797760E0,2.708139099E0,5.899290955E-1
4.081168946E1,-1.093852081E0,-4.070306457E0,3.973166664E0
4.130927746E1,1.097206628E-1,-1.001500572E0,2.296580486E0
4.180686521E1,2.557417760E0,-1.936855102E0,3.546289515E0
4.230445221E1,-5.551282221E-1,-7.497994559E0,2.899690375E0
4.280203813E1,1.104055940E1,-1.642330849E0,2.494543819E0
4.329962413E1,-2.658376955E0,-7.320657864E0,-1.580473155E0
4.379721000E1,9.215098432E0,4.630198406E0,3.346546875E0
4.429479500E1,-5.966556154E0,-1.057391884E1,-1.881103655E0
4.479237863E1,9.225617573E0,5.730712804E0,5.172399019E0
4.528996163E1,-4.603350915E0,-9.895625457E0,3.041816307E0
4.578754458E1,7.541659226E0,3.696764102E0,5.211749611E0
4.628512758E1,-5.920100611E0,-8.350584090E0,-2.316534110E0
4.678270825E1,6.469220819E0,6.846498960E-1,3.920280937E0
4.728028925E1,-2.185914329E0,-7.324266765E0,6.341481522E-1
4.777787050E1,1.709752169E0,1.036296768E0,-5.685891704E-1
4.827545050E1,1.583621296E0,-5.683600618E0,2.612202662E0
4.877303088E1,3.694058595E0,-3.114228518E0,2.332100567E0
4.927060988E1,5.703095235E0,-5.730172521E0,4.142795559E0
4.976818746E1,5.221017448E0,-8.570096167E0,2.246506101E-1
5.026576646E1,9.545266727E0,-8.502038670E-1,4.587450582E0
5.076334546E1,-1.318883345E0,-1.047397122E1,-1.635019052E0
5.126092346E1,1.098734857E1,3.842721714E0,3.653727425E0
5.175850171E1,-5.222685074E0,-1.057214948E1,-6.839720576E-1
5.225607971E1,1.041655975E1,4.923294768E0,4.926138854E0
5.275365613E1,-4.281635941E0,-9.730519967E0,3.788879968E0
5.325123413E1,1.091352864E1,4.991405475E0,1.947677128E0
5.374881021E1,-5.330830497E0,-9.205489703E0,9.864627028E-1
5.424638721E1,7.026477427E0,5.033673828E0,2.582005302E0
5.474396321E1,-4.829327674E0,-8.101472822E0,8.396484733E-1
5.524153921E1,4.549905025E0,3.590282212E0,2.613106642E0
5.573911471E1,-4.110659847E0,-4.585432415E0,-7.894742467E-1
5.623668971E1,-8.072548985E-2,2.086173109E0,4.637093443E-1
5.673426508E1,-1.314516644E0,-3.150175738E0,4.794599891E-2
5.723183908E1,-1.432959598E-1,9.386663926E-1,-3.446810836E-1
5.772941283E1,2.220030493E0,-4.170427161E-1,2.033774601E0
5.822698583E1,2.298717644E0,-1.286061169E0,5.447049755E-1
5.872455938E1,7.222538661E0,-2.401854926E0,4.282049339E0
5.922213138E1,2.243705869E0,-7.522024276E0,1.412951596E0
5.971970483E1,9.441990865E0,2.535928658E0,4.989709783E-1
6.021727683E1,-4.369707872E0,-6.903678297E0,-7.678364789E-1
6.071484808E1,1.029882606E1,3.466044082E0,4.628734263E0
6.121242008E1,-4.621604753E0,-8.199781474E0,2.125078143E0
6.170999108E1,9.030528731E0,3.964896947E0,2.030609504E0
6.220756208E1,-4.691008864E0,-8.979463828E0,-1.808620400E0
6.270513408E1,7.186949583E0,4.527230108E0,2.862926592E0
6.320270408E1,-5.139729456E0,-7.320428068E0,-4.419091702E-2
6.370027383E1,3.791663243E0,2.020330537E0,2.035205269E-1
6.419784383E1,-3.641178131E-1,-3.967801259E0,3.117172884E0
6.469541246E1,1.869524413E-1,-1.045275752E0,9.179262456E-1
6.519298146E1,6.958708198E0,-9.410216510E-2,2.527135615E0
6.569055000E1,5.172914743E-1,-6.259273617E0,8.243603432E-1
6.618811800E1,8.881655113E0,-2.391885424E-1,2.128305806E0
6.668568558E1,-2.916867741E0,-8.324641163E0,-3.450727885E0
6.718325258E1,1.092215328E1,3.938981502E0,3.350542277E0
6.768081996E1,-2.957768430E0,-1.023607257E1,3.298140700E0
6.817838596E1,1.021110028E1,4.163132760E0,2.333752406E0
6.867595183E1,-4.046589566E0,-9.118649780E0,2.493434018E0
6.917351783E1,7.732769623E0,2.404521841E0,1.443268239E-2
6.967108246E1,-5.248792892E0,-6.694595314E0,1.597133042E0
7.016864746E1,5.445766876E0,3.298061762E0,2.251561604E0
7.066621296E1,-3.734273406E0,-6.381320211E0,3.243836439E-1
7.116377796E1,3.023563639E0,2.627352798E0,-2.189928442E-1
7.166134133E1,-4.120842773E-1,-5.244360702E0,2.717236197E0
7.215890533E1,2.805081257E0,1.161490917E-2,5.515713974E-1
7.265646933E1,3.116944258E0,-2.791863626E0,3.071860471E0
7.315403283E1,3.666046924E0,-4.762328815E0,1.621259823E0
7.365159583E1,8.477128946E0,-2.656015849E0,2.747734104E0
7.414915858E1,1.454454548E0,-8.081373603E0,-3.162960675E0
7.464672058E1,1.091549564E1,5.605719799E-1,2.944599330E0
7.514428208E1,-2.882588439E0,-8.870316777E0,-2.356772894E-1
7.564184408E1,9.537246101E0,3.030486742E0,2.157662337E0
7.613940600E1,-4.760386662E0,-9.224247571E0,3.464370024E0
7.663696700E1,7.794002835E0,3.994661028E0,3.190087663E0
7.713452758E1,-4.722110789E0,-6.991150305E0,6.897445750E-1
7.763208758E1,9.228290920E0,1.760101959E0,1.724117024E0
7.812964708E1,-4.909542117E0,-6.939226445E0,6.168964541E-1
7.862720608E1,4.122683476E0,8.797480935E-1,1.144607667E0
7.912476538E1,-4.581312175E0,-6.715554074E0,1.214006515E0
