"Time (s)","Distance (cm)"
1.238083350E-3,5.000000000E0
2.093410037E2,0.000000000E0
2.094076725E2,5.000000000E0
2.103911945E2,0.000000000E0
2.104578857E2,5.000000000E0
2.114580999E2,0.000000000E0
2.115080567E2,5.000000000E0
2.124916343E2,0.000000000E0
2.125582865E2,5.000000000E0
2.209100399E2,0.000000000E0
2.209766901E2,5.000000000E0
2.214101480E2,0.000000000E0
2.219434503E2,5.000000000E0
2.224434503E2,5.000000000E0
2.229434503E2,5.000000000E0
2.234434503E2,5.000000000E0
2.239434503E2,5.000000000E0
2.244434503E2,5.000000000E0
2.249434503E2,5.000000000E0
2.254434503E2,0.000000000E0
2.259434503E2,0.000000000E0
2.264434503E2,0.000000000E0
2.269434503E2,0.000000000E0
2.274434503E2,0.000000000E0
2.279434503E2,0.000000000E0
2.284434503E2,0.000000000E0
2.289434503E2,0.000000000E0
2.294434503E2,0.000000000E0
2.299434503E2,0.000000000E0
2.304434503E2,0.000000000E0
2.309434503E2,0.000000000E0
2.314434503E2,0.000000000E0
2.319434503E2,0.000000000E0
2.324434503E2,0.000000000E0
2.329434503E2,0.000000000E0
2.334434503E2,0.000000000E0
2.339434503E2,0.000000000E0
2.344434503E2,0.000000000E0
2.349434503E2,0.000000000E0
2.354434503E2,0.000000000E0
2.359434503E2,0.000000000E0
2.364434503E2,0.000000000E0
2.369434503E2,0.000000000E0
2.374434503E2,0.000000000E0
2.379434503E2,0.000000000E0
2.384434503E2,0.000000000E0
2.389434503E2,0.000000000E0
2.394434503E2,0.000000000E0
2.399434503E2,0.000000000E0
2.404434503E2,0.000000000E0
2.409434503E2,0.000000000E0
2.414434503E2,0.000000000E0
2.419434503E2,0.000000000E0
2.424434503E2,0.000000000E0
2.429434503E2,0.000000000E0
2.434434503E2,0.000000000E0
2.429434503E2,0.000000000E0
2.444434503E2,0.000000000E0
2.449434503E2,0.000000000E0
2.454434503E2,0.000000000E0
2.459434503E2,0.000000000E0
2.464434503E2,0.000000000E0
2.469434503E2,0.000000000E0
2.474434503E2,0.000000000E0
2.479434503E2,0.000000000E0
2.484434503E2,0.000000000E0
2.489434503E2,0.000000000E0
2.494434503E2,0.000000000E0
2.499434503E2,0.000000000E0
2.504434503E2,0.000000000E0
2.509434503E2,0.000000000E0
2.514434503E2,0.000000000E0
2.519434503E2,0.000000000E0
2.524434503E2,0.000000000E0
2.529434503E2,0.000000000E0
2.534434503E2,0.000000000E0
2.539434503E2,0.000000000E0
2.544434503E2,0.000000000E0
2.549434503E2,0.000000000E0
2.554434503E2,0.000000000E0
2.559434503E2,0.000000000E0
2.564434503E2,0.000000000E0
2.569434503E2,0.000000000E0
2.574434503E2,0.000000000E0
2.579434503E2,0.000000000E0
2.584434503E2,0.000000000E0
2.589434503E2,0.000000000E0
2.594434503E2,0.000000000E0
2.599434503E2,0.000000000E0
2.604434503E2,0.000000000E0
2.609434503E2,0.000000000E0
2.614434503E2,0.000000000E0
2.619434503E2,0.000000000E0
2.624434503E2,0.000000000E0
2.629434503E2,0.000000000E0
2.634434503E2,0.000000000E0
2.639434503E2,0.000000000E0
2.644434503E2,0.000000000E0
2.649434503E2,0.000000000E0
2.654434503E2,0.000000000E0
2.659434503E2,0.000000000E0
2.664434503E2,0.000000000E0
2.669434503E2,0.000000000E0
2.674434503E2,0.000000000E0
2.679434503E2,0.000000000E0
2.684434503E2,0.000000000E0
2.689434503E2,0.000000000E0
2.694434503E2,0.000000000E0
2.699434503E2,0.000000000E0
2.704434503E2,0.000000000E0
2.709434503E2,0.000000000E0
2.714434503E2,0.000000000E0
2.719434503E2,0.000000000E0
2.724434503E2,0.000000000E0
2.729434503E2,0.000000000E0
2.734434503E2,0.000000000E0
2.739434503E2,0.000000000E0
2.744434503E2,0.000000000E0
2.749434503E2,0.000000000E0
2.754434503E2,0.000000000E0
2.759434503E2,0.000000000E0
2.764434503E2,0.000000000E0
2.769434503E2,0.000000000E0
2.774434503E2,0.000000000E0
2.779434503E2,0.000000000E0
2.784434503E2,0.000000000E0
2.789434503E2,0.000000000E0
2.794434503E2,0.000000000E0
2.799434503E2,0.000000000E0
2.804434503E2,0.000000000E0
2.809434503E2,5.000000000E0
2.814434503E2,5.000000000E0
2.819434503E2,5.000000000E0
2.824434503E2,5.000000000E0
2.829434503E2,5.000000000E0
2.834434503E2,5.000000000E0
2.839434503E2,5.000000000E0
2.844434503E2,5.000000000E0
2.849434503E2,5.000000000E0
2.854434503E2,5.000000000E0
2.859434503E2,5.000000000E0
2.864434503E2,5.000000000E0
2.869434503E2,0.000000000E0
2.874434503E2,0.000000000E0
2.879434503E2,0.000000000E0
2.884434503E2,0.000000000E0
2.889434503E2,0.000000000E0
2.894434503E2,0.000000000E0
2.899434503E2,0.000000000E0
2.904434503E2,0.000000000E0
2.909434503E2,0.000000000E0
2.914434503E2,0.000000000E0
2.919434503E2,0.000000000E0
2.924434503E2,0.000000000E0
2.929434503E2,0.000000000E0
2.934434503E2,0.000000000E0
2.939434503E2,0.000000000E0
2.944434503E2,0.000000000E0
2.949434503E2,0.000000000E0
2.954434503E2,0.000000000E0
2.959434503E2,0.000000000E0
2.964434503E2,0.000000000E0
2.969434503E2,0.000000000E0
2.974434503E2,0.000000000E0
2.979434503E2,0.000000000E0
2.984434503E2,0.000000000E0
2.989434503E2,0.000000000E0
2.994434503E2,0.000000000E0
2.999434503E2,0.000000000E0
3.004434503E2,0.000000000E0
3.009434503E2,0.000000000E0
3.014434503E2,0.000000000E0
3.019434503E2,0.000000000E0
3.024434503E2,0.000000000E0
3.029434503E2,0.000000000E0
3.034434503E2,0.000000000E0
3.039434503E2,0.000000000E0
3.044434503E2,0.000000000E0
3.049434503E2,0.000000000E0
3.054434503E2,0.000000000E0
3.059434503E2,0.000000000E0
3.064434503E2,0.000000000E0
3.069434503E2,0.000000000E0
3.074434503E2,0.000000000E0
3.079434503E2,0.000000000E0
3.084434503E2,0.000000000E0
3.089434503E2,0.000000000E0
3.094434503E2,0.000000000E0
3.099434503E2,0.000000000E0
3.104434503E2,0.000000000E0
3.109434503E2,0.000000000E0
3.114434503E2,0.000000000E0
3.119434503E2,0.000000000E0
3.124434503E2,0.000000000E0
3.129434503E2,0.000000000E0
3.134434503E2,0.000000000E0
3.139434503E2,0.000000000E0
3.144434503E2,0.000000000E0
3.149434503E2,0.000000000E0
3.154434503E2,0.000000000E0
3.159434503E2,0.000000000E0
3.164434503E2,0.000000000E0
3.169434503E2,0.000000000E0
3.174434503E2,0.000000000E0
3.179434503E2,0.000000000E0
3.184434503E2,0.000000000E0
3.189434503E2,0.000000000E0
3.194434503E2,0.000000000E0
3.199434503E2,0.000000000E0
3.204434503E2,0.000000000E0
3.209434503E2,0.000000000E0
3.214434503E2,0.000000000E0
3.219434503E2,0.000000000E0
3.224434503E2,0.000000000E0
3.229434503E2,0.000000000E0
3.234434503E2,0.000000000E0
3.239434503E2,0.000000000E0
3.244434503E2,0.000000000E0
3.249434503E2,0.000000000E0
3.254434503E2,5.000000000E0
3.259434503E2,5.000000000E0
3.264434503E2,5.000000000E0
3.269434503E2,0.000000000E0
3.274434503E2,0.000000000E0
3.279434503E2,0.000000000E0
3.284434503E2,5.000000000E0
3.289434503E2,5.000000000E0
3.294434503E2,5.000000000E0
3.299434503E2,0.000000000E0
3.304434503E2,0.000000000E0
3.309434503E2,0.000000000E0
3.314434503E2,0.000000000E0
3.319434503E2,0.000000000E0
3.324434503E2,0.000000000E0
3.329434503E2,0.000000000E0
3.334434503E2,0.000000000E0
3.339434503E2,5.000000000E0
3.344434503E2,5.000000000E0
3.349434503E2,5.000000000E0
3.354434503E2,5.000000000E0
3.359434503E2,0.000000000E0
3.364434503E2,0.000000000E0
3.369434503E2,0.000000000E0
3.374434503E2,0.000000000E0
3.379434503E2,0.000000000E0
3.384434503E2,5.000000000E0
3.389434503E2,5.000000000E0
3.394434503E2,5.000000000E0
3.399434503E2,5.000000000E0
3.404434503E2,5.000000000E0
3.409434503E2,5.000000000E0
3.414434503E2,0.000000000E0
3.419434503E2,0.000000000E0
3.424434503E2,0.000000000E0
3.429434503E2,0.000000000E0
3.434434503E2,0.000000000E0
3.439434503E2,0.000000000E0
3.444434503E2,0.000000000E0
3.449434503E2,0.000000000E0
3.454434503E2,0.000000000E0
3.459434503E2,0.000000000E0
3.464434503E2,0.000000000E0
3.469434503E2,0.000000000E0
3.474434503E2,0.000000000E0
3.479434503E2,0.000000000E0
3.484434503E2,0.000000000E0
3.489434503E2,0.000000000E0
3.494434503E2,0.000000000E0
3.499434503E2,0.000000000E0
3.504434503E2,0.000000000E0
3.509434503E2,0.000000000E0
3.514434503E2,0.000000000E0
3.519434503E2,0.000000000E0
3.524434503E2,0.000000000E0
3.529434503E2,5.000000000E0
3.534434503E2,5.000000000E0
3.539434503E2,5.000000000E0
3.544434503E2,5.000000000E0
3.549434503E2,5.000000000E0
3.554434503E2,5.000000000E0
3.559434503E2,5.000000000E0
3.564434503E2,5.000000000E0
3.569434503E2,5.000000000E0
3.574434503E2,5.000000000E0
3.579434503E2,5.000000000E0
3.584434503E2,5.000000000E0
3.589434503E2,5.000000000E0
3.594434503E2,5.000000000E0
3.599434503E2,5.000000000E0
3.604434503E2,5.000000000E0
3.609434503E2,5.000000000E0
3.614434503E2,5.000000000E0
3.619434503E2,5.000000000E0
3.624434503E2,5.000000000E0
3.629434503E2,5.000000000E0
3.634434503E2,5.000000000E0
3.639434503E2,5.000000000E0
3.644434503E2,5.000000000E0
3.649434503E2,5.000000000E0
3.654434503E2,5.000000000E0
3.659434503E2,5.000000000E0
3.664434503E2,5.000000000E0
3.669434503E2,0.000000000E0
3.674434503E2,0.000000000E0
3.679434503E2,0.000000000E0
3.684434503E2,0.000000000E0
3.689434503E2,0.000000000E0
3.694434503E2,0.000000000E0
3.699434503E2,0.000000000E0
3.704434503E2,0.000000000E0
3.709434503E2,0.000000000E0
3.714434503E2,0.000000000E0
3.719434503E2,0.000000000E0
3.724434503E2,0.000000000E0
3.729434503E2,0.000000000E0
3.734434503E2,0.000000000E0
3.739434503E2,0.000000000E0
3.744434503E2,0.000000000E0
3.749434503E2,0.000000000E0
3.754434503E2,0.000000000E0
3.759434503E2,0.000000000E0
3.764434503E2,0.000000000E0
3.769434503E2,0.000000000E0
3.774434503E2,0.000000000E0
3.779434503E2,0.000000000E0
3.784434503E2,0.000000000E0
3.789434503E2,0.000000000E0
3.794434503E2,0.000000000E0
3.799434503E2,0.000000000E0
3.804434503E2,0.000000000E0
3.809434503E2,0.000000000E0
3.814434503E2,5.000000000E0
3.819434503E2,5.000000000E0
3.824434503E2,5.000000000E0
3.829434503E2,5.000000000E0
3.834434503E2,0.000000000E0
3.839434503E2,0.000000000E0
3.844434503E2,0.000000000E0
3.849434503E2,0.000000000E0
3.854434503E2,0.000000000E0
3.859434503E2,0.000000000E0
3.864434503E2,0.000000000E0
3.869434503E2,0.000000000E0
3.874434503E2,0.000000000E0
3.879434503E2,0.000000000E0
3.884434503E2,0.000000000E0
3.889434503E2,0.000000000E0
3.894434503E2,5.000000000E0
3.899434503E2,5.000000000E0
3.904434503E2,0.000000000E0
3.909434503E2,0.000000000E0
3.914434503E2,0.000000000E0
3.919434503E2,0.000000000E0
3.924434503E2,0.000000000E0
3.929434503E2,0.000000000E0
3.934434503E2,0.000000000E0
3.939434503E2,0.000000000E0
3.944434503E2,0.000000000E0
3.949434503E2,0.000000000E0
3.954434503E2,0.000000000E0
3.959434503E2,0.000000000E0
3.964434503E2,0.000000000E0
3.969434503E2,0.000000000E0
3.974434503E2,0.000000000E0
3.979434503E2,0.000000000E0
3.984434503E2,0.000000000E0
3.989434503E2,0.000000000E0
3.994434503E2,0.000000000E0
3.999434503E2,0.000000000E0
4.004434503E2,0.000000000E0
4.009434503E2,0.000000000E0
4.014434503E2,0.000000000E0
4.019434503E2,0.000000000E0
4.024434503E2,0.000000000E0
4.029434503E2,0.000000000E0
4.034434503E2,0.000000000E0
4.039434503E2,0.000000000E0
4.044434503E2,0.000000000E0
4.049434503E2,0.000000000E0
4.054434503E2,0.000000000E0
4.059434503E2,0.000000000E0
4.064434503E2,0.000000000E0
4.069434503E2,0.000000000E0
4.074434503E2,0.000000000E0
4.079434503E2,0.000000000E0
4.084434503E2,0.000000000E0
4.089434503E2,0.000000000E0
4.094434503E2,0.000000000E0
4.099434503E2,0.000000000E0
4.104434503E2,0.000000000E0
4.109434503E2,0.000000000E0
4.114434503E2,0.000000000E0
4.119434503E2,0.000000000E0
4.124434503E2,0.000000000E0
4.129434503E2,0.000000000E0
4.134434503E2,0.000000000E0
4.139434503E2,0.000000000E0
4.144434503E2,0.000000000E0
4.149434503E2,0.000000000E0
4.154434503E2,5.000000000E0
4.159434503E2,5.000000000E0
4.164434503E2,5.000000000E0
4.169434503E2,5.000000000E0
4.174434503E2,5.000000000E0
4.179434503E2,5.000000000E0
4.184434503E2,5.000000000E0
4.189434503E2,0.000000000E0
4.194434503E2,0.000000000E0
4.199434503E2,0.000000000E0
4.204434503E2,0.000000000E0
4.209434503E2,0.000000000E0
4.214434503E2,0.000000000E0
4.219434503E2,0.000000000E0
4.224434503E2,0.000000000E0
4.229434503E2,0.000000000E0
4.234434503E2,5.000000000E0
4.239434503E2,5.000000000E0
4.244434503E2,0.000000000E0
4.249434503E2,0.000000000E0
4.254434503E2,0.000000000E0
4.259434503E2,0.000000000E0
4.264434503E2,0.000000000E0
4.269434503E2,0.000000000E0
4.274434503E2,0.000000000E0
4.279434503E2,0.000000000E0
4.284434503E2,0.000000000E0
4.289434503E2,0.000000000E0
4.294434503E2,0.000000000E0
4.299434503E2,0.000000000E0
4.304434503E2,0.000000000E0
4.309434503E2,0.000000000E0
4.314434503E2,0.000000000E0
4.319434503E2,0.000000000E0
4.324434503E2,0.000000000E0
4.329434503E2,0.000000000E0
4.334434503E2,0.000000000E0
4.339434503E2,0.000000000E0
4.344434503E2,0.000000000E0
4.349434503E2,0.000000000E0
4.354434503E2,0.000000000E0
4.359434503E2,0.000000000E0
4.364434503E2,0.000000000E0
4.369434503E2,0.000000000E0
4.374434503E2,0.000000000E0
4.379434503E2,5.000000000E0
4.384434503E2,5.000000000E0
4.389434503E2,5.000000000E0
4.394434503E2,5.000000000E0
4.399434503E2,5.000000000E0
4.404434503E2,5.000000000E0
4.409434503E2,5.000000000E0
4.414434503E2,5.000000000E0
4.419434503E2,5.000000000E0
4.424434503E2,5.000000000E0
4.429434503E2,5.000000000E0
4.434434503E2,5.000000000E0
4.439434503E2,5.000000000E0
4.444434503E2,5.000000000E0
4.449434503E2,5.000000000E0
4.454434503E2,5.000000000E0
4.459434503E2,5.000000000E0
4.464434503E2,5.000000000E0
4.469434503E2,5.000000000E0
4.474434503E2,5.000000000E0
4.479434503E2,0.000000000E0
4.484434503E2,0.000000000E0
4.489434503E2,0.000000000E0
4.494434503E2,0.000000000E0
4.499434503E2,0.000000000E0
4.504434503E2,0.000000000E0
4.509434503E2,0.000000000E0
4.514434503E2,0.000000000E0
4.519434503E2,0.000000000E0
4.524434503E2,0.000000000E0
4.529434503E2,0.000000000E0
4.534434503E2,0.000000000E0
4.539434503E2,0.000000000E0
4.544434503E2,0.000000000E0
4.549434503E2,0.000000000E0
4.554434503E2,0.000000000E0
4.559434503E2,0.000000000E0
4.564434503E2,0.000000000E0
4.569434503E2,0.000000000E0
4.574434503E2,0.000000000E0
4.579434503E2,0.000000000E0
4.584434503E2,0.000000000E0
4.589434503E2,0.000000000E0
4.594434503E2,0.000000000E0
4.599434503E2,0.000000000E0
4.604434503E2,0.000000000E0
4.609434503E2,0.000000000E0
4.614434503E2,5.000000000E0
4.619434503E2,0.000000000E0
4.624434503E2,0.000000000E0
4.629434503E2,0.000000000E0
4.634434503E2,0.000000000E0
4.639434503E2,0.000000000E0
4.644434503E2,0.000000000E0
4.649434503E2,0.000000000E0
4.654434503E2,0.000000000E0
4.659434503E2,0.000000000E0
4.664434503E2,0.000000000E0
4.669434503E2,0.000000000E0
4.674434503E2,0.000000000E0
4.679434503E2,5.000000000E0
4.684434503E2,0.000000000E0
4.689434503E2,0.000000000E0
4.694434503E2,0.000000000E0
4.699434503E2,0.000000000E0
4.704434503E2,0.000000000E0
4.709434503E2,0.000000000E0
4.714434503E2,0.000000000E0
4.719434503E2,0.000000000E0
4.724434503E2,0.000000000E0
4.729434503E2,0.000000000E0
4.734434503E2,0.000000000E0
4.739434503E2,0.000000000E0
4.744434503E2,0.000000000E0
4.749434503E2,0.000000000E0
4.754434503E2,0.000000000E0
4.759434503E2,0.000000000E0
4.764434503E2,0.000000000E0
4.769434503E2,0.000000000E0
4.774434503E2,0.000000000E0
4.779434503E2,0.000000000E0
4.784434503E2,0.000000000E0
4.789434503E2,0.000000000E0
4.794434503E2,0.000000000E0
4.799434503E2,0.000000000E0
4.804434503E2,0.000000000E0
4.809434503E2,0.000000000E0
4.814434503E2,0.000000000E0
4.819434503E2,0.000000000E0
4.824434503E2,0.000000000E0
4.829434503E2,0.000000000E0
4.834434503E2,0.000000000E0
4.839434503E2,5.000000000E0
4.844434503E2,5.000000000E0
4.849434503E2,0.000000000E0
4.854434503E2,0.000000000E0
4.859434503E2,0.000000000E0
4.864434503E2,0.000000000E0
4.869434503E2,0.000000000E0
4.874434503E2,0.000000000E0
4.879434503E2,0.000000000E0
