"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.700826130E-1,-7.171552777E-1,-6.093376279E-1,1.527161989E-2
7.742459460E-1,-8.628465235E-2,2.727511227E-1,2.347247899E-1
1.278409644E0,-8.616247773E-1,-2.109316111E0,6.742420197E-1
1.782573915E0,-7.386882305E-1,-1.398116708E0,7.142536640E-1
2.286738550E0,2.260199636E-1,-5.119046569E-1,1.907425225E-1
2.790903446E0,-1.262962967E-1,1.710421443E-1,1.768453568E-1
3.295068498E0,9.101885557E-2,-2.643517256E-1,4.734202102E-2
3.799233498E0,2.580903657E-2,-1.221729559E-3,5.329795182E-2
4.303398498E0,2.076940238E-2,1.237001196E-1,1.053741761E-2
4.807563446E0,3.543015569E-2,-4.001164436E-2,4.123337101E-3
5.311728394E0,-2.993237413E-2,-4.642572254E-2,8.704823442E-3
5.815893342E0,-1.069013402E-2,1.007926930E-2,-2.275471389E-2
6.320058290E0,5.345067009E-3,-1.511890348E-2,-1.191186346E-2
6.824223133E0,1.832594350E-2,-6.261364091E-3,-9.315688163E-3
7.328387873E0,5.650499370E-3,-1.588248461E-2,-3.787361458E-2
7.832552456E0,-2.748891525E-2,1.298087649E-2,1.588248461E-2
8.336716831E0,-3.512472380E-3,-1.084284950E-2,-3.252854943E-2
8.840881050E0,-1.569922417E-1,1.898262352E-1,-1.053741723E-1
9.345045217E0,-3.894263133E-2,2.412915789E-2,6.108647678E-3
9.849209383E0,1.450803876E-2,5.283980444E-2,1.021671370E-1
1.035337355E1,1.353065521E-1,-1.812741160E-1,-1.006399691E-1
1.085753782E1,-3.252854943E-2,-3.405570984E-2,-8.918625861E-2
1.136170230E1,3.665188793E-3,-1.404988952E-2,-3.069595434E-2
1.186586688E1,-3.802633286E-2,-2.076940238E-2,-1.771507785E-2
1.237003147E1,-1.130099874E-2,-7.101303339E-2,-1.572976820E-2
1.287419621E1,2.809977904E-2,-8.399390429E-2,-2.183841541E-2
1.337836100E1,6.994401664E-2,-1.102610901E-1,-5.497782957E-3
1.388252584E1,8.735366166E-2,-1.117882580E-1,-3.298669681E-2
1.438669063E1,8.261945844E-2,-1.233946830E-1,-2.626718581E-2
1.489085537E1,1.146898642E-1,-1.366809905E-1,-5.207622424E-2
1.539501996E1,1.409570426E-1,-1.508836001E-1,-5.650499091E-2
1.589918444E1,1.333212405E-1,-1.594357044E-1,-3.634645417E-2
1.640334876E1,1.215620935E-1,-1.600465775E-1,-2.489273995E-2
1.690751303E1,1.116355360E-1,-1.463021189E-1,-2.244928107E-2
1.741167725E1,1.434005052E-1,-1.169806048E-1,1.481347065E-2
1.791584142E1,1.879936308E-1,3.497200832E-2,5.070177838E-2
1.842000542E1,-2.160934210E-1,-2.458730713E-2,1.878409237E-1
1.892416928E1,-8.399390616E-3,2.492328286E-1,2.626718581E-1
1.942833298E1,6.017018110E-2,-2.061668597E-2,-2.764163166E-2
1.993249647E1,8.613193035E-2,8.170316368E-2,-6.276635826E-2
2.043665990E1,-3.527744114E-2,7.589995116E-2,-1.343902480E-2
