"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.667667000E-3,2.083550215E0,6.015556335E0,6.460621357E0
2.867412500E-2,2.145763636E0,6.088537216E0,6.090332031E0
5.286741250E-1,8.715856552E0,1.464407444E0,6.294918060E0
1.028674125E0,7.722237110E0,-1.174277663E0,2.872583628E0
1.528674125E0,9.261420250E0,-6.041877344E-2,1.797608018E0
2.028674125E0,1.002293587E1,1.674975902E-1,6.161518097E-1
2.528674125E0,9.394221306E0,7.477571070E-2,3.188436031E-1
3.028674125E0,9.439086914E0,-1.316052489E-2,1.038485050E0
3.528674125E0,9.975079536E0,6.508477330E-1,3.780659735E-1
4.028674125E0,9.828518867E0,2.045863420E-1,5.617151260E-1
4.528674125E0,9.933204651E0,4.486542568E-2,1.228116274E0
5.028674125E0,9.900303841E0,2.985046208E-1,8.578268886E-1
5.528674125E0,9.820143700E0,4.893322289E-1,9.074779749E-1
6.028674125E0,9.890732765E0,5.886343718E-1,5.102694035E-1
6.528674125E0,9.677771568E0,5.347958803E-1,4.271188378E-1
7.028674125E0,9.633503914E0,6.161518097E-1,6.652047038E-1
7.528674125E0,1.010429192E1,4.277170599E-1,7.148557901E-1
8.028674125E0,9.687342644E0,5.730810165E-1,7.932206988E-1
8.528674125E0,9.676574707E0,7.722834945E-1,3.936193287E-1
9.028674125E0,9.787840843E0,5.760720372E-1,8.488538265E-1
9.528674125E0,9.391230583E0,2.285145670E-1,1.495514214E-1
1.002867412E1,9.722636223E0,7.764709592E-1,-2.039881349E-1
1.052867412E1,9.138788223E0,-2.075773627E-1,-1.174277663E0
1.102867412E1,1.025264645E1,3.170489892E-2,-1.242473125E0
1.152867412E1,9.604789734E0,1.100698411E-1,-1.713261008E0
1.202867412E1,9.187242508E0,1.068993568E0,-2.291127682E0
1.252867412E1,9.199206352E0,4.755735099E-1,-2.214557409E0
1.302867412E1,9.647860527E0,1.773679733E0,-2.461018085E0
1.352867412E1,9.086744308E0,1.695314884E0,-2.090130568E0
1.402867412E1,9.826724052E0,1.427318692E0,-2.794816732E0
1.452867412E1,1.002233791E1,1.662413478E0,-2.053041935E0
1.502867412E1,9.516854286E0,1.447059512E0,-1.630110383E0
1.552867412E1,9.687940598E0,1.552343726E0,-9.140582681E-1
