"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.280742800E-1,-3.363128304E-1,2.697010040E-1,6.114687920E-1
1.028074280E0,-1.214126647E-1,9.715070724E-1,2.440838814E-1
1.528074280E0,2.332118750E-1,-3.912730217E-1,-1.759617805E0
2.028074280E0,-1.098492146E-1,-3.301470518E0,1.905334473E0
2.528074280E0,-1.656489372E-1,-1.005130768E0,3.693276882E0
3.028074280E0,-9.012794495E-1,-7.184877396E-1,-7.682883739E-1
3.528074280E0,3.015440941E0,-4.253324270E-1,2.285302401E0
4.028074280E0,1.045113564E0,3.300431967E-1,3.500629365E-1
4.528074280E0,-1.552715302E-1,-3.752570450E-1,5.731256008E-1
5.028074280E0,5.764455795E-1,-1.064902306E0,1.877297163E0
5.528074280E0,3.317399025E0,-7.816320658E-1,-2.533018589E-2
6.028074280E0,-8.727664948E-1,-6.182976961E-1,-5.513430834E-1
6.528074280E0,4.072186470E0,-2.846568227E-1,-1.353899240E-1
7.028074280E0,2.519067764E0,9.178408235E-2,5.251020193E-1
7.528074280E0,-1.653131962E0,-6.009843349E-1,3.217636347E-1
8.028074280E0,-1.885271072E-1,-6.844743490E-1,1.250536203E0
8.528074280E0,5.492162704E-1,-7.371023297E-2,-8.638656139E-1
9.028074280E0,-5.477418900E-1,-6.179518700E-1,-3.907355070E-1
9.528074280E0,-2.163858414E-1,-6.577033401E-1,7.378489971E-1
1.002807428E1,-1.745824814E-1,-2.028029561E-1,9.627034664E-1
1.052807428E1,3.745937347E-1,2.605974972E-1,3.150829077E-1
1.102807428E1,-3.757038116E-1,-3.077700436E-1,2.733711004E-1
1.152807428E1,-8.990077972E-1,2.974097431E-1,2.101286650E-1
1.202807428E1,2.690315247E-3,1.742758155E-1,-8.391571045E-2
1.252807428E1,-1.769523621E-1,-4.743736386E-1,-3.049596548E-1
1.302807428E1,-3.119649887E-1,-2.000484616E-3,-3.431261778E-1
1.352807428E1,-3.243980408E-1,-5.756261945E-1,2.890220881E-1
1.402807428E1,2.003927231E-1,1.201985627E-1,1.264116287E0
1.452807428E1,1.374927521E0,1.708038449E-1,1.687546253E0
1.502807428E1,-1.266651154E0,-1.057301238E-1,3.615379333E-2
1.552807428E1,-3.447589874E-1,-2.110485435E-1,-9.203841686E-1
1.602807428E1,-5.860519409E-2,2.352354079E-1,-3.530688286E-1
1.652807428E1,-4.097871780E-1,-1.378221214E-1,2.485954165E-1
1.702807428E1,6.362600327E-1,1.653271914E-2,1.347409487E-1
1.752807428E1,8.984127045E-1,1.145547330E-1,1.276103020E0
1.802807428E1,2.823181152E-1,-2.054303288E-1,-6.594045162E-1
1.852807428E1,-2.013974190E0,-2.897240520E-1,-6.921229362E-1
1.902807428E1,-8.697319031E-2,-3.538436592E-1,2.675968409E-1
1.952807428E1,3.020191193E-2,-4.026966691E-1,6.328058243E-2
2.002807428E1,6.503801346E-1,-2.779850960E-1,5.551815033E-3
2.052807428E1,-3.983821869E-1,-3.085612059E-1,-5.235788822E-1
2.102807428E1,1.516752243E-1,-3.065108657E-1,1.499345303E-1
2.152807428E1,3.414421082E-1,-1.132203937E-1,-3.201646805E-1
2.202807428E1,-2.458238602E-1,-3.193779588E-1,-2.881263494E-1
2.252807428E1,-3.361282349E-1,3.157071471E-1,-1.596479416E-1
2.302807428E1,-8.098793030E-2,1.975428760E-1,-2.961741686E-1
2.352807428E1,-1.377549171E0,-3.099969923E-1,-5.881155729E-1
2.402807428E1,-1.000499725E-1,-2.054159939E-1,5.568107367E-1
2.452807428E1,-7.543888092E-1,7.274833322E-2,-3.275054693E-1
2.502807428E1,-7.765026093E-1,-5.304243565E-1,-8.733332157E-2
2.552807428E1,3.746032715E-3,-6.218845248E-1,5.634362698E-1
2.602807428E1,9.267225266E-1,-1.095091105E0,-9.283642769E-1
2.652807428E1,-1.754184246E0,-3.591759205E-1,-2.856800556E-1
2.702807428E1,1.262205124E0,-4.503768682E-1,-2.572355270E-1
2.752807428E1,-1.614999771E-1,-6.398099661E-1,-7.826904058E-1
2.802807428E1,-5.230989456E-1,-1.392178535E0,1.233084917E0
2.852807428E1,-3.429889679E-1,-1.141707301E0,5.082832575E-1
2.902807428E1,1.888942719E-2,-6.843726635E-1,1.088444710E0
2.952807428E1,4.960250854E-1,-1.883056164E-1,5.622327328E-2
3.002807428E1,-1.322737694E0,-1.169598579E0,-5.304926038E-1
3.052807428E1,-3.113918304E-1,-1.089562654E0,-1.569424868E-1
3.102807428E1,1.129353523E0,-2.663626671E-1,-2.367464304E-1
3.152807428E1,5.267429352E-2,-2.182209492E-1,8.176147938E-2
3.202807428E1,3.220729828E-1,8.503746986E-2,1.069998741E-2
3.252807428E1,-1.121902466E-2,1.106670976E0,-3.003438711E-1
3.302807428E1,-4.933357239E-1,1.376327515E0,-1.695562005E-1
3.352807428E1,1.005928993E0,1.935782313E0,-1.020312309E-3
3.402807428E1,-2.055692673E-1,5.465984344E-1,1.646360159E-1
3.452807428E1,-6.074905396E-3,2.615014613E-1,5.323443413E-1
3.502807428E1,-6.833658218E-1,1.860643029E-1,-1.173295140E0
3.552807428E1,3.431673050E-1,1.566654444E-2,-5.207324028E-2
3.602807428E1,-5.317964554E-1,-7.797239721E-2,2.330758572E-1
3.652807428E1,8.679151535E-1,1.643449664E-1,2.288677096E-1
3.702807428E1,-1.094906807E0,7.297044992E-2,2.044150829E-1
3.752807428E1,7.644157410E-1,1.081520915E-1,-5.404770374E-2
3.802807428E1,-9.196853638E-1,-2.015132308E-1,2.025741339E-1
3.852807428E1,6.340990067E-1,5.359894037E-2,1.076061726E-1
3.902807428E1,-1.096008301E0,-2.440823913E-1,5.892705917E-1
3.952807428E1,4.343080521E-1,1.321834326E-2,-3.792456388E-1
4.002807428E1,6.135406494E-1,2.843547761E-1,4.672209024E-1
4.052807428E1,-9.010305405E-1,-1.227695942E-1,4.093421698E-1
4.102807428E1,4.528760910E-1,6.496554613E-2,-7.026919127E-1
4.152807428E1,-9.144248962E-1,4.593366086E-1,-2.048201561E-1
4.202807428E1,3.807582855E-1,3.570369482E-1,-4.394912720E-2
4.252807428E1,-4.675836563E-1,3.763421774E-1,-7.672798634E-2
4.302807428E1,-2.938385010E-1,5.923062563E-2,-1.950255632E-1
4.352807428E1,5.527095795E-1,1.662921906E-1,4.327833652E-1
4.402807428E1,-8.399829865E-1,-1.850027442E-1,-2.547696829E-1
4.452807428E1,-2.137260437E-1,-4.224814177E-1,1.230458736E0
4.502807428E1,3.077507019E-1,2.852437496E-1,9.440183640E-2
4.552807428E1,7.365856171E-1,5.727891326E-1,4.680931568E-2
4.602807428E1,-1.645566940E0,-5.566110611E-1,-2.539664507E-1
4.652807428E1,7.190132141E-1,-7.167899013E-1,7.685240507E-1
4.702807428E1,-3.320674896E-1,-1.688790560E0,-7.969570160E-2
4.752807428E1,-7.433128357E-2,-6.510440707E-1,-5.384790897E-2
4.802807428E1,3.033056259E-1,-2.384712100E-1,4.364967346E-3
4.852807428E1,-1.940631866E-2,5.237382650E-2,1.962287426E-1
4.902807428E1,-2.184066772E-1,2.201359272E-1,5.151391029E-2
4.952807428E1,-1.198281288E0,-9.667885303E-2,-4.074742794E-1
5.002807428E1,1.710015297E0,2.201181054E-1,-2.624039650E-1
5.052807428E1,-7.287282944E-1,-1.329821050E-1,9.693384171E-3
5.102807428E1,1.879840851E0,3.328969181E-1,-1.810548544E0
5.152807428E1,-6.297492981E-1,2.234965563E-2,-9.915125370E-1
5.202807428E1,6.120176315E-1,7.764327526E-1,6.525373459E-2
5.252807428E1,-4.024000168E-1,4.426730573E-1,-1.082086086E0
5.302807428E1,5.153484344E-1,3.168771267E-1,-7.760119438E-2
5.352807428E1,9.880323410E-1,-1.834508777E-1,-3.256732225E-1
5.402807428E1,-1.321274757E0,-6.505196095E-1,-1.123547554E-1
5.452807428E1,5.467157364E-1,-5.580497384E-1,8.137711883E-1
5.502807428E1,-7.752714157E-1,-1.899345219E-1,6.591268778E-1
5.552807428E1,1.746779442E0,-2.056486309E-1,1.545804739E0
5.602807428E1,1.548028946E0,-3.591548800E-1,-1.114308834E0
5.652807428E1,-7.066869736E-1,-2.750058174E-1,6.317666769E-1
5.702807428E1,3.287515640E-1,-2.057338059E-1,3.505537510E-1
5.752807428E1,-4.839639664E-1,2.495169640E-3,-4.298498631E-1
5.802807428E1,-4.795160294E-1,-4.566156268E-1,2.021994591E-1
5.852807428E1,3.832969666E-1,-3.437950611E-1,1.350594878E0
5.902807428E1,-1.200885773E-1,-3.728550375E-1,5.705522895E-1
5.952807428E1,-1.807196617E0,-3.889161348E-2,-2.257108688E0
6.002807428E1,-2.061168194E0,-2.537122965E-1,-1.228139162E0
6.052807428E1,1.067468643E0,-2.506909370E-1,-1.252771616E-1
6.102807428E1,-1.581329346E0,-3.548131883E-2,7.493526936E-1
6.152807428E1,1.620043755E0,6.802152097E-2,-2.233045101E-1
6.202807428E1,2.352796555E0,5.432580411E-2,9.996532202E-1
6.252807428E1,-1.672956467E0,2.645939291E-1,7.271201611E-1
6.302807428E1,2.340280533E0,4.258675277E-1,-1.501374364E0
6.352807428E1,-4.144420624E-1,-4.757218957E-1,1.516448855E-1
6.402807428E1,1.121503830E0,4.656632245E-1,-9.464502335E-2
6.452807428E1,-2.877140045E-1,1.172077656E-1,5.735737085E-1
6.502807428E1,-4.706306458E-1,8.501172066E-2,-7.821719646E-1
6.552807428E1,-3.407907486E-1,-3.367834985E-1,-1.174951077E0
6.602807428E1,1.014880180E0,4.941778183E-1,4.361512661E-1
6.652807428E1,-2.883024693E0,-1.451428413E0,-1.634302139E-1
6.702807428E1,-1.582725525E0,-2.960996032E-1,2.498793602E-2
6.752807428E1,-4.177379608E-1,1.404933333E-1,5.329209566E-1
6.802807428E1,8.650493622E-1,1.135707200E-1,-9.407043457E-3
6.852807428E1,-6.910963058E-1,-2.241713703E-1,-4.296607971E-1
6.902807428E1,7.904539108E-1,3.012735546E-1,5.507984161E-1
6.952807428E1,2.141342163E-1,-9.905067086E-2,-5.710310936E-1
7.002807428E1,2.970209122E-1,-3.320226669E-1,-3.583903313E-1
7.052807428E1,-2.072563171E-1,-2.869066000E-1,3.678565025E-1
7.102807428E1,-1.728048325E-1,-3.780928552E-1,-7.147490978E-1
7.152807428E1,-1.841688156E-1,-4.737519324E-1,1.690390110E-1
7.202807428E1,-7.678375244E-1,7.470603287E-2,-8.033990860E-3
7.252807428E1,3.744144440E-1,2.382654101E-1,3.797645569E-1
7.302807428E1,1.403654099E0,3.838901520E-1,1.898074150E-2
7.352807428E1,-1.474323273E0,-7.623145580E-1,-1.064051390E-1
7.402807428E1,1.256094933E0,1.801374555E-2,-5.272746086E-3
7.452807428E1,-3.054685593E-1,-9.265869856E-1,1.278314590E-1
7.502807428E1,6.073560715E-1,-5.240284801E-1,-6.732083559E-1
7.552807428E1,-5.846500397E-2,-2.021449357E-1,1.191519499E-1
7.602807428E1,-2.363195419E-1,-1.840826571E-1,-4.161370993E-1
7.652807428E1,4.407110214E-1,-7.659941912E-3,3.843638897E-1
7.702807428E1,2.449789047E-1,5.054773390E-2,-3.132641315E-2
7.752807428E1,-1.528518677E0,-1.848884225E-1,2.449693680E-1
7.802807428E1,-4.593610764E-1,-4.188050628E-1,-5.574464798E-3
7.852807428E1,-7.808218002E-1,-2.521555424E-1,-4.355924129E-1
7.902807428E1,3.494319916E-1,-5.407243967E-2,7.572233677E-2
7.952807428E1,1.890659332E-1,-3.167996407E-1,-1.725792885E-1
8.002807428E1,-2.682075500E-1,-5.130243301E-2,-1.097095013E-1
8.052807428E1,-9.210491180E-2,1.271412373E-1,1.510182619E-1
8.102807428E1,-5.728473663E-1,-1.930482388E-1,-3.932163715E-1
8.152807428E1,8.189802170E-1,-1.965208054E-1,-1.200110912E-1
8.202807428E1,1.036028862E0,4.125550389E-1,8.401317596E-1
8.252807428E1,1.089706421E-1,-7.569169998E-1,2.336074114E-1
8.302807428E1,-1.295175552E-1,4.021155834E-2,-5.359959602E-2
8.352807428E1,4.109039307E-1,5.695188046E-2,-1.690895557E-1
8.402807428E1,-7.388467789E-1,-6.852900982E-2,5.651032925E-2
8.452807428E1,3.070726395E-1,-1.366035938E-1,-2.190504074E-1
8.502807428E1,-8.841485977E-1,2.255861759E-1,-2.593858242E-1
8.552807428E1,6.298589706E-1,3.017762899E-1,1.859376431E-1
8.602807428E1,-8.673105240E-1,-2.685403824E-2,-6.089847088E-1
8.652807428E1,4.553985596E-2,1.738419533E-1,-4.067659378E-3
8.702807428E1,6.198902130E-1,3.936350346E-2,-2.798418999E-1
8.752807428E1,-1.128365517E0,1.667049527E-2,-4.155731201E-2
8.802807428E1,-7.229938507E-1,8.636862040E-2,-1.245236158E0
8.852807428E1,-1.949310303E-1,1.534202695E-1,-1.347579956E-1
8.902807428E1,1.836557388E-1,7.926477790E-1,-3.826715946E-1
8.952807428E1,7.094364166E-1,-3.237117529E-1,-5.115132332E-1
9.002807428E1,1.251015663E0,1.965256929E-1,-6.250493526E-1
9.052807428E1,-8.341178894E-1,-7.064820528E-1,-7.543492317E-1
9.102807428E1,-4.202499390E-1,-6.384976506E-1,-7.347724438E-1
9.152807428E1,1.703631401E0,-1.279103458E-1,7.555496693E-1
9.202807428E1,-4.277315140E-1,-4.594292343E-1,5.700826645E-1
9.252807428E1,2.423267365E-1,-4.544540942E-1,1.480637312E0
9.302807428E1,1.112170219E0,4.710876942E-2,1.155543089E0
9.352807428E1,7.664813995E-1,1.767883897E-1,1.370595217E0
9.402807428E1,6.125297546E-1,1.915531754E-1,5.078469515E-1
9.452807428E1,-1.261940002E-1,5.604439974E-2,-3.286516666E-2
9.502807428E1,-5.848026276E-2,5.435574055E-2,9.074282646E-1
